,700.HK,9988.HK,3690.HK,939.HK,NIO,2318.HK,2269.HK,BIDU,1398.HK,JD,1810.HK,PDD,NTES,M4B.,600519.SS,3988.HK,BILI,2020.HK,2331.HK,—,BY6.,2382.HK,TCOM,2319.HK,2313.HK,XPEV,175.HK,LI,2688.HK,1801.HK,6098.HK,CHL.,291.HK,SNPMF,600036.SS,HTHT,000858.SZ,EDU,1093.HK,1109.HK,1288.HK,2333.HK,960.HK,857.HK,BEKE,241.HK,ZLAB,6969.HK,384.HK,TAL,1177.HK,688.HK,GDS,968.HK,268.HK,2601.HK,TME,VIPS,2899.HK,1918.HK,2007.HK,601318.SS,6690.HK,2359.HK,586.HK,2328.HK,788.HK,AQE.,1919.HK,1088.HK,1658.HK,2202.HK,1024.HK,881.HK,601888.SS,916.HK,LU,6862.HK,6186.HK,267.HK,6030.HK,168.HK,1066.HK,601166.SS,300750.SZ,000001.SZ,002594.SZ,285.HK,601012.SS,1044.HK,1193.HK,600309.SS,3888.HK,D7C.,601288.SS,3323.HK,1833.HK,600276.SS,1548.HK,IQ,270.HK,3328.HK,2338.HK,772.HK,300760.SZ,600809.SS,148.HK,3692.HK,3908.HK,300015.SZ,3606.HK,601398.SS,ATHM,000568.SZ,002304.SZ,2196.HK,ZTO,300059.SZ,002714.SZ,6185.HK,WB,813.HK,3759.HK,002475.SZ,600436.SS,600000.SS,1099.HK,YY,656.HK,3333.HK,601919.SS,884.HK,867.HK,1951.HK,3898.HK,1336.HK,600900.SS,1378.HK,1579.HK,1988.HK,135.HK,836.HK,KC,1171.HK,300122.SZ,6618.HK,000002.SZ,002142.SZ,1339.HK,D7N.,600030.SS,601988.SS,489.HK,754.HK,2238.HK,6837.HK,6110.HK,3347.HK,600031.SS,MOMO,2128.HK,1816.HK,ZTCOF,966.HK,2600.HK,1772.HK,1347.HK,BS6.SI,603501.SS,2689.HK,6886.HK,1209.HK,JOBS,600887.SS,1888.HK,002460.SZ,696.HK,390.HK,358.HK,601899.SS,300014.SZ,1776.HK,371.HK,1585.HK,6881.HK,780.HK,3360.HK,600104.SS,909.HK,601601.SS,601668.SS,1313.HK,601328.SS,1882.HK,300124.SZ,000725.SZ,3998.HK,603288.SS,6060.HK,144.HK,DIDI,6865.HK,603799.SS,002352.SZ,817.HK,002812.SZ,1060.HK,300274.SZ,600406.SS,2607.HK,600703.SS,600438.SS,600111.SS,601633.SS,600893.SS,257.HK,603986.SS,000063.SZ,SUM
07/09/2021,14.22,12.64,4.78,2.27,2.15,1.89,1.71,1.7,1.54,1.51,1.45,1.39,1.05,1.0,0.91,0.9,0.89,0.85,0.83,0.81,0.74,0.66,0.6,0.59,0.58,0.57,0.55,0.51,0.47,0.47,0.47,0.45,0.44,0.42,0.4,0.38,0.38,0.38,0.37,0.37,0.35,0.35,0.34,0.33,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.23,0.23,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.90000000000002
07/12/2021,13.94,12.35,4.58,2.29,2.02,1.88,1.8,1.66,1.57,1.53,1.48,1.38,1.05,0.99,0.93,0.92,0.86,0.86,0.86,0.7,0.75,0.67,0.58,0.6,0.57,0.58,0.57,0.5,0.48,0.47,0.46,0.45,0.43,0.42,0.39,0.37,0.38,0.32,0.39,0.38,0.36,0.36,0.35,0.32,0.31,0.32,0.33,0.32,0.31,0.29,0.3,0.31,0.27,0.3,0.27,0.26,0.25,0.27,0.27,0.27,0.27,0.25,0.26,0.24,0.24,0.21,0.21,0.21,0.23,0.21,0.21,0.2,0.19,0.21,0.19,0.2,0.17,0.17,0.18,0.19,0.17,0.16,0.18,0.15,0.18,0.16,0.17,0.15,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.13,0.14,0.15,0.14,0.14,0.15,0.16,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.1,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.1,0.09,0.09,0.09,0.09,0.1,0.1,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.08,0.08,0.0,0.07,0.0,0.08,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.08,0.07,0.07,0.0,0.07,0.11,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.38
07/13/2021,13.94,12.35,4.58,2.29,2.02,1.88,1.8,1.66,1.57,1.53,1.48,1.38,1.05,0.99,0.93,0.92,0.86,0.86,0.86,0.7,0.75,0.67,0.58,0.6,0.57,0.58,0.57,0.5,0.48,0.47,0.46,0.45,0.43,0.42,0.39,0.37,0.38,0.32,0.39,0.38,0.36,0.36,0.35,0.32,0.31,0.32,0.33,0.32,0.31,0.29,0.3,0.31,0.27,0.3,0.27,0.26,0.25,0.27,0.27,0.27,0.27,0.25,0.26,0.24,0.24,0.21,0.21,0.21,0.23,0.21,0.21,0.2,0.19,0.21,0.19,0.2,0.17,0.17,0.18,0.19,0.17,0.16,0.18,0.15,0.18,0.16,0.17,0.15,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.13,0.14,0.15,0.14,0.14,0.15,0.16,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.1,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.1,0.09,0.09,0.09,0.09,0.1,0.1,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.08,0.08,0.0,0.07,0.0,0.08,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.08,0.07,0.07,0.0,0.07,0.11,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.38
07/14/2021,14.06,12.11,4.73,2.25,2.0,1.85,1.87,1.69,1.55,1.57,1.54,1.4,1.07,0.98,0.92,0.91,0.9,0.91,0.88,0.7,0.73,0.67,0.58,0.6,0.58,0.58,0.55,0.49,0.48,0.47,0.46,0.45,0.43,0.41,0.38,0.36,0.38,0.34,0.39,0.37,0.36,0.38,0.34,0.31,0.32,0.32,0.33,0.31,0.31,0.32,0.3,0.3,0.27,0.29,0.28,0.26,0.25,0.28,0.28,0.27,0.26,0.25,0.27,0.24,0.23,0.21,0.21,0.2,0.2,0.21,0.21,0.2,0.18,0.21,0.19,0.2,0.18,0.19,0.18,0.18,0.17,0.16,0.18,0.15,0.17,0.16,0.16,0.16,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.13,0.14,0.14,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.09,0.11,0.09,0.09,0.09,0.09,0.11,0.1,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.0,0.07,0.07,0.07,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.0,0.0,0.07,0.12,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.55999999999999
07/15/2021,13.88,12.16,4.8,2.1,2.02,1.84,1.87,1.68,1.52,1.55,1.53,1.38,1.07,0.99,0.91,0.9,0.9,0.9,0.83,0.85,0.79,0.65,0.57,0.59,0.57,0.57,0.56,0.5,0.47,0.49,0.46,0.44,0.44,0.4,0.38,0.36,0.38,0.33,0.4,0.37,0.35,0.38,0.34,0.31,0.29,0.33,0.34,0.32,0.3,0.3,0.3,0.3,0.27,0.3,0.3,0.25,0.24,0.28,0.28,0.27,0.27,0.24,0.27,0.25,0.23,0.2,0.21,0.21,0.2,0.21,0.21,0.19,0.18,0.2,0.2,0.2,0.17,0.2,0.19,0.18,0.17,0.16,0.17,0.15,0.18,0.16,0.18,0.16,0.18,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.13,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.13,0.11,0.1,0.11,0.12,0.13,0.12,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.09,0.1,0.1,0.12,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.11,0.09,0.09,0.09,0.09,0.1,0.09,0.07,0.09,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.07,0.07,0.07,0.09,0.0,0.07,0.07,0.07,0.0,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.0,0.07,0.08,0.07,0.0,0.0,0.07,0.11,0.07,0.08,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.46000000000001
07/16/2021,14.17,12.42,4.88,2.2,1.93,1.83,1.78,1.68,1.5,1.6,1.52,1.38,1.08,0.98,0.9,0.9,0.91,0.89,0.84,0.71,0.78,0.63,0.56,0.58,0.56,0.55,0.58,0.49,0.47,0.48,0.45,0.44,0.44,0.41,0.37,0.35,0.38,0.34,0.39,0.37,0.35,0.39,0.34,0.3,0.3,0.33,0.33,0.33,0.31,0.31,0.29,0.3,0.28,0.3,0.28,0.25,0.25,0.28,0.28,0.26,0.26,0.24,0.28,0.24,0.23,0.2,0.21,0.2,0.2,0.21,0.19,0.18,0.18,0.21,0.2,0.19,0.17,0.2,0.18,0.18,0.17,0.16,0.17,0.15,0.17,0.15,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.16,0.13,0.14,0.14,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.11,0.09,0.1,0.1,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.1,0.09,0.09,0.09,0.09,0.1,0.09,0.07,0.09,0.08,0.07,0.07,0.08,0.09,0.08,0.08,0.09,0.09,0.07,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.07,0.07,0.07,0.09,0.07,0.07,0.07,0.0,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.0,0.07,0.0,0.08,0.07,0.07,0.0,0.07,0.12,0.07,0.07,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.58000000000001
07/19/2021,14.31,12.65,4.77,2.19,1.86,1.84,1.86,1.68,1.49,1.59,1.51,1.35,1.1,1.01,0.9,0.89,0.9,0.9,0.88,0.71,0.7,0.63,0.55,0.57,0.54,0.54,0.55,0.46,0.52,0.49,0.46,0.43,0.45,0.4,0.38,0.36,0.38,0.34,0.42,0.37,0.35,0.37,0.34,0.3,0.3,0.33,0.32,0.33,0.32,0.32,0.3,0.3,0.28,0.29,0.29,0.25,0.24,0.28,0.27,0.27,0.26,0.24,0.27,0.25,0.23,0.2,0.21,0.21,0.18,0.21,0.2,0.18,0.18,0.21,0.2,0.19,0.17,0.19,0.19,0.18,0.17,0.17,0.17,0.15,0.17,0.16,0.15,0.15,0.18,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.14,0.14,0.17,0.13,0.14,0.14,0.14,0.15,0.15,0.17,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.11,0.13,0.12,0.12,0.1,0.1,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.09,0.09,0.1,0.1,0.1,0.11,0.09,0.1,0.1,0.11,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.08,0.08,0.09,0.1,0.09,0.08,0.09,0.09,0.1,0.09,0.07,0.09,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.0,0.07,0.0,0.08,0.0,0.07,0.07,0.07,0.12,0.07,0.07,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75000000000001
07/22/2021,14.25,12.46,4.64,2.22,1.89,1.87,1.93,1.64,1.52,1.57,1.61,1.31,1.1,1.01,0.91,0.9,0.91,0.9,0.87,0.62,0.7,0.64,0.52,0.58,0.53,0.69,0.55,0.47,0.52,0.51,0.46,0.44,0.46,0.4,0.39,0.35,0.39,0.29,0.41,0.37,0.35,0.38,0.34,0.3,0.29,0.33,0.3,0.32,0.32,0.28,0.3,0.31,0.28,0.29,0.29,0.25,0.22,0.26,0.27,0.26,0.26,0.24,0.27,0.26,0.23,0.2,0.21,0.2,0.19,0.21,0.2,0.18,0.17,0.21,0.2,0.19,0.16,0.18,0.19,0.18,0.17,0.16,0.17,0.15,0.16,0.16,0.15,0.15,0.17,0.15,0.17,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.18,0.12,0.15,0.14,0.15,0.15,0.15,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.14,0.12,0.12,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.1,0.12,0.09,0.1,0.1,0.11,0.1,0.09,0.09,0.09,0.11,0.1,0.09,0.08,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.1,0.07,0.09,0.08,0.07,0.07,0.08,0.09,0.07,0.08,0.1,0.08,0.07,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.0,0.07,0.07,0.07,0.08,0.07,0.08,0.07,0.0,0.07,0.0,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.0,0.07,0.07,0.07,0.11,0.07,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.56
07/23/2021,14.25,12.46,4.64,2.22,1.89,1.87,1.93,1.64,1.52,1.57,1.61,1.31,1.1,1.01,0.91,0.9,0.91,0.9,0.87,0.62,0.7,0.64,0.52,0.58,0.53,0.69,0.55,0.47,0.52,0.51,0.46,0.44,0.46,0.4,0.39,0.35,0.39,0.29,0.41,0.37,0.35,0.38,0.34,0.3,0.29,0.33,0.3,0.32,0.32,0.28,0.3,0.31,0.28,0.29,0.29,0.25,0.22,0.26,0.27,0.26,0.26,0.24,0.27,0.26,0.23,0.2,0.21,0.2,0.19,0.21,0.2,0.18,0.17,0.21,0.2,0.19,0.16,0.18,0.19,0.18,0.17,0.16,0.17,0.15,0.16,0.16,0.15,0.15,0.17,0.15,0.17,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.18,0.12,0.15,0.14,0.15,0.15,0.15,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.14,0.12,0.12,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.1,0.12,0.09,0.1,0.1,0.11,0.1,0.09,0.09,0.09,0.11,0.1,0.09,0.08,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.1,0.07,0.09,0.08,0.07,0.07,0.08,0.09,0.07,0.08,0.1,0.08,0.07,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.0,0.07,0.07,0.07,0.08,0.07,0.08,0.07,0.07,0.0,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.0,0.0,0.07,0.07,0.11,0.07,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.56
07/26/2021,14.01,12.67,4.67,2.19,1.99,1.86,1.84,1.65,1.5,1.6,1.54,1.3,1.1,1.01,0.89,0.89,0.91,0.86,0.87,0.63,0.75,0.67,0.51,0.58,0.53,0.75,0.55,0.5,0.53,0.48,0.44,0.43,0.44,0.4,0.38,0.35,0.39,0.32,0.4,0.37,0.35,0.43,0.36,0.3,0.29,0.31,0.31,0.32,0.32,0.3,0.3,0.31,0.28,0.3,0.29,0.26,0.22,0.26,0.27,0.26,0.26,0.24,0.28,0.25,0.23,0.2,0.21,0.21,0.18,0.21,0.2,0.18,0.17,0.2,0.2,0.2,0.15,0.19,0.2,0.18,0.17,0.16,0.16,0.15,0.17,0.15,0.16,0.15,0.18,0.15,0.17,0.15,0.14,0.14,0.15,0.16,0.13,0.15,0.16,0.12,0.15,0.14,0.16,0.14,0.15,0.16,0.13,0.13,0.14,0.13,0.14,0.13,0.11,0.12,0.12,0.15,0.12,0.13,0.09,0.09,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.11,0.08,0.09,0.09,0.1,0.09,0.13,0.09,0.1,0.1,0.11,0.09,0.09,0.1,0.09,0.1,0.09,0.09,0.08,0.08,0.09,0.11,0.09,0.09,0.09,0.09,0.1,0.1,0.07,0.09,0.08,0.0,0.07,0.08,0.09,0.07,0.08,0.11,0.09,0.07,0.08,0.07,0.08,0.08,0.08,0.08,0.07,0.1,0.0,0.0,0.07,0.0,0.09,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.08,0.0,0.07,0.07,0.07,0.1,0.07,0.07,0.0,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.50000000000001
