,ASML.AS,GLEN.L,VOD.L,BP.L,VOW3.DE,MG.TO,SAN.MC,6501.T,MT.AS,MC.PA,AZN.L,ENI.MI,GLE.PA,RDSA.AS,DGE.L,RIO.L,TTE.PA,DAI.DE,NESN.SW,9433.T,REP.MC,AD.AS,ABBN.SW,ENEL.MI,FMG.AX,8035.T,ROG.SW,BMW.DE,BAS.DE,AAL.L,STLA.MI,6367.T,GSK.L,MAERSK B.CO,EDP.LS,5401.T,6981.T,ORA.PA,NOVO B.CO,EQNR.OL,6098.T,RWE.DE,7201.T,BHP.AX,ZURN.SW,9984.T,6758.T,RKT.L,TEF.MC,IBE.MC,7267.T,ENGI.PA,5108.T,WES.AX,DBK.DE,SSE.L,BHP.L,6954.T,NXPI,TLS.AX,OR.PA,6752.T,ULVR.L,KGF.L,7203.T,LIGHT.AS,RITN.,WOW.AX,7741.T,7974.T,6861.T,6701.T,CNR.TO,VOLV B.ST,SIKA.SW,CP.TO,ELE.MC,ATCO A.ST,5020.T,SIE.DE,4063.T,RIO.AX,4005.T,KER.PA,3382.T,9432.T,6702.T,VWS.CO,DG.PA,ADS.DE,APTV,TEL,TRI.TO,CA.PA,TIT.MI,SREN.SW,6645.T,4503.T,BBVA.MC,5411.T,EOAN.DE,SU.PA,SBRY.L,KNIN.SW,KESKOB.HE,CPG.L,CBK.DE,RMG.L,DSV.CO,LOGN.SW,388.HK,DTE.DE,7269.T,NESTE.HE,RMS.PA,BARC.L,ASM.AS,ERIC B.ST,CM.TO,PSON.L,2914.T,EDF.PA,HM B.ST,VIV.PA,JHX.AX,AHT.L,9983.T,GIVN.SW,6594.T,CRDA.L,NTGY.MC,7261.T,AGN.AS,6902.T,VIE.PA,CVE.TO,SGO.PA,6178.T,CTC.A.TO,NG.L,RNO.PA,8002.T,STLA.MI.1,7011.T,TELIA.ST,7733.T,1299.HK,601319.SS,8267.T,KNEBV.HE,LHA.DE,1.HK,ITX.MC,NXT.L,F34.SI,RY.TO,TECK,MDT,NST.AX,YAR.OL,IFX.DE,IMB.L,9101.T,INGA.AS,9501.T,AI.PA,EVO.ST,4568.T,4502.T,TFII.TO,8015.T,AKZA.AS,RXL.PA,CSL.AX,BCE.TO,2802.T,FERG.L,7751.T,6273.T,ATD.B.TO,DSM.AS,5802.T,6988.T,JMAT.L,SK3.IR,GRMN,BA.L,7309.T,PSM.DE,5406.T,CON.DE,LEG.DE,8031.T,ABF.L,MKS.L,SAND.ST,ADEN.SW,CPG.TO,ORSTED.CO,IMO.TO,PGYXX,CFR.SW,4188.T,BT.A.L,SU.TO,9201.T,8316.T,9104.T,7752.T,MRW.L,1605.T,9434.T,4062.T,8306.T,5019.T,2503.T,SPX.L,7259.T,EN.PA,POW.TO,SUM
07/09/2021,0.84,0.83,0.72,0.72,0.7,0.67,0.61,0.6,0.6,0.58,0.58,0.57,0.57,0.55,0.54,0.54,0.52,0.52,0.5,0.49,0.49,0.48,0.47,0.47,0.47,0.44,0.43,0.41,0.41,0.4,0.39,0.37,0.37,0.37,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.44
08/31/2021,0.83,0.77,0.74,0.76,0.75,0.63,0.73,0.73,0.62,0.55,0.51,0.57,0.73,0.58,0.55,0.53,0.38,0.5,0.51,0.51,0.49,0.59,0.48,0.4,0.48,0.39,0.47,0.42,0.25,0.36,0.56,0.31,0.39,0.39,0.28,0.42,0.32,0.34,0.36,0.33,0.33,0.25,0.37,0.32,0.31,0.24,0.32,0.27,0.35,0.29,0.48,0.31,0.32,0.31,0.27,0.28,0.29,0.3,0.25,0.31,0.29,0.27,0.22,0.28,0.29,0.29,0.0,0.26,0.28,0.2,0.0,0.23,0.19,0.25,0.27,0.25,0.23,0.26,0.39,0.25,0.24,0.24,0.24,0.23,0.37,0.27,0.29,0.24,0.22,0.23,0.24,0.23,0.24,0.32,0.25,0.24,0.15,0.23,0.22,0.22,0.18,0.21,0.21,0.21,0.22,0.19,0.19,0.2,0.19,0.19,0.19,0.2,0.15,0.18,0.2,0.18,0.18,0.14,0.18,0.17,0.26,0.19,0.17,0.17,0.19,0.19,0.0,0.19,0.18,0.18,0.18,0.2,0.19,0.18,0.17,0.2,0.17,0.31,0.16,0.16,0.28,0.24,0.0,0.17,0.18,0.0,0.16,0.0,0.16,0.0,0.15,0.21,0.14,0.14,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.19,0.3,0.14,0.21,0.0,0.0,0.0,0.21,0.13,0.15,0.14,0.14,0.13,0.14,0.16,0.14,0.15,0.13,0.14,0.14,0.13,0.0,0.13,0.13,0.13,0.12,0.13,0.0,0.13,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.0,1.33,0.28,0.19,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,54.7
09/01/2021,0.83,0.77,0.74,0.76,0.75,0.63,0.73,0.73,0.62,0.55,0.51,0.57,0.73,0.58,0.55,0.53,0.38,0.5,0.51,0.51,0.49,0.59,0.48,0.4,0.48,0.39,0.47,0.42,0.25,0.36,0.56,0.31,0.39,0.39,0.28,0.42,0.32,0.34,0.36,0.33,0.33,0.25,0.37,0.32,0.31,0.24,0.32,0.27,0.35,0.29,0.48,0.31,0.32,0.31,0.27,0.28,0.29,0.3,0.25,0.31,0.29,0.27,0.22,0.28,0.29,0.29,0.0,0.26,0.28,0.2,0.0,0.23,0.19,0.25,0.27,0.25,0.23,0.26,0.39,0.25,0.24,0.24,0.24,0.23,0.37,0.27,0.29,0.24,0.22,0.23,0.24,0.23,0.24,0.32,0.25,0.24,0.15,0.23,0.22,0.22,0.18,0.21,0.21,0.21,0.22,0.19,0.19,0.2,0.19,0.19,0.19,0.2,0.15,0.18,0.2,0.18,0.18,0.14,0.18,0.17,0.26,0.19,0.17,0.17,0.19,0.19,0.0,0.19,0.18,0.18,0.18,0.2,0.19,0.18,0.17,0.2,0.17,0.31,0.16,0.16,0.28,0.24,0.0,0.17,0.18,0.0,0.16,0.0,0.16,0.0,0.15,0.21,0.14,0.14,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.19,0.3,0.14,0.21,0.0,0.0,0.0,0.21,0.13,0.15,0.14,0.14,0.13,0.14,0.16,0.14,0.15,0.13,0.14,0.14,0.13,0.0,0.13,0.13,0.13,0.12,0.13,0.0,0.13,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.0,1.33,0.28,0.19,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,54.7
09/02/2021,0.83,0.77,0.74,0.76,0.75,0.63,0.73,0.73,0.62,0.55,0.51,0.57,0.73,0.58,0.55,0.53,0.38,0.5,0.51,0.51,0.49,0.59,0.48,0.4,0.48,0.39,0.47,0.42,0.25,0.36,0.56,0.31,0.39,0.39,0.28,0.42,0.32,0.34,0.36,0.33,0.33,0.25,0.37,0.32,0.31,0.24,0.32,0.27,0.35,0.29,0.48,0.31,0.32,0.31,0.27,0.28,0.29,0.3,0.25,0.31,0.29,0.27,0.22,0.28,0.29,0.29,0.0,0.26,0.28,0.2,0.0,0.23,0.19,0.25,0.27,0.25,0.23,0.26,0.39,0.25,0.24,0.24,0.24,0.23,0.37,0.27,0.29,0.24,0.22,0.23,0.24,0.23,0.24,0.32,0.25,0.24,0.15,0.23,0.22,0.22,0.18,0.21,0.21,0.21,0.22,0.19,0.19,0.2,0.19,0.19,0.19,0.2,0.15,0.18,0.2,0.18,0.18,0.14,0.18,0.17,0.26,0.19,0.17,0.17,0.19,0.19,0.0,0.19,0.18,0.18,0.18,0.2,0.19,0.18,0.17,0.2,0.17,0.31,0.16,0.16,0.28,0.24,0.0,0.17,0.18,0.0,0.16,0.0,0.16,0.0,0.15,0.21,0.14,0.14,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.19,0.3,0.14,0.21,0.0,0.0,0.0,0.21,0.13,0.15,0.14,0.14,0.13,0.14,0.16,0.14,0.15,0.13,0.14,0.14,0.13,0.0,0.13,0.13,0.13,0.12,0.13,0.0,0.13,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.0,1.33,0.28,0.19,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,54.7
09/03/2021,0.83,0.77,0.74,0.76,0.75,0.63,0.73,0.73,0.62,0.55,0.51,0.57,0.73,0.58,0.55,0.53,0.38,0.5,0.51,0.51,0.49,0.59,0.48,0.4,0.48,0.39,0.47,0.42,0.25,0.36,0.56,0.31,0.39,0.39,0.28,0.42,0.32,0.34,0.36,0.33,0.33,0.25,0.37,0.32,0.31,0.24,0.32,0.27,0.35,0.29,0.48,0.31,0.32,0.31,0.27,0.28,0.29,0.3,0.25,0.31,0.29,0.27,0.22,0.28,0.29,0.29,0.0,0.26,0.28,0.2,0.0,0.23,0.19,0.25,0.27,0.25,0.23,0.26,0.39,0.25,0.24,0.24,0.24,0.23,0.37,0.27,0.29,0.24,0.22,0.23,0.24,0.23,0.24,0.32,0.25,0.24,0.15,0.23,0.22,0.22,0.18,0.21,0.21,0.21,0.22,0.19,0.19,0.2,0.19,0.19,0.19,0.2,0.15,0.18,0.2,0.18,0.18,0.14,0.18,0.17,0.26,0.19,0.17,0.17,0.19,0.19,0.0,0.19,0.18,0.18,0.18,0.2,0.19,0.18,0.17,0.2,0.17,0.31,0.16,0.16,0.28,0.24,0.0,0.17,0.18,0.0,0.16,0.0,0.16,0.0,0.15,0.21,0.14,0.14,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.19,0.3,0.14,0.21,0.0,0.0,0.0,0.21,0.13,0.15,0.14,0.14,0.13,0.14,0.16,0.14,0.15,0.13,0.14,0.14,0.13,0.0,0.13,0.13,0.13,0.12,0.13,0.0,0.13,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.0,1.33,0.28,0.19,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,54.7
09/06/2021,0.83,0.77,0.74,0.76,0.75,0.63,0.73,0.73,0.62,0.55,0.51,0.57,0.73,0.58,0.55,0.53,0.38,0.5,0.51,0.51,0.49,0.59,0.48,0.4,0.48,0.39,0.47,0.42,0.25,0.36,0.56,0.31,0.39,0.39,0.28,0.42,0.32,0.34,0.36,0.33,0.33,0.25,0.37,0.32,0.31,0.24,0.32,0.27,0.35,0.29,0.48,0.31,0.32,0.31,0.27,0.28,0.29,0.3,0.25,0.31,0.29,0.27,0.22,0.28,0.29,0.29,0.0,0.26,0.28,0.2,0.0,0.23,0.19,0.25,0.27,0.25,0.23,0.26,0.39,0.25,0.24,0.24,0.24,0.23,0.37,0.27,0.29,0.24,0.22,0.23,0.24,0.23,0.24,0.32,0.25,0.24,0.15,0.23,0.22,0.22,0.18,0.21,0.21,0.21,0.22,0.19,0.19,0.2,0.19,0.19,0.19,0.2,0.15,0.18,0.2,0.18,0.18,0.14,0.18,0.17,0.26,0.19,0.17,0.17,0.19,0.19,0.0,0.19,0.18,0.18,0.18,0.2,0.19,0.18,0.17,0.2,0.17,0.31,0.16,0.16,0.28,0.24,0.0,0.17,0.18,0.0,0.16,0.0,0.16,0.0,0.15,0.21,0.14,0.14,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.19,0.3,0.14,0.21,0.0,0.0,0.0,0.21,0.13,0.15,0.14,0.14,0.13,0.14,0.16,0.14,0.15,0.13,0.14,0.14,0.13,0.0,0.13,0.13,0.13,0.12,0.13,0.0,0.13,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.0,1.33,0.28,0.19,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,54.7
09/07/2021,0.83,0.77,0.74,0.76,0.75,0.63,0.73,0.73,0.62,0.55,0.51,0.57,0.73,0.58,0.55,0.53,0.38,0.5,0.51,0.51,0.49,0.59,0.48,0.4,0.48,0.39,0.47,0.42,0.25,0.36,0.56,0.31,0.39,0.39,0.28,0.42,0.32,0.34,0.36,0.33,0.33,0.25,0.37,0.32,0.31,0.24,0.32,0.27,0.35,0.29,0.48,0.31,0.32,0.31,0.27,0.28,0.29,0.3,0.25,0.31,0.29,0.27,0.22,0.28,0.29,0.29,0.0,0.26,0.28,0.2,0.0,0.23,0.19,0.25,0.27,0.25,0.23,0.26,0.39,0.25,0.24,0.24,0.24,0.23,0.37,0.27,0.29,0.24,0.22,0.23,0.24,0.23,0.24,0.32,0.25,0.24,0.15,0.23,0.22,0.22,0.18,0.21,0.21,0.21,0.22,0.19,0.19,0.2,0.19,0.19,0.19,0.2,0.15,0.18,0.2,0.18,0.18,0.14,0.18,0.17,0.26,0.19,0.17,0.17,0.19,0.19,0.0,0.19,0.18,0.18,0.18,0.2,0.19,0.18,0.17,0.2,0.17,0.31,0.16,0.16,0.28,0.24,0.0,0.17,0.18,0.0,0.16,0.0,0.16,0.0,0.15,0.21,0.14,0.14,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.19,0.3,0.14,0.21,0.0,0.0,0.0,0.21,0.13,0.15,0.14,0.14,0.13,0.14,0.16,0.14,0.15,0.13,0.14,0.14,0.13,0.0,0.13,0.13,0.13,0.12,0.13,0.0,0.13,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.0,1.33,0.28,0.19,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,54.7
09/08/2021,0.83,0.77,0.74,0.76,0.75,0.63,0.73,0.73,0.62,0.55,0.51,0.57,0.73,0.58,0.55,0.53,0.38,0.5,0.51,0.51,0.49,0.59,0.48,0.4,0.48,0.39,0.47,0.42,0.25,0.36,0.56,0.31,0.39,0.39,0.28,0.42,0.32,0.34,0.36,0.33,0.33,0.25,0.37,0.32,0.31,0.24,0.32,0.27,0.35,0.29,0.48,0.31,0.32,0.31,0.27,0.28,0.29,0.3,0.25,0.31,0.29,0.27,0.22,0.28,0.29,0.29,0.0,0.26,0.28,0.2,0.0,0.23,0.19,0.25,0.27,0.25,0.23,0.26,0.39,0.25,0.24,0.24,0.24,0.23,0.37,0.27,0.29,0.24,0.22,0.23,0.24,0.23,0.24,0.32,0.25,0.24,0.15,0.23,0.22,0.22,0.18,0.21,0.21,0.21,0.22,0.19,0.19,0.2,0.19,0.19,0.19,0.2,0.15,0.18,0.2,0.18,0.18,0.14,0.18,0.17,0.26,0.19,0.17,0.17,0.19,0.19,0.0,0.19,0.18,0.18,0.18,0.2,0.19,0.18,0.17,0.2,0.17,0.31,0.16,0.16,0.28,0.24,0.0,0.17,0.18,0.0,0.16,0.0,0.16,0.0,0.15,0.21,0.14,0.14,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.19,0.3,0.14,0.21,0.0,0.0,0.0,0.21,0.13,0.15,0.14,0.14,0.13,0.14,0.16,0.14,0.15,0.13,0.14,0.14,0.13,0.0,0.13,0.13,0.13,0.12,0.13,0.0,0.13,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.0,1.33,0.28,0.19,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,54.7
09/09/2021,0.83,0.77,0.74,0.76,0.75,0.63,0.73,0.73,0.62,0.55,0.51,0.57,0.73,0.58,0.55,0.53,0.38,0.5,0.51,0.51,0.49,0.59,0.48,0.4,0.48,0.39,0.47,0.42,0.25,0.36,0.56,0.31,0.39,0.39,0.28,0.42,0.32,0.34,0.36,0.33,0.33,0.25,0.37,0.32,0.31,0.24,0.32,0.27,0.35,0.29,0.48,0.31,0.32,0.31,0.27,0.28,0.29,0.3,0.25,0.31,0.29,0.27,0.22,0.28,0.29,0.29,0.0,0.26,0.28,0.2,0.0,0.23,0.19,0.25,0.27,0.25,0.23,0.26,0.39,0.25,0.24,0.24,0.24,0.23,0.37,0.27,0.29,0.24,0.22,0.23,0.24,0.23,0.24,0.32,0.25,0.24,0.15,0.23,0.22,0.22,0.18,0.21,0.21,0.21,0.22,0.19,0.19,0.2,0.19,0.19,0.19,0.2,0.15,0.18,0.2,0.18,0.18,0.14,0.18,0.17,0.26,0.19,0.17,0.17,0.19,0.19,0.0,0.19,0.18,0.18,0.18,0.2,0.19,0.18,0.17,0.2,0.17,0.31,0.16,0.16,0.28,0.24,0.0,0.17,0.18,0.0,0.16,0.0,0.16,0.0,0.15,0.21,0.14,0.14,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.19,0.3,0.14,0.21,0.0,0.0,0.0,0.21,0.13,0.15,0.14,0.14,0.13,0.14,0.16,0.14,0.15,0.13,0.14,0.14,0.13,0.0,0.13,0.13,0.13,0.12,0.13,0.0,0.13,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.0,1.33,0.28,0.19,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,54.7
09/10/2021,0.83,0.77,0.74,0.76,0.75,0.63,0.73,0.73,0.62,0.55,0.51,0.57,0.73,0.58,0.55,0.53,0.38,0.5,0.51,0.51,0.49,0.59,0.48,0.4,0.48,0.39,0.47,0.42,0.25,0.36,0.56,0.31,0.39,0.39,0.28,0.42,0.32,0.34,0.36,0.33,0.33,0.25,0.37,0.32,0.31,0.24,0.32,0.27,0.35,0.29,0.48,0.31,0.32,0.31,0.27,0.28,0.29,0.3,0.25,0.31,0.29,0.27,0.22,0.28,0.29,0.29,0.0,0.26,0.28,0.2,0.0,0.23,0.19,0.25,0.27,0.25,0.23,0.26,0.39,0.25,0.24,0.24,0.24,0.23,0.37,0.27,0.29,0.24,0.22,0.23,0.24,0.23,0.24,0.32,0.25,0.24,0.15,0.23,0.22,0.22,0.18,0.21,0.21,0.21,0.22,0.19,0.19,0.2,0.19,0.19,0.19,0.2,0.15,0.18,0.2,0.18,0.18,0.14,0.18,0.17,0.26,0.19,0.17,0.17,0.19,0.19,0.0,0.19,0.18,0.18,0.18,0.2,0.19,0.18,0.17,0.2,0.17,0.31,0.16,0.16,0.28,0.24,0.0,0.17,0.18,0.0,0.16,0.0,0.16,0.0,0.15,0.21,0.14,0.14,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.19,0.3,0.14,0.21,0.0,0.0,0.0,0.21,0.13,0.15,0.14,0.14,0.13,0.14,0.16,0.14,0.15,0.13,0.14,0.14,0.13,0.0,0.13,0.13,0.13,0.12,0.13,0.0,0.13,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.0,1.33,0.28,0.19,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,54.7
