,CHGG,BFAM,PSON.L,ZM,WORK,IEL.AX,EDU,RNG,TAL,TWOU,BAND,KAHOT.OL,667.HK,EGHT,JW.A,9783.T,DCBO.TO,GOTU,YDUQ3.SA,HMHC,SCHL,LRN,1797.HK,6200.T,ARCE,215200.KQ,DAO,3678.T,GEM.AX,BCOV,9470.T,3681.T,4427.T,YQ,4714.T,IH,1769.HK,6096.T,NEW,CASH,SUM
07/09/2021,11.16,9.11,8.37,6.63,5.7,5.69,5.68,5.02,4.07,3.12,3.08,2.89,2.85,2.85,2.7,2.5,1.92,1.89,1.81,1.28,1.17,1.14,1.12,0.93,0.85,0.73,0.7,0.65,0.61,0.54,0.51,0.5,0.49,0.49,0.45,0.23,0.22,0.16,0.13,0.05,99.99
07/12/2021,11.35,9.26,8.44,6.64,5.89,6.21,4.81,5.03,3.97,3.23,2.96,2.2,2.99,2.86,2.75,2.59,2.03,1.85,1.82,1.29,1.2,1.19,1.1,0.97,0.82,0.76,0.69,0.68,0.63,0.53,0.52,0.51,0.49,0.48,0.47,0.23,0.22,0.16,0.12,0.04,99.98
07/13/2021,11.35,9.26,8.44,6.64,5.89,6.21,4.81,5.03,3.97,3.23,2.96,2.2,2.99,2.86,2.75,2.59,2.03,1.85,1.82,1.29,1.2,1.19,1.1,0.97,0.82,0.76,0.69,0.68,0.63,0.53,0.52,0.51,0.49,0.48,0.47,0.23,0.22,0.16,0.12,0.04,99.98
07/14/2021,11.31,9.28,8.47,6.52,5.83,6.15,5.01,4.99,4.25,3.25,2.93,2.19,2.98,2.85,2.74,2.51,1.99,1.89,1.8,1.31,1.2,1.22,1.07,0.96,0.82,0.73,0.72,0.67,0.62,0.54,0.51,0.51,0.47,0.47,0.46,0.24,0.21,0.15,0.12,0.04,99.98
07/15/2021,11.3,9.32,8.61,6.47,5.81,6.19,4.96,4.89,4.12,3.23,2.94,2.25,2.91,2.82,2.75,2.55,1.97,1.76,1.87,1.33,1.21,1.27,1.06,0.99,0.84,0.73,0.73,0.69,0.63,0.54,0.53,0.54,0.49,0.46,0.46,0.26,0.21,0.16,0.12,0.04,100.01
07/16/2021,11.29,9.23,8.59,6.45,5.8,6.16,5.23,4.81,4.34,3.24,2.94,2.19,2.85,2.81,2.71,2.51,1.97,1.78,1.92,1.32,1.16,1.3,1.07,0.95,0.83,0.74,0.75,0.67,0.62,0.54,0.53,0.53,0.48,0.46,0.46,0.25,0.22,0.16,0.12,0.04,100.02
07/19/2021,11.08,9.27,8.59,6.2,5.99,6.25,5.32,4.67,4.51,3.21,2.93,2.17,2.92,2.74,2.68,2.56,1.95,1.78,1.98,1.35,1.12,1.31,1.08,0.97,0.83,0.75,0.76,0.66,0.61,0.52,0.54,0.53,0.48,0.44,0.51,0.24,0.21,0.16,0.11,0.04,100.02
07/20/2021,11.08,9.27,8.59,6.2,5.99,6.25,5.32,4.67,4.51,3.21,2.93,2.17,2.92,2.74,2.68,2.56,1.95,1.78,1.98,1.35,1.12,1.31,1.08,0.97,0.83,0.75,0.76,0.66,0.61,0.52,0.54,0.53,0.48,0.44,0.51,0.24,0.21,0.16,0.11,0.04,100.02
07/21/2021,11.2,9.41,8.64,6.35,6.06,6.34,5.07,4.8,4.12,3.22,2.99,2.11,2.84,2.75,2.66,2.58,2.0,1.59,1.99,1.34,1.12,1.34,1.05,0.99,0.85,0.76,0.8,0.64,0.62,0.52,0.54,0.55,0.49,0.44,0.51,0.24,0.2,0.16,0.11,0.03,100.02
07/22/2021,11.61,9.63,8.79,6.29,6.21,6.19,4.65,4.56,3.93,3.34,3.09,1.97,2.86,2.75,2.67,2.59,2.01,1.51,1.97,1.35,1.13,1.44,1.0,1.01,0.85,0.77,0.78,0.64,0.62,0.52,0.55,0.56,0.48,0.43,0.52,0.24,0.2,0.16,0.1,0.03,100.0
07/23/2021,11.68,9.44,8.7,6.26,0.0,6.19,4.87,4.69,3.99,3.41,3.12,1.96,2.8,2.82,2.73,2.53,2.05,1.49,1.94,1.43,1.14,1.36,0.94,0.96,0.85,0.76,0.77,0.67,0.6,0.53,0.54,0.55,0.46,0.42,0.51,0.24,0.19,0.15,0.11,6.18,100.03
07/26/2021,12.46,9.94,9.44,6.63,0.0,6.41,5.26,5.0,4.46,3.68,3.3,2.27,3.01,2.98,2.79,2.62,2.2,1.48,1.99,1.56,1.18,1.39,1.13,1.02,0.92,0.84,0.83,0.71,0.65,0.54,0.57,0.59,0.48,0.41,0.53,0.26,0.25,0.15,0.11,-0.03,100.01
07/27/2021,12.46,9.94,9.44,6.63,0.0,6.41,5.26,5.0,4.46,3.68,3.3,2.27,3.01,2.98,2.79,2.62,2.2,1.48,1.99,1.56,1.18,1.39,1.13,1.02,0.92,0.84,0.83,0.71,0.65,0.54,0.57,0.59,0.48,0.41,0.53,0.26,0.25,0.15,0.11,-0.03,100.01
