,IVV,ESU1,GBTC,n/a,ESZ1,SUM
10/13/2021,86.93,14.79,7.85,4.95,0.0,114.52
10/14/2021,82.31,0.0,12.73,5.27,14.32,114.63
10/15/2021,82.75,0.0,12.29,5.31,14.38,114.73
10/18/2021,82.23,0.0,12.66,5.17,14.34,114.4
10/19/2021,82.23,0.0,12.66,5.17,14.34,114.4
10/20/2021,82.23,0.0,12.66,5.17,14.34,114.4
10/21/2021,82.09,0.0,12.71,5.1,14.29,114.19
10/22/2021,81.4,0.0,13.38,5.02,14.17,113.97
10/25/2021,81.39,0.0,13.33,4.98,14.18,113.88
10/26/2021,81.39,0.0,13.33,4.98,14.18,113.88
10/27/2021,81.44,0.0,13.29,4.99,14.19,113.90999999999998
10/28/2021,81.0,0.0,13.73,4.93,14.1,113.76
10/29/2021,81.33,0.0,13.38,4.93,14.27,113.91
11/01/2021,81.52,0.0,13.14,4.91,14.3,113.87
11/02/2021,81.52,0.0,13.14,4.91,14.3,113.87
11/03/2021,81.31,0.0,13.35,4.89,14.27,113.82
