,NFTY,BICK,FSZ,FGM,FNI,US Dollar,First Trust Chindia ETF,Us Dollars,SUM
07/09/2021,20.93,20.17,19.91,19.68,19.12,0.2,0.0,0.0,100.01
07/12/2021,21.17,19.99,20.14,19.77,18.76,0.17,0.0,0.0,100.0
07/13/2021,21.17,19.99,20.14,19.77,18.76,0.17,0.0,0.0,100.0
07/14/2021,21.14,19.96,20.08,19.88,0.0,0.0,18.74,0.2,100.0
07/15/2021,21.09,19.94,20.19,19.99,0.0,0.0,18.6,0.19,100.0
07/16/2021,21.04,20.0,20.18,19.84,0.0,0.0,18.75,0.19,100.0
07/19/2021,21.29,20.01,20.09,19.7,0.0,0.0,18.74,0.17,100.0
07/20/2021,21.32,19.93,20.24,19.76,0.0,0.0,18.57,0.17,99.99
07/21/2021,21.32,19.93,20.24,19.76,0.0,0.0,18.57,0.17,99.99
07/22/2021,21.38,19.87,20.25,19.79,18.54,0.17,0.0,0.0,100.0
07/23/2021,21.38,19.87,20.25,19.79,18.54,0.17,0.0,0.0,100.0
07/26/2021,21.34,19.79,20.32,19.78,0.0,0.0,18.6,0.17,100.0
07/27/2021,21.5,19.57,20.69,20.08,0.0,0.0,17.98,0.17,99.99
07/28/2021,21.5,19.57,20.69,20.08,0.0,0.0,17.98,0.17,99.99
07/29/2021,21.77,19.39,20.89,20.28,0.0,0.0,17.5,0.17,100.0
