,NFTY,BICK,FSZ,FGM,FNI,US Dollar,First Trust Chindia ETF,Us Dollars,FKU,n/a,SUM
07/09/2021,20.93,20.17,19.91,19.68,19.12,0.2,0.0,0.0,0.0,0.0,100.01
07/12/2021,21.17,19.99,20.14,19.77,18.76,0.17,0.0,0.0,0.0,0.0,100.0
07/13/2021,21.17,19.99,20.14,19.77,18.76,0.17,0.0,0.0,0.0,0.0,100.0
07/14/2021,21.14,19.96,20.08,19.88,0.0,0.0,18.74,0.2,0.0,0.0,100.0
07/15/2021,21.09,19.94,20.19,19.99,0.0,0.0,18.6,0.19,0.0,0.0,100.0
07/16/2021,21.04,20.0,20.18,19.84,0.0,0.0,18.75,0.19,0.0,0.0,100.0
07/19/2021,21.29,20.01,20.09,19.7,0.0,0.0,18.74,0.17,0.0,0.0,100.0
07/20/2021,21.32,19.93,20.24,19.76,0.0,0.0,18.57,0.17,0.0,0.0,99.99
07/21/2021,21.32,19.93,20.24,19.76,0.0,0.0,18.57,0.17,0.0,0.0,99.99
07/22/2021,21.38,19.87,20.25,19.79,18.54,0.17,0.0,0.0,0.0,0.0,100.0
07/23/2021,21.38,19.87,20.25,19.79,18.54,0.17,0.0,0.0,0.0,0.0,100.0
07/26/2021,21.34,19.79,20.32,19.78,0.0,0.0,18.6,0.17,0.0,0.0,100.0
07/27/2021,21.5,19.57,20.69,20.08,0.0,0.0,17.98,0.17,0.0,0.0,99.99
07/28/2021,21.5,19.57,20.69,20.08,0.0,0.0,17.98,0.17,0.0,0.0,99.99
07/29/2021,21.77,19.39,20.89,20.28,0.0,0.0,17.5,0.17,0.0,0.0,100.0
07/30/2021,21.9,19.3,21.2,20.35,0.0,0.0,17.07,0.18,0.0,0.0,100.0
08/02/2021,21.52,19.6,20.99,20.09,0.0,0.0,17.63,0.17,0.0,0.0,100.0
08/03/2021,21.71,19.22,21.17,20.05,17.68,0.17,0.0,0.0,0.0,0.0,100.0
08/04/2021,21.71,19.22,21.17,20.05,17.68,0.17,0.0,0.0,0.0,0.0,100.0
08/05/2021,21.71,19.22,21.17,20.05,17.68,0.17,0.0,0.0,0.0,0.0,100.0
08/06/2021,22.01,19.18,21.07,19.97,0.0,0.0,17.6,0.17,0.0,0.0,100.0
08/26/2021,20.72,20.53,19.43,19.36,19.8,0.0,0.0,0.0,0.0,0.0,99.84
09/03/2021,20.46,20.24,19.64,19.89,0.0,0.0,0.0,0.0,19.73,0.04,100.0
09/07/2021,20.61,19.89,19.24,19.52,0.0,0.0,0.0,0.0,19.44,1.29,99.99
09/08/2021,20.61,19.89,19.24,19.52,0.0,0.0,0.0,0.0,19.44,1.29,99.99
09/09/2021,20.61,19.89,19.24,19.52,0.0,0.0,0.0,0.0,19.44,1.29,99.99
09/10/2021,20.62,20.46,19.49,19.8,0.0,0.0,0.0,0.0,19.6,0.04,100.01
09/13/2021,20.84,20.1,19.52,19.92,0.0,0.0,0.0,0.0,19.61,0.01,100.0
09/14/2021,20.84,20.1,19.52,19.92,0.0,0.0,0.0,0.0,19.61,0.01,100.0
09/15/2021,20.8,20.1,19.52,19.87,0.0,0.0,0.0,0.0,19.71,0.01,100.01000000000002
09/16/2021,20.88,19.93,19.46,19.93,0.0,0.0,0.0,0.0,19.8,0.01,100.01
09/17/2021,20.9,19.81,19.61,19.98,0.0,0.0,0.0,0.0,19.68,0.01,99.99
09/20/2021,21.25,19.66,19.55,19.79,0.0,0.0,0.0,0.0,19.74,0.01,100.0
09/21/2021,21.24,19.78,19.49,19.81,0.0,0.0,0.0,0.0,19.67,0.01,100.0
09/22/2021,21.24,19.78,19.49,19.81,0.0,0.0,0.0,0.0,19.67,0.01,100.0
