,TFDXX,HOLD,Fidelity® Inv MM Fds Government III,NYT,INSG,AKTS,GNOG,REGI,SAVE,SABR,ALX,PING,FTOC,RNG,NFE,LTC,NMR,UEIC,EVER,ZG,DOYU,MSGE,BEPC,TREE,HBC2.,MNST,SDGR,FFIV,DNOW,WBK,HAS,FCFS,ETSY,MRCY,LFC,SAIL,ROAD,GO,CSN.MX,CWEN,PTC,PVH,OLED,VZ,FSLY,BBY,MKC,FIVE,MKTX,BEKE,WH,PCG,EHTH,APPF,GRUB,Cash,FCGXX,AI,BE,MFG,GNW,TPIC,ADNT,HAL,AL,CTXS,TDS,QSR,SPOT,BFAM,ELAN,RDFN,NOV,NLSN,ARMK,SNA,PLAN,DY,DAN,AXL,CCMP,T,APPN,POLY,AYX,ZTO,TTWO,LMND,LZB,COUP,LOGN.SW,n/a,VRTX,CVNA,RIOT,GDS,FUN,POSH,BYND,TDOC,DXC,RXT,WU,HNST,LYFT,RIO,FRPT,TER,CHRW,COUR,ABEV,ALRM,AEO,COTY,HCSG,JMIA,YEXT,WHR,BBD,PRPL,NWL,MMS,KN,FMC,MKSI,INTC,MBUU,PUBM,AVT,CRI,HPQ,SUM
07/09/2021,237.79,38.75,5.42,-0.03,-0.84,-1.05,-1.18,-1.21,-1.22,-1.22,-1.34,-1.35,-1.36,-1.42,-1.49,-1.51,-1.51,-1.51,-1.57,-1.62,-1.63,-1.64,-1.65,-1.65,-1.7,-1.78,-1.79,-1.85,-1.86,-1.89,-1.9,-1.94,-1.94,-1.94,-1.95,-1.97,-2.0,-2.04,-2.05,-2.08,-2.12,-2.15,-2.16,-2.22,-2.22,-2.27,-2.61,-2.72,-2.73,-2.76,-2.91,-3.07,-3.07,-3.43,-3.51,-83.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000004
09/07/2021,201.1,32.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,-0.77,0.0,-1.28,0.0,0.0,0.0,0.0,-2.19,0.0,0.0,0.0,0.0,-2.08,0.0,0.0,0.0,0.0,0.0,-1.58,0.0,0.0,0.0,0.0,-0.55,0.0,-1.72,-0.09,-1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.56,-0.17,0.0,17.23,-0.42,-1.08,-1.19,-1.2,-1.23,-1.24,-1.33,-1.34,-1.35,-1.42,-1.59,-1.64,-1.67,-1.69,-1.69,-1.71,-1.73,-1.73,-1.87,-1.96,-2.04,-2.06,-2.13,-2.17,-2.27,-2.34,-2.44,-2.5,-2.54,-2.64,-2.93,-2.96,-3.02,-6.78,-66.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/08/2021,201.1,32.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,-0.77,0.0,-1.28,0.0,0.0,0.0,0.0,-2.19,0.0,0.0,0.0,0.0,-2.08,0.0,0.0,0.0,0.0,0.0,-1.58,0.0,0.0,0.0,0.0,-0.55,0.0,-1.72,-0.09,-1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.56,-0.17,0.0,17.23,-0.42,-1.08,-1.19,-1.2,-1.23,-1.24,-1.33,-1.34,-1.35,-1.42,-1.59,-1.64,-1.67,-1.69,-1.69,-1.71,-1.73,-1.73,-1.87,-1.96,-2.04,-2.06,-2.13,-2.17,-2.27,-2.34,-2.44,-2.5,-2.54,-2.64,-2.93,-2.96,-3.02,-6.78,-66.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/09/2021,201.1,32.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,-0.77,0.0,-1.28,0.0,0.0,0.0,0.0,-2.19,0.0,0.0,0.0,0.0,-2.08,0.0,0.0,0.0,0.0,0.0,-1.58,0.0,0.0,0.0,0.0,-0.55,0.0,-1.72,-0.09,-1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.56,-0.17,0.0,17.23,-0.42,-1.08,-1.19,-1.2,-1.23,-1.24,-1.33,-1.34,-1.35,-1.42,-1.59,-1.64,-1.67,-1.69,-1.69,-1.71,-1.73,-1.73,-1.87,-1.96,-2.04,-2.06,-2.13,-2.17,-2.27,-2.34,-2.44,-2.5,-2.54,-2.64,-2.93,-2.96,-3.02,-6.78,-66.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/10/2021,198.5,32.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,-0.76,0.0,-1.28,0.0,0.0,0.0,0.0,-2.13,0.0,0.0,0.0,0.0,-2.04,0.0,0.0,0.0,0.0,0.0,-1.53,0.0,0.0,0.0,0.0,-0.53,0.0,-1.67,-0.08,-1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.45,-0.17,0.0,17.01,-0.42,-1.05,-1.19,-1.18,-1.21,-1.23,-1.29,-1.29,-1.35,-1.38,-1.56,-1.66,-1.65,-1.66,-1.68,-1.7,-1.68,-1.71,-1.8,-1.93,-2.04,-2.01,-2.09,-2.17,-2.23,-2.26,-2.46,-2.43,-2.55,-2.59,-2.87,-2.91,-3.0,-6.71,-64.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/13/2021,200.08,32.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,-0.75,0.0,-1.24,0.0,0.0,0.0,0.0,-2.14,0.0,0.0,0.0,0.0,-2.05,0.0,0.0,0.0,0.0,0.0,-1.53,0.0,0.0,0.0,0.0,-2.66,0.0,-1.67,-0.09,-1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.54,-0.17,0.0,17.14,-0.41,-1.01,-1.19,-1.2,-1.15,-1.15,-1.27,-1.28,-1.4,-1.38,-1.58,-1.64,-1.66,-1.67,-1.63,-1.66,-1.71,-1.71,-1.83,-1.9,-2.12,-1.95,-2.04,-2.15,-2.26,-2.17,-2.34,-2.43,-2.52,-2.61,-2.82,-2.83,-2.89,-6.61,-65.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/14/2021,222.76,35.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.18,-0.83,0.0,-1.36,0.0,0.0,0.0,0.0,-2.37,0.0,0.0,0.0,0.0,-2.25,0.0,0.0,0.0,0.0,0.0,-1.69,0.0,0.0,0.0,0.0,-2.9,0.0,-1.84,-0.09,-1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.04,-0.18,0.0,19.08,-0.46,-1.11,-1.34,0.0,-1.29,-1.78,-1.41,-1.44,-1.58,-2.61,-1.76,-1.8,-1.81,-1.84,-3.09,-1.86,-1.85,-1.87,-2.01,-2.11,-2.29,-2.89,-2.26,-2.42,-2.5,-2.4,-2.56,-2.71,-2.83,-3.72,-3.9,-4.18,-3.26,-7.37,-70.45,-1.03,-1.2,-1.43,-1.45,-1.62,-1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
09/15/2021,222.76,35.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.18,-0.83,0.0,-1.36,0.0,0.0,0.0,0.0,-2.37,0.0,0.0,0.0,0.0,-2.25,0.0,0.0,0.0,0.0,0.0,-1.69,0.0,0.0,0.0,0.0,-2.9,0.0,-1.84,-0.09,-1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.04,-0.18,0.0,19.08,-0.46,-1.11,-1.34,0.0,-1.29,-1.78,-1.41,-1.44,-1.58,-2.61,-1.76,-1.8,-1.81,-1.84,-3.09,-1.86,-1.85,-1.87,-2.01,-2.11,-2.29,-2.89,-2.26,-2.42,-2.5,-2.4,-2.56,-2.71,-2.83,-3.72,-3.9,-4.18,-3.26,-7.37,-70.45,-1.03,-1.2,-1.43,-1.45,-1.62,-1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
09/16/2021,204.16,32.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-0.76,0.0,-1.27,0.0,0.0,0.0,0.0,-2.2,0.0,0.0,0.0,0.0,-2.06,0.0,0.0,0.0,0.0,0.0,-1.59,0.0,0.0,0.0,0.0,-2.57,0.0,-2.68,-0.09,-1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.64,-0.16,0.0,17.37,-0.41,-1.01,0.0,0.0,-1.22,-1.76,-1.37,-1.31,-1.46,-2.39,-1.63,-1.63,-1.69,-1.67,-2.86,0.0,-0.85,-1.71,-1.83,0.0,-2.1,-2.78,-2.11,-2.19,-2.3,-2.14,-2.41,-2.41,-2.57,-3.32,-3.41,-3.78,-2.87,-6.63,-54.23,-0.96,-2.18,-1.22,-1.29,-1.52,-1.72,-0.94,-1.16,-1.2,-1.23,-1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/17/2021,195.61,31.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.05,0.0,0.0,-1.18,0.0,0.0,0.0,0.0,-2.05,0.0,0.0,0.0,0.0,-1.96,0.0,0.0,0.0,0.0,0.0,-1.51,0.0,0.0,0.0,0.0,-2.45,0.0,-2.53,-0.08,-1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.42,-0.15,0.0,16.64,-0.39,-0.94,0.0,0.0,-1.15,-1.67,-1.29,-1.24,-1.4,-2.22,-1.55,-1.56,-1.6,-1.58,-3.39,0.0,-0.8,-1.6,-1.73,0.0,-1.95,-2.63,-1.98,-2.04,-2.19,-1.99,-2.24,-2.28,-2.42,-3.17,-3.18,-3.56,-2.73,-6.34,-47.43,-0.91,-2.11,-1.15,-1.22,0.0,-1.61,-1.59,-1.07,-1.13,-1.18,-1.35,-0.85,-1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04000000000002
