,AAPL,MSFT,AMZN,OXY,PFE,WFC,MGM,HBAN,LUMN,US Dollar,GS,LEN,FB,GOOGL,GOOG,CPB,NTRS,JNPR,NTAP,NLY,VRT,T,D,USB,BRK.B,DVA,CAH,ZION,JPM,JNJ,BERY,V,UNH,CVS,ARW,ABBV,TMO,PG,MDT,VLY,PB,ABT,MRK,LLY,RRC,DHR,ISRG,INTC,AMGN,BMY,DBI,OI,STNG,CAR,ESI,MX,PAG,UNFI,BCEI,LAZ,REGN,THG,R,GPRE,ADS,AXL,DHT,ESRT,GILD,IDXX,MGY,MUR,NRZ,ZTS,AVT,HTH,TTMI,SYK,PKI,PDCE,OVV,CXP,GES,EOG,FANG,ANTM,ABC,ASB,ILMN,SUN,MRO,LGND,HOMB,CNC,BSM,ALGN,COP,XOM,REGI,PXD,EW,CI,BIIB,BDX,ALB,ABMD,NGVT,INT,VVV,RAD,PSX,MPC,MAG.TO,AVYA,FNV.TO,ECL,DK,CTVA,CNX,CVX,APA,CC,RGLD,VLO,HCC,RPM,WPM.TO,PPG,CF,BSX,KL.TO,DD,FMC,HFC,NEM,WLK,AGI.TO,SIL.TO,SSL.TO,RS,NUE,VRTX,LYB,DOW,LAUR,ABX.TO,SSRM,EMN,FR.TO,HCA,ELD.TO,SVM.TO,RMD,PVG.TO,PBF,IQV,PAAS.TO,FCX,DRD,AU,A,SPCE,BK,PARR,K.TO,NTCT,MTD,FL9.,FVI.TO,NBR,BVN.,WAT,CRL,FOSL,GEF,HOLX,STAR,LH,MCK,STE,VGR,DGX,WELL,TFX,ATCO,MIC,IHRT,BFAM,BIO,VTRS,TGI,TGT,SFL,SRG,JWN,SGMS,LYFT,HXL,HSIC,DG,AUB,AAP,WRE,SBUX,PEB,Us Dollars,Black Stone Minerals LP Partnership Units,CVI,INCY,FRT,AKR,PDM,JBGS,MGP,MCD,HLT,MAR,KW,PNC,GE,MTB,ATUS,AGNC,DXC,TSLA,NVDA,ASO,FTI,NXST,SWBI,ACM,HRB,BIG,QRTEA,SYF,SLG,MAXR,TEN,RF,GPI,TMX,VST,AMCX,NEP,BXS,MDRX,COF,KMT,ACI,UBSI,NOMD,AXS,AR,AA,MPLN,CRM,SRCL,TMHC,UHS,WY,ZBH,EAF,BBBY,CTLT,ABCB,XRAY,EXPE,RTX,COO,KO,WST,IBM,BAX,CERN,CYH,ENPH,DXCM,PRGO,SJM,ORLY,n/a,HUM,MRNA,AZO,SUM
07/09/2021,4.94,4.49,3.44,2.98,2.58,2.37,2.31,2.25,2.12,2.08,2.04,1.98,1.77,1.6,1.57,1.45,1.45,1.44,1.42,1.36,1.36,1.34,1.17,1.16,1.14,1.14,1.12,1.04,1.0,0.97,0.9,0.88,0.85,0.82,0.78,0.62,0.58,0.51,0.5,0.5,0.42,0.41,0.4,0.39,0.39,0.37,0.34,0.34,0.32,0.32,0.32,0.31,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.75
07/12/2021,5.04,4.48,3.47,2.95,2.6,2.39,2.33,2.29,2.14,2.04,2.05,1.96,1.75,1.59,1.57,1.45,1.46,1.46,1.43,1.37,1.35,1.31,1.17,1.18,1.15,1.15,1.12,1.05,1.01,0.98,0.91,0.87,0.85,0.82,0.79,0.62,0.58,0.52,0.5,0.51,0.42,0.41,0.4,0.39,0.42,0.37,0.34,0.34,0.32,0.32,0.32,0.32,0.29,0.28,0.3,0.27,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.25,0.25,0.24,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.24,0.22,0.23,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.21,0.2,0.2,0.2,0.19,0.18,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.2,0.18,0.18,0.17,0.17,0.18,0.18,0.19,0.17,0.18,0.19,0.18,0.18,0.18,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.13
07/13/2021,5.04,4.48,3.47,2.95,2.6,2.39,2.33,2.29,2.14,2.04,2.05,1.96,1.75,1.59,1.57,1.45,1.46,1.46,1.43,1.37,1.35,1.31,1.17,1.18,1.15,1.15,1.12,1.05,1.01,0.98,0.91,0.87,0.85,0.82,0.79,0.62,0.58,0.52,0.5,0.51,0.42,0.41,0.4,0.39,0.42,0.37,0.34,0.34,0.32,0.32,0.32,0.32,0.29,0.28,0.3,0.27,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.25,0.25,0.24,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.24,0.22,0.23,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.21,0.2,0.2,0.2,0.19,0.18,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.2,0.18,0.18,0.17,0.17,0.18,0.18,0.19,0.17,0.18,0.19,0.18,0.18,0.18,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.13
07/14/2021,5.04,4.48,3.47,2.95,2.6,2.39,2.33,2.3,2.14,0.0,2.05,1.96,1.75,1.59,1.57,1.45,1.46,1.46,1.43,1.37,1.35,1.31,1.17,1.18,1.15,1.15,1.12,1.05,1.01,0.98,0.91,0.88,0.85,0.82,0.79,0.62,0.58,0.52,0.5,0.51,0.42,0.41,0.4,0.39,0.42,0.37,0.34,0.34,0.32,0.33,0.32,0.32,0.29,0.28,0.3,0.27,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.25,0.25,0.24,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.23,0.22,0.0,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.21,0.2,0.2,0.2,0.19,0.18,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.2,0.18,0.18,0.17,0.17,0.18,0.18,0.19,0.17,0.18,0.19,0.18,0.18,0.18,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.0,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.0,0.12,0.0,0.12,0.0,0.12,0.12,0.13,0.13,0.0,0.0,0.0,1.99,0.22,0.16,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.12
07/15/2021,5.03,4.48,3.48,2.93,2.61,2.41,2.33,2.33,2.13,0.0,2.1,1.96,1.77,1.61,1.58,1.45,1.47,1.45,1.43,1.38,1.35,1.31,1.18,1.19,1.16,1.17,1.13,1.06,1.03,0.98,0.91,0.87,0.86,0.82,0.79,0.63,0.58,0.52,0.51,0.51,0.42,0.41,0.4,0.39,0.41,0.37,0.35,0.34,0.32,0.33,0.32,0.32,0.28,0.28,0.3,0.27,0.29,0.27,0.27,0.27,0.27,0.28,0.26,0.27,0.26,0.24,0.23,0.24,0.23,0.24,0.25,0.24,0.24,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.0,0.23,0.22,0.21,0.22,0.21,0.21,0.21,0.22,0.21,0.23,0.21,0.21,0.21,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.17,0.17,0.18,0.19,0.2,0.17,0.18,0.19,0.18,0.18,0.17,0.19,0.16,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.14,0.16,0.17,0.16,0.17,0.16,0.0,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.16,0.14,0.15,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.12,0.13,0.12,0.0,0.0,0.0,2.0,0.22,0.16,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4
07/16/2021,5.12,4.58,3.47,2.97,2.63,2.38,2.3,2.3,2.13,0.0,2.1,1.92,1.78,1.63,1.6,1.43,1.47,1.47,1.4,1.33,1.36,1.32,1.17,1.19,1.16,1.15,1.13,1.05,1.02,0.98,0.91,0.9,0.87,0.83,0.79,0.63,0.59,0.52,0.51,0.5,0.42,0.41,0.41,0.39,0.42,0.37,0.35,0.35,0.33,0.33,0.32,0.31,0.26,0.27,0.3,0.27,0.29,0.27,0.26,0.27,0.27,0.27,0.26,0.26,0.26,0.23,0.23,0.24,0.24,0.24,0.25,0.24,0.23,0.25,0.25,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.23,0.0,0.23,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.21,0.23,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.21,0.2,0.18,0.19,0.2,0.21,0.2,0.19,0.19,0.18,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.17,0.18,0.18,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.19,0.16,0.19,0.17,0.17,0.17,0.17,0.15,0.17,0.17,0.17,0.17,0.17,0.17,0.13,0.16,0.16,0.16,0.17,0.16,0.0,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.16,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.0,0.13,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.12,0.13,0.12,0.12,0.12,0.0,2.01,0.22,0.15,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.41
07/19/2021,5.2,4.56,3.4,2.65,2.62,2.44,2.18,2.28,2.07,0.0,2.04,1.9,1.7,1.59,1.57,1.4,1.41,1.46,1.34,1.27,1.28,1.33,1.2,1.24,1.17,1.15,1.13,1.06,1.03,0.99,0.91,0.93,0.88,0.84,0.79,0.63,0.59,0.53,0.5,0.51,0.43,0.41,0.41,0.39,0.39,0.38,0.35,0.34,0.33,0.33,0.3,0.31,0.25,0.28,0.3,0.27,0.29,0.26,0.24,0.27,0.28,0.28,0.26,0.27,0.25,0.22,0.22,0.24,0.24,0.24,0.23,0.22,0.23,0.25,0.25,0.23,0.23,0.23,0.23,0.21,0.21,0.23,0.22,0.22,0.21,0.24,0.23,0.23,0.22,0.22,0.21,0.2,0.22,0.23,0.0,0.23,0.21,0.21,0.22,0.2,0.21,0.22,0.21,0.21,0.23,0.2,0.2,0.21,0.2,0.18,0.19,0.19,0.2,0.2,0.21,0.21,0.18,0.19,0.2,0.2,0.18,0.19,0.2,0.17,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.2,0.19,0.19,0.18,0.18,0.19,0.17,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.19,0.16,0.19,0.17,0.17,0.18,0.17,0.14,0.17,0.18,0.17,0.18,0.18,0.17,0.0,0.16,0.15,0.17,0.17,0.16,0.0,0.15,0.13,0.16,0.15,0.14,0.13,0.14,0.14,0.16,0.14,0.15,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.13,0.13,0.12,0.12,0.0,1.96,0.22,0.14,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3
07/20/2021,5.23,4.65,3.41,2.58,2.69,2.45,2.15,2.26,2.04,0.0,2.04,1.92,1.72,1.62,1.6,1.44,1.43,1.46,1.34,1.3,1.3,1.36,1.24,1.23,1.19,1.17,1.16,1.04,1.02,1.0,0.92,0.95,0.9,0.85,0.79,0.65,0.61,0.55,0.51,0.51,0.43,0.42,0.42,0.4,0.38,0.39,0.36,0.35,0.34,0.34,0.3,0.3,0.24,0.28,0.3,0.27,0.29,0.26,0.23,0.27,0.28,0.28,0.26,0.26,0.25,0.22,0.22,0.24,0.25,0.25,0.23,0.21,0.23,0.26,0.25,0.23,0.23,0.23,0.24,0.21,0.21,0.23,0.22,0.21,0.21,0.25,0.23,0.23,0.22,0.22,0.2,0.2,0.22,0.23,0.0,0.23,0.21,0.21,0.22,0.19,0.21,0.22,0.21,0.22,0.23,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.2,0.21,0.21,0.17,0.19,0.19,0.2,0.18,0.19,0.2,0.17,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.16,0.18,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.16,0.19,0.17,0.16,0.18,0.17,0.13,0.18,0.17,0.16,0.17,0.17,0.18,0.0,0.16,0.15,0.16,0.17,0.17,0.0,0.15,0.13,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.13,0.13,0.12,0.12,0.0,1.0,0.22,0.14,0.12,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.85
07/21/2021,5.23,4.65,3.41,2.58,2.69,2.45,2.15,2.26,2.04,0.0,2.04,1.92,1.72,1.62,1.6,1.44,1.43,1.46,1.34,1.3,1.3,1.36,1.24,1.23,1.19,1.17,1.16,1.04,1.02,1.0,0.92,0.95,0.9,0.85,0.79,0.65,0.61,0.55,0.51,0.51,0.43,0.42,0.42,0.4,0.38,0.39,0.36,0.35,0.34,0.34,0.3,0.3,0.24,0.28,0.3,0.27,0.29,0.26,0.23,0.27,0.28,0.28,0.26,0.26,0.25,0.22,0.22,0.24,0.25,0.25,0.23,0.21,0.23,0.26,0.25,0.23,0.23,0.23,0.24,0.21,0.21,0.23,0.22,0.21,0.21,0.25,0.23,0.23,0.22,0.22,0.2,0.2,0.22,0.23,0.0,0.23,0.21,0.21,0.22,0.19,0.21,0.22,0.21,0.22,0.23,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.2,0.21,0.21,0.17,0.19,0.19,0.2,0.18,0.19,0.2,0.17,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.16,0.18,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.16,0.19,0.17,0.16,0.18,0.17,0.13,0.18,0.17,0.16,0.17,0.17,0.18,0.0,0.16,0.15,0.16,0.17,0.17,0.0,0.15,0.13,0.16,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.13,0.13,0.12,0.12,0.0,1.0,0.22,0.14,0.12,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.85
07/22/2021,5.13,4.63,3.42,2.49,2.7,2.4,2.1,2.18,2.04,1.86,2.0,1.94,1.71,1.6,1.59,1.47,1.38,1.42,1.35,1.28,1.32,1.34,1.23,1.18,1.18,1.16,1.15,1.01,1.0,1.01,0.92,0.92,0.88,0.85,0.79,0.64,0.62,0.55,0.51,0.5,0.42,0.43,0.42,0.41,0.37,0.4,0.35,0.35,0.34,0.34,0.28,0.3,0.24,0.27,0.3,0.27,0.29,0.26,0.22,0.26,0.29,0.27,0.25,0.27,0.24,0.22,0.22,0.24,0.25,0.26,0.22,0.2,0.23,0.26,0.25,0.22,0.23,0.23,0.24,0.19,0.2,0.22,0.2,0.2,0.2,0.24,0.23,0.22,0.23,0.21,0.2,0.22,0.21,0.23,0.22,0.22,0.21,0.2,0.21,0.19,0.21,0.22,0.21,0.22,0.23,0.21,0.2,0.2,0.2,0.2,0.18,0.18,0.18,0.2,0.21,0.21,0.17,0.19,0.19,0.2,0.18,0.18,0.2,0.16,0.19,0.2,0.19,0.2,0.18,0.19,0.2,0.18,0.19,0.18,0.18,0.17,0.18,0.15,0.18,0.18,0.19,0.18,0.17,0.18,0.19,0.18,0.18,0.18,0.15,0.19,0.17,0.16,0.18,0.17,0.12,0.18,0.17,0.16,0.17,0.17,0.18,0.12,0.16,0.14,0.16,0.17,0.17,0.13,0.14,0.12,0.15,0.15,0.15,0.13,0.14,0.14,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.13,0.0,0.13,0.14,0.12,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.12,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.59
