,CYH,HIBB,PBI,IDT,SIG,VRTV,B7S.,TUP,LPI,TGH,COWN,MYRG,DFIN,CAI,CASH,CTRN,CUBI,LDL,ENVA,RLGY,GCO,ANF,MOD,SCHN,OMI,ARCB,LC,CNDT,TMST,RRD,BGFV,HZO,VSTO,HVT,HOME,ASIX,TSE,BCEI,MGI,BOOT,SXC,FLGT,HOV,GPRE,SM,ALTO,BXC,RVLV,USCR,SSP,SAVA,MDRX,TWI,RILY,WOW,AMRK,CCRN,CAL,MVBF,TITN,AVID,BBBY,GPI,TTI,TCS,UFS,RYAM,MDP,LE,POLY,UNFI,HRI,GBX,JYNT,NAVI,GIII,KIRK,YELL,CDMO,TROX,SNBR,CEIX,EAT,ANDE,CSTM,AMEH,MESA,CVGI,FOSL,GVA,TBK,DY,RIOT,PIPR,ABG,COOP,NBR,CPE,ROF.,SHYF,OPY,OSTK,DBD,BNED,STRL,OPRX,BKE,DDS,RM,GMS,ZEUS,GCI,BZH,EVC,AMCX,BLMN,AOSL,CLNE,CRAI,ORBC,MSTR,CCS,EVRI,MATX,BIG,STC,IEA,MDCA,MARA,ATKR,BSIG,GRWG,IIIN,SLCA,MATW,DLX,ETH,CHUY,LOVE,CONN,SCVL,SKT,OCN,FNKO,EXTR,KRA,CADE,BGCP,CALX,ABCB,KTB,PRTY,WRLD,FBP,REZI,DF3.,BSET,TEN,C6M.,GES,HAFC,OI,BNGO,ADNT,VCEL,HY,HEES,MVIS,MAXR,MODV,UIS,CNR,UCTT,WCC,AVNW,AVXL,PRIM,NX,MHO,MSBI,BLNK,REVG,MTW,RUTH,GHC,BCC,CUTR,REGI,LQDT,TPIC,ICHR,FFIC,ASPN,FIX,NSIT,BJRI,TEX,ATLC,VUZI,RICK,RAVN,THC,RYI,ONEW,MMED.NE,AX,KFY,NPO,MCB,BKD,KFRC,CORE,NLS,GTLS,MLHR,AGPXX,AMRC,EFSC,XPEL,Cash/Receivables/Payables,Cash,SUM
07/09/2021,0.58,0.52,0.52,0.51,0.51,0.47,0.45,0.44,0.44,0.44,0.44,0.43,0.41,0.41,0.41,0.4,0.4,0.39,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.42
07/12/2021,0.6,0.55,0.58,0.55,0.49,0.5,0.46,0.44,0.42,0.42,0.43,0.44,0.42,0.41,0.41,0.41,0.41,0.39,0.38,0.37,0.38,0.36,0.39,0.38,0.38,0.36,0.34,0.35,0.35,0.31,0.35,0.33,0.34,0.33,0.32,0.33,0.32,0.3,0.31,0.3,0.32,0.29,0.33,0.31,0.29,0.3,0.3,0.29,0.28,0.28,0.29,0.28,0.28,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.31,0.27,0.25,0.25,0.26,0.25,0.26,0.23,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.22,0.21,0.22,0.25,0.22,0.22,0.22,0.25,0.21,0.23,0.21,0.21,0.22,0.2,0.19,0.2,0.22,0.22,0.2,0.2,0.21,0.21,0.19,0.22,0.2,0.21,0.2,0.19,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.18,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.2,0.19,0.19,0.18,0.16,0.17,0.18,0.18,0.16,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.18,0.17,0.17,0.17,0.16,0.17,0.18,0.17,0.17,0.15,0.17,0.17,0.16,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.14,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.0,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.72
07/13/2021,0.6,0.55,0.58,0.55,0.49,0.5,0.46,0.44,0.42,0.42,0.43,0.44,0.42,0.41,0.41,0.41,0.41,0.39,0.38,0.37,0.38,0.36,0.39,0.38,0.38,0.36,0.34,0.35,0.35,0.31,0.35,0.33,0.34,0.33,0.32,0.33,0.32,0.3,0.31,0.3,0.32,0.29,0.33,0.31,0.29,0.3,0.3,0.29,0.28,0.28,0.29,0.28,0.28,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.31,0.27,0.25,0.25,0.26,0.25,0.26,0.23,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.22,0.21,0.22,0.25,0.22,0.22,0.22,0.25,0.21,0.23,0.21,0.21,0.22,0.2,0.19,0.2,0.22,0.22,0.2,0.2,0.21,0.21,0.19,0.22,0.2,0.21,0.2,0.19,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.18,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.2,0.19,0.19,0.18,0.16,0.17,0.18,0.18,0.16,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.18,0.17,0.17,0.17,0.16,0.17,0.18,0.17,0.17,0.15,0.17,0.17,0.16,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.14,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.0,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.72
07/14/2021,0.6,0.55,0.58,0.55,0.49,0.5,0.46,0.44,0.42,0.42,0.43,0.44,0.42,0.41,0.41,0.41,0.41,0.39,0.38,0.37,0.38,0.36,0.39,0.38,0.38,0.36,0.34,0.35,0.35,0.31,0.35,0.33,0.34,0.33,0.32,0.33,0.32,0.3,0.31,0.3,0.32,0.29,0.33,0.31,0.29,0.3,0.3,0.29,0.28,0.28,0.29,0.28,0.28,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.31,0.27,0.25,0.25,0.26,0.25,0.26,0.23,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.22,0.21,0.22,0.25,0.22,0.22,0.22,0.25,0.21,0.23,0.21,0.21,0.22,0.2,0.19,0.2,0.22,0.22,0.2,0.2,0.21,0.21,0.19,0.22,0.2,0.21,0.2,0.19,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.18,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.2,0.19,0.19,0.18,0.16,0.17,0.18,0.18,0.16,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.18,0.17,0.17,0.17,0.16,0.17,0.18,0.17,0.17,0.15,0.17,0.17,0.16,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.14,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.0,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.72
07/15/2021,0.6,0.54,0.56,0.56,0.49,0.49,0.47,0.44,0.4,0.43,0.44,0.44,0.42,0.4,0.41,0.41,0.41,0.38,0.38,0.37,0.38,0.36,0.38,0.37,0.38,0.36,0.34,0.35,0.35,0.33,0.34,0.34,0.34,0.33,0.32,0.33,0.32,0.29,0.32,0.3,0.31,0.29,0.33,0.31,0.28,0.3,0.3,0.29,0.28,0.28,0.3,0.28,0.29,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.3,0.27,0.24,0.25,0.26,0.25,0.26,0.23,0.24,0.25,0.26,0.25,0.26,0.24,0.23,0.23,0.22,0.22,0.22,0.26,0.23,0.22,0.23,0.26,0.21,0.23,0.21,0.21,0.22,0.2,0.18,0.21,0.22,0.22,0.2,0.2,0.21,0.21,0.19,0.22,0.2,0.21,0.2,0.19,0.2,0.2,0.21,0.19,0.2,0.19,0.2,0.19,0.19,0.2,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.19,0.18,0.19,0.18,0.16,0.16,0.18,0.18,0.16,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.18,0.17,0.18,0.17,0.16,0.17,0.18,0.17,0.17,0.15,0.17,0.17,0.16,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.0,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.0,0.15,0.0,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.75
07/16/2021,0.59,0.54,0.56,0.57,0.49,0.49,0.47,0.44,0.39,0.43,0.44,0.45,0.42,0.41,0.41,0.41,0.4,0.39,0.37,0.36,0.38,0.36,0.39,0.37,0.37,0.37,0.34,0.35,0.35,0.32,0.33,0.34,0.34,0.34,0.33,0.34,0.33,0.29,0.31,0.31,0.31,0.28,0.3,0.3,0.28,0.29,0.28,0.3,0.29,0.28,0.32,0.28,0.28,0.26,0.27,0.27,0.28,0.27,0.27,0.27,0.27,0.26,0.3,0.27,0.24,0.26,0.26,0.26,0.25,0.23,0.24,0.26,0.26,0.25,0.26,0.24,0.22,0.22,0.22,0.21,0.23,0.25,0.23,0.22,0.23,0.23,0.21,0.22,0.21,0.21,0.22,0.21,0.18,0.21,0.23,0.21,0.2,0.2,0.21,0.21,0.19,0.23,0.2,0.22,0.2,0.18,0.2,0.2,0.21,0.19,0.2,0.19,0.19,0.18,0.19,0.2,0.19,0.17,0.19,0.19,0.17,0.18,0.18,0.19,0.18,0.19,0.19,0.16,0.16,0.18,0.18,0.16,0.18,0.17,0.18,0.18,0.18,0.18,0.16,0.18,0.17,0.18,0.17,0.16,0.17,0.18,0.17,0.17,0.15,0.17,0.17,0.16,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.0,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.0,0.14,0.0,0.0,0.14,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.66
07/19/2021,0.58,0.52,0.55,0.56,0.47,0.51,0.48,0.43,0.35,0.43,0.44,0.46,0.42,0.42,0.42,0.4,0.41,0.4,0.38,0.37,0.37,0.34,0.38,0.39,0.38,0.38,0.33,0.35,0.36,0.33,0.32,0.35,0.34,0.34,0.34,0.36,0.32,0.27,0.31,0.3,0.32,0.26,0.3,0.31,0.26,0.29,0.27,0.28,0.29,0.28,0.26,0.28,0.28,0.26,0.29,0.27,0.28,0.26,0.28,0.27,0.27,0.25,0.3,0.24,0.24,0.26,0.26,0.26,0.25,0.22,0.24,0.26,0.26,0.25,0.27,0.23,0.22,0.22,0.23,0.22,0.23,0.26,0.22,0.22,0.22,0.24,0.22,0.23,0.2,0.21,0.23,0.21,0.17,0.21,0.23,0.22,0.19,0.18,0.22,0.22,0.19,0.21,0.19,0.22,0.2,0.18,0.2,0.2,0.22,0.2,0.21,0.2,0.19,0.18,0.18,0.19,0.18,0.16,0.19,0.19,0.16,0.18,0.17,0.19,0.18,0.2,0.19,0.17,0.15,0.19,0.18,0.14,0.19,0.16,0.19,0.18,0.18,0.17,0.16,0.17,0.17,0.18,0.17,0.16,0.17,0.18,0.17,0.17,0.15,0.17,0.17,0.16,0.18,0.17,0.16,0.15,0.16,0.16,0.16,0.15,0.17,0.16,0.15,0.15,0.16,0.15,0.16,0.0,0.0,0.16,0.14,0.15,0.15,0.16,0.14,0.0,0.16,0.16,0.15,0.16,0.0,0.16,0.15,0.14,0.15,0.0,0.15,0.16,0.14,0.0,0.14,0.16,0.15,0.15,0.15,0.14,0.15,0.16,0.0,0.0,0.15,0.14,0.15,0.15,0.0,0.15,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.46
07/20/2021,0.59,0.52,0.55,0.55,0.46,0.5,0.0,0.42,0.33,0.42,0.44,0.46,0.42,0.43,0.42,0.4,0.4,0.41,0.38,0.37,0.36,0.35,0.37,0.39,0.39,0.36,0.33,0.34,0.35,0.34,0.31,0.34,0.34,0.33,0.34,0.35,0.31,0.27,0.33,0.3,0.31,0.27,0.29,0.31,0.25,0.28,0.26,0.29,0.3,0.28,0.26,0.28,0.27,0.26,0.29,0.27,0.28,0.25,0.28,0.27,0.28,0.25,0.3,0.24,0.23,0.27,0.26,0.26,0.24,0.22,0.23,0.26,0.26,0.26,0.27,0.23,0.21,0.21,0.23,0.21,0.24,0.26,0.22,0.21,0.22,0.24,0.23,0.22,0.2,0.21,0.23,0.2,0.17,0.21,0.23,0.22,0.18,0.16,0.0,0.21,0.19,0.2,0.19,0.22,0.2,0.18,0.19,0.2,0.23,0.2,0.21,0.2,0.19,0.18,0.18,0.19,0.17,0.16,0.19,0.19,0.16,0.18,0.17,0.2,0.18,0.2,0.19,0.17,0.15,0.19,0.19,0.14,0.19,0.16,0.19,0.18,0.17,0.17,0.15,0.17,0.17,0.17,0.16,0.15,0.17,0.18,0.17,0.17,0.16,0.17,0.17,0.15,0.18,0.17,0.16,0.0,0.17,0.0,0.0,0.15,0.17,0.16,0.15,0.15,0.16,0.15,0.16,0.14,0.14,0.16,0.14,0.15,0.14,0.16,0.14,0.0,0.16,0.16,0.15,0.16,0.0,0.15,0.15,0.14,0.15,0.0,0.15,0.16,0.14,0.0,0.0,0.16,0.15,0.15,0.15,0.0,0.15,0.15,0.0,0.0,0.15,0.14,0.15,0.15,0.0,0.15,0.14,0.14,0.14,0.48,0.21,0.17,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.13
07/21/2021,0.59,0.52,0.55,0.55,0.46,0.5,0.48,0.42,0.33,0.42,0.44,0.46,0.42,0.43,0.42,0.4,0.4,0.41,0.38,0.37,0.36,0.35,0.37,0.39,0.39,0.36,0.33,0.34,0.35,0.34,0.31,0.34,0.34,0.33,0.35,0.35,0.31,0.27,0.33,0.3,0.31,0.27,0.29,0.31,0.25,0.28,0.26,0.29,0.3,0.29,0.26,0.28,0.27,0.26,0.29,0.27,0.28,0.25,0.28,0.27,0.28,0.25,0.3,0.24,0.23,0.27,0.26,0.26,0.24,0.22,0.23,0.26,0.26,0.26,0.27,0.23,0.21,0.21,0.23,0.21,0.24,0.26,0.22,0.22,0.22,0.24,0.23,0.22,0.2,0.21,0.23,0.2,0.17,0.21,0.23,0.22,0.18,0.16,0.21,0.21,0.19,0.2,0.19,0.23,0.2,0.18,0.19,0.2,0.23,0.2,0.21,0.2,0.19,0.18,0.18,0.19,0.17,0.16,0.19,0.2,0.16,0.18,0.17,0.2,0.18,0.2,0.19,0.17,0.15,0.19,0.19,0.14,0.19,0.16,0.19,0.19,0.18,0.17,0.15,0.17,0.17,0.17,0.17,0.15,0.17,0.18,0.17,0.17,0.16,0.17,0.17,0.16,0.18,0.17,0.16,0.15,0.17,0.0,0.17,0.15,0.17,0.16,0.15,0.15,0.16,0.15,0.16,0.14,0.14,0.16,0.14,0.15,0.14,0.16,0.14,0.0,0.16,0.16,0.15,0.16,0.0,0.15,0.15,0.14,0.15,0.0,0.15,0.16,0.14,0.0,0.0,0.16,0.15,0.15,0.15,0.0,0.15,0.15,0.0,0.0,0.15,0.14,0.15,0.15,0.0,0.15,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.23
07/22/2021,0.59,0.52,0.55,0.55,0.46,0.5,0.0,0.42,0.33,0.42,0.44,0.46,0.42,0.43,0.42,0.4,0.4,0.41,0.38,0.37,0.36,0.35,0.37,0.39,0.39,0.36,0.33,0.34,0.35,0.34,0.31,0.34,0.34,0.33,0.34,0.35,0.31,0.27,0.33,0.3,0.31,0.27,0.29,0.31,0.25,0.28,0.26,0.29,0.3,0.28,0.26,0.28,0.27,0.26,0.29,0.27,0.28,0.25,0.28,0.27,0.28,0.25,0.3,0.24,0.23,0.27,0.26,0.26,0.24,0.22,0.23,0.26,0.26,0.26,0.27,0.23,0.21,0.21,0.23,0.21,0.24,0.26,0.22,0.21,0.22,0.24,0.23,0.22,0.2,0.21,0.23,0.2,0.17,0.21,0.23,0.22,0.18,0.16,0.0,0.21,0.19,0.2,0.19,0.22,0.2,0.18,0.19,0.2,0.23,0.2,0.21,0.2,0.19,0.18,0.18,0.19,0.17,0.16,0.19,0.19,0.16,0.18,0.17,0.2,0.18,0.2,0.19,0.17,0.15,0.19,0.19,0.14,0.19,0.16,0.19,0.18,0.17,0.17,0.15,0.17,0.17,0.17,0.16,0.15,0.17,0.18,0.17,0.17,0.16,0.17,0.17,0.15,0.18,0.17,0.16,0.0,0.17,0.0,0.0,0.15,0.17,0.16,0.15,0.15,0.16,0.15,0.16,0.14,0.14,0.16,0.14,0.15,0.14,0.16,0.14,0.0,0.16,0.16,0.15,0.16,0.0,0.15,0.15,0.14,0.15,0.0,0.15,0.16,0.14,0.0,0.0,0.16,0.15,0.15,0.15,0.0,0.15,0.15,0.0,0.0,0.15,0.14,0.15,0.15,0.0,0.15,0.14,0.14,0.14,0.48,0.21,0.17,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.13
