,MMP,EPD,NEP,TRP.TO,PEG,SRE,NEE,PAGP,OKE,WMB,ALA.TO,CNP,IDA,ENB.TO,LNG,PWR,ET,UGI,LNT,ATO,XEL,KMI,HEP,CQP,AEP,D,OGS,CMS,AES,PPL,ACO/X.NE,KEY.TO,EXC,NJR,WLKP,WEC,ENLAY,IBDRY,US Dollar,SHLX,AWK,SO,TGP,ES,CWEN.A,NPI.TO,ENPH,ETRN,BKH,HESM,CU.TO,FTS.TO,DNNGY,EMA.TO,CPK,DUK,DTE,DTM WI,ACO.X.TO,MISXX,Orsted A/S ADR,018000.KQ,Enel SpA ADR,Iberdrola SA ADR,Morgan Stanley Instl Lqudty Trs Instl,SUM
07/09/2021,7.93,7.69,6.89,5.85,4.09,3.85,3.54,3.52,3.45,3.34,3.06,3.02,2.89,2.55,2.53,2.45,2.44,2.0,1.93,1.93,1.84,1.66,1.64,1.58,1.38,1.38,1.37,1.16,1.06,0.98,0.96,0.96,0.93,0.87,0.82,0.68,0.67,0.67,0.6,0.54,0.52,0.45,0.33,0.28,0.25,0.24,0.23,0.23,0.14,0.12,0.09,0.09,0.09,0.08,0.06,0.06,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/12/2021,7.84,7.66,6.4,5.91,4.09,3.83,3.53,3.53,3.42,3.36,3.09,3.08,2.93,2.55,2.53,2.49,2.42,2.02,1.94,1.96,1.85,1.67,1.61,1.59,1.38,1.38,1.35,1.17,1.04,0.99,0.97,0.95,0.93,0.88,0.81,0.69,0.67,0.65,0.39,0.55,0.49,0.44,0.33,0.29,0.25,0.24,0.22,0.24,0.14,0.12,0.1,0.09,0.09,0.08,0.06,0.06,0.65,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,7.84,7.66,6.4,5.91,4.09,3.83,3.53,3.53,3.42,3.36,3.09,3.08,2.93,2.55,2.53,2.49,2.42,2.02,1.94,1.96,1.85,1.67,1.61,1.59,1.38,1.38,1.35,1.17,1.04,0.99,0.97,0.95,0.93,0.88,0.81,0.69,0.67,0.65,0.39,0.55,0.49,0.44,0.33,0.29,0.25,0.24,0.22,0.24,0.14,0.12,0.1,0.09,0.09,0.08,0.06,0.06,0.65,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,7.83,7.65,6.4,5.9,4.09,3.83,3.53,3.52,3.42,3.36,3.09,3.08,2.93,2.55,2.53,2.49,2.41,2.02,1.93,1.96,1.85,1.67,1.61,1.58,1.38,1.37,1.35,1.17,1.04,0.99,0.0,0.95,0.93,0.88,0.81,0.69,0.67,0.65,0.0,0.55,0.49,0.44,0.33,0.29,0.25,0.24,0.22,0.24,0.14,0.12,0.1,0.09,0.0,0.08,0.06,0.06,0.65,0.01,0.97,0.46,0.09,0.0,0.0,0.0,0.0,99.99
07/15/2021,7.8,7.74,6.11,5.91,4.12,3.86,3.55,3.44,3.4,3.35,3.09,3.06,2.94,2.55,2.5,2.53,2.39,2.04,1.95,1.98,1.86,1.67,1.6,1.59,1.39,1.38,1.37,1.17,1.05,0.99,0.0,0.95,0.94,0.89,0.82,0.69,0.69,0.66,0.0,0.55,0.49,0.45,0.33,0.29,0.25,0.24,0.23,0.25,0.14,0.12,0.1,0.09,0.0,0.08,0.06,0.06,0.88,0.01,0.97,0.3,0.09,0.0,0.0,0.0,0.0,100.0
07/16/2021,7.77,7.75,6.08,5.96,4.11,3.87,3.58,3.44,3.38,3.36,3.1,3.04,2.95,2.57,2.45,2.54,2.38,2.02,1.96,2.0,1.88,1.67,1.59,1.57,1.4,1.38,1.38,1.18,1.03,0.98,0.0,0.97,0.94,0.89,0.83,0.7,0.69,0.66,0.0,0.55,0.5,0.45,0.33,0.29,0.25,0.24,0.23,0.24,0.14,0.12,0.1,0.1,0.0,0.08,0.06,0.06,0.88,0.01,0.98,0.24,0.09,0.0,0.0,0.0,0.0,99.99
07/20/2021,7.68,7.64,6.03,5.86,4.25,3.94,3.73,3.25,3.23,3.24,3.08,3.15,3.12,2.52,2.44,2.49,2.25,2.04,2.03,2.05,1.93,1.61,1.52,1.54,1.44,1.43,1.41,1.22,1.0,1.01,0.0,0.93,0.97,0.88,0.82,0.73,0.0,0.0,0.0,0.52,0.52,0.46,0.32,0.31,0.25,0.24,0.2,0.23,0.14,0.12,0.1,0.1,0.0,0.08,0.06,0.07,0.9,0.01,0.97,0.0,0.09,0.0,0.69,0.66,0.49,99.99
07/21/2021,7.68,7.64,6.03,5.86,4.25,3.94,3.73,3.25,3.23,3.24,3.08,3.15,3.12,2.52,2.44,2.49,2.25,2.04,2.03,2.05,1.93,1.61,1.52,1.54,1.44,1.43,1.41,1.22,1.0,1.01,0.0,0.93,0.97,0.88,0.82,0.73,0.69,0.66,0.0,0.52,0.52,0.46,0.32,0.31,0.25,0.24,0.2,0.23,0.14,0.12,0.1,0.1,0.0,0.08,0.06,0.07,0.9,0.01,0.97,0.49,0.09,0.0,0.0,0.0,0.0,99.99
07/22/2021,7.68,7.64,6.03,5.86,4.25,3.94,3.73,3.25,3.23,3.24,3.08,3.15,3.12,2.52,2.44,2.49,2.25,2.04,2.03,2.05,1.93,1.61,1.52,1.54,1.44,1.43,1.41,1.22,1.0,1.01,0.0,0.93,0.97,0.88,0.82,0.73,0.69,0.66,0.0,0.52,0.52,0.46,0.32,0.31,0.25,0.24,0.2,0.23,0.14,0.12,0.1,0.1,0.0,0.08,0.06,0.07,0.9,0.01,0.97,0.0,0.09,0.0,0.0,0.0,0.49,99.99
07/23/2021,7.76,7.66,6.09,5.75,4.21,3.91,3.73,3.19,3.2,3.24,3.06,3.14,3.16,2.47,2.47,2.52,2.29,2.07,2.04,2.03,1.92,1.61,1.57,1.56,1.42,1.42,1.4,1.23,1.0,1.0,0.0,0.92,0.98,0.88,0.83,0.72,0.66,0.66,0.0,0.54,0.52,0.47,0.32,0.31,0.26,0.24,0.22,0.23,0.14,0.12,0.1,0.1,0.0,0.08,0.06,0.07,0.9,0.01,0.96,0.51,0.09,0.0,0.0,0.0,0.0,100.02
