,TMO,VONG,ANGL,FCVT,LGLV,PWB,MGK,AGGY,FCOR,CWB,MGC,JNK,COF,JPM,NVDA,DHR,ETSY,AAPL,SUM
11/16/2021,7.96,6.84,6.6,6.56,6.54,6.54,6.53,6.52,6.51,6.5,6.49,6.47,4.1,4.05,4.05,3.95,3.79,0.0,100.0
11/17/2021,7.96,6.84,6.6,6.56,6.54,6.54,6.53,6.52,6.51,6.5,6.49,6.47,4.1,4.05,4.05,3.95,3.79,0.0,100.0
11/18/2021,8.17,6.82,6.53,6.48,6.55,6.53,6.52,6.45,6.43,6.46,6.48,6.42,4.13,4.02,4.01,4.01,3.98,0.0,99.99
11/19/2021,8.16,6.84,6.53,6.49,6.58,6.53,6.53,6.44,6.41,6.47,6.5,6.43,4.13,4.03,3.97,3.96,4.0,0.0,100.0
11/22/2021,8.22,6.86,6.5,6.48,6.56,6.56,6.54,6.4,6.36,6.45,6.49,6.39,4.04,3.97,3.97,4.01,4.18,0.0,99.98
11/23/2021,8.22,6.86,6.5,6.48,6.56,6.56,6.54,6.4,6.36,6.45,6.49,6.39,4.04,3.97,3.97,4.01,4.18,0.0,99.98
11/24/2021,8.13,6.9,6.47,6.36,6.52,6.55,6.62,6.41,6.39,6.3,6.47,6.35,3.96,3.86,4.32,4.11,4.28,0.0,100.0
11/25/2021,8.17,6.87,6.48,6.34,6.57,6.53,6.59,6.44,6.4,6.27,6.5,6.38,4.05,3.97,4.22,4.14,4.09,0.0,100.01
11/26/2021,8.16,6.85,6.47,6.28,6.61,6.52,6.56,6.41,6.37,6.23,6.51,6.38,4.13,4.07,4.2,4.15,4.1,0.0,100.0
11/29/2021,8.11,6.85,6.43,6.3,6.57,6.53,6.56,6.37,6.35,6.23,6.48,6.34,4.1,4.01,4.29,4.14,4.33,0.0,99.99
11/30/2021,8.29,6.79,6.46,6.26,6.54,6.48,6.49,6.5,6.45,6.26,6.43,6.37,3.97,3.94,4.19,4.31,4.3,0.0,100.03
12/01/2021,8.29,6.79,6.46,6.26,6.54,6.48,6.49,6.5,6.45,6.26,6.43,6.37,3.97,3.94,4.19,4.31,4.3,0.0,100.03
12/02/2021,0.0,7.16,6.72,6.52,6.83,6.85,6.86,6.74,6.69,6.48,6.74,6.64,4.05,4.06,4.6,4.5,4.31,4.26,100.00999999999999
