,SAP.DE,SIE.DE,ALV.DE,DAI.DE,BAS.DE,ADS.DE,DTE.DE,DPW.DE,BAYN.DE,IFX.DE,VOW3.DE,MUV2.DE,VNA.DE,BMW.DE,DB1.DE,EOAN.DE,DBK.DE,MRK.DE,RWE.DE,DHER.DE,FRE.DE,DWNI.DE,ZAL.DE,HEN3.DE,SY1.DE,HFG.DE,SHL.DE,FME.DE,PAH3.DE,CON.DE,BNR.DE,SRT3.,MTX.DE,ENR.DE,PUM.DE,HEI.DE,BEI.DE,1COV.DE,QGEN,LEG.DE,EUR,VOW.,HNR1.DE,HEK.SW,KBX.DE,AFX.DE,KGX.DE,AT1.DE,G24.DE,CBK.DE,EVK.DE,G1A.DE,TMV.DE,LXS.DE,BC8.DE,BMW3.,RAA.DE,NEM.DE,UTDI.DE,LHA.DE,UN01.DE,FPE3.DE,O2D.DE,XTSLA,UBFUT,GXU1,MARGIN_EUR,SUM
07/09/2021,9.27,7.46,6.43,4.6,4.48,4.38,4.38,4.27,3.67,3.21,2.78,2.39,2.25,2.1,2.07,1.65,1.62,1.58,1.49,1.39,1.35,1.31,1.26,1.16,1.13,1.05,1.04,1.02,1.01,0.97,0.9,0.9,0.82,0.8,0.8,0.79,0.77,0.77,0.72,0.68,0.66,0.65,0.64,0.6,0.49,0.49,0.48,0.48,0.48,0.43,0.43,0.38,0.38,0.35,0.32,0.31,0.29,0.28,0.25,0.22,0.21,0.21,0.17,0.06,0.06,0.0,0.0,100.04
07/12/2021,9.54,7.43,6.35,4.49,4.48,4.42,4.4,4.23,3.69,3.15,2.76,2.34,2.26,2.07,2.04,1.68,1.56,1.62,1.49,1.42,1.36,1.31,1.24,1.15,1.15,1.03,1.07,1.04,0.99,0.95,0.92,0.92,0.82,0.78,0.8,0.81,0.77,0.78,0.73,0.69,0.66,0.64,0.64,0.6,0.52,0.5,0.49,0.48,0.47,0.42,0.44,0.39,0.33,0.35,0.32,0.3,0.3,0.28,0.24,0.22,0.22,0.21,0.18,0.06,0.06,0.0,0.0,100.05
07/13/2021,9.54,7.43,6.35,4.49,4.48,4.42,4.4,4.23,3.69,3.15,2.76,2.34,2.26,2.07,2.04,1.68,1.56,1.62,1.49,1.42,1.36,1.31,1.24,1.15,1.15,1.03,1.07,1.04,0.99,0.95,0.92,0.92,0.82,0.78,0.8,0.81,0.77,0.78,0.73,0.69,0.66,0.64,0.64,0.6,0.52,0.5,0.49,0.48,0.47,0.42,0.44,0.39,0.33,0.35,0.32,0.3,0.3,0.28,0.24,0.22,0.22,0.21,0.18,0.06,0.06,0.0,0.0,100.05
07/14/2021,9.51,7.42,6.38,4.55,4.56,4.43,4.38,4.22,3.65,3.16,2.88,2.36,2.26,2.12,2.0,1.66,1.58,1.6,1.47,1.37,1.36,1.29,1.23,1.14,1.13,0.99,1.04,1.03,1.04,0.95,0.92,0.89,0.83,0.76,0.79,0.81,0.75,0.79,0.72,0.69,0.67,0.67,0.64,0.59,0.51,0.49,0.49,0.49,0.46,0.42,0.44,0.39,0.33,0.35,0.32,0.31,0.3,0.28,0.24,0.22,0.21,0.21,0.19,0.06,0.06,0.0,0.0,100.05
07/15/2021,9.51,7.42,6.38,4.55,4.56,4.43,4.38,4.22,3.65,3.16,2.88,2.36,2.26,2.12,2.0,1.66,1.58,1.6,1.47,1.37,1.36,1.29,1.23,1.14,1.13,0.99,1.04,1.03,1.04,0.95,0.92,0.89,0.83,0.76,0.79,0.81,0.75,0.79,0.72,0.69,0.67,0.67,0.64,0.59,0.51,0.49,0.49,0.49,0.46,0.42,0.44,0.39,0.33,0.35,0.32,0.31,0.3,0.28,0.24,0.22,0.21,0.21,0.19,0.06,0.06,0.0,0.0,100.05
07/19/2021,9.6,7.3,6.38,4.59,4.54,4.41,4.45,4.23,3.64,3.13,2.86,2.35,2.28,2.12,2.0,1.69,1.58,1.62,1.44,1.41,1.37,1.3,1.2,1.13,1.14,1.0,1.06,1.04,1.03,0.94,0.94,0.94,0.8,0.67,0.79,0.81,0.75,0.81,0.68,0.69,0.65,0.68,0.64,0.59,0.51,0.5,0.48,0.47,0.47,0.41,0.45,0.4,0.34,0.36,0.32,0.31,0.3,0.3,0.24,0.21,0.21,0.21,0.19,0.04,0.06,0.0,0.0,100.05
07/20/2021,9.6,7.3,6.38,4.59,4.54,4.41,4.45,4.23,3.64,3.13,2.86,2.35,2.28,2.12,2.0,1.69,1.58,1.62,1.44,1.41,1.37,1.3,1.2,1.13,1.14,1.0,1.06,1.04,1.03,0.94,0.94,0.94,0.8,0.67,0.79,0.81,0.75,0.81,0.68,0.69,0.65,0.68,0.64,0.59,0.51,0.5,0.48,0.47,0.47,0.41,0.45,0.4,0.34,0.36,0.32,0.31,0.3,0.3,0.24,0.21,0.21,0.21,0.19,0.04,0.06,0.0,0.0,100.05
07/22/2021,9.67,7.28,6.26,4.5,4.47,4.39,4.41,4.27,3.66,3.04,2.82,2.29,2.35,2.06,2.04,1.72,1.54,1.65,1.41,1.44,1.39,1.34,1.22,1.15,1.18,1.04,1.08,1.06,1.02,0.93,0.95,0.97,0.78,0.67,0.8,0.79,0.77,0.79,0.72,0.71,0.65,0.66,0.63,0.6,0.52,0.53,0.47,0.47,0.49,0.4,0.45,0.39,0.35,0.37,0.33,0.31,0.31,0.31,0.25,0.21,0.22,0.21,0.19,0.04,0.06,0.0,0.0,100.05
07/27/2021,9.12,7.53,6.32,4.49,4.49,4.37,4.32,4.26,3.69,3.03,2.85,2.33,2.34,2.04,2.04,1.69,1.58,1.61,1.4,1.48,1.4,1.28,1.59,1.12,1.15,1.01,1.08,1.04,1.03,0.92,0.95,0.96,0.8,0.68,0.81,0.81,0.74,0.79,0.74,0.71,0.69,0.67,0.63,0.59,0.5,0.54,0.46,0.48,0.48,0.4,0.44,0.4,0.35,0.37,0.34,0.3,0.33,0.31,0.25,0.21,0.22,0.21,0.19,0.05,0.06,0.0,0.0,100.06
07/29/2021,8.96,7.5,6.35,4.71,4.52,4.33,4.34,4.27,3.68,3.07,2.8,2.34,2.2,2.07,2.01,1.7,1.61,1.62,1.4,1.46,1.39,1.29,1.58,1.12,1.14,1.01,1.07,1.03,1.01,0.93,0.95,0.95,0.81,0.66,0.81,0.81,0.75,0.8,0.74,0.69,0.77,0.66,0.63,0.59,0.5,0.53,0.47,0.48,0.47,0.41,0.44,0.4,0.34,0.37,0.34,0.31,0.35,0.3,0.25,0.21,0.22,0.21,0.19,0.05,0.06,0.0,0.0,100.03
08/02/2021,9.22,7.42,6.35,4.75,4.47,4.28,4.29,4.21,3.66,3.11,2.8,2.34,2.2,2.05,1.97,1.71,1.63,1.62,1.4,1.43,1.4,1.31,1.54,1.12,1.15,0.97,1.08,1.04,1.03,0.93,0.95,0.96,0.82,0.67,0.8,0.82,0.74,0.77,0.74,0.69,0.77,0.67,0.63,0.59,0.5,0.55,0.48,0.48,0.47,0.4,0.45,0.42,0.34,0.37,0.34,0.3,0.34,0.31,0.25,0.21,0.22,0.21,0.17,0.04,0.06,0.0,0.0,100.01
08/03/2021,9.27,7.4,6.36,4.73,4.47,4.28,4.29,4.16,3.63,3.08,2.8,2.35,2.22,2.04,1.96,1.71,1.62,1.64,1.42,1.46,1.36,1.32,1.49,1.12,1.17,0.96,1.1,1.0,1.03,0.93,0.96,0.98,0.83,0.67,0.8,0.82,0.74,0.77,0.77,0.71,0.78,0.67,0.63,0.58,0.51,0.55,0.47,0.48,0.48,0.4,0.45,0.42,0.34,0.37,0.35,0.3,0.35,0.32,0.25,0.21,0.22,0.21,0.18,0.04,0.06,0.0,0.0,100.04
