,TSLA,JD,TRMB,KTOS,GOOG,BIDU,IRDM,U,DDD,PATH,LMT,DE,TER,NIU,KMTUY,NXPI,NNDM,CAT,MG.TO,ISRG,BYDDY,TSP,RAVN,TWOU,VUZI,MTLS,NVDA,TDY,AVAV,SNPS,ESLT,ANSS,BABA,BLDE,ACIC,TCEHY,SPFR,SSYS,PCAR,AONE,PRLB,XONE,BZ,DREYFUS GOVT CASH MAN INS,ONVO,GLEO,MKFG,SUM
07/09/2021,10.85,6.57,6.51,6.5,4.69,4.23,4.12,3.32,3.3,2.93,2.77,2.56,2.53,2.36,2.34,2.25,1.94,1.74,1.66,1.65,1.64,1.62,1.36,1.34,1.29,1.28,1.28,1.28,1.25,1.23,1.12,1.11,1.11,1.01,0.99,0.98,0.92,0.91,0.87,0.71,0.6,0.52,0.43,0.28,0.04,0.0,0.0,99.99
07/12/2021,10.97,6.58,6.55,6.6,4.77,4.06,4.1,3.34,3.2,3.48,2.84,2.57,2.52,2.36,2.26,2.24,1.86,1.76,1.66,1.69,1.65,1.42,1.0,1.36,1.27,1.25,1.26,1.29,1.26,1.26,1.15,1.13,1.07,0.96,1.0,0.95,0.93,0.87,0.88,0.72,0.61,0.5,0.45,0.29,0.04,0.0,0.0,99.98000000000002
07/13/2021,10.97,6.58,6.55,6.6,4.77,4.06,4.1,3.34,3.2,3.48,2.84,2.57,2.52,2.36,2.26,2.24,1.86,1.76,1.66,1.69,1.65,1.42,1.0,1.36,1.27,1.25,1.26,1.29,1.26,1.26,1.15,1.13,1.07,0.96,1.0,0.95,0.93,0.87,0.88,0.72,0.61,0.5,0.45,0.29,0.04,0.0,0.0,99.98000000000002
07/14/2021,10.83,6.69,6.57,6.58,4.69,4.11,4.14,3.32,3.16,3.42,2.81,2.57,2.53,2.59,2.29,2.25,1.87,1.77,1.66,1.65,1.62,1.41,0.98,1.36,1.22,1.23,1.25,1.3,1.27,1.24,1.14,1.11,1.08,0.99,0.99,0.98,0.92,0.87,0.88,0.71,0.62,0.5,0.51,0.28,0.04,0.0,0.0,100.00000000000004
07/15/2021,11.32,6.67,6.64,6.52,4.73,4.1,4.17,3.31,2.86,3.32,2.79,2.6,2.56,2.48,2.33,2.29,1.83,1.79,1.66,1.67,1.72,1.39,0.98,1.35,1.21,1.21,1.28,1.3,1.26,1.23,1.12,1.1,1.08,0.94,0.99,0.94,0.92,0.84,0.89,0.71,0.6,0.48,0.49,0.3,0.04,0.0,0.0,100.01
07/16/2021,11.15,7.04,6.59,6.54,4.8,4.23,4.11,3.26,2.74,3.35,2.81,2.6,2.58,2.48,2.35,2.21,1.76,1.78,1.65,1.68,1.74,1.35,0.97,1.37,1.15,1.13,1.27,1.34,1.26,1.24,1.14,1.12,1.11,0.89,1.0,0.99,0.93,0.84,0.89,0.65,0.6,0.47,0.5,0.31,0.04,0.0,0.0,100.01
07/19/2021,11.17,7.28,6.65,6.67,4.95,4.38,4.04,3.14,2.61,3.29,2.89,2.65,2.58,2.29,2.43,2.07,1.73,1.8,1.67,1.73,1.64,1.29,0.92,1.37,1.11,1.15,1.23,1.38,1.25,1.28,1.17,1.15,1.17,0.83,1.03,0.95,0.95,0.82,0.93,0.0,0.59,0.45,0.52,0.21,0.04,0.0,0.58,100.03
07/20/2021,11.17,7.28,6.65,6.67,4.95,4.38,4.04,3.14,2.61,3.29,2.89,2.65,2.58,2.29,2.43,2.07,1.73,1.8,1.67,1.73,1.64,1.29,0.92,1.37,1.11,1.15,1.23,1.38,1.25,1.28,1.17,1.15,1.17,0.83,1.03,0.95,0.95,0.82,0.93,0.0,0.59,0.45,0.52,0.21,0.04,0.0,0.58,100.03
07/21/2021,11.21,7.26,6.59,6.67,5.04,4.3,4.08,3.18,2.45,3.32,2.92,2.65,2.54,2.26,2.45,2.05,1.79,1.79,1.64,1.74,1.63,1.26,0.89,1.38,1.08,1.22,1.19,1.39,1.27,1.29,1.19,1.16,1.17,0.8,1.04,0.94,0.96,0.8,0.93,0.0,0.61,0.44,0.53,0.16,0.04,0.0,0.69,99.99
07/22/2021,11.33,7.18,6.6,6.64,4.98,4.26,4.18,3.26,2.53,3.4,2.91,2.62,2.57,2.24,2.43,2.05,1.75,1.76,1.88,1.46,1.62,1.24,0.76,1.42,1.11,1.13,1.24,1.36,1.28,1.29,1.16,1.15,1.16,0.81,1.05,0.93,0.97,0.8,0.93,0.0,0.58,0.45,0.53,0.17,0.04,0.0,0.78,99.99
07/23/2021,11.32,6.99,6.61,6.71,4.93,4.19,4.45,3.54,2.54,3.44,2.9,2.66,2.58,2.25,2.41,2.06,1.76,1.76,1.97,1.36,1.59,1.28,0.36,1.43,1.13,1.16,1.2,1.38,1.29,1.28,1.14,1.14,1.15,0.88,1.02,0.91,0.95,0.81,0.92,0.0,0.6,0.45,0.52,0.15,0.04,0.0,0.79,100.0
07/26/2021,11.02,7.11,6.68,6.73,4.97,4.17,4.44,3.65,2.46,3.71,2.87,2.66,2.62,2.25,2.39,1.99,1.72,1.76,2.06,1.37,1.64,1.21,0.0,1.47,1.09,1.12,1.26,1.38,1.27,1.28,1.14,1.16,1.15,0.95,1.01,0.9,0.94,0.8,0.9,0.0,0.58,0.45,0.51,0.23,0.04,0.0,0.89,100.00000000000004
07/28/2021,10.97,6.8,6.8,6.81,5.16,4.05,4.42,3.71,2.45,3.81,2.89,2.69,2.68,2.21,2.4,1.97,1.7,1.77,1.97,1.38,1.64,1.16,0.0,1.46,1.07,1.1,1.26,1.4,1.28,1.3,1.15,1.19,1.12,1.02,1.02,0.87,0.95,0.78,0.91,0.0,0.59,0.43,0.48,0.19,0.04,0.0,0.96,100.01
07/29/2021,11.36,6.3,6.88,7.02,5.3,3.52,4.5,3.68,2.39,3.78,2.83,2.73,2.68,2.13,2.47,2.02,1.71,1.8,2.26,1.39,1.58,1.15,0.0,1.47,1.1,1.07,1.26,1.41,1.28,1.31,1.17,1.19,1.05,1.08,1.03,0.79,0.95,0.79,0.92,0.0,0.59,0.44,0.46,0.2,0.04,0.0,0.91,99.99
07/30/2021,11.45,5.57,7.01,7.13,5.34,2.84,4.54,4.05,2.47,3.73,2.96,2.8,2.67,1.9,2.52,2.03,1.71,1.85,2.31,1.44,1.36,1.75,0.0,1.5,1.11,1.09,1.29,1.44,1.33,1.34,1.26,1.22,1.05,1.15,1.06,0.79,0.98,0.79,0.7,0.0,0.6,0.44,0.19,0.23,0.04,0.0,0.97,100.0
08/02/2021,11.59,4.61,6.99,6.98,5.13,2.89,4.96,4.59,2.65,3.78,2.84,2.74,2.62,1.97,2.55,2.06,1.71,1.8,2.3,1.4,1.25,2.04,0.0,1.47,1.12,1.17,1.27,1.41,1.34,1.31,1.23,1.19,1.07,1.1,1.02,0.8,0.95,0.79,0.13,0.0,0.54,0.44,0.0,1.22,0.04,0.0,0.92,99.98
08/03/2021,11.59,4.61,6.99,6.98,5.13,2.89,4.96,4.59,2.65,3.78,2.84,2.74,2.62,1.97,2.55,2.06,1.71,1.8,2.3,1.4,1.25,2.04,0.0,1.47,1.12,1.17,1.27,1.41,1.34,1.31,1.23,1.19,1.07,1.1,1.02,0.8,0.95,0.79,0.13,0.0,0.54,0.44,0.0,1.22,0.04,0.0,0.92,99.98
