,7203.T,1299.HK,6758.T,CBA.AX,BHP.AX,6861.T,CSL.AX,9984.T,388.HK,7974.T,WBC.AX,6098.T,8306.T,8035.T,NAB.AX,6501.T,ANZ.AX,4063.T,7267.T,6954.T,4502.T,6594.T,9433.T,WES.AX,8316.T,6367.T,9983.T,6981.T,7741.T,6702.T,D05.SI,MQG.AX,8001.T,9434.T,8058.T,3382.T,8031.T,6273.T,WOW.AX,4568.T,RIO.AX,4503.T,9432.T,8411.T,4661.T,4911.T,2413.T,4452.T,8766.T,6902.T,TCL.AX,O39.SI,FMG.AX,669.HK,9022.T,6752.T,4543.T,6869.T,4519.T,5108.T,GMG.AX,4901.T,9020.T,7733.T,6503.T,8801.T,2914.T,6301.T,7751.T,7309.T,1.HK,6920.T,4523.T,8591.T,6971.T,U11.SI,2502.T,823.HK,6326.T,8750.T,8802.T,6857.T,9843.T,6502.T,ALL.AX,APT.AX,4578.T,8267.T,6645.T,27.HK,8113.T,COL.AX,8053.T,2.HK,9735.T,1925.T,3.HK,16.HK,8604.T,WPL.AX,NCM.AX,JHX.AX,6988.T,11.HK,1113.HK,2503.T,7832.T,6701.T,4684.T,1928.T,8002.T,JPY,3407.T,7269.T,6762.T,4689.T,5020.T,J36.SI,Z74.SI,7270.T,8725.T,BXB.AX,XRO.AX,5401.T,2388.HK,8630.T,6178.T,FPH.NZ,4307.T,8697.T,1878.T,SHL.AX,2127.T,6479.T,8830.T,6723.T,9962.T,S32.AX,2802.T,4507.T,STO.AX,6586.T,8309.T,1928.HK,6506.T,ASX.AX,4755.T,4188.T,COH.AX,7201.T,SCG.AX,4005.T,6383.T,2801.T,TLS.AX,6.HK,AUD,6504.T,6963.T,9613.T,QBE.AX,8015.T,8601.T,NST.AX,4612.T,66.HK,7532.T,4751.T,5201.T,SUN.AX,3659.T,9064.T,8951.T,3402.T,5802.T,7011.T,4528.T,6201.T,7701.T,RHC.AX,3626.T,TAH.AX,9143.T,1605.T,7752.T,9007.T,5938.T,7272.T,288.HK,5713.T,1997.HK,868.HK,4324.T,APA.AX,2897.T,9005.T,SEK.AX,8473.T,4151.T,9041.T,3269.T,MGR.AX,3281.T,6967.T,6146.T,IAG.AX,BSL.AX,SGP.AX,1801.T,9502.T,9531.T,3038.T,C31.SI,9110.T,9532.T,9062.T,3092.T,DXS.AX,3283.T,9101.T,9503.T,4183.T,8308.T,DMP.AX,MPL.AX,9104.T,SE,4185.T,9021.T,5411.T,SYD.AX,5332.T,SUM
07/09/2021,2.55,2.07,1.83,1.78,1.47,1.33,1.29,1.21,1.02,0.95,0.95,0.93,0.91,0.9,0.86,0.81,0.81,0.79,0.74,0.73,0.71,0.71,0.7,0.66,0.64,0.64,0.61,0.61,0.61,0.58,0.56,0.55,0.53,0.52,0.51,0.5,0.5,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.45,0.44,0.44,0.42,0.42,0.42,0.41,0.4,0.39,0.38,0.37,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.83
07/12/2021,2.56,2.03,1.81,1.79,1.49,1.36,1.3,1.22,1.07,0.92,0.95,0.93,0.9,0.89,0.86,0.81,0.8,0.77,0.72,0.73,0.71,0.72,0.73,0.67,0.63,0.67,0.61,0.62,0.62,0.58,0.54,0.55,0.53,0.53,0.51,0.5,0.49,0.5,0.5,0.48,0.47,0.47,0.48,0.46,0.44,0.44,0.43,0.42,0.43,0.41,0.41,0.38,0.39,0.37,0.37,0.36,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.29,0.31,0.3,0.28,0.29,0.29,0.28,0.28,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.26,0.27,0.24,0.24,0.25,0.23,0.24,0.23,0.22,0.23,0.23,0.23,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.19,0.17,0.18,0.18,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.13,0.13,0.14,0.13,0.14,0.14,0.12,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.0,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.81
07/13/2021,2.56,2.03,1.81,1.79,1.49,1.36,1.3,1.22,1.07,0.92,0.95,0.93,0.9,0.89,0.86,0.81,0.8,0.77,0.72,0.73,0.71,0.72,0.73,0.67,0.63,0.67,0.61,0.62,0.62,0.58,0.54,0.55,0.53,0.53,0.51,0.5,0.49,0.5,0.5,0.48,0.47,0.47,0.48,0.46,0.44,0.44,0.43,0.42,0.43,0.41,0.41,0.38,0.39,0.37,0.37,0.36,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.29,0.31,0.3,0.28,0.29,0.29,0.28,0.28,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.26,0.27,0.24,0.24,0.25,0.23,0.24,0.23,0.22,0.23,0.23,0.23,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.19,0.17,0.18,0.18,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.13,0.13,0.14,0.13,0.14,0.14,0.12,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.0,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.81
07/14/2021,2.56,2.06,1.83,1.79,1.5,1.34,1.3,1.21,1.08,0.92,0.95,0.92,0.9,0.9,0.87,0.83,0.81,0.75,0.72,0.71,0.71,0.7,0.72,0.67,0.62,0.65,0.61,0.62,0.61,0.59,0.54,0.55,0.53,0.53,0.51,0.49,0.49,0.49,0.5,0.47,0.47,0.47,0.48,0.46,0.44,0.44,0.43,0.42,0.42,0.41,0.41,0.39,0.4,0.38,0.37,0.36,0.37,0.36,0.34,0.35,0.36,0.34,0.34,0.34,0.32,0.33,0.32,0.29,0.31,0.3,0.28,0.3,0.3,0.29,0.28,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.24,0.24,0.25,0.24,0.24,0.23,0.22,0.23,0.23,0.23,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.15,0.13,0.13,0.13,0.13,0.14,0.14,0.12,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.0,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.82000000000001
07/15/2021,2.56,2.06,1.83,1.79,1.5,1.34,1.3,1.21,1.08,0.92,0.95,0.92,0.9,0.9,0.87,0.83,0.81,0.75,0.72,0.71,0.71,0.7,0.72,0.67,0.62,0.65,0.61,0.62,0.61,0.59,0.54,0.55,0.53,0.53,0.51,0.49,0.49,0.49,0.5,0.47,0.47,0.47,0.48,0.46,0.44,0.44,0.43,0.42,0.42,0.41,0.41,0.39,0.4,0.38,0.37,0.36,0.37,0.36,0.34,0.35,0.36,0.34,0.34,0.34,0.32,0.33,0.32,0.29,0.31,0.3,0.28,0.3,0.3,0.29,0.28,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.24,0.24,0.25,0.24,0.24,0.23,0.22,0.23,0.23,0.23,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.15,0.13,0.13,0.13,0.13,0.14,0.14,0.12,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.0,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.82000000000001
07/16/2021,2.56,2.07,1.87,1.75,1.5,1.36,1.29,1.23,1.09,0.9,0.93,0.92,0.9,0.89,0.86,0.84,0.79,0.76,0.73,0.76,0.71,0.72,0.72,0.66,0.62,0.66,0.6,0.62,0.61,0.58,0.54,0.54,0.54,0.52,0.51,0.49,0.49,0.5,0.49,0.48,0.47,0.47,0.48,0.46,0.44,0.44,0.42,0.42,0.43,0.41,0.41,0.39,0.41,0.39,0.35,0.36,0.36,0.36,0.35,0.34,0.35,0.34,0.33,0.34,0.33,0.33,0.32,0.3,0.31,0.3,0.28,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.25,0.26,0.24,0.24,0.26,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.16,0.15,0.16,0.16,0.16,0.15,0.13,0.13,0.14,0.13,0.14,0.14,0.12,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.11,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.0,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.89000000000001
07/19/2021,2.58,2.06,1.87,1.76,1.54,1.35,1.28,1.23,1.1,0.91,0.92,0.93,0.89,0.9,0.85,0.8,0.79,0.75,0.73,0.73,0.73,0.72,0.73,0.66,0.62,0.66,0.6,0.63,0.61,0.57,0.54,0.54,0.54,0.53,0.51,0.49,0.49,0.5,0.5,0.47,0.49,0.48,0.48,0.46,0.43,0.43,0.41,0.42,0.43,0.4,0.41,0.39,0.42,0.38,0.35,0.36,0.36,0.36,0.34,0.33,0.36,0.33,0.32,0.34,0.33,0.33,0.33,0.3,0.31,0.3,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.26,0.23,0.24,0.24,0.25,0.23,0.24,0.23,0.22,0.23,0.23,0.24,0.24,0.23,0.22,0.21,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.12,0.13,0.14,0.14,0.14,0.14,0.12,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.11,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.12,0.13,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.0,0.12,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.85
07/20/2021,2.58,2.06,1.87,1.76,1.54,1.35,1.28,1.23,1.1,0.91,0.92,0.93,0.89,0.9,0.85,0.8,0.79,0.75,0.73,0.73,0.73,0.72,0.73,0.66,0.62,0.66,0.6,0.63,0.61,0.57,0.54,0.54,0.54,0.53,0.51,0.49,0.49,0.5,0.5,0.47,0.49,0.48,0.48,0.46,0.43,0.43,0.41,0.42,0.43,0.4,0.41,0.39,0.42,0.38,0.35,0.36,0.36,0.36,0.34,0.33,0.36,0.33,0.32,0.34,0.33,0.33,0.33,0.3,0.31,0.3,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.26,0.23,0.24,0.24,0.25,0.23,0.24,0.23,0.22,0.23,0.23,0.24,0.24,0.23,0.22,0.21,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.12,0.13,0.14,0.14,0.14,0.14,0.12,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.11,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.12,0.13,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.0,0.12,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.85
07/22/2021,2.6,2.02,1.82,1.75,1.5,1.33,1.31,1.22,1.15,0.9,0.91,0.94,0.9,0.88,0.84,0.81,0.78,0.75,0.73,0.72,0.74,0.72,0.73,0.67,0.63,0.68,0.59,0.62,0.6,0.57,0.54,0.54,0.55,0.54,0.52,0.49,0.5,0.49,0.5,0.47,0.47,0.48,0.48,0.46,0.43,0.43,0.42,0.43,0.44,0.4,0.4,0.39,0.42,0.39,0.34,0.36,0.35,0.36,0.35,0.33,0.36,0.33,0.32,0.33,0.33,0.34,0.33,0.31,0.31,0.3,0.29,0.3,0.26,0.29,0.28,0.29,0.28,0.28,0.29,0.28,0.27,0.26,0.28,0.27,0.25,0.23,0.25,0.25,0.25,0.23,0.24,0.23,0.23,0.23,0.24,0.24,0.24,0.23,0.23,0.2,0.23,0.22,0.23,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.2,0.19,0.19,0.18,0.18,0.19,0.18,0.19,0.18,0.17,0.19,0.18,0.17,0.17,0.18,0.19,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.14,0.16,0.15,0.14,0.15,0.15,0.17,0.16,0.16,0.15,0.12,0.14,0.14,0.14,0.14,0.14,0.12,0.14,0.14,0.15,0.14,0.15,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.87
07/23/2021,2.59,2.05,1.79,1.76,1.48,1.34,1.34,1.21,1.17,0.88,0.91,0.93,0.88,0.88,0.84,0.8,0.79,0.75,0.72,0.7,0.74,0.72,0.74,0.68,0.62,0.68,0.59,0.62,0.62,0.56,0.54,0.54,0.55,0.54,0.51,0.5,0.49,0.48,0.5,0.48,0.47,0.48,0.49,0.46,0.43,0.43,0.42,0.43,0.44,0.4,0.41,0.39,0.42,0.39,0.34,0.36,0.35,0.36,0.35,0.33,0.37,0.33,0.32,0.34,0.33,0.33,0.34,0.3,0.34,0.3,0.29,0.31,0.26,0.29,0.28,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.29,0.26,0.25,0.24,0.25,0.25,0.25,0.22,0.25,0.24,0.23,0.23,0.24,0.23,0.24,0.23,0.22,0.2,0.23,0.23,0.23,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.18,0.18,0.2,0.18,0.19,0.19,0.17,0.19,0.18,0.19,0.17,0.18,0.19,0.18,0.18,0.17,0.18,0.19,0.18,0.17,0.17,0.15,0.16,0.16,0.15,0.16,0.16,0.14,0.16,0.15,0.14,0.15,0.16,0.16,0.15,0.16,0.15,0.12,0.13,0.14,0.14,0.14,0.14,0.0,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.12,0.14,0.13,0.12,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.0,0.12,0.0,0.0,0.12,0.12,0.13,0.11,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.11,0.0,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.81
