,WSM,SHOP,EBAY,4755.T,AMZN,EXPE,W,GDDY,TCOM,NTES,BKNG,ETSY,CSGP,BABA,MELI,JD,OCDO.L,PDD,ASC.L,VIPS,QRTEA,LPSN,OSTK,TRIP,STMP,YELP,BZUN,TREE,SSTK,JMIA,UXIN,BIGC,LX,EHTH,GRPN,ANGI,LE,PETS,042000.KQ,TPW.AX,CASH,OSTKO,GOED,n/a,SUM
07/09/2021,5.33,5.05,4.81,4.64,4.59,4.59,4.28,4.26,4.12,3.99,3.96,3.77,3.7,3.66,3.34,3.19,3.03,2.61,2.5,2.48,2.46,1.98,1.94,1.91,1.83,1.45,1.38,1.25,1.16,1.1,0.9,0.85,0.75,0.72,0.54,0.46,0.43,0.33,0.3,0.27,0.09,0.01,0.0,0.0,100.01
07/12/2021,5.38,4.91,4.89,4.84,4.77,4.57,4.31,4.29,3.91,3.92,3.94,3.81,3.84,3.54,3.36,3.2,3.06,2.56,2.43,2.47,2.47,1.98,2.01,1.88,1.84,1.42,1.31,1.23,1.19,1.06,0.91,0.9,0.64,0.74,0.51,0.45,0.43,0.32,0.3,0.29,0.09,0.01,0.0,0.0,99.98
07/13/2021,5.38,4.91,4.89,4.84,4.77,4.57,4.31,4.29,3.91,3.92,3.94,3.81,3.84,3.54,3.36,3.2,3.06,2.56,2.43,2.47,2.47,1.98,2.01,1.88,1.84,1.42,1.31,1.23,1.19,1.06,0.91,0.9,0.64,0.74,0.51,0.45,0.43,0.32,0.3,0.29,0.09,0.01,0.0,0.0,99.98
07/14/2021,5.4,4.87,4.8,4.75,4.61,4.61,4.21,4.17,3.82,3.92,3.88,3.68,3.78,3.54,3.32,3.22,3.02,2.54,2.38,2.48,2.47,1.96,2.12,1.87,2.93,1.43,1.32,1.21,1.17,1.05,0.88,0.88,0.63,0.72,0.51,0.44,0.45,0.31,0.29,0.29,0.09,0.01,0.0,0.0,100.03000000000002
07/15/2021,5.44,4.88,4.78,4.94,4.62,4.61,4.19,4.12,3.79,3.95,3.9,3.68,3.78,3.54,3.27,3.21,3.09,2.53,2.35,2.48,2.5,1.93,2.1,1.82,2.92,1.43,1.28,1.19,1.19,1.03,0.86,0.84,0.62,0.75,0.51,0.44,0.45,0.3,0.29,0.29,0.08,0.01,0.0,0.0,99.98
07/16/2021,5.39,4.97,4.78,4.97,4.59,4.48,4.03,4.13,3.84,4.08,3.89,3.58,3.76,3.62,3.33,3.37,3.03,2.58,2.29,2.61,2.44,1.91,2.12,1.77,2.93,1.38,1.35,1.17,1.18,1.0,0.94,0.79,0.66,0.75,0.51,0.42,0.43,0.3,0.29,0.29,0.08,0.01,0.0,0.0,100.04
07/19/2021,5.31,4.82,4.84,5.0,4.62,4.49,4.08,4.12,3.85,4.24,3.93,3.53,3.93,3.78,3.31,3.45,2.98,2.6,1.95,2.66,2.42,1.81,1.93,1.79,3.01,1.4,1.38,1.14,1.16,0.96,0.94,0.79,0.71,0.75,0.51,0.43,0.42,0.3,0.29,0.3,0.08,0.01,0.0,0.0,100.02
07/20/2021,5.31,4.82,4.84,5.0,4.62,4.49,4.08,4.12,3.85,4.24,3.93,3.53,3.93,3.78,3.31,3.45,2.98,2.6,1.95,2.66,2.42,1.81,1.93,1.79,3.01,1.4,1.38,1.14,1.16,0.96,0.94,0.79,0.71,0.75,0.51,0.43,0.42,0.3,0.29,0.3,0.08,0.01,0.0,0.0,100.02
07/21/2021,5.26,4.88,4.9,5.1,4.61,4.51,4.04,4.22,3.73,4.21,3.94,3.62,3.98,3.79,3.36,3.44,2.96,2.55,2.01,2.55,2.38,1.83,1.85,1.76,3.04,1.39,1.35,1.13,1.2,0.94,0.88,0.8,0.69,0.76,0.49,0.45,0.41,0.3,0.29,0.3,0.08,0.01,0.0,0.0,99.99
07/22/2021,5.32,5.03,4.97,5.15,4.62,4.37,4.21,4.17,3.59,4.26,3.83,3.77,3.96,3.76,3.35,3.41,2.9,2.51,1.95,2.47,2.37,1.98,1.86,1.73,3.07,1.36,1.3,1.12,1.19,0.96,0.89,0.82,0.69,0.75,0.48,0.43,0.41,0.3,0.28,0.31,0.08,0.01,0.0,0.0,99.99
07/23/2021,5.39,5.13,4.98,4.96,4.58,4.44,4.27,4.16,3.55,4.23,3.89,3.81,4.0,3.74,3.41,3.34,2.79,2.42,1.87,2.46,2.37,2.06,1.86,1.77,3.03,1.4,1.29,1.11,1.2,0.97,0.9,0.87,0.69,0.75,0.5,0.44,0.42,0.3,0.28,0.32,0.07,0.01,0.0,0.0,100.03
07/26/2021,5.15,5.28,5.07,4.93,4.6,4.48,4.07,4.15,3.45,4.14,3.94,3.88,3.98,3.74,3.46,3.38,2.96,2.44,1.94,2.42,2.35,2.02,1.84,1.76,3.0,1.38,1.3,1.15,1.22,0.94,0.89,0.87,0.67,0.75,0.48,0.43,0.48,0.29,0.27,0.32,0.09,0.01,0.0,0.0,99.97
07/27/2021,5.15,5.28,5.07,4.93,4.6,4.48,4.07,4.15,3.45,4.14,3.94,3.88,3.98,3.74,3.46,3.38,2.96,2.44,1.94,2.42,2.35,2.02,1.84,1.76,3.0,1.38,1.3,1.15,1.22,0.94,0.89,0.87,0.67,0.75,0.48,0.43,0.48,0.29,0.27,0.32,0.09,0.01,0.0,0.0,99.97
07/29/2021,5.35,5.38,5.29,5.09,4.79,4.67,4.11,4.26,3.14,3.37,4.11,4.06,4.09,3.44,3.54,3.02,3.05,2.12,1.98,2.27,2.45,2.11,1.88,1.94,3.07,1.49,1.0,1.21,1.29,0.95,0.87,0.89,0.59,0.73,0.49,0.45,0.46,0.29,0.3,0.33,0.08,0.01,0.0,0.0,100.01
07/30/2021,5.38,5.39,5.32,4.83,4.79,4.79,4.05,4.26,3.28,3.4,4.22,4.01,4.16,3.4,3.59,3.02,3.12,1.94,1.99,2.21,2.47,2.08,1.81,1.94,3.14,1.48,1.03,1.22,1.24,0.93,0.83,0.92,0.57,0.73,0.48,0.45,0.45,0.31,0.3,0.36,0.08,0.01,0.0,0.0,99.98
08/02/2021,5.37,5.17,5.29,4.8,4.64,4.69,3.78,4.18,3.43,3.8,4.07,3.91,4.0,3.53,3.64,3.28,2.9,2.19,1.86,2.3,2.43,2.09,1.65,1.92,3.07,1.47,1.07,1.27,1.29,0.93,1.0,0.91,0.58,0.74,0.48,0.44,0.44,0.32,0.3,0.36,0.41,0.01,0.0,0.0,100.01
08/03/2021,5.37,5.17,5.29,4.8,4.64,4.69,3.78,4.18,3.43,3.8,4.07,3.91,4.0,3.53,3.64,3.28,2.9,2.19,1.86,2.3,2.43,2.09,1.65,1.92,3.07,1.47,1.07,1.27,1.29,0.93,1.0,0.91,0.58,0.74,0.48,0.44,0.44,0.32,0.3,0.36,0.41,0.01,0.0,0.0,100.01
08/04/2021,3.97,4.32,4.2,3.79,3.79,4.21,3.61,4.15,3.4,3.8,4.2,4.21,4.34,3.87,4.37,3.94,4.22,3.52,2.06,3.59,2.31,2.3,1.67,2.04,3.23,0.0,0.84,1.25,1.41,1.13,0.62,1.4,0.58,0.72,0.49,0.47,0.31,0.36,0.33,0.37,0.33,0.01,0.29,0.0,100.02
08/05/2021,4.01,4.39,4.19,3.81,3.76,4.12,3.59,4.17,3.37,3.86,4.14,4.29,4.3,3.93,4.35,3.93,4.21,3.49,2.09,3.62,2.31,2.28,1.6,2.04,3.19,0.0,0.86,1.23,1.38,1.12,0.66,1.45,0.58,0.71,0.49,0.46,0.33,0.33,0.34,0.38,0.33,0.01,0.29,0.0,99.99
08/06/2021,4.17,4.39,4.22,3.83,3.86,4.06,3.75,4.18,3.23,3.48,4.14,4.39,4.29,3.94,4.41,3.93,4.21,3.44,2.11,3.78,2.36,2.33,1.63,1.99,3.24,0.0,0.85,1.16,1.37,1.1,0.63,1.46,0.57,0.69,0.5,0.45,0.33,0.34,0.35,0.4,0.14,0.01,0.28,0.0,99.99
