,NESN.SW,ASML.AS,ROG.SW,7203.T,AZN.L,ULVR.L,1299.HK,SAP.DE,NOVO B.CO,SIE.DE,6758.T,TTE.PA,SAN.PA,BHP.AX,ALV.DE,GSK.L,CSL.AX,OR.PA,RIO.L,SU.PA,RDSA.AS,AI.PA,BP.L,IBE.MC,DAI.DE,388.HK,RYDBF,ENEL.MI,BNP.PA,DTE.DE,WBC.AX,7974.T,DPW.DE,ADS.DE,SAN.MC,6098.T,NAB.AX,KER.PA,ADYEN.AS,RKT.L,8035.T,BHP.L,ZURN.SW,9432.T,DG.PA,CS.PA,6594.T,ANZ.AX,NXPI,6501.T,EL.PA,DSV.CO,REL.L,LONN.SW,4502.T,INGA.AS,PRU.L,WES.AX,6367.T,7741.T,9433.T,RMS.PA,ISP.MI,IFX.DE,VOD.L,AAL.L,6954.T,VOW3.DE,LLOY.L,BN.PA,8316.T,SIKA.SW,PHIA.AS,8001.T,MQG.AX,UG,PRX.AS,BARC.L,9983.T,4568.T,D05.SI,CRH.L,BBVA.MC,CPG.L,ITX.MC,ATCO A.ST,MUV2.DE,ERIC B.ST,VWS.CO,8058.T,VNA.DE,GIVN.SW,6273.T,EXPN.L,9434.T,RIO.AX,6702.T,ALC.SW,SGO.PA,BMW.DE,8031.T,AHT.L,PGHN.SW,TLS.AX,8411.T,NDA SE.ST,O39.SI,DSY.PA,DB1.DE,AMS.MC,4503.T,DSM.AS,FERG.L,CAP.PA,6902.T,NOKIA.HE,ENI.MI,KNEBV.HE,4911.T,TCL.AX,4452.T,HEXA B.ST,NESTE.HE,4661.T,ASSA B.ST,4543.T,LR.PA,GMG.AX,4901.T,SAND.ST,U11.SI,GMAB.CO,GEBN.SW,WKL.AS,5108.T,4523.T,SREN.SW,ML.PA,ORSTED.CO,9022.T,6752.T,4338.SR,MRK.DE,4519.T,DBK.DE,UCG.MI,GLE.PA,STM.PA,CLNX.MC,TEP.PA,669.HK,6326.T,BT.A.L,G.MI,9020.T,TEF.MC,7751.T,EQNR.OL,ORA.PA,AV.L,KRZ.IR,SSE.L,VIV.PA,MT.AS,WLN.PA,KBC.BR,LGEN.L,SAMPO.HE,AKZA.AS,DWNI.DE,8801.T,8591.T,1.HK,ZAL.DE,FRE.DE,COLO B.CO,SWED A.ST,ESSITY B.ST,6971.T,823.HK,SEB A.ST,ATCOB.ST,STAN.L,UPM.HE,KNIN.SW,8802.T,DNB.OL,6502.T,7309.T,HEN3.DE,ACA.PA,ALO.PA,SGRO.L,1925.T,8267.T,6869.T,NIBE B.ST,HM B.ST,SY1.DE,REP.MC,003000.KS,3.HK,WPL.AX,DSYA.,6857.T,AP4.SI,SGSN.SW,SHB A.ST,EQT.ST,III.L,SUM
07/09/2021,2.64,2.2,2.07,1.55,1.19,1.18,1.16,1.11,1.08,1.0,0.98,0.94,0.88,0.83,0.81,0.78,0.75,0.72,0.68,0.66,0.65,0.65,0.65,0.61,0.58,0.58,0.57,0.56,0.55,0.54,0.54,0.53,0.53,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.47,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.42,0.41,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6
07/12/2021,2.69,2.18,2.13,1.56,1.17,1.2,1.15,1.15,1.12,0.98,0.97,0.91,0.86,0.85,0.79,0.77,0.74,0.71,0.67,0.66,0.65,0.64,0.62,0.6,0.55,0.63,0.57,0.57,0.53,0.54,0.53,0.53,0.53,0.51,0.49,0.52,0.5,0.49,0.49,0.5,0.48,0.48,0.46,0.46,0.45,0.45,0.46,0.43,0.42,0.44,0.42,0.42,0.41,0.43,0.41,0.38,0.38,0.39,0.41,0.39,0.39,0.37,0.36,0.36,0.36,0.36,0.36,0.34,0.35,0.35,0.34,0.35,0.33,0.33,0.33,0.31,0.3,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.3,0.31,0.29,0.3,0.3,0.3,0.3,0.29,0.3,0.29,0.29,0.27,0.27,0.27,0.27,0.25,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.2,0.2,0.21,0.2,0.21,0.21,0.2,0.0,0.2,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.0,0.2,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5
07/13/2021,2.69,2.18,2.13,1.56,1.17,1.2,1.15,1.15,1.12,0.98,0.97,0.91,0.86,0.85,0.79,0.77,0.74,0.71,0.67,0.66,0.65,0.64,0.62,0.6,0.55,0.63,0.57,0.57,0.53,0.54,0.53,0.53,0.53,0.51,0.49,0.52,0.5,0.49,0.49,0.5,0.48,0.48,0.46,0.46,0.45,0.45,0.46,0.43,0.42,0.44,0.42,0.42,0.41,0.43,0.41,0.38,0.38,0.39,0.41,0.39,0.39,0.37,0.36,0.36,0.36,0.36,0.36,0.34,0.35,0.35,0.34,0.35,0.33,0.33,0.33,0.31,0.3,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.3,0.31,0.29,0.3,0.3,0.3,0.3,0.29,0.3,0.29,0.29,0.27,0.27,0.27,0.27,0.25,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.2,0.2,0.21,0.2,0.21,0.21,0.2,0.0,0.2,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.0,0.2,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5
07/14/2021,2.66,2.22,2.11,1.53,1.17,1.19,1.14,1.16,1.11,0.99,0.96,0.91,0.87,0.85,0.81,0.78,0.73,0.72,0.7,0.68,0.65,0.65,0.63,0.6,0.56,0.62,0.57,0.57,0.54,0.54,0.53,0.52,0.53,0.51,0.5,0.51,0.5,0.49,0.5,0.49,0.48,0.5,0.47,0.46,0.46,0.45,0.44,0.43,0.43,0.44,0.42,0.42,0.42,0.42,0.4,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.36,0.37,0.36,0.37,0.35,0.36,0.36,0.35,0.34,0.35,0.32,0.33,0.32,0.31,0.3,0.32,0.31,0.3,0.3,0.31,0.3,0.29,0.3,0.31,0.3,0.3,0.29,0.29,0.3,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.25,0.26,0.26,0.0,0.24,0.24,0.24,0.25,0.25,0.24,0.23,0.24,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.0,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.0,0.2,0.13,0.13,0.26,0.0,0.0,0.0,0.0,0.0,0.0,74.53999999999999
07/15/2021,2.64,2.23,2.1,1.54,1.18,1.19,1.13,1.16,1.1,0.98,0.99,0.9,0.88,0.86,0.8,0.77,0.73,0.72,0.69,0.68,0.64,0.65,0.62,0.6,0.56,0.63,0.56,0.57,0.53,0.54,0.53,0.52,0.53,0.51,0.49,0.52,0.5,0.49,0.5,0.49,0.48,0.5,0.46,0.46,0.46,0.45,0.46,0.43,0.43,0.44,0.42,0.42,0.42,0.42,0.4,0.39,0.38,0.38,0.4,0.38,0.38,0.38,0.36,0.36,0.36,0.37,0.37,0.36,0.36,0.35,0.34,0.35,0.33,0.33,0.32,0.31,0.3,0.32,0.31,0.3,0.3,0.3,0.3,0.28,0.3,0.31,0.3,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.25,0.26,0.26,0.26,0.0,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.22,0.23,0.22,0.23,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.22,0.21,0.22,0.22,0.21,0.2,0.2,0.21,0.2,0.21,0.2,0.2,0.0,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.0,0.2,0.13,0.0,0.26,0.13,0.0,0.0,0.0,0.0,0.0,74.52
07/16/2021,2.64,2.25,2.1,1.55,1.18,1.19,1.16,1.17,1.1,0.99,1.0,0.89,0.88,0.86,0.79,0.77,0.73,0.72,0.69,0.67,0.63,0.65,0.61,0.6,0.55,0.64,0.56,0.57,0.53,0.54,0.52,0.52,0.52,0.51,0.48,0.52,0.5,0.5,0.51,0.49,0.48,0.49,0.46,0.46,0.45,0.45,0.46,0.43,0.43,0.45,0.42,0.42,0.42,0.42,0.4,0.38,0.38,0.38,0.4,0.38,0.38,0.38,0.35,0.36,0.36,0.36,0.37,0.36,0.35,0.35,0.34,0.35,0.32,0.34,0.32,0.31,0.3,0.31,0.31,0.31,0.31,0.3,0.3,0.28,0.3,0.31,0.29,0.3,0.29,0.3,0.3,0.29,0.3,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.25,0.26,0.25,0.26,0.0,0.24,0.23,0.25,0.25,0.25,0.24,0.24,0.26,0.22,0.23,0.22,0.23,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.2,0.2,0.21,0.2,0.21,0.2,0.2,0.0,0.2,0.19,0.18,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.0,0.0,0.13,0.0,0.27,0.0,0.2,0.13,0.0,0.0,0.0,74.53
07/19/2021,2.64,2.28,2.11,1.56,1.13,1.19,1.16,1.16,1.12,0.97,1.0,0.89,0.87,0.88,0.8,0.76,0.72,0.72,0.71,0.67,0.62,0.65,0.6,0.59,0.56,0.64,0.55,0.57,0.53,0.54,0.52,0.52,0.53,0.51,0.49,0.52,0.5,0.5,0.51,0.49,0.49,0.5,0.46,0.46,0.44,0.45,0.46,0.42,0.42,0.42,0.42,0.43,0.42,0.41,0.41,0.38,0.38,0.38,0.41,0.38,0.39,0.39,0.36,0.36,0.35,0.37,0.36,0.35,0.36,0.34,0.34,0.35,0.32,0.34,0.32,0.3,0.31,0.31,0.31,0.3,0.31,0.3,0.3,0.28,0.28,0.31,0.29,0.3,0.27,0.29,0.3,0.29,0.29,0.3,0.29,0.28,0.27,0.26,0.27,0.26,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.0,0.24,0.23,0.25,0.26,0.25,0.24,0.23,0.25,0.22,0.23,0.22,0.23,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.23,0.21,0.22,0.21,0.22,0.22,0.22,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.18,0.18,0.18,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.16,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.14,0.0,0.14,0.0,0.2,0.14,0.0,0.27,0.0,0.0,0.13,0.13,0.0,0.0,74.45
07/20/2021,2.67,2.25,2.14,1.58,1.13,1.21,1.17,1.17,1.14,0.96,0.98,0.88,0.88,0.88,0.79,0.77,0.73,0.73,0.68,0.66,0.62,0.65,0.59,0.6,0.55,0.67,0.55,0.57,0.52,0.55,0.52,0.52,0.53,0.5,0.48,0.52,0.5,0.5,0.52,0.5,0.48,0.49,0.46,0.46,0.44,0.45,0.46,0.42,0.41,0.44,0.42,0.42,0.43,0.42,0.41,0.38,0.38,0.39,0.41,0.38,0.39,0.38,0.35,0.35,0.35,0.36,0.36,0.35,0.35,0.35,0.34,0.36,0.32,0.34,0.32,0.3,0.31,0.31,0.3,0.3,0.31,0.3,0.3,0.28,0.29,0.32,0.29,0.28,0.27,0.3,0.31,0.3,0.29,0.3,0.29,0.28,0.27,0.26,0.27,0.25,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.0,0.24,0.23,0.25,0.26,0.25,0.24,0.23,0.26,0.22,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.21,0.22,0.23,0.21,0.21,0.21,0.22,0.22,0.22,0.19,0.18,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.18,0.18,0.18,0.18,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.16,0.18,0.16,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.14,0.0,0.14,0.0,0.2,0.13,0.0,0.27,0.0,0.0,0.13,0.13,0.0,0.0,74.52
07/21/2021,2.67,2.25,2.14,1.58,1.13,1.21,1.17,1.17,1.14,0.96,0.98,0.88,0.88,0.88,0.79,0.77,0.73,0.73,0.68,0.66,0.62,0.65,0.59,0.6,0.55,0.67,0.55,0.57,0.52,0.55,0.52,0.52,0.53,0.5,0.48,0.52,0.5,0.5,0.52,0.5,0.48,0.49,0.46,0.46,0.44,0.45,0.46,0.42,0.41,0.44,0.42,0.42,0.43,0.42,0.41,0.38,0.38,0.39,0.41,0.38,0.39,0.38,0.35,0.35,0.35,0.36,0.36,0.35,0.35,0.35,0.34,0.36,0.32,0.34,0.32,0.3,0.31,0.31,0.3,0.3,0.31,0.3,0.3,0.28,0.29,0.32,0.29,0.28,0.27,0.3,0.31,0.3,0.29,0.3,0.29,0.28,0.27,0.26,0.27,0.25,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.0,0.24,0.23,0.25,0.26,0.25,0.24,0.23,0.26,0.22,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.21,0.22,0.23,0.21,0.21,0.21,0.22,0.22,0.22,0.19,0.18,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.18,0.18,0.18,0.18,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.16,0.18,0.16,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.14,0.0,0.14,0.0,0.2,0.13,0.0,0.27,0.0,0.0,0.13,0.13,0.0,0.0,74.52
07/22/2021,2.67,2.25,2.14,1.58,1.13,1.21,1.17,1.17,1.14,0.96,0.98,0.88,0.88,0.88,0.79,0.77,0.73,0.73,0.68,0.66,0.62,0.65,0.59,0.6,0.55,0.67,0.55,0.57,0.52,0.55,0.52,0.52,0.53,0.5,0.48,0.52,0.5,0.5,0.52,0.5,0.48,0.49,0.46,0.46,0.44,0.45,0.46,0.42,0.41,0.44,0.42,0.42,0.43,0.42,0.41,0.38,0.38,0.39,0.41,0.38,0.39,0.38,0.35,0.35,0.35,0.36,0.36,0.35,0.35,0.35,0.34,0.36,0.32,0.34,0.32,0.3,0.31,0.31,0.3,0.3,0.31,0.3,0.3,0.28,0.29,0.32,0.29,0.28,0.27,0.3,0.31,0.3,0.29,0.3,0.29,0.28,0.27,0.26,0.27,0.25,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.0,0.24,0.23,0.25,0.26,0.25,0.24,0.23,0.26,0.22,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.21,0.22,0.23,0.21,0.21,0.21,0.22,0.22,0.22,0.19,0.18,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.18,0.18,0.18,0.18,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.16,0.18,0.16,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.14,0.0,0.14,0.0,0.2,0.13,0.0,0.27,0.0,0.0,0.13,0.13,0.0,0.0,74.52
