,PFF,XLG,LQD,RDVY,TIP,SCHV,VCLT,ICVT,BOND,CWB,BIV,VCIT,AGG,BSV,VCSH,BLV,IUSB,SCHR,SUM
11/16/2021,13.26,8.55,8.46,8.41,8.4,8.39,5.02,4.96,4.96,4.95,4.94,4.93,4.93,4.93,4.91,0.0,0.0,0.0,100.0
11/17/2021,13.26,8.55,8.46,8.41,8.4,8.39,5.02,4.96,4.96,4.95,4.94,4.93,4.93,4.93,4.91,0.0,0.0,0.0,100.0
11/18/2021,13.26,8.55,8.46,8.41,8.4,8.39,5.02,4.96,4.96,4.95,4.94,4.93,4.93,4.93,4.91,0.0,0.0,0.0,100.0
11/19/2021,13.26,8.63,8.36,8.55,8.46,8.49,4.91,4.98,4.97,4.97,4.93,4.92,4.92,0.0,4.94,4.71,0.0,0.0,100.0
11/22/2021,13.26,8.63,8.36,8.55,8.46,8.49,4.91,4.98,4.97,4.97,4.93,4.92,4.92,0.0,4.94,4.71,0.0,0.0,100.0
11/23/2021,13.26,8.63,8.36,8.55,8.46,8.49,4.91,4.98,4.97,4.97,4.93,4.92,4.92,0.0,4.94,4.71,0.0,0.0,100.0
11/24/2021,13.26,8.76,8.43,8.44,8.46,8.38,4.98,4.86,4.98,4.89,4.95,4.94,4.95,0.0,4.94,4.79,0.0,0.0,100.01
11/25/2021,13.26,8.76,8.43,8.44,8.46,8.38,4.98,4.86,4.98,4.89,4.95,4.94,4.95,0.0,4.94,4.79,0.0,0.0,100.01
11/26/2021,13.96,9.24,8.81,9.01,8.87,8.99,5.16,5.05,5.25,5.08,0.0,5.19,5.2,0.0,5.23,4.96,0.0,0.0,100.0
11/29/2021,14.7,9.74,9.3,9.47,9.34,9.44,5.47,5.35,5.51,0.0,0.0,5.45,5.47,0.0,5.49,5.27,0.0,0.0,100.0
11/30/2021,14.66,9.58,9.42,9.26,9.44,9.28,5.56,5.27,5.57,0.0,0.0,5.51,5.54,0.0,5.52,5.37,0.0,0.0,99.98
12/01/2021,14.66,9.58,9.42,9.26,9.44,9.28,5.56,5.27,5.57,0.0,0.0,5.51,5.54,0.0,5.52,5.37,0.0,0.0,99.98
12/02/2021,14.7,9.69,0.0,9.29,9.39,9.29,5.55,5.29,5.56,0.0,0.0,5.5,5.53,0.0,5.51,5.35,9.36,0.0,100.01
12/06/2021,0.0,10.59,0.0,10.22,0.0,10.21,6.22,5.34,6.19,0.0,6.09,6.12,6.15,0.0,6.11,6.02,10.43,10.31,100.0
12/07/2021,0.0,10.59,0.0,10.22,0.0,10.21,6.22,5.34,6.19,0.0,6.09,6.12,6.15,0.0,6.11,6.02,10.43,10.31,100.0
12/08/2021,0.0,10.59,0.0,10.22,0.0,10.21,6.22,5.34,6.19,0.0,6.09,6.12,6.15,0.0,6.11,6.02,10.43,10.31,100.0
