,WDFC,MED,SMPL,JJSF,CELH,EPC,PSMT,UNFI,DHR.,CENTA,COKE,VGR,UVV,CALM,IPAR,USNA,FIZZ,CVGW,ELF,CHEF,FDP,ANDE,MGPI,JBSS,SPTN,CENT,SENEA,Cash/Receivables/Payables,AGPXX,BGS,003000.KS,n/a,4300.SR,THS,SUM
07/09/2021,8.15,7.77,7.26,6.04,5.63,5.4,4.82,4.66,4.34,4.29,4.16,4.15,3.25,3.05,2.95,2.73,2.51,2.44,2.39,2.32,2.29,2.14,2.01,1.8,1.56,1.16,0.82,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,8.09,7.74,7.28,5.94,5.49,5.36,4.97,4.73,4.41,4.31,4.19,4.12,3.13,3.15,2.97,2.74,2.46,2.39,2.39,2.36,2.29,2.12,2.02,1.86,1.58,1.18,0.81,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/13/2021,8.09,7.74,7.28,5.94,5.49,5.36,4.97,4.73,4.41,4.31,4.19,4.12,3.13,3.15,2.97,2.74,2.46,2.39,2.39,2.36,2.29,2.12,2.02,1.86,1.58,1.18,0.81,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/15/2021,8.2,7.74,7.28,5.95,5.51,5.41,4.92,4.5,4.37,4.3,4.32,4.19,3.15,3.12,2.98,2.71,2.43,2.36,2.37,2.32,2.31,2.12,2.05,1.84,1.59,1.18,0.82,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,8.13,7.67,7.31,5.94,5.62,5.4,5.01,4.5,4.36,4.34,4.38,4.14,3.12,3.13,2.97,2.74,2.46,2.33,2.37,2.23,2.31,2.09,2.03,1.85,1.6,1.19,0.83,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,8.35,7.66,7.35,6.03,4.96,5.38,4.9,4.47,4.37,4.32,4.51,4.19,3.19,3.27,2.98,2.77,2.48,2.31,2.41,2.2,2.34,2.08,1.96,1.92,1.64,1.19,0.82,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/23/2021,8.19,7.76,7.39,6.03,5.19,5.3,4.85,4.34,4.45,4.26,4.55,4.11,3.04,3.17,3.13,2.82,2.58,2.34,2.42,2.17,2.31,2.02,1.97,1.96,1.68,1.17,0.88,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,7.95,8.01,7.53,5.9,5.44,5.33,5.0,4.44,4.14,4.1,4.39,4.11,3.08,3.14,3.28,2.64,2.55,2.26,2.57,2.27,2.26,2.01,1.89,1.97,1.7,1.12,0.88,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,7.95,8.01,7.53,5.9,5.44,5.33,5.0,4.44,4.14,4.1,4.39,4.11,3.08,3.14,3.28,2.64,2.55,2.26,2.57,2.27,2.26,2.01,1.89,1.97,1.7,1.12,0.88,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,8.12,7.89,7.48,5.9,5.52,5.3,4.87,4.39,4.18,4.14,4.34,4.11,3.06,3.16,3.28,2.7,2.57,2.27,2.61,2.23,2.26,2.0,1.88,1.97,1.69,1.13,0.88,0.0,0.09,0.0,0.0,0.0,0.0,0.0,100.02
