,NVDA,ISRG,6954.T,ABBN.SW,6861.T,TSP,6506.T,6645.T,6273.T,6383.T,UPST,BRKS,TECN.SW,AI,RSW.L,CRNC,JBT,CGCBV.HE,MAXR CN,ATA.TO,IRBT,AVAV,MTRN.TA,FARO,HLX,6104.T,3993.T,6258.T,7779.T,6232.T,6572.T,4056.T,277810.KQ,UAVS,REKR,4488.T,CASH,SUM
07/09/2021,8.48,8.13,7.89,7.86,7.73,5.39,4.67,4.61,4.49,4.45,4.36,3.77,3.45,3.28,2.86,2.64,2.38,1.68,1.55,1.47,1.4,1.36,1.34,0.78,0.45,0.38,0.37,0.35,0.33,0.32,0.31,0.31,0.31,0.27,0.26,0.25,0.1,100.03
07/12/2021,8.28,8.29,7.95,8.17,7.98,4.7,4.71,4.68,4.63,4.5,4.42,3.72,3.56,3.25,2.87,2.46,2.4,1.7,1.46,1.5,1.41,1.36,1.33,0.8,0.44,0.38,0.36,0.35,0.33,0.31,0.3,0.31,0.29,0.26,0.24,0.24,0.1,100.04
07/13/2021,8.28,8.29,7.95,8.17,7.98,4.7,4.71,4.68,4.63,4.5,4.42,3.72,3.56,3.25,2.87,2.46,2.4,1.7,1.46,1.5,1.41,1.36,1.33,0.8,0.44,0.38,0.36,0.35,0.33,0.31,0.3,0.31,0.29,0.26,0.24,0.24,0.1,100.04
07/14/2021,8.36,8.3,7.69,8.35,7.83,4.78,4.58,4.63,4.53,4.42,4.44,3.82,3.55,3.29,2.88,2.47,2.45,1.7,1.45,1.55,1.47,1.4,1.34,0.81,0.44,0.38,0.36,0.34,0.33,0.31,0.3,0.31,0.3,0.25,0.26,0.24,0.1,100.01
07/15/2021,8.37,8.2,8.02,8.17,7.95,4.61,4.77,4.73,4.6,4.48,4.7,3.77,3.51,3.13,2.85,2.42,2.41,1.67,1.41,1.53,1.4,1.35,1.3,0.79,0.43,0.38,0.35,0.35,0.33,0.3,0.31,0.3,0.29,0.24,0.25,0.24,0.09,100.0
07/16/2021,8.34,8.25,8.25,8.23,8.06,4.47,4.77,4.84,4.66,4.48,4.36,3.72,3.5,3.03,2.9,2.41,2.4,1.68,1.44,1.51,1.39,1.36,1.32,0.78,0.42,0.39,0.35,0.35,0.33,0.31,0.3,0.3,0.3,0.23,0.25,0.23,0.09,100.0
07/19/2021,8.04,8.46,8.14,8.42,8.15,4.24,4.7,4.84,4.74,4.6,4.25,3.75,3.57,2.96,2.88,2.38,2.47,1.74,1.38,1.53,1.41,1.34,1.37,0.77,0.4,0.39,0.36,0.36,0.33,0.3,0.33,0.31,0.3,0.24,0.23,0.24,0.09,100.01
07/20/2021,8.04,8.46,8.14,8.42,8.15,4.24,4.7,4.84,4.74,4.6,4.25,3.75,3.57,2.96,2.88,2.38,2.47,1.74,1.38,1.53,1.41,1.34,1.37,0.77,0.4,0.39,0.36,0.36,0.33,0.3,0.33,0.31,0.3,0.24,0.23,0.24,0.09,100.01
07/21/2021,7.77,8.51,8.19,8.43,8.22,4.16,4.73,4.84,4.76,4.63,4.32,3.73,3.58,2.89,2.89,2.4,2.5,1.74,1.42,1.54,1.41,1.36,1.37,0.76,0.39,0.4,0.36,0.36,0.33,0.31,0.31,0.31,0.3,0.23,0.23,0.24,0.09,100.01
07/22/2021,8.16,8.48,8.05,8.34,8.13,4.1,4.68,4.86,4.71,4.61,4.44,3.76,3.64,2.97,2.83,2.43,2.45,1.7,1.31,1.51,1.49,1.38,1.37,0.77,0.37,0.4,0.36,0.36,0.34,0.31,0.3,0.32,0.31,0.23,0.22,0.24,0.08,100.01
07/23/2021,8.05,8.64,7.78,8.4,8.0,4.31,4.57,4.75,4.6,4.55,4.51,3.88,3.62,3.07,2.81,2.41,2.57,1.73,1.35,1.56,1.49,1.41,1.38,0.78,0.38,0.39,0.36,0.34,0.33,0.3,0.28,0.32,0.3,0.24,0.23,0.24,0.08,100.01
07/26/2021,8.35,8.69,7.68,8.58,7.95,4.07,4.56,4.74,4.57,4.54,4.42,3.87,3.66,3.02,2.94,2.36,2.52,1.74,1.45,1.57,1.47,1.38,1.4,0.77,0.39,0.39,0.35,0.34,0.33,0.29,0.28,0.32,0.3,0.23,0.22,0.23,0.08,100.05
07/27/2021,8.35,8.69,7.68,8.58,7.95,4.07,4.56,4.74,4.57,4.54,4.42,3.87,3.66,3.02,2.94,2.36,2.52,1.74,1.45,1.57,1.47,1.38,1.4,0.77,0.39,0.39,0.35,0.34,0.33,0.29,0.28,0.32,0.3,0.23,0.22,0.23,0.08,100.05
07/29/2021,8.18,8.57,7.66,8.69,8.12,3.64,4.58,4.86,4.63,4.64,4.58,3.82,3.84,2.91,2.89,2.37,2.53,1.83,1.45,1.57,1.45,1.36,1.37,0.76,0.4,0.39,0.34,0.34,0.33,0.29,0.28,0.31,0.29,0.23,0.21,0.23,0.07,100.01
07/30/2021,8.17,8.68,7.76,8.72,8.26,3.55,4.65,4.88,4.65,4.64,4.36,3.76,3.87,2.89,2.91,2.32,2.49,1.84,1.42,1.57,1.46,1.38,1.38,0.76,0.36,0.39,0.33,0.34,0.32,0.29,0.27,0.32,0.29,0.21,0.2,0.22,0.07,99.97999999999998
08/02/2021,8.24,8.61,7.82,8.63,8.15,3.5,4.66,4.76,4.59,4.59,4.6,3.79,3.94,2.89,2.96,2.34,2.66,1.69,1.44,1.57,1.4,1.42,1.36,0.76,0.36,0.4,0.32,0.34,0.32,0.29,0.27,0.29,0.3,0.22,0.21,0.22,0.07,99.97999999999998
08/03/2021,8.24,8.61,7.82,8.63,8.15,3.5,4.66,4.76,4.59,4.59,4.6,3.79,3.94,2.89,2.96,2.34,2.66,1.69,1.44,1.57,1.4,1.42,1.36,0.76,0.36,0.4,0.32,0.34,0.32,0.29,0.27,0.29,0.3,0.22,0.21,0.22,0.07,99.97999999999998
08/04/2021,8.23,8.76,7.38,8.61,8.58,3.24,4.63,4.89,4.57,4.55,4.52,3.83,3.99,2.84,2.99,2.35,2.69,1.71,1.5,1.6,1.42,1.44,1.37,0.76,0.36,0.4,0.32,0.34,0.31,0.29,0.26,0.29,0.29,0.22,0.21,0.21,0.07,100.01999999999998
