,BIL,CBON,EWZ,ECH,EGPT,PPLT,FNMA V8.25 PERP S,EUFN,FXY,FXF,n/a,SUM
12/22/2021,63.46,12.31,10.09,4.32,3.84,3.1,2.87,0.0,0.0,0.0,0.0,99.99
12/23/2021,64.11,12.43,9.91,3.88,3.72,3.13,2.83,0.0,0.0,0.0,0.0,100.00999999999998
12/24/2021,56.16,14.68,11.7,5.94,4.44,3.7,3.38,0.0,0.0,0.0,0.0,100.0
12/27/2021,56.16,14.68,11.7,5.94,4.44,3.7,3.38,0.0,0.0,0.0,0.0,100.0
12/28/2021,45.04,18.02,14.47,7.52,5.62,4.73,4.6,0.0,0.0,0.0,0.0,100.0
12/29/2021,45.04,18.02,14.47,7.52,5.62,4.73,4.6,0.0,0.0,0.0,0.0,100.0
12/30/2021,45.01,18.02,14.65,7.63,5.61,4.7,4.36,0.0,0.0,0.0,0.0,99.98
12/31/2021,45.01,18.02,14.65,7.63,5.61,4.7,4.36,0.0,0.0,0.0,0.0,99.98
01/03/2022,0.0,32.91,26.7,14.03,10.31,8.55,7.5,0.0,0.0,0.0,0.0,100.0
01/03/2022,0.0,32.91,26.7,14.03,10.31,8.55,7.5,0.0,0.0,0.0,0.0,100.0
01/03/2022,0.0,32.91,26.7,14.03,10.31,8.55,7.5,0.0,0.0,0.0,0.0,100.0
01/04/2022,0.0,32.91,26.7,14.03,10.31,8.55,7.5,0.0,0.0,0.0,0.0,100.0
01/05/2022,0.0,32.91,26.7,14.03,10.31,8.55,7.5,0.0,0.0,0.0,0.0,100.0
01/06/2022,0.0,32.91,26.7,14.03,10.31,8.55,7.5,0.0,0.0,0.0,0.0,100.0
01/07/2022,0.0,30.05,23.72,12.76,9.47,7.91,7.07,9.02,0.0,0.0,0.0,100.0
01/10/2022,0.0,30.09,23.14,13.0,9.53,7.98,7.29,8.97,0.0,0.0,0.0,100.0
01/11/2022,0.0,29.9,23.27,13.11,9.49,7.8,7.39,9.03,0.0,0.0,0.0,99.99
01/12/2022,0.0,29.9,23.27,13.11,9.49,7.8,7.39,9.03,0.0,0.0,0.0,99.99
01/13/2022,0.0,29.9,23.27,13.11,9.49,7.8,7.39,9.03,0.0,0.0,0.0,99.99
01/14/2022,0.0,17.0,13.79,7.66,5.41,4.48,4.21,5.22,18.06,18.01,6.16,100.0
