,MRK,AZN,LLY,BMY,JNJ,NVO,ABBV,PFE,NVSN.MX,SNY,ZTS,GSK,MCK,ABC,TAK,CTLT,VTRS,ELAN,TEVA,BHC.TO,JAZZ,OGN,PRGO,Amarin Corp PLC ADR,PDCO,Us Dollar,AMRN,PTBL.TA,Takeda Pharmaceutical Co Ltd ADR,n/a,SAR.AX,GVMXX,SUM
07/09/2021,5.24,5.21,5.11,5.06,5.04,5.02,4.99,4.93,4.93,4.9,4.85,4.54,4.49,4.42,4.39,4.38,4.23,3.52,3.48,3.07,2.96,2.41,1.56,0.59,0.56,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,5.27,5.15,5.18,5.1,5.08,5.13,5.08,4.91,4.95,4.82,4.99,4.54,4.45,4.38,4.35,4.54,4.06,3.5,3.32,3.0,3.02,2.36,1.57,0.0,0.56,0.0,0.58,0.14,0.0,0.0,0.0,0.0,100.03
07/13/2021,5.27,5.15,5.18,5.1,5.08,5.13,5.08,4.91,4.95,4.82,4.99,4.54,4.45,4.38,4.35,4.54,4.06,3.5,3.32,3.0,3.02,2.36,1.57,0.0,0.56,0.0,0.58,0.14,0.0,0.0,0.0,0.0,100.03
07/14/2021,5.23,5.14,5.16,5.1,5.09,5.15,5.08,4.94,4.99,4.88,4.99,4.54,4.43,4.38,4.38,4.48,4.14,3.51,3.31,3.02,3.02,2.36,1.57,0.0,0.57,0.0,0.61,-0.06,0.0,0.0,0.0,0.0,100.01
07/15/2021,5.19,5.2,5.17,5.11,5.07,5.13,5.11,4.94,4.99,4.92,5.0,4.55,4.44,4.39,0.0,4.48,4.09,3.54,3.3,3.04,3.02,2.33,1.55,0.0,0.56,0.0,0.6,-0.09,4.36,0.0,0.0,0.0,99.99
07/16/2021,5.19,5.2,5.17,5.11,5.07,5.13,5.11,4.94,4.99,4.92,5.0,4.55,4.44,4.39,0.0,4.48,4.09,3.54,3.3,3.04,3.02,2.33,1.55,0.0,0.56,0.0,0.6,-0.09,4.36,0.0,0.0,0.0,99.99
07/19/2021,5.28,4.96,5.14,5.17,5.1,5.27,5.16,5.05,4.96,4.9,5.12,4.52,4.49,4.35,4.5,4.39,4.06,3.5,3.15,2.97,2.96,2.29,1.57,0.0,0.56,0.0,0.56,0.0,0.0,0.0,0.0,0.0,99.98
07/20/2021,5.29,4.95,5.17,5.17,5.1,5.33,5.18,5.09,4.99,4.95,5.11,4.55,4.49,4.35,4.5,4.37,4.03,3.51,3.1,2.88,2.91,2.29,1.55,0.0,0.56,0.0,0.57,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,5.29,4.95,5.17,5.17,5.1,5.33,5.18,5.09,4.99,4.95,5.11,4.55,4.49,4.35,4.5,4.37,4.03,3.51,3.1,2.88,2.91,2.29,1.55,0.0,0.56,0.0,0.57,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,5.29,4.95,5.17,5.17,5.1,5.33,5.18,5.09,4.99,4.95,5.11,4.55,4.49,4.35,4.5,4.37,4.03,3.51,3.1,2.88,2.91,2.29,1.55,0.0,0.56,0.0,0.57,0.0,0.0,0.0,0.0,0.0,99.99
07/23/2021,5.29,4.95,5.17,5.17,5.1,5.33,5.18,5.09,4.99,4.95,5.11,4.55,4.49,4.35,4.5,4.37,4.03,3.51,3.1,2.88,2.91,2.29,1.55,0.0,0.56,0.0,0.57,0.0,0.0,0.0,0.0,0.0,99.99
07/26/2021,5.07,5.82,5.18,5.1,5.04,5.18,5.06,5.11,4.85,4.78,5.01,4.38,4.61,4.51,4.35,4.51,3.96,3.61,3.13,2.92,2.82,2.4,1.52,0.0,0.55,0.0,0.55,0.0,0.0,0.0,0.0,0.0,100.02
07/27/2021,5.1,5.79,5.26,5.09,5.05,5.29,5.05,5.1,4.83,4.78,5.05,4.38,4.66,4.53,4.33,4.51,3.95,3.62,3.07,2.89,2.8,2.29,1.52,0.0,0.55,0.0,0.53,0.0,0.0,0.0,0.0,0.0,100.02
07/28/2021,5.1,5.79,5.26,5.09,5.05,5.29,5.05,5.1,4.83,4.78,5.05,4.38,4.66,4.53,4.33,4.51,3.95,3.62,3.07,2.89,2.8,2.29,1.52,0.0,0.55,0.0,0.53,0.0,0.0,0.0,0.0,0.0,100.02
07/29/2021,5.11,5.69,5.28,5.07,5.09,5.24,5.07,5.15,4.83,4.8,5.01,4.35,4.69,4.54,4.35,4.42,3.95,3.58,3.14,2.92,2.81,2.3,1.53,0.0,0.55,0.0,0.53,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,5.14,5.73,5.26,5.04,5.09,5.24,5.05,5.16,4.84,4.77,5.02,4.39,4.71,4.55,4.32,4.44,3.96,3.61,3.12,2.85,2.8,2.25,1.55,0.0,0.55,0.0,0.53,0.0,0.0,0.0,0.0,0.0,99.97
08/02/2021,5.09,5.59,5.25,5.06,5.0,5.27,5.01,5.25,4.8,4.75,4.98,4.33,4.64,4.48,4.35,4.47,3.99,3.6,3.45,2.95,2.78,2.26,1.54,0.0,0.55,0.0,0.56,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,5.09,5.59,5.25,5.06,5.0,5.27,5.01,5.25,4.8,4.75,4.98,4.33,4.64,4.48,4.35,4.47,3.99,3.6,3.45,2.95,2.78,2.26,1.54,0.0,0.55,0.0,0.56,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,5.09,5.59,5.25,5.06,5.0,5.27,5.01,5.25,4.8,4.75,4.98,4.33,4.64,4.48,4.35,4.47,3.99,3.6,3.45,2.95,2.78,2.26,1.54,0.0,0.55,0.0,0.56,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,5.09,5.59,5.25,5.06,5.0,5.27,5.01,5.25,4.8,4.75,4.98,4.33,4.64,4.48,4.35,4.47,3.99,3.6,3.45,2.95,2.78,2.26,1.54,0.0,0.55,0.0,0.56,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,4.94,5.64,5.42,5.07,5.04,5.34,4.88,5.49,4.81,4.67,4.98,4.43,4.67,4.54,4.2,4.67,3.96,3.59,3.4,2.63,2.71,2.23,1.57,0.0,0.55,0.0,0.56,0.0,0.0,0.0,0.0,0.0,99.99
08/09/2021,4.9,5.73,5.61,5.02,5.04,5.93,4.85,5.43,4.8,4.6,4.99,4.47,4.53,4.49,4.2,4.68,3.9,3.51,3.44,2.59,2.36,2.24,1.56,0.0,0.53,0.0,0.64,-0.02,0.0,0.0,0.0,0.0,100.02
08/10/2021,4.92,5.57,5.63,5.03,5.05,5.75,4.85,5.47,4.78,4.65,4.97,4.44,4.56,4.47,4.15,4.68,4.01,3.48,3.47,2.68,2.4,2.25,1.6,0.0,0.53,0.0,0.65,-0.01,0.0,0.0,0.0,0.0,100.03
08/11/2021,4.92,5.57,5.63,5.03,5.05,5.75,4.85,5.47,4.78,4.65,4.97,4.44,4.56,4.47,4.15,4.68,4.01,3.48,3.47,2.68,2.4,2.25,1.6,0.0,0.53,0.0,0.65,-0.01,0.0,0.0,0.0,0.0,100.03
08/13/2021,4.91,5.57,5.76,4.98,5.07,5.79,4.87,5.85,4.83,4.66,4.89,4.47,4.45,4.41,0.0,4.59,4.25,2.91,3.5,2.72,2.31,2.32,1.6,0.0,0.52,0.0,0.64,-0.01,0.0,4.16,0.0,0.0,100.02
08/16/2021,4.93,5.65,5.6,4.92,5.08,5.86,4.87,5.7,4.84,4.67,4.89,4.51,4.49,4.42,4.2,4.61,4.18,2.96,3.44,2.71,2.31,2.54,1.34,0.0,0.53,0.0,0.74,-0.01,0.0,0.0,0.0,0.0,99.98
08/17/2021,4.94,5.71,5.57,4.92,5.07,5.87,4.87,5.81,4.85,4.68,4.89,4.55,4.47,4.37,0.0,4.59,4.15,3.01,3.36,2.73,2.24,2.58,1.32,0.0,0.53,0.0,0.71,0.0,0.0,4.21,0.0,0.0,100.0
08/18/2021,4.94,5.71,5.57,4.92,5.07,5.87,4.87,5.81,4.85,4.68,4.89,4.55,4.47,4.37,4.21,4.59,4.15,3.01,3.36,2.73,2.24,2.58,1.32,0.0,0.53,0.0,0.71,0.0,0.0,0.0,0.0,0.0,100.0
08/19/2021,4.94,5.71,5.57,4.92,5.07,0.0,4.87,5.81,4.85,4.68,4.89,4.55,4.47,4.37,4.21,4.59,4.15,3.01,3.36,2.73,2.24,2.58,1.32,0.0,0.53,0.0,0.71,0.0,0.0,5.87,0.0,0.0,100.0
08/20/2021,4.99,5.7,5.66,4.97,5.09,5.86,4.92,5.82,4.85,4.66,4.94,4.54,4.47,4.36,4.15,4.57,4.11,3.05,3.31,2.71,2.2,2.57,1.31,0.0,0.52,0.0,0.68,0.0,0.0,0.0,0.0,0.0,100.01
08/23/2021,5.03,5.75,5.68,4.97,5.12,6.01,4.91,5.82,4.8,4.72,4.99,4.52,4.47,4.34,4.15,4.58,4.07,3.05,3.14,2.75,2.06,2.56,1.27,0.0,0.52,0.0,0.7,-0.01,0.0,0.0,0.0,0.0,99.97
