,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,TSLA,NVDA,JPM,JNJ,V,UNH,PYPL,MA,HD,PG,DIS,BAC,ADBE,XOM,CMCSA,NFLX,VZ,INTC,CRM,CSCO,PFE,KO,CVX,T,PEP,ABT,ABBV,NKE,MRK,TMO,WFC,WMT,ACN,AVGO,LLY,MCD,TXN,COST,DHR,MDT,QCOM,HON,PM,BMY,UPS,LIN,C,UNP,NEE,ORCL,AMGN,BA,LOW,SBUX,RTX,INTU,IBM,MS,GS,AMAT,BLK,AMT,TGT,CAT,GE,MMM,AXP,SCHW,DE,CVS,NOW,ISRG,AMD,CHTR,SPGI,SQ,BKNG,ANTM,LMT,PLD,LRCX,FIS,MU,ZTS,MDLZ,MO,SYK,GILD,CCI,TMUS,ADP,COP,PNC,CI,TJX,GM,USB,CME,ZM,DUK,UBER,TFC,EL,CB,COF,ATVI,CSX,MMC,MELI,BX,NSC,ICE,EQIX,ILMN,BDX,FDX,CL,MRNA,SHW,FISV,SO,EW,ADI,D,TWLO,None,BSX,APD,ADSK,SNAP,ITW,F,ETN,MCO,NXPI,NOC,GPN,REGN,HUM,PGR,EMR,WM,IDXX,BIIB,AON,TWTR,FCX,HCA,DOCU,ECL,VRTX,CRWD,EOG,DG,NEM,ROKU,ROP,SLB,PSA,JCI,IQV,KLAC,DOW,MSCI,AEP,EXC,CMG,DLR,TROW,SRE,GD,LULU,ROST,VEEV,KMB,WDAY,LHX,MET,MTCH,ALGN,EBAY,A,CNC,PRU,MCHP,DD,APH,BAX,BK,SNPS,APTV,TT,INFO,CARR,EA,ORLY,TEL,GIS,XEL,AIG,SPG,ALL,STZ,SUM
07/09/2021,6.64,6.34,4.63,2.6,2.34,2.3,1.68,1.65,1.51,1.48,1.37,1.27,1.21,1.07,1.06,1.06,1.05,1.02,1.0,0.88,0.87,0.82,0.74,0.74,0.72,0.71,0.71,0.68,0.67,0.66,0.66,0.64,0.64,0.64,0.62,0.62,0.62,0.61,0.6,0.6,0.59,0.58,0.55,0.55,0.55,0.54,0.53,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.42,0.42,0.42,0.42,0.42,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.86
07/12/2021,6.64,6.34,4.63,2.6,2.34,2.3,1.68,1.65,1.51,1.48,1.37,1.27,1.21,1.07,1.06,1.06,1.05,1.02,1.0,0.88,0.87,0.82,0.74,0.74,0.72,0.71,0.71,0.68,0.67,0.66,0.66,0.64,0.64,0.64,0.62,0.62,0.62,0.61,0.6,0.6,0.59,0.58,0.55,0.55,0.55,0.54,0.53,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.42,0.42,0.42,0.42,0.42,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.86
07/13/2021,6.64,6.34,4.63,2.6,2.34,2.3,1.68,1.65,1.51,1.48,1.37,1.27,1.21,1.07,1.06,1.06,1.05,1.02,1.0,0.88,0.87,0.82,0.74,0.74,0.72,0.71,0.71,0.68,0.67,0.66,0.66,0.64,0.64,0.64,0.62,0.62,0.62,0.61,0.6,0.6,0.59,0.58,0.55,0.55,0.55,0.54,0.53,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.42,0.42,0.42,0.42,0.42,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.86
07/14/2021,6.64,6.34,4.63,2.6,2.34,2.3,1.68,1.65,1.51,1.48,1.37,1.27,1.21,1.07,1.06,1.06,1.05,1.02,1.0,0.88,0.87,0.82,0.74,0.74,0.72,0.71,0.71,0.68,0.67,0.66,0.66,0.64,0.64,0.64,0.62,0.62,0.62,0.61,0.6,0.6,0.59,0.58,0.55,0.55,0.55,0.54,0.53,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.42,0.42,0.42,0.42,0.42,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.86
07/15/2021,6.64,6.34,4.63,2.6,2.34,2.3,1.68,1.65,1.51,1.48,1.37,1.27,1.21,1.07,1.06,1.06,1.05,1.02,1.0,0.88,0.87,0.82,0.74,0.74,0.72,0.71,0.71,0.68,0.67,0.66,0.66,0.64,0.64,0.64,0.62,0.62,0.62,0.61,0.6,0.6,0.59,0.58,0.55,0.55,0.55,0.54,0.53,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.42,0.42,0.42,0.42,0.42,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.86
07/16/2021,6.64,6.34,4.63,2.6,2.34,2.3,1.68,1.65,1.51,1.48,1.37,1.27,1.21,1.07,1.06,1.06,1.05,1.02,1.0,0.88,0.87,0.82,0.74,0.74,0.72,0.71,0.71,0.68,0.67,0.66,0.66,0.64,0.64,0.64,0.62,0.62,0.62,0.61,0.6,0.6,0.59,0.58,0.55,0.55,0.55,0.54,0.53,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.42,0.42,0.42,0.42,0.42,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.86
07/22/2021,7.1,6.63,4.84,2.57,2.38,2.34,1.64,1.58,1.49,1.41,1.4,1.29,1.23,1.1,1.02,1.08,1.09,1.0,0.89,0.92,0.75,0.83,0.75,0.74,0.7,0.7,0.71,0.71,0.69,0.59,0.63,0.68,0.67,0.65,0.64,0.62,0.65,0.56,0.62,0.63,0.6,0.59,0.54,0.55,0.58,0.57,0.53,0.5,0.49,0.49,0.47,0.49,0.47,0.43,0.45,0.48,0.5,0.45,0.36,0.43,0.43,0.39,0.43,0.39,0.42,0.38,0.38,0.38,0.41,0.4,0.35,0.34,0.37,0.34,0.32,0.33,0.34,0.35,0.35,0.34,0.31,0.31,0.29,0.27,0.3,0.29,0.3,0.27,0.28,0.27,0.3,0.29,0.28,0.26,0.27,0.28,0.27,0.27,0.23,0.24,0.25,0.25,0.22,0.24,0.24,0.24,0.25,0.21,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.24,0.22,0.23,0.23,0.23,0.3,0.22,0.2,0.21,0.2,0.19,0.19,0.19,0.0,0.19,0.2,0.2,0.18,0.2,0.16,0.19,0.19,0.17,0.17,0.17,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.16,0.17,0.15,0.18,0.18,0.17,0.16,0.16,0.13,0.17,0.15,0.15,0.16,0.0,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.14,0.15,0.13,0.14,0.13,0.13,0.14,0.14,0.14,0.13,0.0,0.0,0.0,0.13,0.13,0.0,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.0,97.07
07/23/2021,7.18,6.59,4.8,2.56,2.38,2.34,1.65,1.6,1.45,1.42,1.39,1.28,1.22,1.1,1.03,1.08,1.07,1.01,0.89,0.91,0.74,0.82,0.74,0.72,0.7,0.7,0.71,0.72,0.68,0.59,0.62,0.67,0.66,0.64,0.64,0.6,0.65,0.58,0.61,0.62,0.59,0.59,0.55,0.54,0.58,0.57,0.53,0.49,0.5,0.46,0.47,0.48,0.47,0.43,0.45,0.47,0.5,0.44,0.37,0.43,0.43,0.4,0.44,0.39,0.43,0.39,0.38,0.39,0.4,0.4,0.35,0.35,0.37,0.35,0.32,0.34,0.34,0.35,0.36,0.33,0.31,0.31,0.3,0.28,0.3,0.29,0.3,0.27,0.28,0.27,0.3,0.28,0.27,0.26,0.27,0.28,0.27,0.27,0.23,0.24,0.25,0.25,0.23,0.24,0.24,0.24,0.25,0.21,0.23,0.24,0.24,0.23,0.22,0.22,0.23,0.22,0.22,0.2,0.21,0.24,0.22,0.23,0.23,0.22,0.29,0.21,0.2,0.21,0.21,0.19,0.19,0.2,0.0,0.19,0.2,0.2,0.18,0.2,0.17,0.19,0.19,0.17,0.17,0.17,0.19,0.19,0.18,0.18,0.18,0.18,0.15,0.16,0.17,0.15,0.21,0.18,0.17,0.16,0.16,0.13,0.17,0.15,0.15,0.16,0.0,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.15,0.14,0.15,0.13,0.13,0.14,0.14,0.14,0.13,0.0,0.0,0.0,0.0,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.13,0.13,0.0,0.0,97.04999999999998
07/26/2021,7.13,6.67,4.83,2.61,2.39,2.35,1.63,1.55,1.51,1.41,1.39,1.28,1.22,1.11,1.04,1.08,1.04,0.99,0.89,0.93,0.75,0.82,0.7,0.72,0.7,0.74,0.71,0.72,0.68,0.59,0.62,0.66,0.65,0.64,0.65,0.6,0.64,0.58,0.6,0.62,0.6,0.59,0.55,0.53,0.57,0.57,0.53,0.5,0.5,0.47,0.47,0.48,0.48,0.43,0.45,0.46,0.51,0.43,0.38,0.43,0.45,0.4,0.44,0.39,0.44,0.39,0.39,0.38,0.4,0.4,0.35,0.35,0.36,0.35,0.31,0.34,0.34,0.35,0.36,0.34,0.31,0.31,0.32,0.28,0.29,0.29,0.29,0.28,0.28,0.26,0.3,0.28,0.27,0.26,0.27,0.26,0.26,0.27,0.24,0.24,0.25,0.25,0.22,0.23,0.23,0.24,0.25,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.21,0.21,0.23,0.22,0.23,0.22,0.21,0.31,0.21,0.2,0.21,0.21,0.19,0.19,0.2,0.0,0.19,0.2,0.21,0.18,0.2,0.17,0.19,0.19,0.17,0.17,0.17,0.19,0.19,0.17,0.18,0.17,0.18,0.15,0.16,0.17,0.16,0.2,0.19,0.17,0.16,0.16,0.13,0.17,0.15,0.15,0.16,0.0,0.14,0.15,0.14,0.15,0.14,0.14,0.13,0.14,0.16,0.14,0.14,0.13,0.14,0.15,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.15,0.14,0.13,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.0,0.0,0.13,0.13,0.0,0.0,97.14
07/27/2021,7.14,6.68,4.8,2.71,2.45,2.4,1.62,1.52,1.49,1.4,1.39,1.29,1.21,1.11,1.05,1.08,1.05,0.98,0.87,0.92,0.74,0.82,0.7,0.71,0.66,0.73,0.71,0.71,0.68,0.59,0.62,0.67,0.65,0.64,0.65,0.6,0.64,0.56,0.6,0.62,0.6,0.6,0.56,0.53,0.57,0.57,0.53,0.5,0.49,0.47,0.47,0.47,0.48,0.42,0.45,0.46,0.49,0.43,0.37,0.43,0.46,0.4,0.44,0.39,0.43,0.39,0.39,0.38,0.4,0.4,0.35,0.34,0.36,0.35,0.31,0.34,0.34,0.35,0.36,0.34,0.31,0.31,0.32,0.28,0.29,0.28,0.29,0.28,0.28,0.26,0.3,0.28,0.27,0.26,0.27,0.26,0.26,0.27,0.23,0.24,0.25,0.25,0.22,0.23,0.23,0.23,0.25,0.22,0.23,0.24,0.23,0.22,0.22,0.22,0.23,0.23,0.23,0.21,0.21,0.23,0.22,0.22,0.22,0.22,0.33,0.21,0.21,0.21,0.21,0.19,0.19,0.2,0.0,0.19,0.2,0.21,0.22,0.2,0.17,0.19,0.19,0.17,0.17,0.17,0.19,0.19,0.17,0.18,0.17,0.18,0.15,0.16,0.18,0.16,0.2,0.18,0.17,0.16,0.16,0.13,0.17,0.15,0.17,0.16,0.0,0.14,0.15,0.14,0.15,0.14,0.14,0.13,0.14,0.16,0.13,0.14,0.13,0.13,0.15,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.15,0.14,0.13,0.0,0.12,0.0,0.13,0.0,0.0,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.12,0.12,97.11
