,NIO,INFY,BABA,HDB,IBN,PDD,RDY,BILI,JD,WIT,BIDU,TTM,WNS,MMYT,VEDL,NTES,BEKE,VIPS,LI,XPEV,QFIN,AZRE,WB,SIFY,FUTU,DADA,IQ,GDS,YUMC,MLCO,TIGR,HTHT,ZLAB,SOS,ZTO,DQ,TME,CAN,BGNE,API,LU,TCOM,YY,ATHM,KC,YSG,EDU,GOTU,RLX,TAL,US Dollar,Yatsen Holding Ltd ADR,Interest/Overdraft,n/a,8174.T,688101.SS,688001.SS,CLV.,RNW,DIDI,BZ,PTR,JKS,YMM,IMAB,ZH,SUM
07/09/2021,9.16,7.68,6.96,6.84,6.76,6.37,4.19,4.08,3.94,3.89,3.83,3.76,2.23,2.18,1.94,1.87,1.63,1.62,1.0,0.95,0.84,0.83,0.78,0.74,0.71,0.71,0.7,0.7,0.68,0.66,0.66,0.64,0.64,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.57,0.56,0.54,0.53,0.53,0.52,0.51,0.49,0.36,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,8.48,7.94,6.92,6.91,6.93,6.4,4.26,4.09,4.09,3.95,3.8,3.85,2.23,2.25,2.06,1.89,1.61,1.67,0.96,0.88,0.66,0.9,0.83,0.73,0.69,0.74,0.65,0.66,0.68,0.66,0.64,0.61,0.67,0.61,0.64,0.64,0.58,0.57,0.65,0.6,0.55,0.54,0.55,0.57,0.54,0.55,0.46,0.5,0.5,0.38,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/13/2021,8.48,7.94,6.92,6.91,6.93,6.4,4.26,4.09,4.09,3.95,3.8,3.85,2.23,2.25,2.06,1.89,1.61,1.67,0.96,0.88,0.66,0.9,0.83,0.73,0.69,0.74,0.65,0.66,0.68,0.66,0.64,0.61,0.67,0.61,0.64,0.64,0.58,0.57,0.65,0.6,0.55,0.54,0.55,0.57,0.54,0.55,0.46,0.5,0.5,0.38,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/14/2021,8.48,7.94,6.92,6.91,6.93,6.4,4.26,4.09,4.09,3.96,3.8,3.86,2.23,2.25,2.06,1.89,1.61,1.67,0.96,0.88,0.66,0.9,0.83,0.73,0.69,0.74,0.65,0.66,0.68,0.66,0.64,0.61,0.67,0.61,0.64,0.64,0.58,0.57,0.65,0.6,0.55,0.54,0.55,0.57,0.54,0.0,0.46,0.5,0.5,0.38,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,8.66,7.85,6.93,6.91,7.08,6.39,4.28,4.12,4.08,3.95,3.79,3.86,2.23,2.26,2.04,1.9,1.5,1.67,1.0,0.88,0.67,0.9,0.84,0.71,0.68,0.75,0.65,0.66,0.69,0.66,0.62,0.61,0.69,0.59,0.64,0.65,0.56,0.56,0.65,0.6,0.52,0.54,0.53,0.56,0.53,0.0,0.45,0.47,0.47,0.36,0.0,0.54,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,8.33,7.79,7.01,6.83,7.07,6.42,4.2,4.21,4.23,3.88,3.84,3.84,2.21,2.31,1.99,1.94,1.56,1.73,0.98,0.86,0.7,0.91,0.86,0.68,0.67,0.74,0.65,0.69,0.68,0.65,0.61,0.61,0.68,0.57,0.65,0.68,0.58,0.53,0.65,0.6,0.54,0.54,0.57,0.58,0.55,0.0,0.47,0.47,0.47,0.38,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,8.12,7.84,7.21,7.04,7.17,6.37,4.17,4.22,4.26,4.18,3.88,3.87,2.23,2.14,2.0,1.99,1.54,1.74,0.94,0.85,0.76,0.82,0.87,0.65,0.67,0.74,0.63,0.69,0.68,0.64,0.57,0.64,0.68,0.54,0.64,0.65,0.56,0.53,0.65,0.55,0.54,0.53,0.57,0.57,0.54,0.0,0.47,0.46,0.45,0.39,0.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,8.11,7.9,7.26,7.14,7.17,6.3,4.25,4.25,4.28,4.3,3.83,3.92,2.23,2.09,2.03,1.99,1.57,1.68,0.94,0.87,0.76,0.81,0.85,0.66,0.67,0.72,0.62,0.69,0.69,0.62,0.57,0.62,0.63,0.52,0.65,0.64,0.53,0.49,0.65,0.57,0.53,0.52,0.57,0.57,0.54,0.0,0.45,0.42,0.42,0.36,0.0,0.49,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,8.11,7.9,7.26,7.14,7.17,6.3,4.25,4.25,4.28,4.3,3.83,3.92,2.23,2.09,2.03,1.99,1.57,1.68,0.94,0.87,0.76,0.81,0.85,0.66,0.67,0.72,0.62,0.69,0.69,0.62,0.57,0.62,0.63,0.52,0.65,0.64,0.53,0.49,0.65,0.57,0.53,0.52,0.57,0.57,0.54,0.0,0.45,0.42,0.42,0.36,0.0,0.49,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,8.37,7.96,7.28,6.74,7.13,6.25,4.32,4.31,4.28,4.34,3.83,3.94,2.24,2.06,1.99,2.03,1.52,1.64,0.96,0.91,0.77,0.81,0.87,0.69,0.69,0.74,0.63,0.71,0.69,0.61,0.57,0.62,0.63,0.53,0.65,0.63,0.53,0.5,0.66,0.57,0.52,0.51,0.55,0.57,0.55,0.47,0.42,0.4,0.41,0.34,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
