,EBS.VI,OMV.VI,VER.VI,VOE.VI,WIE.VI,CAI.VI,ANDR.VI,BG.VI,RBI.VI,IIA.VI,POST.VI,LNZ.VI,TKA.VI,ATS.VI,UQA.VI,SPI.VI,VIG.VI,EVN.VI,DOC.VI,PAL.VI,SEM.VI,SBO.VI,EUR,ZAG.VI,AGR.VI,FACC.VI,POS.VI,HBCFT,XTSLA,VGU1,USD,VGZ1,SUM
07/09/2021,15.69,12.47,9.69,6.28,4.64,4.49,4.48,4.4,4.27,3.6,3.39,3.04,2.74,2.39,2.21,2.15,2.12,1.88,1.53,1.43,1.18,1.15,1.03,0.99,0.95,0.89,0.83,0.08,0.05,0.0,0.0,0.0,100.04
07/19/2021,15.66,12.19,9.6,6.54,4.69,4.51,4.56,4.29,4.29,3.58,3.55,3.02,2.78,2.53,2.25,2.06,2.17,1.84,1.33,1.51,1.18,1.07,1.11,1.02,0.9,0.87,0.81,0.08,0.02,0.0,0.0,0.0,100.01
07/20/2021,15.66,12.19,9.6,6.54,4.69,4.51,4.56,4.29,4.29,3.58,3.55,3.02,2.78,2.53,2.25,2.06,2.17,1.84,1.33,1.51,1.18,1.07,1.11,1.02,0.9,0.87,0.81,0.08,0.02,0.0,0.0,0.0,100.01
08/02/2021,16.21,12.34,9.71,6.95,4.85,2.95,4.57,4.65,4.35,3.58,3.38,3.13,2.73,2.58,2.14,2.1,2.14,1.9,1.36,1.46,1.15,1.07,1.0,1.03,0.87,0.82,0.83,0.08,0.03,0.0,0.04,0.0,100.0
08/03/2021,16.57,12.01,9.34,6.88,4.92,3.01,4.47,4.62,4.53,3.69,3.36,3.17,2.74,2.53,2.17,2.12,2.16,1.87,1.39,1.5,1.14,1.06,1.0,1.04,0.88,0.82,0.84,0.08,0.03,0.0,0.04,0.0,99.98
08/04/2021,16.57,12.01,9.34,6.88,4.92,3.01,4.47,4.62,4.53,3.69,3.36,3.17,2.74,2.53,2.17,2.12,2.16,1.87,1.39,1.5,1.14,1.06,1.0,1.04,0.88,0.82,0.84,0.08,0.03,0.0,0.04,0.0,99.98
08/05/2021,16.57,12.01,9.34,6.88,4.92,3.01,4.47,4.62,4.53,3.69,3.36,3.17,2.74,2.53,2.17,2.12,2.16,1.87,1.39,1.5,1.14,1.06,1.0,1.04,0.88,0.82,0.84,0.08,0.03,0.0,0.04,0.0,99.98
08/06/2021,16.75,12.26,9.26,6.81,4.94,2.95,4.5,4.64,4.43,3.71,3.32,3.14,2.75,2.48,2.2,2.09,2.15,1.87,1.33,1.49,1.11,1.07,1.07,1.03,0.88,0.81,0.84,0.08,0.05,0.0,0.0,0.0,100.01
08/10/2021,17.0,12.05,9.45,7.04,4.84,2.99,4.45,4.67,4.58,3.72,3.12,3.2,2.72,2.34,2.23,2.11,2.15,1.84,1.33,1.46,1.07,1.05,1.04,1.0,0.87,0.77,0.83,0.08,0.05,0.0,0.0,0.0,100.05
08/11/2021,17.0,12.05,9.45,7.04,4.84,2.99,4.45,4.67,4.58,3.72,3.12,3.2,2.72,2.34,2.23,2.11,2.15,1.84,1.33,1.46,1.07,1.05,1.04,1.0,0.87,0.77,0.83,0.08,0.05,0.0,0.0,0.0,100.05
08/12/2021,17.11,12.04,9.37,7.02,4.84,2.99,4.43,4.68,4.6,3.74,3.09,3.19,2.76,2.32,2.22,2.1,2.15,1.85,1.33,1.45,1.09,1.03,1.04,1.01,0.88,0.76,0.82,0.08,0.05,0.0,0.0,0.0,100.04
08/13/2021,17.13,12.1,9.35,7.04,4.81,2.96,4.47,4.65,4.56,3.69,3.04,3.22,2.79,2.29,2.22,2.1,2.15,1.87,1.32,1.44,1.19,1.05,1.03,1.0,0.87,0.77,0.81,0.08,0.05,0.0,0.0,0.0,100.05
08/16/2021,17.09,12.09,9.35,7.12,4.82,2.91,4.49,4.63,4.57,3.7,3.04,3.18,2.79,2.32,2.21,2.08,2.19,1.85,1.33,1.47,1.17,1.04,1.03,0.98,0.9,0.75,0.8,0.08,0.01,0.0,0.0,0.0,99.99
08/17/2021,17.02,12.04,9.47,7.16,4.81,2.91,4.53,4.66,4.6,3.7,3.03,3.15,2.76,2.23,2.23,2.09,2.24,1.86,1.32,1.44,1.16,1.04,1.03,0.99,0.89,0.75,0.81,0.08,0.01,0.0,0.0,0.0,100.01
08/19/2021,16.99,11.98,9.54,7.1,4.81,2.94,4.52,4.66,4.59,3.74,3.03,3.12,2.79,2.21,2.25,2.08,2.24,1.87,1.3,1.42,1.18,1.02,1.03,1.02,0.9,0.75,0.81,0.08,0.01,0.0,0.0,0.0,99.98000000000002
08/20/2021,16.86,12.06,9.63,7.07,4.79,2.91,4.53,4.63,4.59,3.72,3.04,3.16,2.77,2.23,2.26,2.05,2.24,1.89,1.29,1.47,1.15,1.03,1.03,1.06,0.91,0.73,0.81,0.09,0.01,0.0,0.0,0.0,100.01000000000002
08/24/2021,16.47,11.72,10.58,6.9,4.8,2.92,4.48,4.62,4.5,3.79,2.94,3.11,2.81,2.22,2.32,2.06,2.3,1.95,1.32,1.42,1.16,0.97,1.01,1.08,0.89,0.77,0.79,0.09,0.03,0.0,0.0,0.0,100.02
08/25/2021,16.47,11.72,10.58,6.9,4.8,2.92,4.48,4.62,4.5,3.79,2.94,3.11,2.81,2.22,2.32,2.06,2.3,1.95,1.32,1.42,1.16,0.97,1.01,1.08,0.89,0.77,0.79,0.09,0.03,0.0,0.0,0.0,100.02
08/26/2021,16.43,11.91,10.56,6.88,4.76,2.89,4.44,4.63,4.49,3.72,2.95,3.15,2.76,2.25,2.32,2.02,2.28,1.97,1.33,1.44,1.17,1.03,1.01,1.06,0.9,0.78,0.78,0.09,0.03,0.0,0.0,0.0,100.03000000000002
08/27/2021,16.38,12.13,10.59,6.94,4.71,2.88,4.42,4.58,4.46,3.69,2.88,3.2,2.72,2.28,2.31,2.02,2.25,1.96,1.34,1.4,1.19,1.04,1.01,1.05,0.9,0.79,0.78,0.08,0.03,0.0,0.0,0.0,100.01
08/30/2021,16.5,11.97,10.47,6.89,4.76,2.86,4.46,4.71,4.49,3.69,2.88,3.21,2.75,2.25,2.3,2.01,2.22,1.94,1.32,1.44,1.2,1.03,1.01,1.05,0.89,0.78,0.81,0.08,0.03,0.0,0.0,0.0,100.0
08/31/2021,16.36,12.08,10.43,6.9,4.76,2.87,4.46,4.69,4.47,3.72,2.87,3.17,2.76,2.29,2.3,2.07,2.21,1.93,1.33,1.47,1.17,1.06,1.01,1.07,0.88,0.78,0.81,0.08,0.03,0.0,0.0,0.0,100.03
09/01/2021,16.36,12.08,10.43,6.9,4.76,2.87,4.46,4.69,4.47,3.72,2.87,3.17,2.76,2.29,2.3,2.07,2.21,1.93,1.33,1.47,1.17,1.06,1.01,1.07,0.88,0.78,0.81,0.08,0.03,0.0,0.0,0.0,100.03
09/02/2021,16.34,12.04,10.6,6.82,4.73,2.88,4.47,4.69,4.42,3.73,2.86,3.16,2.75,2.28,2.27,2.1,2.22,1.94,1.32,1.47,1.19,1.04,1.01,1.08,0.9,0.79,0.82,0.08,0.03,0.0,0.0,0.0,100.03
09/03/2021,16.08,11.51,10.43,6.83,4.26,3.36,4.46,4.53,4.32,3.82,2.88,3.23,2.79,2.31,2.29,2.23,2.24,2.02,1.39,1.63,1.22,1.25,0.98,1.03,0.98,0.92,0.93,0.08,0.03,0.0,0.0,0.0,100.03000000000002
09/07/2021,16.38,11.48,10.49,6.66,4.24,3.33,4.49,4.44,4.41,3.7,2.82,3.24,2.72,2.34,2.26,2.2,2.23,2.17,1.41,1.58,1.22,1.24,0.96,1.08,0.96,0.9,0.97,0.08,0.03,0.0,0.0,0.0,100.03
09/08/2021,16.38,11.48,10.49,6.66,4.24,3.33,4.49,4.44,4.41,3.7,2.82,3.24,2.72,2.34,2.26,2.2,2.23,2.17,1.41,1.58,1.22,1.24,0.96,1.08,0.96,0.9,0.97,0.08,0.03,0.0,0.0,0.0,100.03
09/09/2021,16.47,11.62,10.59,6.68,4.29,3.33,4.53,4.49,4.44,3.71,2.87,3.32,2.74,2.45,2.27,2.19,2.25,2.17,1.39,1.61,1.21,1.24,0.98,1.08,0.98,0.99,0.97,0.08,0.03,0.0,0.0,0.0,100.97
09/10/2021,16.27,11.61,10.42,6.61,4.25,3.29,4.46,4.48,4.39,3.7,2.83,3.21,2.72,2.42,2.26,2.2,2.22,2.15,1.38,1.6,1.2,1.23,0.96,1.07,0.96,1.05,0.97,0.08,0.03,0.0,0.0,0.0,100.01999999999998
09/14/2021,16.34,11.57,10.41,6.48,4.24,3.33,4.55,4.5,4.46,3.71,2.85,2.98,2.78,2.39,2.26,2.21,2.24,2.17,1.37,1.63,1.2,1.28,0.95,1.06,0.97,1.01,0.97,0.08,0.06,0.0,0.0,0.0,100.05
09/15/2021,16.34,11.57,10.41,6.48,4.24,3.33,4.55,4.5,4.46,3.71,2.85,2.98,2.78,2.39,2.26,2.21,2.24,2.17,1.37,1.63,1.2,1.28,0.95,1.06,0.97,1.01,0.97,0.08,0.06,0.0,0.0,0.0,100.05
09/16/2021,16.64,11.62,10.51,6.42,4.21,3.32,4.46,4.51,4.48,3.71,2.84,2.96,2.75,2.32,2.27,2.17,2.21,2.17,1.37,1.6,1.21,1.3,0.94,1.03,0.95,0.99,0.95,0.08,0.06,0.0,0.0,0.0,100.05
09/17/2021,16.56,11.88,10.63,6.3,4.2,3.34,4.42,4.49,4.48,3.67,2.86,2.92,2.78,2.28,2.24,2.15,2.24,2.19,1.38,1.61,1.17,1.29,0.94,1.02,0.95,0.98,0.96,0.08,0.0,0.0,0.01,0.0,100.01999999999998
09/20/2021,16.74,12.18,10.14,6.31,4.11,3.33,4.43,4.63,4.53,3.66,2.88,2.89,2.75,2.28,2.25,2.2,2.26,2.16,1.34,1.6,1.16,1.28,0.94,1.05,0.94,0.94,0.95,0.08,0.01,0.0,0.0,0.0,100.02
09/21/2021,17.0,12.11,10.09,6.19,3.9,3.37,4.48,4.56,4.57,3.64,2.85,2.97,2.75,2.26,2.22,2.21,2.27,2.17,1.37,1.65,1.15,1.29,0.94,1.01,0.97,0.94,0.98,0.08,0.02,0.0,0.0,0.0,100.00999999999999
