,EBS.VI,OMV.VI,VER.VI,VOE.VI,WIE.VI,CAI.VI,ANDR.VI,BG.VI,RBI.VI,IIA.VI,POST.VI,LNZ.VI,TKA.VI,ATS.VI,UQA.VI,SPI.VI,VIG.VI,EVN.VI,DOC.VI,PAL.VI,SEM.VI,SBO.VI,EUR,ZAG.VI,AGR.VI,FACC.VI,POS.VI,HBCFT,XTSLA,VGU1,USD,SUM
07/09/2021,15.69,12.47,9.69,6.28,4.64,4.49,4.48,4.4,4.27,3.6,3.39,3.04,2.74,2.39,2.21,2.15,2.12,1.88,1.53,1.43,1.18,1.15,1.03,0.99,0.95,0.89,0.83,0.08,0.05,0.0,0.0,100.04
07/19/2021,15.66,12.19,9.6,6.54,4.69,4.51,4.56,4.29,4.29,3.58,3.55,3.02,2.78,2.53,2.25,2.06,2.17,1.84,1.33,1.51,1.18,1.07,1.11,1.02,0.9,0.87,0.81,0.08,0.02,0.0,0.0,100.01
07/20/2021,15.66,12.19,9.6,6.54,4.69,4.51,4.56,4.29,4.29,3.58,3.55,3.02,2.78,2.53,2.25,2.06,2.17,1.84,1.33,1.51,1.18,1.07,1.11,1.02,0.9,0.87,0.81,0.08,0.02,0.0,0.0,100.01
08/02/2021,16.21,12.34,9.71,6.95,4.85,2.95,4.57,4.65,4.35,3.58,3.38,3.13,2.73,2.58,2.14,2.1,2.14,1.9,1.36,1.46,1.15,1.07,1.0,1.03,0.87,0.82,0.83,0.08,0.03,0.0,0.04,100.0
08/03/2021,16.57,12.01,9.34,6.88,4.92,3.01,4.47,4.62,4.53,3.69,3.36,3.17,2.74,2.53,2.17,2.12,2.16,1.87,1.39,1.5,1.14,1.06,1.0,1.04,0.88,0.82,0.84,0.08,0.03,0.0,0.04,99.98
08/04/2021,16.57,12.01,9.34,6.88,4.92,3.01,4.47,4.62,4.53,3.69,3.36,3.17,2.74,2.53,2.17,2.12,2.16,1.87,1.39,1.5,1.14,1.06,1.0,1.04,0.88,0.82,0.84,0.08,0.03,0.0,0.04,99.98
08/05/2021,16.57,12.01,9.34,6.88,4.92,3.01,4.47,4.62,4.53,3.69,3.36,3.17,2.74,2.53,2.17,2.12,2.16,1.87,1.39,1.5,1.14,1.06,1.0,1.04,0.88,0.82,0.84,0.08,0.03,0.0,0.04,99.98
08/06/2021,16.75,12.26,9.26,6.81,4.94,2.95,4.5,4.64,4.43,3.71,3.32,3.14,2.75,2.48,2.2,2.09,2.15,1.87,1.33,1.49,1.11,1.07,1.07,1.03,0.88,0.81,0.84,0.08,0.05,0.0,0.0,100.01
08/10/2021,17.0,12.05,9.45,7.04,4.84,2.99,4.45,4.67,4.58,3.72,3.12,3.2,2.72,2.34,2.23,2.11,2.15,1.84,1.33,1.46,1.07,1.05,1.04,1.0,0.87,0.77,0.83,0.08,0.05,0.0,0.0,100.05
08/11/2021,17.0,12.05,9.45,7.04,4.84,2.99,4.45,4.67,4.58,3.72,3.12,3.2,2.72,2.34,2.23,2.11,2.15,1.84,1.33,1.46,1.07,1.05,1.04,1.0,0.87,0.77,0.83,0.08,0.05,0.0,0.0,100.05
08/12/2021,17.11,12.04,9.37,7.02,4.84,2.99,4.43,4.68,4.6,3.74,3.09,3.19,2.76,2.32,2.22,2.1,2.15,1.85,1.33,1.45,1.09,1.03,1.04,1.01,0.88,0.76,0.82,0.08,0.05,0.0,0.0,100.04
08/13/2021,17.13,12.1,9.35,7.04,4.81,2.96,4.47,4.65,4.56,3.69,3.04,3.22,2.79,2.29,2.22,2.1,2.15,1.87,1.32,1.44,1.19,1.05,1.03,1.0,0.87,0.77,0.81,0.08,0.05,0.0,0.0,100.05
08/16/2021,17.09,12.09,9.35,7.12,4.82,2.91,4.49,4.63,4.57,3.7,3.04,3.18,2.79,2.32,2.21,2.08,2.19,1.85,1.33,1.47,1.17,1.04,1.03,0.98,0.9,0.75,0.8,0.08,0.01,0.0,0.0,99.99
08/17/2021,17.02,12.04,9.47,7.16,4.81,2.91,4.53,4.66,4.6,3.7,3.03,3.15,2.76,2.23,2.23,2.09,2.24,1.86,1.32,1.44,1.16,1.04,1.03,0.99,0.89,0.75,0.81,0.08,0.01,0.0,0.0,100.01
08/19/2021,16.99,11.98,9.54,7.1,4.81,2.94,4.52,4.66,4.59,3.74,3.03,3.12,2.79,2.21,2.25,2.08,2.24,1.87,1.3,1.42,1.18,1.02,1.03,1.02,0.9,0.75,0.81,0.08,0.01,0.0,0.0,99.98000000000002
