,AMXL.MX,GFNORTEO.MX,WALMEX.MX,FEMSAUBD.MX,TLEVISACPO.MX,CEMEXCPO.MX,GMEXICOB.MX,GAPB.MX,ASURB.MX,BIMBOA.MX,FUNO11.MX,ORBIA.MX,KIMBERA.MX,AC.MX,GRUMAB.MX,GFINBURO.MX,OMAB.MX,KOFUBL.MX,PE&OLES.MX,PINFRA.MX,VOLARA.MX,GCARSOA1.MX,CUERVO.MX,GCC.MX,BBAJIOO.MX,VESTA.MX,RA.MX,SITESB-1.MX,TERRA13.MX,ALSEA.MX,LACOMERUBC.MX,FIBRAPL14.MX,MEGACPO.MX,FIBRAMQ12.MX,BOLSAA.MX,Q.MX,LABB.MX,GENTERA.MX,ALPEKA.MX,NMKA.MX,TRAXIONA.MX,CHDRAUIB.MX,AGUA.MX,HERDEZ.MX,DANHOS13.MX,AXTELCPO.MX,NEMAKA,MXN,XTSLA,SALFT,ISU1,NEMAKA.MX,ISZ1,SUM
07/09/2021,14.87,9.63,9.6,9.46,4.31,4.26,4.12,2.7,2.46,2.28,2.13,1.86,1.76,1.75,1.61,1.52,1.5,1.47,1.32,1.25,1.24,1.08,1.06,1.03,0.99,0.98,0.96,0.92,0.9,0.83,0.83,0.81,0.8,0.75,0.73,0.72,0.67,0.63,0.54,0.53,0.51,0.5,0.46,0.45,0.38,0.36,0.36,0.15,0.04,0.01,0.0,0.0,0.0,100.08000000000004
07/14/2021,14.73,9.58,9.59,9.34,4.12,4.37,4.04,2.81,2.49,2.36,2.18,1.87,1.73,1.76,1.61,1.54,1.28,1.46,1.32,1.25,1.38,1.06,1.06,1.02,0.99,0.98,0.98,0.89,0.92,0.82,0.79,0.81,0.82,0.74,0.73,0.73,0.7,0.63,0.55,0.52,0.51,0.5,0.47,0.44,0.39,0.36,0.36,0.39,0.05,0.03,0.0,0.0,0.0,100.05
07/15/2021,14.73,9.58,9.59,9.34,4.12,4.37,4.04,2.81,2.49,2.36,2.18,1.87,1.73,1.76,1.61,1.54,1.28,1.46,1.32,1.25,1.38,1.06,1.06,1.02,0.99,0.98,0.98,0.89,0.92,0.82,0.79,0.81,0.82,0.74,0.73,0.73,0.7,0.63,0.55,0.52,0.51,0.5,0.47,0.44,0.39,0.36,0.36,0.39,0.05,0.03,0.0,0.0,0.0,100.05
07/16/2021,15.13,9.57,9.73,9.46,4.09,4.21,4.03,2.78,2.44,2.34,2.19,1.83,1.69,1.78,1.61,1.56,1.24,1.48,1.33,1.25,1.36,1.01,1.07,1.0,0.99,0.96,0.97,0.89,0.94,0.8,0.78,0.83,0.82,0.76,0.74,0.73,0.7,0.66,0.55,0.53,0.51,0.5,0.45,0.43,0.38,0.36,0.36,0.18,0.01,0.01,0.0,0.0,0.0,100.02
07/19/2021,15.67,9.42,9.86,9.45,3.99,4.13,4.13,2.73,2.39,2.34,2.17,1.83,1.65,1.79,1.6,1.51,1.19,1.46,1.32,1.21,1.33,1.05,1.06,0.98,0.94,0.94,0.94,0.86,0.93,0.79,0.8,0.83,0.8,0.75,0.72,0.71,0.69,0.65,0.56,0.52,0.47,0.5,0.46,0.43,0.38,0.34,0.36,0.38,0.01,0.01,0.0,0.0,0.0,100.03000000000002
07/20/2021,15.67,9.42,9.86,9.45,3.99,4.13,4.13,2.73,2.39,2.34,2.17,1.83,1.65,1.79,1.6,1.51,1.19,1.46,1.32,1.21,1.33,1.05,1.06,0.98,0.94,0.94,0.94,0.86,0.93,0.79,0.8,0.83,0.8,0.75,0.72,0.71,0.69,0.65,0.56,0.52,0.47,0.5,0.46,0.43,0.38,0.34,0.36,0.38,0.01,0.01,0.0,0.0,0.0,100.03000000000002
07/22/2021,15.87,9.36,9.89,9.46,3.99,4.07,4.03,2.75,2.39,2.38,2.18,1.85,1.64,1.8,1.61,1.5,1.16,1.49,1.31,1.22,1.3,1.04,1.04,0.99,0.94,0.94,0.95,0.88,0.92,0.79,0.8,0.82,0.82,0.74,0.72,0.71,0.68,0.63,0.57,0.51,0.47,0.5,0.45,0.41,0.39,0.31,0.35,0.37,0.01,0.03,0.0,0.0,0.0,100.03
07/23/2021,15.82,9.4,9.78,9.35,4.11,4.19,4.01,2.74,2.39,2.31,2.18,1.82,1.63,1.78,1.61,1.49,1.16,1.48,1.3,1.21,1.4,1.08,1.04,0.99,0.95,0.95,0.97,0.85,0.95,0.82,0.79,0.83,0.8,0.76,0.72,0.71,0.67,0.64,0.56,0.51,0.48,0.5,0.45,0.41,0.39,0.32,0.35,0.37,0.02,0.03,0.0,0.0,0.0,100.07
07/27/2021,15.74,9.51,9.79,9.23,4.22,4.24,4.12,2.78,2.39,2.33,2.17,1.85,1.63,1.8,1.54,1.51,1.15,1.47,1.32,1.19,1.37,1.04,1.04,1.01,0.96,0.97,0.99,0.84,0.93,0.86,0.78,0.82,0.78,0.75,0.7,0.71,0.68,0.64,0.56,0.52,0.5,0.5,0.45,0.41,0.4,0.31,0.35,0.16,0.01,0.01,0.0,0.0,0.0,100.03
07/29/2021,15.77,9.54,9.83,9.22,4.22,4.23,4.18,2.79,2.37,2.33,2.16,1.83,1.66,1.79,1.56,1.49,1.15,1.48,1.3,1.17,1.35,1.05,1.02,1.0,0.97,0.96,0.99,0.82,0.93,0.87,0.77,0.8,0.81,0.74,0.7,0.72,0.66,0.64,0.55,0.51,0.49,0.5,0.45,0.42,0.4,0.31,0.34,0.16,0.01,0.01,0.0,0.0,0.0,100.02
