,XLK,XLV,XLF,XLC,XLY,XLP,XLI,XLE,XLB,XLRE,XLU,n/a,SUM
07/09/2021,27.77,16.57,11.44,10.04,8.98,5.67,4.89,4.38,3.98,3.63,2.66,0.0,100.01
07/12/2021,28.03,16.66,11.28,10.0,8.98,5.68,4.89,4.17,3.96,3.68,2.68,0.0,100.01
07/13/2021,28.03,16.66,11.28,10.0,8.98,5.68,4.89,4.17,3.96,3.68,2.68,0.0,100.01
07/14/2021,31.6,8.15,11.3,13.55,12.13,5.69,4.86,4.33,2.01,3.71,2.66,0.0,99.99
07/15/2021,31.51,8.13,11.37,13.6,12.17,5.66,4.85,4.31,2.01,3.73,2.66,0.0,100.0
07/16/2021,31.51,8.13,11.37,13.6,12.17,5.66,4.85,4.31,2.01,3.73,2.66,0.0,100.0
07/19/2021,31.94,8.14,11.22,13.59,12.03,5.72,4.81,4.16,1.99,3.73,2.67,0.0,100.0
07/20/2021,31.76,8.23,11.24,13.57,11.97,5.83,4.84,4.04,1.99,3.78,2.76,0.0,100.01
07/21/2021,31.76,8.23,11.24,13.57,11.97,5.83,4.84,4.04,1.99,3.78,2.76,0.0,100.01
07/22/2021,31.76,8.23,11.24,13.57,11.97,5.83,4.84,4.04,1.99,3.78,2.76,0.0,100.01
07/23/2021,31.76,8.23,11.24,13.57,11.97,5.83,4.84,4.04,1.99,3.78,2.76,0.0,100.01
07/26/2021,31.84,8.19,11.3,13.52,12.06,5.75,4.88,4.05,1.97,3.75,2.68,0.0,99.99
07/27/2021,32.01,8.25,11.06,13.74,12.08,5.74,4.82,3.94,1.96,3.71,2.68,0.0,99.99
07/28/2021,32.01,8.25,11.06,13.74,12.08,5.74,4.82,3.94,1.96,3.71,2.68,0.0,99.99
07/29/2021,31.9,8.17,11.1,13.77,12.13,5.74,4.81,4.03,1.97,3.7,2.67,0.0,99.99
07/30/2021,31.9,8.17,11.1,13.77,12.13,5.74,4.81,4.03,1.97,3.7,2.67,0.0,99.99
08/02/2021,31.74,8.28,11.14,13.79,12.04,5.73,4.8,4.05,1.99,3.73,2.71,0.0,100.0
08/03/2021,31.74,8.28,11.14,13.79,12.04,5.73,4.8,4.05,1.99,3.73,2.71,0.0,100.0
08/04/2021,31.74,8.28,11.14,13.79,12.04,5.73,4.8,4.05,1.99,3.73,2.71,0.0,100.0
08/05/2021,31.74,8.28,11.14,13.79,12.04,5.73,4.8,4.05,1.99,3.73,2.71,0.0,100.0
08/06/2021,31.83,8.34,11.2,13.6,11.99,5.76,4.81,4.0,2.0,3.74,2.73,0.0,100.0
08/09/2021,31.98,9.56,11.28,11.06,11.96,5.68,5.76,2.99,1.98,3.74,4.0,0.0,99.99
08/10/2021,31.89,9.53,11.48,11.04,11.86,5.67,5.78,3.01,2.01,3.73,3.99,0.0,99.99
08/11/2021,31.89,9.53,11.48,11.04,11.86,5.67,5.78,3.01,2.01,3.73,3.99,0.0,99.99
08/13/2021,31.83,9.58,11.53,11.04,11.86,5.7,5.77,2.97,2.01,3.71,4.0,0.0,100.0
08/16/2021,31.57,9.47,11.73,11.02,11.86,5.72,5.85,3.03,2.05,3.68,4.02,0.0,100.0
08/17/2021,31.69,9.52,11.62,11.01,11.81,5.76,5.82,2.98,2.05,3.7,4.04,0.0,100.0
08/18/2021,31.69,9.52,11.62,11.01,11.81,5.76,5.82,2.98,2.05,3.7,4.04,0.0,100.0
08/19/2021,31.69,9.52,11.62,11.01,11.81,5.76,5.82,2.98,0.0,3.7,4.04,2.05,100.0
08/20/2021,31.77,9.61,11.57,11.01,11.73,5.78,5.83,2.92,2.03,3.7,4.05,0.0,100.0
08/23/2021,31.73,9.79,11.57,10.99,11.54,5.82,5.81,2.91,2.03,3.73,4.08,0.0,100.0
08/24/2021,32.02,9.74,11.41,11.01,11.62,5.81,5.72,2.79,2.0,3.74,4.13,0.0,99.99
08/25/2021,32.02,9.74,11.41,11.01,11.62,5.81,5.72,2.79,2.0,3.74,4.13,0.0,99.99
08/26/2021,32.02,9.74,11.41,11.01,11.62,5.81,5.72,2.79,2.0,3.74,4.13,0.0,99.99
08/27/2021,32.08,9.62,11.47,11.07,11.74,5.69,5.74,2.91,2.01,3.66,4.01,0.0,100.0
08/30/2021,32.0,9.57,11.58,11.07,11.76,5.67,5.76,2.93,2.01,3.65,4.01,0.0,100.01
08/31/2021,32.01,9.49,11.64,11.11,11.72,5.64,5.76,2.95,2.02,3.67,3.99,0.0,100.0
09/01/2021,32.01,9.49,11.64,11.11,11.72,5.64,5.76,2.95,2.02,3.67,3.99,0.0,100.0
