,T 0.75 04.30.26,n/a,SWAPTION 05/11/2028 P4.25 BOAML,SWAPTION 05/12/2028 P4.25,SWAPTION 05/11/2028 P4.25,SUM
10/14/2021,60.22,43.59,-0.42,-1.54,-1.85,100.0
10/15/2021,60.98,44.11,-0.78,-2.02,-2.29,100.0
10/18/2021,62.52,44.68,-1.45,-2.8,-2.96,99.99
10/19/2021,62.52,44.68,-1.45,-2.8,-2.96,99.99
10/20/2021,62.52,44.68,-1.45,-2.8,-2.96,99.99
10/21/2021,62.14,44.62,-1.3,-2.64,-2.82,100.0
10/22/2021,60.72,43.58,-0.47,-1.79,-2.04,100.0
10/25/2021,59.68,42.95,0.1,-1.21,-1.51,100.01
10/26/2021,59.68,42.95,0.1,-1.21,-1.51,100.01
10/27/2021,59.97,43.15,-0.07,-1.38,-1.67,100.0
10/28/2021,60.01,43.1,-0.07,-1.38,-1.66,100.0
10/29/2021,60.37,43.37,-0.28,-1.6,-1.86,100.0
11/01/2021,61.81,44.07,-1.06,-2.33,-2.49,100.0
11/02/2021,61.81,44.07,-1.06,-2.33,-2.49,100.0
11/03/2021,61.26,44.08,-0.89,-2.12,-2.34,99.99
11/04/2021,61.19,44.04,-0.85,-2.07,-2.3,100.01
