,TLT,PFF,MBB,TLH,DVYE,HDV,HYG,LEMB,EMB,IEF,REM,IYR,IDV,XTSLA,IFGL,SUM
07/09/2021,15.73,15.09,14.75,10.31,9.56,9.2,5.7,4.86,4.69,4.57,3.48,1.55,0.46,0.07,0.0,100.02
07/12/2021,15.92,15.04,14.76,10.43,9.43,9.16,5.68,4.84,4.69,4.59,3.4,1.55,0.46,0.62,0.0,100.57
07/13/2021,15.92,15.04,14.76,10.43,9.43,9.16,5.68,4.84,4.69,4.59,3.4,1.55,0.46,0.62,0.0,100.57
07/14/2021,15.69,15.07,14.72,10.31,9.56,9.25,5.69,4.85,4.68,4.57,3.5,1.57,0.46,0.05,0.0,99.96999999999996
07/16/2021,15.63,15.09,14.79,10.29,9.56,9.28,5.7,4.85,4.7,4.58,3.43,1.57,0.47,0.05,0.0,99.99
07/19/2021,15.88,14.98,14.73,10.4,9.5,9.23,5.67,4.84,4.7,4.59,3.38,1.58,0.46,0.05,0.0,99.99
07/20/2021,15.88,14.98,14.73,10.4,9.5,9.23,5.67,4.84,4.7,4.59,3.38,1.58,0.46,0.05,0.0,99.99
07/21/2021,15.88,14.98,14.75,10.4,9.5,9.19,5.67,4.86,4.7,4.59,3.38,1.58,0.46,0.06,0.0,100.0
07/22/2021,16.23,14.89,14.78,10.58,9.32,9.05,5.63,4.83,4.7,4.63,3.3,1.55,0.45,0.06,0.0,100.0
07/23/2021,16.05,14.95,14.75,10.51,9.37,9.08,5.65,4.83,4.71,4.62,3.39,1.59,0.45,0.06,0.0,100.01
07/27/2021,15.99,14.93,14.74,10.46,9.48,9.13,5.67,4.84,4.7,4.6,3.38,1.57,0.46,0.06,0.0,100.01
07/29/2021,15.85,15.0,14.76,10.4,9.41,9.25,5.68,4.84,4.69,4.6,3.41,1.58,0.46,0.06,0.0,99.98999999999998
07/30/2021,15.99,14.94,14.74,10.47,9.34,9.25,5.66,4.83,4.67,4.61,3.39,1.59,0.46,0.06,0.0,100.0
08/02/2021,15.86,14.99,14.71,10.4,9.46,9.25,5.66,4.86,4.67,4.59,3.44,1.58,0.47,0.06,0.0,100.0
08/03/2021,15.94,15.0,14.72,10.44,9.4,9.22,5.64,4.85,4.68,4.6,3.4,1.59,0.46,0.06,0.0,100.0
