,TLT,PFF,MBB,TLH,DVYE,HDV,HYG,LEMB,EMB,IEF,REM,IYR,IDV,XTSLA,IFGL,USD,SUM
07/09/2021,15.73,15.09,14.75,10.31,9.56,9.2,5.7,4.86,4.69,4.57,3.48,1.55,0.46,0.07,0.0,0.0,100.02
07/12/2021,15.92,15.04,14.76,10.43,9.43,9.16,5.68,4.84,4.69,4.59,3.4,1.55,0.46,0.62,0.0,0.0,100.57
07/13/2021,15.92,15.04,14.76,10.43,9.43,9.16,5.68,4.84,4.69,4.59,3.4,1.55,0.46,0.62,0.0,0.0,100.57
07/14/2021,15.69,15.07,14.72,10.31,9.56,9.25,5.69,4.85,4.68,4.57,3.5,1.57,0.46,0.05,0.0,0.0,99.96999999999996
07/16/2021,15.63,15.09,14.79,10.29,9.56,9.28,5.7,4.85,4.7,4.58,3.43,1.57,0.47,0.05,0.0,0.0,99.99
07/19/2021,15.88,14.98,14.73,10.4,9.5,9.23,5.67,4.84,4.7,4.59,3.38,1.58,0.46,0.05,0.0,0.0,99.99
07/20/2021,15.88,14.98,14.73,10.4,9.5,9.23,5.67,4.84,4.7,4.59,3.38,1.58,0.46,0.05,0.0,0.0,99.99
07/21/2021,15.88,14.98,14.75,10.4,9.5,9.19,5.67,4.86,4.7,4.59,3.38,1.58,0.46,0.06,0.0,0.0,100.0
07/22/2021,16.23,14.89,14.78,10.58,9.32,9.05,5.63,4.83,4.7,4.63,3.3,1.55,0.45,0.06,0.0,0.0,100.0
07/23/2021,16.05,14.95,14.75,10.51,9.37,9.08,5.65,4.83,4.71,4.62,3.39,1.59,0.45,0.06,0.0,0.0,100.01
07/27/2021,15.99,14.93,14.74,10.46,9.48,9.13,5.67,4.84,4.7,4.6,3.38,1.57,0.46,0.06,0.0,0.0,100.01
07/29/2021,15.85,15.0,14.76,10.4,9.41,9.25,5.68,4.84,4.69,4.6,3.41,1.58,0.46,0.06,0.0,0.0,99.98999999999998
07/30/2021,15.99,14.94,14.74,10.47,9.34,9.25,5.66,4.83,4.67,4.61,3.39,1.59,0.46,0.06,0.0,0.0,100.0
08/02/2021,15.86,14.99,14.71,10.4,9.46,9.25,5.66,4.86,4.67,4.59,3.44,1.58,0.47,0.06,0.0,0.0,100.0
08/03/2021,15.94,15.0,14.72,10.44,9.4,9.22,5.64,4.85,4.68,4.6,3.4,1.59,0.46,0.06,0.0,0.0,100.0
08/04/2021,15.94,15.0,14.72,10.44,9.4,9.22,5.64,4.85,4.68,4.6,3.4,1.59,0.46,0.06,0.0,0.0,100.0
08/05/2021,15.94,15.0,14.72,10.44,9.4,9.22,5.64,4.85,4.68,4.6,3.4,1.59,0.46,0.06,0.0,0.0,100.0
08/06/2021,16.0,14.96,14.66,10.47,9.49,9.23,5.61,4.84,4.66,4.6,3.37,1.58,0.46,0.06,0.0,0.0,99.99
08/09/2021,15.99,15.02,14.67,10.47,9.46,9.18,5.62,4.82,4.67,4.59,3.39,1.59,0.46,0.06,0.0,0.0,99.99
08/10/2021,15.81,15.11,14.73,10.39,9.45,9.24,5.65,4.81,4.67,4.59,3.42,1.6,0.47,0.13,0.0,0.0,100.07
08/11/2021,15.81,15.11,14.73,10.39,9.45,9.24,5.65,4.81,4.67,4.59,3.42,1.6,0.47,0.13,0.0,0.0,100.07
08/13/2021,15.75,15.03,14.78,10.38,9.49,9.29,5.65,4.82,4.68,4.59,3.44,1.58,0.47,0.05,0.0,0.0,100.0
08/16/2021,15.68,15.09,14.76,10.33,9.53,9.31,5.65,4.83,4.68,4.58,3.45,1.59,0.47,0.05,0.0,0.0,100.0
08/17/2021,15.84,15.04,14.7,10.39,9.47,9.29,5.63,4.82,4.67,4.58,3.44,1.59,0.47,0.05,0.0,0.0,99.98
08/19/2021,15.87,15.02,14.69,10.42,9.45,9.31,5.63,4.81,4.67,4.59,3.42,1.59,0.47,0.05,0.0,0.0,99.99
08/20/2021,15.9,14.99,14.7,10.45,9.39,9.31,5.63,4.8,4.68,4.6,3.41,1.59,0.46,0.06,0.0,0.0,99.96999999999998
08/23/2021,16.11,14.98,14.74,10.55,9.26,9.2,5.63,4.79,4.69,4.62,3.35,1.59,0.46,0.06,0.0,0.0,100.03
08/24/2021,16.09,14.99,14.71,10.53,9.25,9.22,5.63,4.79,4.67,4.6,3.39,1.59,0.46,0.06,0.0,0.0,99.98
08/25/2021,16.09,14.99,14.71,10.53,9.25,9.22,5.63,4.79,4.67,4.6,3.39,1.59,0.46,0.06,0.0,0.0,99.98
08/26/2021,16.04,14.98,14.69,10.5,9.32,9.24,5.64,4.8,4.68,4.59,3.42,1.59,0.46,0.06,0.0,0.0,100.01
08/27/2021,15.92,15.0,14.68,10.44,9.44,9.23,5.65,4.81,4.68,4.58,3.46,1.58,0.46,0.06,0.0,0.0,99.98999999999998
08/30/2021,15.88,14.98,14.73,10.41,9.49,9.21,5.67,4.82,4.69,4.58,3.45,1.58,0.46,0.06,0.0,0.0,100.01
08/31/2021,15.88,14.99,14.65,10.39,9.57,9.2,5.64,4.83,4.69,4.56,3.48,1.59,0.46,0.06,0.0,0.0,99.99
09/01/2021,15.88,14.99,14.65,10.39,9.57,9.2,5.64,4.83,4.69,4.56,3.48,1.59,0.46,0.06,0.0,0.0,99.99
09/02/2021,15.89,14.97,14.63,10.4,9.61,9.19,5.64,4.83,4.69,4.56,3.46,1.6,0.46,0.06,0.0,0.0,99.98999999999998
09/03/2021,11.27,14.92,14.95,14.88,10.28,5.06,8.63,10.08,0.0,0.0,3.3,1.06,4.87,0.06,0.7,0.0,100.06
09/06/2021,11.29,14.93,14.88,14.87,10.3,5.08,8.61,10.05,0.0,0.0,3.3,1.08,4.89,0.06,0.66,0.0,100.0
09/07/2021,11.21,14.93,14.9,14.81,10.37,5.09,8.62,10.07,0.0,0.0,3.29,1.08,4.9,0.07,0.66,0.0,100.0
09/08/2021,11.21,14.93,14.9,14.81,10.37,5.09,8.62,10.07,0.0,0.0,3.29,1.08,4.9,0.07,0.66,0.0,100.0
09/09/2021,11.21,14.93,14.9,14.81,10.37,5.09,8.62,10.07,0.0,0.0,3.29,1.08,4.9,0.0,0.66,0.0,99.93
09/10/2021,11.17,14.94,14.97,14.78,10.42,5.05,8.64,10.07,0.0,0.0,3.27,1.07,4.88,0.07,0.66,0.0,99.98999999999998
09/13/2021,11.34,14.95,14.94,14.94,10.32,5.01,8.63,10.03,0.0,0.0,3.24,1.06,4.82,0.06,0.65,0.0,99.99
09/14/2021,11.28,14.97,14.99,14.9,10.35,5.01,8.65,10.05,0.0,0.0,3.22,1.05,4.82,0.06,0.65,0.0,100.0
09/15/2021,11.28,14.97,14.99,14.9,10.35,5.01,8.65,10.05,0.0,0.0,3.22,1.05,4.82,0.06,0.65,0.0,100.0
09/16/2021,11.3,14.88,14.92,14.9,10.48,5.02,8.63,10.02,0.0,0.0,3.24,1.05,4.86,0.06,0.65,0.0,100.01
09/17/2021,11.43,14.84,14.91,15.01,10.39,4.98,8.62,10.01,0.0,0.0,3.22,1.04,4.83,0.06,0.65,0.0,99.99
09/20/2021,11.36,14.98,14.93,14.94,10.29,5.01,8.65,10.01,0.0,0.0,3.24,1.05,4.82,0.06,0.65,0.0,99.98999999999998
09/21/2021,11.37,15.01,15.01,14.95,10.17,5.0,8.69,10.01,0.0,0.0,3.26,1.05,4.76,0.07,0.65,0.0,100.0
09/22/2021,11.37,15.01,15.01,14.95,10.17,5.0,8.69,10.01,0.0,0.0,3.26,1.05,4.76,0.07,0.65,0.0,100.0
09/23/2021,11.56,14.94,15.08,15.15,9.96,4.96,8.69,10.01,0.0,0.0,3.24,1.04,4.67,0.07,0.63,0.0,100.0
09/24/2021,11.52,14.95,15.04,15.1,10.09,4.94,8.69,9.99,0.0,0.0,3.25,1.04,4.69,0.07,0.64,0.0,100.01
09/27/2021,11.34,15.03,15.01,14.95,10.19,5.0,8.72,10.0,0.0,0.0,3.3,1.05,4.7,0.07,0.64,0.0,100.0
09/28/2021,11.25,14.99,15.04,14.86,10.13,5.01,8.72,9.97,0.0,0.0,3.3,1.04,4.65,0.0,0.63,0.34,99.93
09/29/2021,11.25,14.99,15.04,14.86,10.13,5.01,8.72,9.97,0.0,0.0,3.3,1.04,4.65,0.0,0.63,0.34,99.93
09/30/2021,11.22,14.95,15.04,14.81,10.17,5.04,8.72,9.96,0.0,0.0,3.33,1.02,4.7,0.0,0.64,0.34,99.94
