,2SPY  220228C00003050,2SPY  220228P00380370,Cash&Other,2SPY  220228P00346130,2SPY  220228C00446620,SUM
07/09/2021,101.76,2.66,0.54,-1.6,-3.36,100.0
07/12/2021,102.17,2.55,0.53,-1.56,-3.68,100.01
07/13/2021,102.17,2.55,0.53,-1.56,-3.68,100.01
07/14/2021,102.17,2.55,0.53,-1.56,-3.68,100.01
07/15/2021,102.4,2.47,0.52,-1.5,-3.89,100.0
07/16/2021,102.25,2.64,0.52,-1.62,-3.8,99.99
07/19/2021,102.23,2.64,0.51,-1.63,-3.75,100.0
07/20/2021,101.72,2.92,0.51,-1.78,-3.37,100.0
07/21/2021,101.72,2.92,0.51,-1.78,-3.37,100.0
07/22/2021,101.05,3.37,0.51,-2.06,-2.88,99.99
07/23/2021,101.81,2.94,0.5,-1.81,-3.45,99.99
07/26/2021,102.27,2.61,0.49,-1.59,-3.79,99.98999999999998
07/27/2021,102.81,2.45,0.49,-1.49,-4.25,100.01
07/28/2021,102.81,2.45,0.49,-1.49,-4.25,100.01
07/29/2021,103.07,2.37,0.49,-1.44,-4.48,100.01
07/30/2021,103.07,2.37,0.49,-1.44,-4.48,100.01
08/02/2021,102.85,2.38,0.48,-1.45,-4.27,99.99
08/03/2021,102.72,2.45,0.47,-1.49,-4.16,99.99
08/04/2021,102.72,2.45,0.47,-1.49,-4.16,99.99
08/05/2021,102.62,2.51,0.47,-1.53,-4.07,100.0
08/06/2021,102.95,2.25,0.49,-1.38,-4.32,99.99
08/10/2021,103.04,2.13,0.48,-1.28,-4.36,100.01
