,MSFT,AAPL,AMZN,FB,NVDA,JNJ,UNH,V,GOOG,GOOGL,ENPH,PG,MA,PYPL,DIS,BAC,ADBE,CMCSA,VZ,PFE,CRM,INTC,T,ABT,KO,PEP,ABBV,MRK,AY,BDX,ACN,LLY,SEDG,MCD,MDT,QCOM,BMY,UPS,UNP,AMGN,C,MS,FSLR,INTU,SBUX,GS,BLK,TGT,CAT,GE,MMM,CVS,AXP,SPGI,ANTM,PLD,CI,GILD,ADP,TJX,USB,CSX,EQIX,GM,CL,EL,COF,NSC,EW,APD,ITW,ADSK,REGN,D,ETN,PGR,MCO,EMR,F,WM,BIIB,VRTX,ECL,NEM,JCI,DOW,TROW,KMB,MET,TEL,A,EXC,EBAY,LULU,BAX,INFO,APTV,BK,ALL,WDAY,HASI,PRU,AIG,SRE,PPG,HPQ,GIS,CMI,MAR,MSI,AFL,WBA,WELL,ADM,ROK,HLT,FRC,MCK,KR,AVB,STT,AMP,CBRE,VRSK,AWK,ES,KEYS,IFF,FITB,DAL,BBY,KHC,VFC,IP,WY,ED,HSY,NTRS,CLX,HIG,EIX,TSN,PPL,XYL,VTR,EXPE,CHD,ETR,TRU,LUV,GWW,KEY,YUM,CCL,RF,DRI,PEAK,DGX,CAG,CMS,CE,CAH,RCL,K,ABC,AVY,PFG,PCG,BMRN,SJM,HBAN,CNP,LUMN,WPC,HAS,IPG,IRM,ELS,HST,TREX,PNR,LNC,MOS,TAP,WTRG,DECK,OC,UGI,NI,CPB,VST,OGN,VOYA,ALV,GPS,PRGO,BEPC,AGPXX,VER,VEREIT Inc,Cash,Invesco Shrt-Trm Inv Gov&Agcy Instl,n/a,SLVM WI,SLVM,O,ONL,SUM
07/09/2021,4.92,4.81,3.88,3.03,2.57,2.35,2.1,2.08,2.08,2.06,1.86,1.79,1.7,1.69,1.66,1.63,1.46,1.4,1.26,1.21,1.18,1.18,1.12,1.12,1.11,1.09,1.09,1.08,1.08,1.02,1.0,1.0,0.96,0.92,0.89,0.88,0.82,0.8,0.79,0.78,0.77,0.7,0.7,0.69,0.69,0.67,0.65,0.63,0.62,0.61,0.61,0.58,0.57,0.54,0.53,0.47,0.47,0.46,0.46,0.42,0.41,0.4,0.38,0.37,0.37,0.37,0.36,0.36,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.27,0.26,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/12/2021,5.01,5.01,4.13,2.96,2.56,2.37,2.11,2.1,2.12,2.1,1.83,1.79,1.7,1.71,1.6,1.54,1.49,1.4,1.25,1.19,1.19,1.17,1.1,1.13,1.11,1.09,1.1,1.08,1.09,1.03,1.02,1.01,0.92,0.92,0.89,0.86,0.82,0.81,0.8,0.76,0.73,0.68,0.7,0.7,0.7,0.65,0.66,0.64,0.61,0.58,0.6,0.56,0.57,0.54,0.53,0.48,0.46,0.45,0.46,0.41,0.39,0.4,0.39,0.35,0.37,0.37,0.35,0.36,0.35,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.3,0.28,0.29,0.29,0.28,0.28,0.27,0.26,0.24,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.19,0.17,0.18,0.17,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.01,0.0,0.0,0.01,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,99.93
07/13/2021,5.01,5.01,4.13,2.96,2.56,2.37,2.11,2.1,2.12,2.1,1.83,1.79,1.7,1.71,1.6,1.54,1.49,1.4,1.25,1.19,1.19,1.17,1.1,1.13,1.11,1.09,1.1,1.08,1.09,1.03,1.02,1.01,0.92,0.92,0.89,0.86,0.82,0.81,0.8,0.76,0.73,0.68,0.7,0.7,0.7,0.65,0.66,0.64,0.61,0.58,0.6,0.56,0.57,0.54,0.53,0.48,0.46,0.45,0.46,0.41,0.39,0.4,0.39,0.35,0.37,0.37,0.35,0.36,0.35,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.3,0.28,0.29,0.29,0.28,0.28,0.27,0.26,0.24,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.19,0.17,0.18,0.17,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.01,0.0,0.0,0.01,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,99.93
07/14/2021,5.37,5.42,5.37,3.06,4.17,2.02,1.74,1.79,2.51,2.58,1.17,1.51,1.45,1.55,1.74,1.35,2.44,1.47,1.25,1.0,1.91,1.92,1.1,0.95,0.95,0.93,0.92,0.89,0.2,0.32,1.66,0.84,0.65,1.03,0.77,1.34,0.67,0.69,0.65,0.64,0.64,0.6,0.46,1.16,0.8,0.55,0.56,0.55,0.53,0.52,0.52,0.48,0.48,0.45,0.42,0.4,0.36,0.38,0.38,0.48,0.34,0.32,0.32,0.43,0.31,0.32,0.31,0.29,0.3,0.29,0.29,0.55,0.27,0.27,0.27,0.26,0.27,0.26,0.33,0.24,0.25,0.23,0.23,0.22,0.22,0.21,0.2,0.2,0.19,0.38,0.2,0.2,0.27,0.26,0.18,0.19,0.24,0.18,0.17,0.38,0.2,0.17,0.18,0.19,0.18,0.31,0.16,0.16,0.22,0.31,0.15,0.15,0.16,0.15,0.15,0.2,0.15,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.24,0.17,0.12,0.12,0.15,0.11,0.16,0.14,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.13,0.09,0.09,0.09,0.09,0.09,0.08,0.21,0.11,0.08,0.11,0.08,0.08,0.07,0.08,0.08,0.07,0.1,0.07,0.07,0.08,0.07,0.06,0.07,0.06,0.09,0.06,0.07,0.06,0.07,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.0,0.03,0.04,0.04,0.03,0.33,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,99.95000000000002
07/15/2021,5.3,5.4,5.27,3.06,4.13,1.99,1.72,1.78,2.48,2.54,1.18,1.48,1.44,1.55,1.75,1.37,2.4,1.44,1.24,0.99,1.88,1.91,1.09,0.93,0.94,0.91,0.91,0.88,0.19,0.32,1.66,0.82,0.66,1.03,0.76,1.34,0.67,0.68,0.65,0.63,0.64,0.61,0.46,1.14,0.8,0.56,0.56,0.54,0.54,0.53,0.52,0.48,0.49,0.44,0.42,0.4,0.36,0.38,0.38,0.48,0.35,0.32,0.32,0.45,0.31,0.32,0.32,0.29,0.29,0.29,0.29,0.54,0.27,0.26,0.27,0.26,0.26,0.26,0.34,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.38,0.2,0.19,0.26,0.26,0.18,0.18,0.25,0.18,0.18,0.38,0.21,0.18,0.18,0.18,0.18,0.3,0.16,0.16,0.22,0.31,0.15,0.15,0.16,0.15,0.15,0.2,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.24,0.16,0.12,0.12,0.15,0.11,0.16,0.14,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.14,0.09,0.09,0.09,0.09,0.09,0.09,0.2,0.12,0.08,0.11,0.08,0.07,0.07,0.07,0.08,0.07,0.11,0.07,0.07,0.08,0.07,0.06,0.07,0.06,0.09,0.06,0.07,0.06,0.07,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.0,0.03,0.04,0.04,0.02,0.33,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,99.95
07/16/2021,5.27,5.36,5.24,3.07,4.21,1.98,1.73,1.77,2.49,2.56,1.19,1.48,1.44,1.56,1.82,1.39,2.37,1.44,1.24,0.99,1.85,1.93,1.09,0.92,0.94,0.91,0.91,0.87,0.2,0.32,1.64,0.82,0.66,1.03,0.76,1.35,0.67,0.68,0.65,0.63,0.65,0.62,0.47,1.14,0.81,0.58,0.57,0.55,0.54,0.52,0.52,0.48,0.49,0.43,0.43,0.41,0.36,0.38,0.38,0.48,0.35,0.32,0.32,0.45,0.31,0.32,0.33,0.29,0.29,0.29,0.29,0.54,0.26,0.26,0.27,0.26,0.26,0.26,0.34,0.24,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.39,0.2,0.19,0.26,0.25,0.18,0.18,0.25,0.18,0.18,0.37,0.21,0.18,0.18,0.18,0.18,0.29,0.16,0.16,0.22,0.31,0.15,0.15,0.16,0.15,0.15,0.2,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.24,0.16,0.12,0.12,0.15,0.11,0.16,0.14,0.12,0.11,0.11,0.11,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.14,0.09,0.09,0.09,0.09,0.08,0.09,0.2,0.11,0.08,0.11,0.08,0.07,0.07,0.07,0.08,0.07,0.11,0.07,0.07,0.08,0.07,0.06,0.06,0.06,0.09,0.06,0.07,0.06,0.07,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.0,0.03,0.04,0.04,0.02,0.33,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,100.02
07/19/2021,5.38,5.54,5.2,3.03,4.08,2.0,1.73,1.83,2.52,2.6,1.1,1.49,1.51,1.55,1.81,1.33,2.41,1.43,1.24,1.0,1.85,1.92,1.08,0.91,0.97,0.94,0.91,0.87,0.19,0.31,1.66,0.82,0.6,1.03,0.76,1.36,0.67,0.68,0.65,0.63,0.64,0.62,0.45,1.14,0.82,0.57,0.55,0.55,0.52,0.51,0.53,0.48,0.49,0.43,0.43,0.4,0.36,0.38,0.38,0.48,0.35,0.32,0.32,0.44,0.31,0.33,0.32,0.29,0.29,0.28,0.29,0.55,0.27,0.26,0.27,0.25,0.26,0.26,0.33,0.24,0.23,0.22,0.23,0.22,0.22,0.21,0.2,0.2,0.19,0.39,0.2,0.19,0.26,0.26,0.18,0.18,0.25,0.18,0.17,0.36,0.2,0.18,0.18,0.18,0.18,0.29,0.16,0.16,0.22,0.31,0.15,0.15,0.16,0.15,0.15,0.2,0.15,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.24,0.16,0.12,0.11,0.15,0.11,0.15,0.14,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.13,0.09,0.09,0.09,0.09,0.08,0.09,0.2,0.11,0.08,0.11,0.08,0.07,0.07,0.07,0.08,0.07,0.1,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.09,0.06,0.07,0.06,0.07,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.0,0.03,0.04,0.04,0.03,0.32,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,99.98
07/20/2021,5.38,5.54,5.16,3.02,3.92,1.98,1.76,1.86,2.52,2.58,1.07,1.51,1.51,1.53,1.83,1.34,2.41,1.44,1.25,1.01,1.83,1.91,1.09,0.91,0.98,0.95,0.91,0.88,0.19,0.32,1.67,0.81,0.6,1.04,0.75,1.35,0.67,0.68,0.65,0.64,0.65,0.62,0.43,1.14,0.82,0.57,0.55,0.56,0.52,0.51,0.53,0.49,0.49,0.44,0.43,0.41,0.36,0.38,0.39,0.48,0.36,0.32,0.32,0.44,0.31,0.33,0.32,0.29,0.29,0.28,0.29,0.54,0.27,0.27,0.27,0.25,0.26,0.26,0.33,0.25,0.22,0.23,0.24,0.22,0.22,0.21,0.2,0.2,0.2,0.38,0.2,0.2,0.26,0.26,0.18,0.19,0.24,0.18,0.17,0.36,0.2,0.18,0.19,0.18,0.18,0.29,0.16,0.16,0.22,0.31,0.15,0.15,0.16,0.15,0.15,0.2,0.15,0.13,0.13,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.24,0.16,0.12,0.12,0.15,0.11,0.15,0.14,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.13,0.09,0.09,0.09,0.09,0.09,0.09,0.2,0.1,0.08,0.11,0.08,0.07,0.07,0.08,0.08,0.07,0.1,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.09,0.06,0.07,0.06,0.07,0.07,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.0,0.03,0.04,0.03,0.02,0.32,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,99.97
07/21/2021,5.38,5.54,5.16,3.02,3.92,1.98,1.76,1.86,2.52,2.58,1.07,1.51,1.51,1.53,1.83,1.34,2.41,1.44,1.25,1.01,1.83,1.91,1.09,0.91,0.98,0.95,0.91,0.88,0.19,0.32,1.67,0.81,0.6,1.04,0.75,1.35,0.67,0.68,0.65,0.64,0.65,0.62,0.43,1.14,0.82,0.57,0.55,0.56,0.52,0.51,0.53,0.49,0.49,0.44,0.43,0.41,0.36,0.38,0.39,0.48,0.36,0.32,0.32,0.44,0.31,0.33,0.32,0.29,0.29,0.28,0.29,0.54,0.27,0.27,0.27,0.25,0.26,0.26,0.33,0.25,0.22,0.23,0.24,0.22,0.22,0.21,0.2,0.2,0.2,0.38,0.2,0.2,0.26,0.26,0.18,0.19,0.24,0.18,0.17,0.36,0.2,0.18,0.19,0.18,0.18,0.29,0.16,0.16,0.22,0.31,0.15,0.15,0.16,0.15,0.15,0.2,0.15,0.13,0.13,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.24,0.16,0.12,0.12,0.15,0.11,0.15,0.14,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.13,0.09,0.09,0.09,0.09,0.09,0.09,0.2,0.1,0.08,0.11,0.08,0.07,0.07,0.08,0.08,0.07,0.1,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.09,0.06,0.07,0.06,0.07,0.07,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.0,0.03,0.04,0.03,0.02,0.32,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,99.97
07/22/2021,5.41,5.51,5.12,3.01,3.78,1.99,1.77,1.87,2.55,2.6,1.06,1.54,1.51,1.54,1.79,1.31,2.43,1.44,1.26,1.02,1.85,1.9,1.1,0.93,0.98,0.96,0.92,0.89,0.19,0.32,1.67,0.82,0.59,1.04,0.76,1.34,0.67,0.68,0.65,0.65,0.64,0.62,0.42,1.15,0.82,0.56,0.55,0.56,0.52,0.51,0.52,0.49,0.49,0.44,0.43,0.41,0.36,0.39,0.39,0.48,0.35,0.32,0.32,0.43,0.32,0.33,0.32,0.29,0.3,0.28,0.29,0.55,0.27,0.27,0.27,0.25,0.27,0.26,0.32,0.25,0.22,0.23,0.24,0.22,0.22,0.2,0.2,0.21,0.19,0.38,0.2,0.2,0.26,0.26,0.18,0.19,0.24,0.18,0.17,0.36,0.2,0.18,0.18,0.19,0.18,0.28,0.16,0.16,0.21,0.31,0.15,0.15,0.16,0.15,0.15,0.2,0.15,0.13,0.13,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.24,0.16,0.12,0.11,0.15,0.11,0.15,0.14,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.13,0.09,0.09,0.1,0.09,0.09,0.08,0.2,0.1,0.08,0.11,0.08,0.08,0.07,0.08,0.08,0.07,0.09,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.09,0.06,0.07,0.06,0.07,0.07,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.05,0.06,0.04,0.04,0.04,0.04,0.04,0.0,0.03,0.04,0.03,0.02,0.32,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,99.92
