,PINS,TWTR,MTCH,SPOT,NFLX,FB,GOOGL,DIS,WOW,AMCX,MDP,IHRT,LGF.A,TTGT,IT,VIAC,YELP,GTN,NYT,DISCA,FOXA,IPG,SBTA.,NXST,GDRX,JW.A,OMC,NWSA,TGNA,IAC,AGPXX,Cash/Receivables/Payables,SBGI,IAC/InterActiveCorp Ordinary Shares - New,Interest/Overdraft,Securities Lending - Bnym,Omnicom Group Inc,SUM
07/09/2021,5.85,5.72,5.19,5.17,5.02,5.0,4.96,4.58,3.42,3.14,3.05,2.97,2.81,2.79,2.78,2.66,2.63,2.58,2.51,2.51,2.51,2.51,2.48,2.47,2.46,2.46,2.44,2.43,2.43,2.37,0.09,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,5.66,5.67,5.29,5.21,5.01,5.01,4.98,4.71,3.38,3.12,3.13,2.98,2.68,2.78,2.83,2.67,2.64,2.54,2.54,2.44,2.51,2.58,2.41,2.48,2.47,2.45,2.5,2.45,2.45,2.32,0.11,0.01,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,5.66,5.67,5.29,5.21,5.01,5.01,4.98,4.71,3.38,3.12,3.13,2.98,2.68,2.78,2.83,2.67,2.64,2.54,2.54,2.44,2.51,2.58,2.41,2.48,2.47,2.45,2.5,2.45,2.45,2.32,0.11,0.01,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,5.66,5.67,5.28,5.2,5.01,5.01,4.98,4.71,3.38,3.12,3.13,2.98,2.68,2.78,2.83,2.67,2.64,2.54,2.54,2.44,2.51,2.58,0.0,2.48,2.47,2.45,2.5,2.45,2.45,0.0,0.11,0.0,2.41,2.32,0.01,0.0,0.0,99.99
07/15/2021,5.39,5.74,5.29,5.16,5.02,5.04,5.03,4.9,3.38,3.21,3.14,2.97,2.67,2.71,2.83,2.71,2.64,2.54,2.53,2.47,2.53,2.57,2.4,2.49,2.4,2.44,2.48,2.48,2.45,2.29,0.11,0.01,0.0,0.0,0.0,0.0,0.0,100.02
07/16/2021,5.36,5.78,5.41,5.28,5.11,5.09,5.11,4.94,3.42,3.05,3.16,2.96,2.59,2.75,2.85,2.69,2.57,2.53,2.55,2.45,2.5,2.55,2.33,2.48,2.38,2.44,2.46,2.45,2.42,2.26,0.11,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,5.3,5.76,5.44,5.05,5.22,5.07,5.19,5.04,3.57,2.93,3.24,2.88,2.51,2.69,2.88,2.66,2.6,2.51,2.58,2.44,2.54,2.57,2.29,2.49,2.32,2.41,2.52,2.46,2.47,2.26,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,5.28,5.7,5.47,5.03,5.18,5.1,5.26,4.98,3.63,2.94,3.21,2.98,2.5,2.69,2.92,2.63,2.58,2.52,2.62,2.45,2.54,2.56,0.0,2.5,2.33,2.41,2.52,2.43,2.45,0.0,0.06,0.0,2.25,2.27,0.0,0.0,0.0,99.99
07/21/2021,5.28,5.7,5.47,5.03,5.18,5.1,5.26,4.98,3.63,2.94,3.21,2.98,2.5,2.69,2.92,2.63,2.58,2.52,2.62,2.45,2.54,2.56,0.0,2.5,2.33,2.41,2.52,2.43,2.45,0.0,0.06,0.0,2.25,2.27,0.0,0.0,0.0,99.99
07/22/2021,5.28,5.7,5.47,5.03,5.18,5.1,5.26,4.98,3.63,2.94,3.21,2.98,2.5,2.69,2.92,2.63,2.58,2.52,2.62,2.45,2.54,2.56,0.0,2.5,2.33,2.41,2.52,2.43,2.45,0.0,0.06,0.0,2.25,2.27,0.0,0.0,0.0,99.99
07/23/2021,5.48,5.83,5.21,5.09,5.18,5.1,5.23,4.91,3.74,2.91,3.24,2.94,2.4,2.78,2.94,2.63,2.61,2.48,2.59,2.45,2.51,2.55,2.31,2.49,2.42,2.46,2.38,2.44,2.41,2.26,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/26/2021,5.53,5.92,5.4,5.01,4.96,5.2,5.28,4.82,3.67,2.84,3.21,2.96,2.25,2.77,2.94,2.65,2.6,2.48,2.55,2.46,2.57,2.76,0.0,2.5,2.45,2.38,2.32,2.43,2.38,0.0,0.08,0.0,2.34,2.31,0.0,0.0,0.0,100.02
07/27/2021,5.75,6.0,5.48,4.91,4.9,5.38,5.37,4.77,3.65,2.72,3.2,2.96,2.17,2.77,2.92,2.61,2.63,2.48,2.58,2.41,2.53,2.8,0.0,2.48,2.44,2.35,0.0,2.42,2.34,2.31,0.08,0.0,2.31,0.0,0.0,0.0,2.29,100.01
07/28/2021,5.75,6.0,5.48,4.91,4.9,5.38,5.37,4.77,3.65,2.72,3.2,2.96,2.17,2.77,2.92,2.61,2.63,2.48,2.58,2.41,2.53,2.8,0.0,2.48,2.44,2.35,0.0,2.42,2.34,2.31,0.08,0.0,2.31,0.0,0.0,0.0,2.29,100.00999999999999
