,STLD,OC,EWBC,JLL,UGI,RS,LEA,Y,FHN,ACM,SBNY,OHI,OSK,NNN,CPRI,KSS,AFG,ARW,AIRC,TRGP,RGA,JBL,KRC,MPW,THC,ORI,CPT,HOG,NVST,AMG,OGE,FAF,MOH,BRX,XPO,VAC,SON,JHG,JEF,SKX,PNFP,EME,PB,DKS,POST,BJ,OLN,SNV,MDU,MAN,FL,INGR,CFR,THO,AYI,NCR,X,MTZ,CIEN,AEO,DEI,SLG,CUZ,SRC,STOR,VNT,CFX,VLY,KBR,WTRG,CDAY,JBLU,AN,HXL,NYCB,FLS,NVT,ADS,OZK,IDA,CIT,LII,THG,SNX,UTHR,NFG,HIW,GT,UBSI,SIGI,WBS,MTG,HFC,CR,HE,AGCO,PK,LAMR,STL,HRC,CRI,BLDR,NDSN,CASY,ITT,RPM,KMPR,AVNT,COHR,HPP,HRB,DTM WI,WTFC,BKH,CSL,ACC,LSI,UNVR,CBSH,HUBB,DOC,DCI,PII,ADNT,CAR,JWN,LIVN,OGS,SRCL,EPR,R,SBRA,AVT,SF,UMBF,SWX,FNB,XEC,MIDD,WRI,NJR,XRX,SR,SAFM,HWC,WEX,HOMB,CMC,TOL,ALE,KBH,EHC,SCI,ATR,WSO,KEX,EQT,JBGS,SEIC,NUVA,CNXC,WWD,CBRL,ACHC,CACI,BC,FR,TDC,PACW,TMHC,MUR,BOH,GNTX,NAVI,DAN,MUSA,VSAT,CBT,OFC,RGLD,TCBI,FCFS,REXR,CC,G,AZPN,SAIC,CW,NATI,RNR,WH,GATX,RYN,TNL,NWE,ASB,ASH,CNO,PEB,CDK,SFM,KMT,FLO,MLHR,EGP,VMI,GXO WI,GME,CLH,VSH,SYNA,RBC,DTM,GXO,GVMXX,SUM
07/09/2021,0.95,0.82,0.8,0.79,0.78,0.77,0.76,0.76,0.75,0.74,0.73,0.7,0.68,0.68,0.68,0.68,0.67,0.67,0.62,0.62,0.62,0.61,0.6,0.59,0.59,0.58,0.58,0.57,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.47,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.65
07/12/2021,0.99,0.81,0.8,0.8,0.79,0.78,0.75,0.76,0.73,0.75,0.73,0.7,0.68,0.68,0.65,0.65,0.67,0.67,0.63,0.62,0.6,0.61,0.6,0.59,0.59,0.57,0.59,0.56,0.56,0.58,0.56,0.56,0.55,0.55,0.54,0.54,0.55,0.54,0.5,0.53,0.53,0.53,0.52,0.53,0.52,0.54,0.51,0.51,0.51,0.5,0.51,0.51,0.48,0.49,0.5,0.5,0.5,0.47,0.45,0.43,0.45,0.44,0.45,0.45,0.44,0.44,0.43,0.43,0.44,0.43,0.43,0.42,0.43,0.42,0.42,0.44,0.42,0.4,0.41,0.41,0.39,0.39,0.39,0.4,0.39,0.39,0.38,0.38,0.37,0.38,0.37,0.37,0.38,0.38,0.38,0.37,0.37,0.38,0.36,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.34,0.35,0.34,0.34,0.34,0.31,0.34,0.34,0.34,0.33,0.34,0.33,0.32,0.33,0.32,0.33,0.33,0.32,0.3,0.3,0.33,0.32,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.32,0.31,0.32,0.3,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.3,0.29,0.29,0.29,0.3,0.3,0.29,0.3,0.29,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.28,0.28,0.27,0.26,0.27,0.27,0.27,0.28,0.26,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.26,0.24,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.71000000000001
07/13/2021,0.99,0.81,0.8,0.8,0.79,0.78,0.75,0.76,0.73,0.75,0.73,0.7,0.68,0.68,0.65,0.65,0.67,0.67,0.63,0.62,0.6,0.61,0.6,0.59,0.59,0.57,0.59,0.56,0.56,0.58,0.56,0.56,0.55,0.55,0.54,0.54,0.55,0.54,0.5,0.53,0.53,0.53,0.52,0.53,0.52,0.54,0.51,0.51,0.51,0.5,0.51,0.51,0.48,0.49,0.5,0.5,0.5,0.47,0.45,0.43,0.45,0.44,0.45,0.45,0.44,0.44,0.43,0.43,0.44,0.43,0.43,0.42,0.43,0.42,0.42,0.44,0.42,0.4,0.41,0.41,0.39,0.39,0.39,0.4,0.39,0.39,0.38,0.38,0.37,0.38,0.37,0.37,0.38,0.38,0.38,0.37,0.37,0.38,0.36,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.34,0.35,0.34,0.34,0.34,0.31,0.34,0.34,0.34,0.33,0.34,0.33,0.32,0.33,0.32,0.33,0.33,0.32,0.3,0.3,0.33,0.32,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.32,0.31,0.32,0.3,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.3,0.29,0.29,0.29,0.3,0.3,0.29,0.3,0.29,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.28,0.28,0.27,0.26,0.27,0.27,0.27,0.28,0.26,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.26,0.24,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.71000000000001
07/14/2021,0.99,0.81,0.82,0.8,0.78,0.77,0.76,0.75,0.74,0.74,0.76,0.69,0.68,0.67,0.67,0.67,0.67,0.67,0.62,0.63,0.61,0.61,0.6,0.59,0.59,0.57,0.59,0.56,0.56,0.58,0.55,0.57,0.55,0.55,0.55,0.55,0.54,0.54,0.51,0.53,0.55,0.53,0.53,0.53,0.52,0.53,0.51,0.52,0.5,0.5,0.51,0.5,0.49,0.49,0.5,0.49,0.52,0.47,0.45,0.44,0.46,0.44,0.45,0.45,0.44,0.44,0.43,0.43,0.44,0.43,0.42,0.42,0.44,0.41,0.42,0.45,0.42,0.42,0.41,0.4,0.38,0.38,0.39,0.4,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.38,0.38,0.37,0.37,0.37,0.38,0.37,0.37,0.37,0.36,0.35,0.36,0.36,0.35,0.34,0.35,0.33,0.34,0.34,0.31,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.32,0.31,0.32,0.32,0.31,0.31,0.32,0.32,0.31,0.32,0.32,0.32,0.32,0.31,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.31,0.29,0.3,0.3,0.28,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.28,0.28,0.28,0.28,0.28,0.27,0.28,0.28,0.27,0.28,0.28,0.27,0.26,0.27,0.28,0.27,0.28,0.27,0.28,0.27,0.27,0.26,0.26,0.27,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.0,0.0,0.24,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81
07/15/2021,1.01,0.81,0.82,0.8,0.78,0.78,0.75,0.75,0.75,0.74,0.76,0.7,0.69,0.68,0.66,0.67,0.68,0.66,0.62,0.62,0.62,0.61,0.61,0.58,0.59,0.57,0.59,0.57,0.56,0.59,0.54,0.56,0.55,0.56,0.55,0.54,0.54,0.56,0.51,0.53,0.54,0.53,0.53,0.53,0.51,0.53,0.51,0.52,0.5,0.5,0.52,0.49,0.49,0.49,0.5,0.48,0.53,0.48,0.44,0.45,0.46,0.45,0.46,0.45,0.45,0.43,0.43,0.43,0.44,0.42,0.41,0.42,0.45,0.41,0.43,0.45,0.42,0.42,0.41,0.4,0.38,0.38,0.39,0.39,0.38,0.38,0.39,0.38,0.38,0.37,0.37,0.37,0.38,0.37,0.37,0.37,0.38,0.38,0.36,0.36,0.37,0.36,0.35,0.35,0.36,0.35,0.34,0.35,0.33,0.34,0.34,0.32,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.34,0.32,0.33,0.32,0.32,0.3,0.32,0.31,0.32,0.31,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.31,0.29,0.29,0.3,0.28,0.29,0.29,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.26,0.28,0.27,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.78
07/16/2021,1.0,0.79,0.82,0.8,0.78,0.78,0.75,0.75,0.74,0.74,0.76,0.7,0.68,0.68,0.66,0.66,0.69,0.67,0.62,0.63,0.62,0.61,0.61,0.59,0.59,0.57,0.59,0.56,0.56,0.58,0.54,0.56,0.55,0.55,0.56,0.54,0.55,0.56,0.51,0.53,0.54,0.53,0.53,0.53,0.51,0.53,0.51,0.52,0.51,0.51,0.51,0.48,0.49,0.49,0.49,0.47,0.52,0.48,0.45,0.45,0.46,0.44,0.46,0.45,0.45,0.43,0.43,0.43,0.44,0.43,0.41,0.41,0.45,0.41,0.42,0.45,0.42,0.41,0.41,0.4,0.38,0.38,0.39,0.39,0.38,0.38,0.39,0.38,0.38,0.37,0.37,0.37,0.38,0.38,0.37,0.37,0.37,0.38,0.36,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.34,0.35,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.34,0.32,0.34,0.32,0.31,0.3,0.31,0.31,0.32,0.31,0.32,0.32,0.31,0.32,0.32,0.31,0.32,0.31,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.3,0.29,0.29,0.3,0.28,0.29,0.28,0.29,0.3,0.29,0.29,0.29,0.3,0.29,0.28,0.28,0.29,0.28,0.28,0.27,0.28,0.28,0.28,0.27,0.27,0.25,0.27,0.28,0.27,0.29,0.27,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.0,0.24,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.77000000000001
07/19/2021,1.01,0.79,0.82,0.81,0.79,0.78,0.75,0.76,0.74,0.73,0.75,0.7,0.67,0.69,0.62,0.64,0.7,0.67,0.65,0.6,0.62,0.61,0.61,0.6,0.58,0.57,0.6,0.55,0.55,0.57,0.56,0.56,0.56,0.55,0.55,0.54,0.55,0.56,0.55,0.52,0.55,0.54,0.53,0.53,0.51,0.54,0.5,0.53,0.51,0.51,0.48,0.48,0.49,0.48,0.49,0.47,0.5,0.47,0.45,0.42,0.46,0.44,0.47,0.45,0.45,0.43,0.42,0.44,0.45,0.43,0.41,0.4,0.45,0.39,0.43,0.45,0.42,0.4,0.42,0.42,0.4,0.36,0.4,0.38,0.39,0.38,0.4,0.37,0.38,0.38,0.37,0.38,0.36,0.37,0.39,0.37,0.37,0.37,0.35,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.34,0.35,0.34,0.34,0.35,0.33,0.35,0.35,0.35,0.35,0.34,0.33,0.33,0.34,0.33,0.34,0.32,0.3,0.31,0.3,0.31,0.32,0.31,0.33,0.32,0.31,0.32,0.32,0.32,0.33,0.31,0.3,0.33,0.32,0.31,0.3,0.31,0.3,0.31,0.29,0.29,0.3,0.28,0.3,0.29,0.29,0.3,0.29,0.29,0.28,0.28,0.3,0.29,0.28,0.28,0.28,0.27,0.27,0.28,0.27,0.28,0.27,0.27,0.25,0.25,0.28,0.27,0.29,0.27,0.28,0.27,0.26,0.27,0.27,0.27,0.26,0.26,0.25,0.26,0.25,0.26,0.25,0.25,0.26,0.25,0.26,0.26,0.0,0.26,0.25,0.25,0.24,0.25,0.24,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.85
07/20/2021,0.99,0.8,0.81,0.81,0.8,0.78,0.74,0.77,0.71,0.73,0.72,0.72,0.66,0.7,0.6,0.63,0.71,0.67,0.66,0.6,0.62,0.6,0.62,0.61,0.59,0.57,0.62,0.55,0.54,0.57,0.57,0.57,0.56,0.55,0.56,0.53,0.55,0.56,0.55,0.52,0.55,0.53,0.53,0.52,0.51,0.54,0.5,0.52,0.52,0.51,0.47,0.49,0.49,0.49,0.49,0.47,0.48,0.46,0.45,0.42,0.47,0.44,0.48,0.46,0.46,0.43,0.42,0.43,0.45,0.44,0.42,0.39,0.45,0.39,0.43,0.44,0.41,0.4,0.41,0.43,0.39,0.37,0.4,0.38,0.39,0.38,0.4,0.36,0.38,0.38,0.36,0.38,0.36,0.37,0.39,0.36,0.36,0.37,0.35,0.37,0.36,0.35,0.37,0.36,0.37,0.36,0.35,0.35,0.34,0.35,0.35,0.33,0.34,0.36,0.35,0.35,0.34,0.33,0.33,0.35,0.33,0.34,0.32,0.3,0.3,0.3,0.31,0.33,0.32,0.33,0.31,0.32,0.32,0.32,0.32,0.34,0.3,0.29,0.33,0.32,0.31,0.3,0.32,0.3,0.3,0.3,0.28,0.3,0.28,0.31,0.29,0.29,0.31,0.3,0.29,0.28,0.27,0.3,0.29,0.28,0.28,0.27,0.27,0.27,0.29,0.27,0.29,0.26,0.26,0.25,0.0,0.28,0.26,0.29,0.27,0.29,0.27,0.25,0.28,0.26,0.26,0.26,0.26,0.24,0.27,0.25,0.26,0.25,0.25,0.26,0.24,0.26,0.26,0.0,0.26,0.25,0.25,0.24,0.24,0.24,0.25,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8
07/21/2021,0.99,0.8,0.81,0.81,0.8,0.78,0.74,0.77,0.71,0.73,0.72,0.72,0.66,0.7,0.6,0.63,0.71,0.67,0.66,0.6,0.62,0.6,0.62,0.61,0.59,0.57,0.62,0.55,0.54,0.57,0.57,0.57,0.56,0.55,0.56,0.53,0.55,0.56,0.55,0.52,0.55,0.53,0.53,0.52,0.51,0.54,0.5,0.52,0.52,0.51,0.47,0.49,0.49,0.49,0.49,0.47,0.48,0.46,0.45,0.42,0.47,0.44,0.48,0.46,0.46,0.43,0.42,0.43,0.45,0.44,0.42,0.39,0.45,0.39,0.43,0.44,0.41,0.4,0.41,0.43,0.39,0.37,0.4,0.38,0.39,0.38,0.4,0.36,0.38,0.38,0.36,0.38,0.36,0.37,0.39,0.36,0.36,0.37,0.35,0.37,0.36,0.35,0.37,0.36,0.37,0.36,0.35,0.35,0.34,0.35,0.35,0.33,0.34,0.36,0.35,0.35,0.34,0.33,0.33,0.35,0.33,0.34,0.32,0.3,0.3,0.3,0.31,0.33,0.32,0.33,0.31,0.32,0.32,0.32,0.32,0.34,0.3,0.29,0.33,0.32,0.31,0.3,0.32,0.3,0.3,0.3,0.28,0.3,0.28,0.31,0.29,0.29,0.31,0.3,0.29,0.28,0.27,0.3,0.29,0.28,0.28,0.27,0.27,0.27,0.29,0.27,0.29,0.26,0.26,0.25,0.0,0.28,0.26,0.29,0.27,0.29,0.27,0.25,0.28,0.26,0.26,0.26,0.26,0.24,0.27,0.25,0.26,0.25,0.25,0.26,0.24,0.26,0.26,0.0,0.26,0.25,0.25,0.24,0.24,0.24,0.25,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8
07/22/2021,0.99,0.8,0.81,0.81,0.8,0.78,0.74,0.77,0.71,0.73,0.72,0.72,0.66,0.7,0.6,0.63,0.71,0.67,0.66,0.6,0.62,0.6,0.62,0.61,0.59,0.57,0.62,0.55,0.54,0.57,0.57,0.57,0.56,0.55,0.56,0.53,0.55,0.56,0.55,0.52,0.55,0.53,0.53,0.52,0.51,0.54,0.5,0.52,0.52,0.51,0.47,0.49,0.49,0.49,0.49,0.47,0.48,0.46,0.45,0.42,0.47,0.44,0.48,0.46,0.46,0.43,0.42,0.43,0.45,0.44,0.42,0.39,0.45,0.39,0.43,0.44,0.41,0.4,0.41,0.43,0.39,0.37,0.4,0.38,0.39,0.38,0.4,0.36,0.38,0.38,0.36,0.38,0.36,0.37,0.39,0.36,0.36,0.37,0.35,0.37,0.36,0.35,0.37,0.36,0.37,0.36,0.35,0.35,0.34,0.35,0.35,0.33,0.34,0.36,0.35,0.35,0.34,0.33,0.33,0.35,0.33,0.34,0.32,0.3,0.3,0.3,0.31,0.33,0.32,0.33,0.31,0.32,0.32,0.32,0.32,0.34,0.3,0.29,0.33,0.32,0.31,0.3,0.32,0.3,0.3,0.3,0.28,0.3,0.28,0.31,0.29,0.29,0.31,0.3,0.29,0.28,0.27,0.3,0.29,0.28,0.28,0.27,0.27,0.27,0.29,0.27,0.29,0.26,0.26,0.25,0.0,0.28,0.26,0.29,0.27,0.29,0.27,0.25,0.28,0.26,0.26,0.26,0.26,0.24,0.27,0.25,0.26,0.25,0.25,0.26,0.24,0.26,0.26,0.0,0.26,0.25,0.25,0.24,0.24,0.24,0.25,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8
