,TECH,FICO,CGNX,SEDG,WSM,GGG,FDS,BRO,TTC,CREE,TREX,DAR,PRAH,MASI,JAZZ,LAD,RH,MKSI,FIVE,CABO,SAM,DECK,RGEN,OLED,CLF,NBIX,AXON,CONE,SMG,MANH,AMED,PEN,CHE,MOH,SYNH,XPO,LECO,IAA,BRKS,NDSN,RPM,ARWR,MAT,TPX,LSCC,RUN,LII,IIVI,EXEL,CDAY,CHDN,HQY,STAA,SLM,TXRH,YETI,BLD,FOXF,TTEK,FSLR,LFUS,AZPN,PRI,PCTY,LHCG,HUBB,NYT,LITE,MSA,TKR,CSL,WSO,ATR,KNX,CLGX,CPT,GRUB,MIDD,GMED,ASGN,IBKR,SCI,WTRG,HALO,HELE,WEX,GNTX,SBNY,OLLI,G,SSD,MPW,EHC,RGLD,FCN,MEDP,FFIN,QDEL,LAMR,BLDR,CCMP,RNR,BC,REXR,SAIL,BHF,WING,WEN,LSTR,SMTC,CBSH,LPX,LSI,DCI,WWD,EVR,SEIC,EXP,WH,MRCY,ITT,EGP,PII,VVV,AGCO,KNSL,SLAB,MMS,UTHR,XEC,FR,JCOM,COR,NSP,QLYS,TOL,RCM,CDK,HRC,CASY,PZZA,SF,STOR,CNXC,CIEN,CNX,NEOG,RBC,SRCL,BYD,GBCI,CACI,IRDM,EBS,AM,ESNT,CC,JACK,ACC,RLI,IART,ACIW,NATI,SGMS,TREE,EQT,MSM,TNL,COHR,ACHC,VMI,SYNA,LANC,RYN,ICUI,HAIN,SAIC,CHX,ENS,CRUS,TDC,CW,ASH,CHH,FLO,CLH,GO,UMPQ,NSA,RAMP,SXT,CVLT,TGNA,HR,NUS,PNM,PRG,VC,NGVT,SABR,CROX,ENV,TRGP,ELY,HAE,BLKB,CRNC,LOPE,SUM
07/09/2021,1.48,1.36,1.29,1.23,1.2,1.18,1.17,1.13,1.1,1.06,1.04,1.02,1.02,1.01,0.99,0.96,0.96,0.96,0.95,0.91,0.9,0.87,0.86,0.85,0.85,0.83,0.83,0.82,0.81,0.8,0.78,0.78,0.73,0.72,0.72,0.72,0.71,0.71,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.66,0.65,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.61,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.57,0.57,0.57,0.57,0.56,0.55,0.55,0.55,0.54,0.54,0.54,0.53,0.52,0.51,0.51,0.5,0.5,0.5,0.49,0.48,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.72
07/12/2021,1.48,1.36,1.29,1.23,1.2,1.18,1.17,1.13,1.1,1.06,1.04,1.02,1.02,1.01,0.99,0.96,0.96,0.96,0.95,0.91,0.9,0.87,0.86,0.85,0.85,0.83,0.83,0.82,0.81,0.8,0.78,0.78,0.73,0.72,0.72,0.72,0.71,0.71,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.66,0.65,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.61,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.57,0.57,0.57,0.57,0.56,0.55,0.55,0.55,0.54,0.54,0.54,0.53,0.52,0.51,0.51,0.5,0.5,0.5,0.49,0.48,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.72
07/13/2021,1.48,1.36,1.29,1.23,1.2,1.18,1.17,1.13,1.1,1.06,1.04,1.02,1.02,1.01,0.99,0.96,0.96,0.96,0.95,0.91,0.9,0.87,0.86,0.85,0.85,0.83,0.83,0.82,0.81,0.8,0.78,0.78,0.73,0.72,0.72,0.72,0.71,0.71,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.66,0.65,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.61,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.57,0.57,0.57,0.57,0.56,0.55,0.55,0.55,0.54,0.54,0.54,0.53,0.52,0.51,0.51,0.5,0.5,0.5,0.49,0.48,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.72
07/14/2021,1.48,1.36,1.29,1.23,1.2,1.18,1.17,1.13,1.1,1.06,1.04,1.02,1.02,1.01,0.99,0.96,0.96,0.96,0.95,0.91,0.9,0.87,0.86,0.85,0.85,0.83,0.83,0.82,0.81,0.8,0.78,0.78,0.73,0.72,0.72,0.72,0.71,0.71,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.66,0.65,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.61,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.57,0.57,0.57,0.57,0.56,0.55,0.55,0.55,0.54,0.54,0.54,0.53,0.52,0.51,0.51,0.5,0.5,0.5,0.49,0.48,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.72
07/15/2021,1.48,1.36,1.29,1.23,1.2,1.18,1.17,1.13,1.1,1.06,1.04,1.02,1.02,1.01,0.99,0.96,0.96,0.96,0.95,0.91,0.9,0.87,0.86,0.85,0.85,0.83,0.83,0.82,0.81,0.8,0.78,0.78,0.73,0.72,0.72,0.72,0.71,0.71,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.66,0.65,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.61,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.57,0.57,0.57,0.57,0.56,0.55,0.55,0.55,0.54,0.54,0.54,0.53,0.52,0.51,0.51,0.5,0.5,0.5,0.49,0.48,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.72
07/16/2021,1.48,1.36,1.29,1.23,1.2,1.18,1.17,1.13,1.1,1.06,1.04,1.02,1.02,1.01,0.99,0.96,0.96,0.96,0.95,0.91,0.9,0.87,0.86,0.85,0.85,0.83,0.83,0.82,0.81,0.8,0.78,0.78,0.73,0.72,0.72,0.72,0.71,0.71,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.66,0.65,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.61,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.57,0.57,0.57,0.57,0.56,0.55,0.55,0.55,0.54,0.54,0.54,0.53,0.52,0.51,0.51,0.5,0.5,0.5,0.49,0.48,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.72
07/19/2021,1.59,1.32,1.35,1.31,1.11,1.17,1.15,1.13,1.07,1.03,1.07,1.0,0.97,1.12,0.97,0.93,1.04,0.9,0.98,0.94,0.86,0.97,0.93,0.87,0.9,0.84,1.04,0.8,0.71,0.84,0.73,0.85,0.69,0.73,0.82,0.67,0.71,0.67,0.64,0.68,0.65,0.78,0.64,0.65,0.7,0.82,0.65,0.69,0.52,0.68,0.62,0.61,0.65,0.61,0.57,0.63,0.59,0.59,0.6,0.7,0.57,0.59,0.55,0.65,0.58,0.55,0.58,0.57,0.55,0.5,0.53,0.53,0.51,0.51,0.0,0.55,0.0,0.53,0.55,0.47,0.48,0.49,0.46,0.55,0.51,0.46,0.42,0.45,0.43,0.44,0.44,0.42,0.4,0.39,0.42,0.44,0.41,0.45,0.41,0.39,0.4,0.38,0.39,0.41,0.43,0.36,0.43,0.38,0.35,0.41,0.34,0.31,0.39,0.36,0.34,0.33,0.34,0.34,0.33,0.34,0.32,0.35,0.34,0.32,0.31,0.32,0.37,0.3,0.31,0.33,0.31,0.33,0.34,0.3,0.31,0.26,0.28,0.28,0.29,0.25,0.31,0.26,0.28,0.29,0.3,0.27,0.27,0.25,0.23,0.24,0.24,0.23,0.26,0.26,0.27,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.23,0.21,0.21,0.19,0.18,0.2,0.19,0.19,0.24,0.2,0.18,0.19,0.18,0.18,0.18,0.19,0.19,0.18,0.16,0.16,0.17,0.17,0.17,0.17,0.16,0.19,0.15,0.16,0.16,0.15,0.16,0.0,0.15,0.0,0.15,0.0,0.0,0.69,0.23,0.21,0.21,0.17,0.15,0.0,0.0,96.74
07/20/2021,1.59,1.32,1.35,1.31,1.11,1.17,1.15,1.13,1.07,1.03,1.07,1.0,0.97,1.12,0.97,0.93,1.04,0.9,0.98,0.94,0.86,0.97,0.93,0.87,0.9,0.84,1.04,0.8,0.71,0.84,0.73,0.85,0.69,0.73,0.82,0.67,0.71,0.67,0.64,0.68,0.65,0.78,0.64,0.65,0.7,0.82,0.65,0.69,0.52,0.68,0.62,0.61,0.65,0.61,0.57,0.63,0.59,0.59,0.6,0.7,0.57,0.59,0.55,0.65,0.58,0.55,0.58,0.57,0.55,0.5,0.53,0.53,0.51,0.51,0.0,0.55,0.0,0.53,0.55,0.47,0.48,0.49,0.46,0.55,0.51,0.46,0.42,0.45,0.43,0.44,0.44,0.42,0.4,0.39,0.42,0.44,0.41,0.45,0.41,0.39,0.4,0.38,0.39,0.41,0.43,0.36,0.43,0.38,0.35,0.41,0.34,0.31,0.39,0.36,0.34,0.33,0.34,0.34,0.33,0.34,0.32,0.35,0.34,0.32,0.31,0.32,0.37,0.3,0.31,0.33,0.31,0.33,0.34,0.3,0.31,0.26,0.28,0.28,0.29,0.25,0.31,0.26,0.28,0.29,0.3,0.27,0.27,0.25,0.23,0.24,0.24,0.23,0.26,0.26,0.27,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.23,0.21,0.21,0.19,0.18,0.2,0.19,0.19,0.24,0.2,0.18,0.19,0.18,0.18,0.18,0.19,0.19,0.18,0.16,0.16,0.17,0.17,0.17,0.17,0.16,0.19,0.15,0.16,0.16,0.15,0.16,0.0,0.15,0.0,0.15,0.0,0.0,0.69,0.23,0.21,0.21,0.17,0.15,0.0,0.0,96.74
07/21/2021,1.59,1.32,1.35,1.31,1.11,1.17,1.15,1.13,1.07,1.03,1.07,1.0,0.97,1.12,0.97,0.93,1.04,0.9,0.98,0.94,0.86,0.97,0.93,0.87,0.9,0.84,1.04,0.8,0.71,0.84,0.73,0.85,0.69,0.73,0.82,0.67,0.71,0.67,0.64,0.68,0.65,0.78,0.64,0.65,0.7,0.82,0.65,0.69,0.52,0.68,0.62,0.61,0.65,0.61,0.57,0.63,0.59,0.59,0.6,0.7,0.57,0.59,0.55,0.65,0.58,0.55,0.58,0.57,0.55,0.5,0.53,0.53,0.51,0.51,0.0,0.55,0.0,0.53,0.55,0.47,0.48,0.49,0.46,0.55,0.51,0.46,0.42,0.45,0.43,0.44,0.44,0.42,0.4,0.39,0.42,0.44,0.41,0.45,0.41,0.39,0.4,0.38,0.39,0.41,0.43,0.36,0.43,0.38,0.35,0.41,0.34,0.31,0.39,0.36,0.34,0.33,0.34,0.34,0.33,0.34,0.32,0.35,0.34,0.32,0.31,0.32,0.37,0.3,0.31,0.33,0.31,0.33,0.34,0.3,0.31,0.26,0.28,0.28,0.29,0.25,0.31,0.26,0.28,0.29,0.3,0.27,0.27,0.25,0.23,0.24,0.24,0.23,0.26,0.26,0.27,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.23,0.21,0.21,0.19,0.18,0.2,0.19,0.19,0.24,0.2,0.18,0.19,0.18,0.18,0.18,0.19,0.19,0.18,0.16,0.16,0.17,0.17,0.17,0.17,0.16,0.19,0.15,0.16,0.16,0.15,0.16,0.0,0.15,0.0,0.15,0.0,0.0,0.69,0.23,0.21,0.21,0.17,0.15,0.0,0.0,96.74
07/22/2021,1.59,1.32,1.35,1.31,1.11,1.17,1.15,1.13,1.07,1.03,1.07,1.0,0.97,1.12,0.97,0.93,1.04,0.9,0.98,0.94,0.86,0.97,0.93,0.87,0.9,0.84,1.04,0.8,0.71,0.84,0.73,0.85,0.69,0.73,0.82,0.67,0.71,0.67,0.64,0.68,0.65,0.78,0.64,0.65,0.7,0.82,0.65,0.69,0.52,0.68,0.62,0.61,0.65,0.61,0.57,0.63,0.59,0.59,0.6,0.7,0.57,0.59,0.55,0.65,0.58,0.55,0.58,0.57,0.55,0.5,0.53,0.53,0.51,0.51,0.0,0.55,0.0,0.53,0.55,0.47,0.48,0.49,0.46,0.55,0.51,0.46,0.42,0.45,0.43,0.44,0.44,0.42,0.4,0.39,0.42,0.44,0.41,0.45,0.41,0.39,0.4,0.38,0.39,0.41,0.43,0.36,0.43,0.38,0.35,0.41,0.34,0.31,0.39,0.36,0.34,0.33,0.34,0.34,0.33,0.34,0.32,0.35,0.34,0.32,0.31,0.32,0.37,0.3,0.31,0.33,0.31,0.33,0.34,0.3,0.31,0.26,0.28,0.28,0.29,0.25,0.31,0.26,0.28,0.29,0.3,0.27,0.27,0.25,0.23,0.24,0.24,0.23,0.26,0.26,0.27,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.23,0.21,0.21,0.19,0.18,0.2,0.19,0.19,0.24,0.2,0.18,0.19,0.18,0.18,0.18,0.19,0.19,0.18,0.16,0.16,0.17,0.17,0.17,0.17,0.16,0.19,0.15,0.16,0.16,0.15,0.16,0.0,0.15,0.0,0.15,0.0,0.0,0.69,0.23,0.21,0.21,0.17,0.15,0.0,0.0,96.74
