,GAZP.ME,SBER.ME,LKOH.ME,NVTK.ME,GMKN.ME,ROSN.ME,TATN.ME,TRNFP.ME,PLZL.ME,MGNT.ME,MOEX.ME,VTBR.ME,MTSS.ME,ALRS.ME,CHMF.ME,NLMK.ME,SNGSP,PHOR.ME,IRAO.ME,—,SNGS.ME,RUAL.ME,MAGN.ME,HYDR.ME,RTKM.ME,AFKS.ME,CBOM.ME,AFLT.ME,FEES.ME,RSTI.ME,FLOT.ME,MVID.ME,TATNP,UPRO.ME,BANEP,MSNG,ALRS,VTBR,MSNG.ME,SUM
07/09/2021,17.16,17.15,14.52,4.77,3.49,3.11,3.07,2.57,2.46,2.44,2.28,2.27,2.27,2.2,2.16,1.97,1.74,1.56,1.52,1.34,1.23,1.14,1.12,0.91,0.9,0.83,0.8,0.62,0.53,0.37,0.34,0.27,0.27,0.26,0.21,0.16,0.0,0.0,0.0,100.00999999999998
07/12/2021,17.04,17.24,14.22,4.75,3.5,3.15,2.97,2.5,2.54,2.51,2.3,2.25,2.26,2.34,2.21,2.01,1.72,1.57,1.53,1.49,1.2,1.15,1.14,0.87,0.87,0.83,0.81,0.62,0.55,0.37,0.34,0.26,0.27,0.26,0.2,0.16,0.0,0.0,0.0,100.0
07/13/2021,17.04,17.24,14.22,4.75,3.5,3.15,2.97,2.5,2.54,2.51,2.3,2.25,2.26,2.34,2.21,2.01,1.72,1.57,1.53,1.49,1.2,1.15,1.14,0.87,0.87,0.83,0.81,0.62,0.55,0.37,0.34,0.26,0.27,0.26,0.2,0.16,0.0,0.0,0.0,100.0
07/14/2021,17.15,17.25,14.1,4.66,3.53,3.12,2.93,2.52,2.45,2.5,2.27,2.26,2.24,2.39,2.3,2.07,1.73,1.56,1.53,1.48,1.2,1.16,1.18,0.88,0.88,0.83,0.8,0.63,0.55,0.37,0.34,0.26,0.26,0.27,0.2,0.16,0.0,0.0,0.0,100.01
07/15/2021,17.22,17.3,13.94,4.63,3.57,3.12,2.93,2.54,2.45,2.5,2.27,2.26,2.27,2.42,2.29,2.07,1.73,1.55,1.53,1.47,1.19,1.17,1.17,0.88,0.87,0.82,0.81,0.63,0.54,0.37,0.34,0.26,0.26,0.27,0.2,0.16,0.0,0.0,0.0,100.0
07/16/2021,16.35,17.15,13.98,4.62,3.65,3.11,2.93,2.57,2.48,2.52,2.26,2.16,2.27,2.49,2.36,2.12,1.72,1.55,1.52,2.27,1.18,1.17,1.22,0.87,0.87,0.81,0.81,0.62,0.54,0.37,0.34,0.26,0.26,0.27,0.2,0.16,0.0,0.0,0.0,100.03000000000002
07/19/2021,16.8,17.67,14.08,4.63,3.69,3.16,2.93,2.45,2.57,2.56,2.33,2.25,2.34,2.5,2.45,2.16,1.73,1.6,1.55,0.48,1.19,1.2,1.26,0.88,0.88,0.83,0.81,0.62,0.51,0.37,0.35,0.27,0.27,0.27,0.2,0.17,0.0,0.0,0.0,100.01
07/22/2021,17.0,17.52,14.06,4.65,3.73,3.14,2.92,2.36,2.59,2.53,2.31,0.0,2.37,0.0,2.51,2.16,1.49,1.62,1.52,0.72,1.17,1.19,1.28,0.87,0.88,0.83,0.83,0.63,0.51,0.37,0.35,0.27,0.27,0.27,0.2,0.17,2.47,2.25,0.0,100.01
07/23/2021,17.0,17.52,14.06,4.65,3.73,3.14,2.92,2.36,2.59,2.53,2.31,0.0,2.37,0.0,2.51,2.16,1.49,1.62,1.52,0.72,1.17,1.19,1.28,0.87,0.88,0.83,0.83,0.63,0.51,0.37,0.35,0.27,0.27,0.27,0.2,0.17,2.47,2.25,0.0,100.01
07/26/2021,17.15,17.53,14.23,4.65,3.64,3.12,2.89,2.41,2.49,2.49,2.34,2.25,2.31,2.48,2.57,2.28,1.44,1.59,1.49,0.62,1.14,1.16,1.31,0.87,0.86,0.82,0.84,0.64,0.5,0.36,0.35,0.28,0.27,0.27,0.19,0.17,0.0,0.0,0.0,100.0
07/29/2021,16.95,17.84,14.03,4.66,3.64,3.1,2.87,2.41,2.48,2.53,2.35,2.23,2.33,2.48,2.58,2.3,1.45,1.58,1.48,0.61,1.13,1.21,1.35,0.88,0.86,0.83,0.84,0.63,0.5,0.37,0.34,0.27,0.26,0.27,0.19,0.17,0.0,0.0,0.0,100.0
07/30/2021,16.87,17.71,14.0,4.67,3.7,3.1,2.88,2.42,2.46,2.53,2.37,2.22,2.33,2.48,2.64,2.38,1.45,1.56,1.47,0.62,1.14,1.2,1.39,0.88,0.86,0.82,0.84,0.63,0.51,0.37,0.34,0.27,0.26,0.27,0.19,0.17,0.0,0.0,0.0,100.0
08/02/2021,17.05,17.62,13.89,4.83,3.61,3.07,2.88,2.42,2.5,2.56,2.36,2.28,2.29,2.5,2.6,2.35,1.41,1.56,1.47,0.61,1.15,1.26,1.37,0.88,0.85,0.82,0.83,0.63,0.5,0.36,0.33,0.27,0.27,0.27,0.19,0.17,0.0,0.0,0.0,100.00999999999998
08/03/2021,17.05,17.62,13.89,4.83,3.61,3.07,2.88,2.42,2.5,2.56,2.36,2.28,2.29,2.5,2.6,2.35,1.41,1.56,1.47,0.61,1.15,1.26,1.37,0.88,0.85,0.82,0.83,0.63,0.5,0.36,0.33,0.27,0.27,0.27,0.19,0.17,0.0,0.0,0.0,100.00999999999998
08/04/2021,17.06,17.89,13.72,4.84,3.63,3.03,2.86,2.41,2.5,2.57,2.36,2.32,2.28,2.43,2.61,2.37,1.42,1.54,1.46,0.61,1.13,1.25,1.37,0.87,0.85,0.81,0.82,0.63,0.49,0.37,0.34,0.27,0.26,0.27,0.19,0.16,0.0,0.0,0.0,99.99
