,SPX_6,SPX_7,SPX_3,SPX_4,SPX_5,MSFT,INTU,ACN,TGT,AMZN,LLY,GOOGL,UPS,TT,COST,PPG,ODFL,AJG,ABBV,DE,TMUS,BRK.B,V,TMO,LOW,JPMORGAN US GOVT MMKT FUN,BMY,CMCSA,PEP,ETN,PGR,XEL,NKE,MDLZ,SPGI,PG,SWK,HSY,ICE,KO,DG,NEE,UNH,JNJ,MRK,DUK,CMS,CHTR,KMB,MA,CB,FB,VZ,PLD,AAPL,TXN,BAH,TRP.TO,NFLX,NSC,SRE,EQIX,MDT,USB,VRTX,PSA,LIN,ADP,ADI,REGN,EVRG,CTVA,SUI,LDOS,ORLY,PM,TJX,WEC,WMT,ORCL,APH,MO,WFC,ANTM,NOC,ADBE,STX,AVY,TRV,EMN,BSX,GWW,UNP,TFC,RF,BIIB,HIG,EL,ESU1 Index,SPX_2,CASH OR CASH COLLATERAL,SPX_8,SUM
07/09/2021,3.63,3.45,2.99,2.94,2.92,1.65,1.64,1.62,1.56,1.53,1.52,1.5,1.43,1.41,1.36,1.36,1.34,1.31,1.3,1.3,1.29,1.28,1.28,1.28,1.27,1.27,1.26,1.26,1.25,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.23,1.22,1.22,1.21,1.21,1.2,1.19,1.19,1.15,1.12,1.12,1.04,1.03,0.99,0.9,0.87,0.85,0.84,0.83,0.81,0.79,0.76,0.75,0.72,0.7,0.7,0.69,0.67,0.64,0.62,0.6,0.6,0.59,0.58,0.54,0.54,0.53,0.52,0.47,0.45,0.45,0.43,0.42,0.42,0.42,0.41,0.41,0.4,0.4,0.38,0.38,0.37,0.29,0.29,0.26,0.18,0.17,0.17,0.15,0.13,0.0,0.0,-0.55,0.0,100.02
07/12/2021,3.49,3.37,2.54,2.52,2.83,1.64,1.63,1.65,1.57,1.53,1.51,1.48,1.43,1.44,1.39,1.36,1.36,1.3,1.3,1.29,1.27,1.29,1.27,1.27,1.26,0.0,1.25,1.26,1.24,1.26,1.25,1.24,1.23,1.24,1.23,1.24,1.25,1.24,1.23,1.23,1.23,1.2,1.2,1.2,1.18,1.19,1.15,1.12,1.11,1.02,1.03,0.97,0.89,0.88,0.86,0.83,0.84,0.81,0.78,0.73,0.74,0.71,0.7,0.7,0.68,0.67,0.65,0.62,0.59,0.59,0.59,0.57,0.55,0.55,0.54,0.52,0.47,0.45,0.44,0.46,0.42,0.42,0.42,0.41,0.41,0.4,0.41,0.39,0.38,0.38,0.29,0.29,0.26,0.18,0.18,0.17,0.15,0.13,0.0,0.0,1.97,0.0,100.05
07/13/2021,3.49,3.37,2.54,2.52,2.83,1.64,1.63,1.65,1.57,1.53,1.51,1.48,1.43,1.44,1.39,1.36,1.36,1.3,1.3,1.29,1.27,1.29,1.27,1.27,1.26,0.0,1.25,1.26,1.24,1.26,1.25,1.24,1.23,1.24,1.23,1.24,1.25,1.24,1.23,1.23,1.23,1.2,1.2,1.2,1.18,1.19,1.15,1.12,1.11,1.02,1.03,0.97,0.89,0.88,0.86,0.83,0.84,0.81,0.78,0.73,0.74,0.71,0.7,0.7,0.68,0.67,0.65,0.62,0.59,0.59,0.59,0.57,0.55,0.55,0.54,0.52,0.47,0.45,0.44,0.46,0.42,0.42,0.42,0.41,0.41,0.4,0.41,0.39,0.38,0.38,0.29,0.29,0.26,0.18,0.18,0.17,0.15,0.13,0.0,0.0,1.97,0.0,100.05
07/14/2021,3.49,3.37,2.54,2.52,2.83,1.64,1.63,1.65,1.57,1.53,1.51,1.48,1.43,1.44,1.39,1.36,1.36,1.3,1.3,1.29,1.27,1.29,1.27,1.27,1.26,0.0,1.25,1.26,1.24,1.26,1.25,1.24,1.23,1.24,1.23,1.24,1.25,1.24,1.23,1.23,1.23,1.2,1.2,1.2,1.18,1.19,1.15,1.12,1.11,1.02,1.03,0.97,0.89,0.88,0.86,0.83,0.84,0.81,0.78,0.73,0.74,0.71,0.7,0.7,0.68,0.67,0.65,0.62,0.59,0.59,0.59,0.57,0.55,0.55,0.54,0.52,0.47,0.45,0.44,0.46,0.42,0.42,0.42,0.41,0.41,0.4,0.41,0.39,0.38,0.38,0.29,0.29,0.26,0.18,0.18,0.17,0.15,0.13,0.0,0.0,1.97,0.0,100.05
07/15/2021,3.47,3.35,2.49,2.49,2.8,1.64,1.65,1.65,1.6,1.54,1.52,1.5,1.43,1.46,1.38,1.38,1.35,1.31,1.32,1.31,1.28,1.29,1.27,1.27,1.27,1.92,1.27,1.27,1.24,1.28,1.26,1.25,1.24,1.25,1.22,1.25,1.26,1.25,1.23,1.23,1.23,1.2,1.22,1.2,1.18,1.2,1.16,1.1,1.11,1.03,1.05,0.98,0.9,0.9,0.86,0.84,0.84,0.81,0.78,0.73,0.75,0.72,0.7,0.71,0.68,0.68,0.65,0.62,0.6,0.58,0.59,0.57,0.55,0.56,0.54,0.52,0.47,0.46,0.44,0.45,0.42,0.42,0.42,0.42,0.41,0.4,0.41,0.39,0.39,0.38,0.29,0.29,0.26,0.18,0.18,0.17,0.15,0.13,0.0,0.0,-0.3,0.0,100.01
07/16/2021,3.42,3.29,0.0,2.47,2.78,1.64,1.63,1.63,1.57,1.5,1.49,1.48,1.4,1.43,1.36,1.34,1.33,1.27,1.3,1.28,1.27,1.27,1.27,1.25,1.24,1.5,1.25,1.24,1.25,1.25,1.21,1.22,1.22,1.23,1.2,1.23,1.22,1.22,1.21,1.23,1.21,1.18,1.21,1.18,1.16,1.18,1.13,1.07,1.09,1.04,1.02,0.96,0.88,0.87,0.85,0.83,0.83,0.8,0.78,0.72,0.73,0.71,0.69,0.69,0.67,0.66,0.63,0.61,0.59,0.58,0.58,0.55,0.54,0.55,0.53,0.51,0.46,0.45,0.44,0.45,0.41,0.41,0.41,0.42,0.4,0.4,0.4,0.38,0.38,0.37,0.28,0.29,0.25,0.18,0.17,0.17,0.15,0.13,0.0,0.0,0.19,4.03,100.02
07/19/2021,3.42,3.28,0.0,2.48,2.79,1.65,1.62,1.65,1.59,1.48,1.48,1.49,1.42,1.44,1.38,1.36,1.34,1.29,1.3,1.27,1.28,1.28,1.31,1.25,1.26,2.23,1.25,1.25,1.28,1.25,1.18,1.25,1.23,1.26,1.21,1.25,1.23,1.26,1.21,1.27,1.23,1.22,1.22,1.18,1.17,1.22,1.17,1.07,1.11,1.06,1.05,0.95,0.89,0.88,0.87,0.82,0.84,0.79,0.78,0.73,0.74,0.72,0.68,0.72,0.68,0.67,0.64,0.62,0.58,0.59,0.6,0.55,0.55,0.55,0.54,0.52,0.46,0.46,0.45,0.45,0.41,0.42,0.43,0.42,0.4,0.4,0.4,0.38,0.39,0.37,0.28,0.29,0.26,0.18,0.17,0.15,0.15,0.13,0.0,0.0,-1.36,3.99,100.0
07/20/2021,3.42,3.26,0.0,2.51,2.81,1.65,1.62,1.64,1.57,1.46,1.48,1.49,1.4,1.44,1.38,1.35,1.31,1.29,1.31,1.25,1.29,1.27,1.31,1.27,1.26,0.83,1.25,1.24,1.29,1.25,1.2,1.26,1.22,1.26,1.22,1.26,1.21,1.26,1.21,1.26,1.23,1.24,1.22,1.18,1.17,1.23,1.18,1.08,1.13,1.05,1.05,0.94,0.89,0.89,0.86,0.81,0.84,0.78,0.77,0.72,0.75,0.72,0.68,0.7,0.69,0.67,0.64,0.62,0.57,0.59,0.61,0.54,0.56,0.56,0.54,0.52,0.46,0.47,0.44,0.45,0.41,0.42,0.42,0.42,0.4,0.4,0.39,0.37,0.39,0.35,0.28,0.29,0.25,0.18,0.17,0.15,0.15,0.13,0.01,0.0,0.22,3.95,100.05
07/21/2021,3.42,3.26,0.0,2.51,2.81,1.65,1.62,1.64,1.57,1.46,1.48,1.49,1.4,1.44,1.38,1.35,1.31,1.29,1.31,1.25,1.29,1.27,1.31,1.27,1.26,0.83,1.25,1.24,1.29,1.25,1.2,1.26,1.22,1.26,1.22,1.26,1.21,1.26,1.21,1.26,1.23,1.24,1.22,1.18,1.17,1.23,1.18,1.08,1.13,1.05,1.05,0.94,0.89,0.89,0.86,0.81,0.84,0.78,0.77,0.72,0.75,0.72,0.68,0.7,0.69,0.67,0.64,0.62,0.57,0.59,0.61,0.54,0.56,0.56,0.54,0.52,0.46,0.47,0.44,0.45,0.41,0.42,0.42,0.42,0.4,0.4,0.39,0.37,0.39,0.35,0.28,0.29,0.25,0.18,0.17,0.15,0.15,0.13,0.01,0.0,0.22,3.95,100.05
07/22/2021,3.45,3.24,0.0,2.55,2.86,1.64,1.62,1.64,1.59,1.46,1.51,1.47,1.42,1.44,1.4,1.33,1.31,1.27,1.29,1.24,1.26,1.26,1.28,1.28,1.25,0.99,1.25,1.23,1.3,1.23,1.19,1.25,1.21,1.27,1.21,1.28,1.2,1.27,1.21,1.26,1.25,1.23,1.2,1.18,1.17,1.23,1.18,1.09,1.15,1.0,1.03,0.94,0.89,0.89,0.84,0.82,0.84,0.77,0.78,0.71,0.73,0.73,0.67,0.68,0.69,0.67,0.63,0.61,0.57,0.59,0.61,0.53,0.55,0.55,0.54,0.52,0.45,0.47,0.45,0.45,0.41,0.42,0.41,0.41,0.39,0.4,0.39,0.37,0.38,0.35,0.28,0.29,0.25,0.17,0.16,0.15,0.15,0.13,0.03,0.0,0.25,3.93,100.00999999999999
