,939 HK,2318 HK,1398 HK,3988 HK,3968 HK,2628 HK,1288 HK,2601 HK,2328.HK,3328 HK,1658 HK,6030 HK,600036 C1,998 HK,CASH,3908 HK,1339 HK,1336 HK,601166 C1,966.HK,1988 HK,6837 HK,3360.HK,NOAH,6881 HK,6886 HK,6060.HK,1359.HK,1776 HK,300059 C2,6818 HK,600000 C1,3618 HK,165.HK,600030 C1,002142 C2,2799.HK,601288 C1,QFIN,601328 C1,601601 C1,LU,600016 C1,601818 C1,600999 C1,601211 C1,601398 C1,600919 C1,601658 C1,600926 C1,601009 C1,600837 C1,601688 C1,601229 C1,601988 C1,601169 C1,000166 C2,601336 C1,601628 C1,TIGR,9668.HK,000776 C2,601788 C1,601901 C1,600015 C1,601838 C1,601066 C1,601377 C1,300033 C2,601916 C1,600958 C1,600061 C1,600109 C1,601162 C1,002797 C2,601878 C1,601995 C1,002736 C2,601555 C1,002673 C2,000783 C2,600369 C1,601881 C1,000728 C2,601198 C1,601108 C1,601990 C1,600705 C1,601077 C1,601319 C1,002500 C2,600909 C1,601099 C1,002926 C2,002958 C2,000627 C2,000750 C2,601456 C1,000686 C2,002939 C2,000987,601128,601318,601696,000001,601939 C1,000987 C2,002939,601128 C1,SUM
07/09/2021,8.75,8.66,8.5,7.47,7.21,3.51,2.75,2.58,2.11,1.89,1.88,1.84,1.83,1.57,1.47,1.4,1.29,1.21,1.18,1.15,1.14,1.09,1.02,0.97,0.96,0.96,0.94,0.93,0.9,0.84,0.81,0.77,0.74,0.69,0.65,0.64,0.62,0.61,0.56,0.53,0.52,0.5,0.42,0.42,0.42,0.38,0.37,0.37,0.37,0.37,0.37,0.34,0.34,0.33,0.32,0.32,0.32,0.31,0.3,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.23,0.22,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.05,0.05,0.04,0.03,0.0,0.0,0.0,100.0
07/12/2021,8.9,8.65,8.71,7.72,7.18,3.5,2.83,2.55,2.16,1.92,1.92,1.82,1.8,1.62,0.2,1.48,1.28,1.14,1.19,1.14,1.19,1.13,1.05,0.99,1.0,1.0,0.93,1.0,0.89,0.92,0.82,0.81,0.79,0.72,0.66,0.61,0.63,0.62,0.46,0.54,0.51,0.43,0.43,0.42,0.43,0.38,0.4,0.37,0.37,0.37,0.36,0.35,0.34,0.34,0.35,0.33,0.32,0.3,0.29,0.28,0.27,0.28,0.27,0.28,0.25,0.27,0.25,0.26,0.24,0.24,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.05,0.05,0.04,0.03,0.0,0.0,0.0,99.99
07/13/2021,8.9,8.65,8.71,7.72,7.18,3.5,2.83,2.55,2.16,1.92,1.92,1.82,1.8,1.62,0.2,1.48,1.28,1.14,1.19,1.14,1.19,1.13,1.05,0.99,1.0,1.0,0.93,1.0,0.89,0.92,0.82,0.81,0.79,0.72,0.66,0.61,0.63,0.62,0.46,0.54,0.51,0.43,0.43,0.42,0.43,0.38,0.4,0.37,0.37,0.37,0.36,0.35,0.34,0.34,0.35,0.33,0.32,0.3,0.29,0.28,0.27,0.28,0.27,0.28,0.25,0.27,0.25,0.26,0.24,0.24,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.05,0.05,0.04,0.03,0.0,0.0,0.0,99.99
07/14/2021,8.83,8.62,8.68,7.7,7.23,3.5,2.82,2.52,2.14,1.91,1.93,1.84,1.79,1.62,0.2,1.51,1.26,1.14,1.18,1.14,1.19,1.15,1.04,1.03,1.01,1.0,0.98,0.99,0.91,0.93,0.82,0.81,0.78,0.72,0.66,0.6,0.61,0.63,0.47,0.54,0.51,0.46,0.43,0.42,0.43,0.39,0.4,0.37,0.37,0.36,0.35,0.35,0.34,0.33,0.35,0.32,0.32,0.3,0.29,0.28,0.29,0.28,0.27,0.28,0.25,0.26,0.25,0.26,0.24,0.24,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.18,0.14,0.15,0.14,0.13,0.14,0.13,0.13,0.0,0.0,0.12,0.05,0.05,0.04,0.03,0.13,0.13,0.0,100.0
07/15/2021,8.8,8.61,8.59,7.71,7.31,3.46,2.81,2.47,2.12,1.92,1.93,1.88,1.76,1.62,0.28,1.54,1.26,1.13,1.19,1.13,1.17,1.13,1.06,1.02,1.03,1.01,1.01,1.0,0.93,0.98,0.82,0.81,0.78,0.72,0.67,0.6,0.61,0.62,0.47,0.5,0.5,0.43,0.43,0.42,0.43,0.39,0.39,0.36,0.36,0.34,0.34,0.36,0.35,0.33,0.35,0.32,0.32,0.3,0.29,0.27,0.29,0.28,0.28,0.28,0.25,0.24,0.26,0.27,0.25,0.24,0.24,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.17,0.16,0.16,0.16,0.18,0.14,0.15,0.14,0.13,0.14,0.13,0.13,0.0,0.0,0.12,0.05,0.05,0.04,0.03,0.13,0.13,0.0,100.01
07/16/2021,8.77,8.64,8.54,7.76,7.3,3.49,2.83,2.5,2.13,1.9,1.82,1.86,1.78,1.63,0.35,1.53,1.27,1.14,1.17,1.15,1.19,1.13,1.06,1.0,1.03,1.02,1.0,1.0,0.93,0.95,0.81,0.81,0.8,0.73,0.66,0.6,0.61,0.62,0.49,0.49,0.51,0.45,0.43,0.42,0.43,0.39,0.39,0.38,0.36,0.34,0.34,0.36,0.34,0.33,0.35,0.32,0.32,0.3,0.29,0.27,0.28,0.28,0.27,0.27,0.25,0.25,0.25,0.26,0.24,0.24,0.25,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.14,0.15,0.14,0.13,0.14,0.13,0.13,0.13,0.0,0.12,0.05,0.05,0.04,0.03,0.13,0.0,0.0,100.03
07/19/2021,8.74,8.69,8.51,7.66,7.49,3.47,2.81,2.5,2.14,1.89,1.87,1.84,1.8,1.61,0.33,1.54,1.26,1.14,1.19,1.14,1.18,1.12,1.04,0.98,1.01,1.0,1.16,0.96,0.92,0.97,0.81,0.81,0.78,0.73,0.66,0.62,0.59,0.61,0.53,0.49,0.51,0.46,0.42,0.42,0.43,0.38,0.39,0.37,0.38,0.34,0.35,0.36,0.34,0.32,0.34,0.32,0.32,0.3,0.28,0.25,0.27,0.28,0.27,0.28,0.25,0.24,0.25,0.26,0.23,0.24,0.23,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.0,0.12,0.05,0.05,0.04,0.03,0.13,0.0,0.0,99.97
07/20/2021,8.74,8.69,8.51,7.66,7.49,3.47,2.81,2.5,2.14,1.89,1.87,1.84,1.8,1.61,0.33,1.54,1.26,1.14,1.19,1.14,1.18,1.12,1.04,0.98,1.01,1.0,1.16,0.96,0.92,0.97,0.81,0.81,0.78,0.73,0.66,0.62,0.59,0.61,0.53,0.49,0.51,0.46,0.42,0.42,0.43,0.38,0.39,0.37,0.38,0.34,0.35,0.36,0.34,0.32,0.34,0.32,0.32,0.3,0.28,0.25,0.27,0.28,0.27,0.28,0.25,0.24,0.25,0.26,0.23,0.24,0.23,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.0,0.12,0.05,0.05,0.04,0.03,0.13,0.0,0.0,99.97
07/21/2021,8.76,8.76,8.53,7.63,7.49,3.47,2.8,2.51,2.14,1.89,1.88,1.88,1.8,1.61,0.08,1.59,1.3,1.14,1.16,1.14,1.18,1.14,1.07,0.97,1.03,1.01,1.13,0.98,0.96,0.95,0.84,0.81,0.78,0.73,0.66,0.63,0.61,0.61,0.52,0.51,0.51,0.45,0.42,0.42,0.42,0.39,0.39,0.36,0.38,0.33,0.34,0.36,0.34,0.32,0.34,0.32,0.32,0.29,0.28,0.24,0.29,0.28,0.27,0.28,0.25,0.23,0.25,0.26,0.23,0.24,0.24,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.0,0.0,0.05,0.05,0.04,0.03,0.12,0.0,0.12,99.98
07/22/2021,8.78,8.74,8.57,7.66,7.45,3.44,2.81,2.49,2.12,1.89,1.9,1.85,1.81,1.61,0.07,1.57,1.31,1.11,1.17,1.12,1.18,1.15,1.09,0.99,1.02,1.01,1.09,0.95,0.97,0.96,0.83,0.82,0.78,0.73,0.67,0.64,0.62,0.62,0.52,0.51,0.51,0.44,0.42,0.42,0.42,0.39,0.39,0.37,0.39,0.35,0.34,0.37,0.34,0.32,0.35,0.32,0.32,0.3,0.28,0.24,0.3,0.28,0.27,0.28,0.25,0.24,0.24,0.26,0.23,0.24,0.25,0.21,0.2,0.2,0.19,0.2,0.2,0.2,0.18,0.17,0.18,0.19,0.19,0.18,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.17,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.12,0.0,0.0,0.05,0.05,0.04,0.03,0.12,0.0,0.12,100.03
