,MSFT,AMZN,NVDA,WMT,INTC,JPM,CSCO,PEP,ABBV,PM,C,LOW,GS,TGT,MMM,CVS,LMT,SPGI,ANTM,Us Dollars,PLD,MO,ADP,COF,CL,ADSK,WM,NOC,HUM,FCX,NEM,A,KMI,WBA,HPQ,IFF,MSI,XEL,ADM,STT,CBRE,KR,CCL,K,VTR,HBAN,PEAK,CPB,GPS,OC,Jones Lang LaSalle Inc,JLL,SUM
07/09/2021,13.14,12.93,7.9,6.37,3.64,3.62,3.59,3.31,3.28,2.52,2.35,2.27,2.04,1.98,1.88,1.75,1.71,1.6,1.52,1.51,1.44,1.42,1.37,1.15,1.12,1.04,0.97,0.95,0.94,0.88,0.82,0.73,0.68,0.67,0.62,0.61,0.6,0.58,0.55,0.48,0.47,0.47,0.47,0.35,0.35,0.33,0.29,0.22,0.2,0.16,0.16,0.0,100.0
07/12/2021,13.16,13.77,7.69,6.36,3.56,3.51,3.58,3.34,3.32,2.48,2.23,2.24,1.97,2.0,1.87,1.71,1.71,1.62,1.51,1.52,1.47,1.39,1.38,1.12,1.13,1.03,0.97,0.96,0.95,0.82,0.81,0.73,0.67,0.65,0.6,0.6,0.6,0.59,0.54,0.45,0.46,0.46,0.42,0.35,0.35,0.32,0.3,0.23,0.19,0.16,0.0,0.15,100.0
07/13/2021,13.16,13.77,7.69,6.36,3.56,3.51,3.58,3.34,3.32,2.48,2.23,2.24,1.97,2.0,1.87,1.71,1.71,1.62,1.51,1.52,1.47,1.39,1.38,1.12,1.13,1.03,0.97,0.96,0.95,0.82,0.81,0.73,0.67,0.65,0.6,0.6,0.6,0.59,0.54,0.45,0.46,0.46,0.42,0.35,0.35,0.32,0.3,0.23,0.19,0.16,0.0,0.15,100.0
07/14/2021,12.91,13.44,7.58,6.26,3.53,3.55,3.53,3.26,3.26,2.45,2.24,2.22,1.99,1.96,1.85,1.69,1.68,1.57,1.5,2.75,1.47,1.39,1.36,1.15,1.11,1.01,0.96,0.94,0.93,0.85,0.81,0.72,0.67,0.65,0.59,0.59,0.59,0.58,0.54,0.47,0.46,0.46,0.43,0.34,0.35,0.33,0.3,0.22,0.19,0.16,0.0,0.15,99.99
07/15/2021,12.83,13.39,7.73,6.23,3.56,3.58,3.49,3.25,3.27,2.42,2.27,2.22,2.03,1.98,1.84,1.7,1.66,1.56,1.52,2.77,1.48,1.39,1.36,1.18,1.11,1.0,0.95,0.93,0.94,0.84,0.8,0.72,0.66,0.65,0.57,0.59,0.59,0.58,0.53,0.47,0.46,0.46,0.42,0.34,0.35,0.33,0.3,0.22,0.19,0.16,0.0,0.15,100.02
07/16/2021,13.04,13.28,7.65,6.27,3.58,3.54,3.5,3.33,3.29,2.41,2.24,2.21,2.01,1.99,1.84,1.7,1.66,1.55,1.53,2.78,1.47,1.38,1.36,1.17,1.11,1.02,0.95,0.93,0.94,0.83,0.8,0.72,0.66,0.65,0.56,0.58,0.59,0.58,0.53,0.46,0.45,0.46,0.4,0.34,0.35,0.32,0.29,0.22,0.19,0.15,0.0,0.15,100.01
07/19/2021,13.24,13.31,7.28,6.41,3.57,3.59,3.58,3.43,3.32,2.49,2.27,2.26,2.03,2.02,1.89,1.73,1.69,1.58,1.55,1.88,1.5,1.42,1.4,1.17,1.14,1.03,0.99,0.93,0.97,0.81,0.81,0.73,0.65,0.64,0.56,0.58,0.6,0.6,0.53,0.46,0.45,0.47,0.39,0.35,0.36,0.33,0.31,0.22,0.18,0.15,0.0,0.15,100.00000000000004
07/20/2021,13.37,13.24,7.04,6.48,3.55,3.55,3.62,3.48,3.37,2.5,2.25,2.29,2.0,2.03,1.88,1.75,1.7,1.61,1.56,1.74,1.52,1.43,1.41,1.16,1.16,1.03,1.0,0.94,0.99,0.79,0.8,0.74,0.65,0.65,0.56,0.58,0.6,0.61,0.53,0.48,0.46,0.48,0.38,0.35,0.36,0.32,0.31,0.22,0.17,0.15,0.0,0.15,99.99
07/21/2021,13.37,13.24,7.04,6.48,3.55,3.55,3.62,3.48,3.37,2.5,2.25,2.29,2.0,2.03,1.88,1.75,1.7,1.61,1.56,1.74,1.52,1.43,1.41,1.16,1.16,1.03,1.0,0.94,0.99,0.79,0.8,0.74,0.65,0.65,0.56,0.58,0.6,0.61,0.53,0.48,0.46,0.48,0.38,0.35,0.36,0.32,0.31,0.22,0.17,0.15,0.0,0.15,99.99
07/22/2021,13.37,13.24,7.04,6.48,3.55,3.55,3.62,3.48,3.37,2.5,2.25,2.29,2.0,2.03,1.88,1.75,1.7,1.61,1.56,1.74,1.52,1.43,1.41,1.16,1.16,1.03,1.0,0.94,0.99,0.79,0.8,0.74,0.65,0.65,0.56,0.58,0.6,0.61,0.53,0.48,0.46,0.48,0.38,0.35,0.36,0.32,0.31,0.22,0.17,0.15,0.0,0.15,99.99
07/23/2021,13.31,13.27,7.35,6.52,3.56,3.46,3.61,3.51,3.34,2.5,2.21,2.27,1.97,2.05,1.88,1.74,1.69,1.61,1.53,1.76,1.53,1.42,1.4,1.14,1.17,1.02,0.99,0.93,0.98,0.78,0.79,0.74,0.64,0.64,0.56,0.58,0.59,0.6,0.53,0.46,0.45,0.51,0.36,0.36,0.36,0.31,0.31,0.23,0.17,0.15,0.0,0.15,99.99
07/26/2021,13.45,13.31,7.5,6.38,3.57,3.48,3.63,3.43,3.33,2.43,2.22,2.27,2.02,2.05,1.86,1.74,1.69,1.61,1.5,1.72,1.5,1.4,1.38,1.17,1.11,1.07,0.98,0.92,0.96,0.82,0.77,0.73,0.63,0.64,0.56,0.59,0.59,0.58,0.52,0.48,0.47,0.48,0.4,0.34,0.36,0.32,0.31,0.22,0.18,0.15,0.0,0.16,99.98
07/27/2021,13.55,13.32,7.45,6.41,3.36,3.46,3.66,3.45,3.33,2.45,2.2,2.3,2.02,2.08,1.86,1.75,1.69,1.6,1.48,1.72,1.51,1.41,1.39,1.16,1.13,1.08,0.99,0.92,0.97,0.82,0.77,0.74,0.63,0.64,0.56,0.59,0.59,0.59,0.52,0.48,0.47,0.48,0.39,0.34,0.36,0.32,0.31,0.22,0.18,0.15,0.0,0.16,100.01
07/28/2021,13.55,13.32,7.45,6.41,3.36,3.46,3.66,3.45,3.33,2.45,2.2,2.3,2.02,2.08,1.86,1.75,1.69,1.6,1.48,1.72,1.51,1.41,1.39,1.16,1.13,1.08,0.99,0.92,0.97,0.82,0.77,0.74,0.63,0.64,0.56,0.59,0.59,0.59,0.52,0.48,0.47,0.48,0.39,0.34,0.36,0.32,0.31,0.22,0.18,0.15,0.0,0.16,100.01
07/29/2021,13.5,13.44,7.34,6.4,3.44,3.47,3.67,3.44,3.31,2.46,2.23,2.26,2.03,2.07,1.87,1.74,1.63,1.58,1.47,1.71,1.5,1.41,1.39,1.17,1.14,1.08,0.99,0.91,0.96,0.85,0.77,0.73,0.64,0.65,0.57,0.59,0.59,0.59,0.52,0.48,0.48,0.48,0.41,0.34,0.36,0.32,0.31,0.22,0.18,0.15,0.0,0.16,100.0
07/30/2021,13.5,13.44,7.34,6.4,3.44,3.47,3.67,3.44,3.31,2.46,2.23,2.26,2.03,2.07,1.87,1.74,1.63,1.58,1.47,1.71,1.5,1.41,1.39,1.17,1.14,1.08,0.99,0.91,0.96,0.85,0.77,0.73,0.64,0.65,0.57,0.59,0.59,0.59,0.52,0.48,0.48,0.48,0.41,0.34,0.36,0.32,0.31,0.22,0.18,0.15,0.0,0.16,100.0
08/02/2021,13.46,13.01,7.53,6.41,3.41,3.53,3.66,3.45,3.37,2.5,2.28,2.23,2.05,2.09,1.84,1.75,1.66,1.64,1.5,1.41,1.51,1.44,1.41,1.18,1.13,1.11,0.98,0.94,0.89,0.9,0.8,0.74,0.65,0.65,0.57,0.6,0.6,0.59,0.54,0.49,0.52,0.49,0.4,0.34,0.36,0.35,0.32,0.21,0.17,0.16,0.0,0.17,99.99
08/03/2021,13.46,13.01,7.53,6.41,3.41,3.53,3.66,3.45,3.37,2.5,2.28,2.23,2.05,2.09,1.84,1.75,1.66,1.64,1.5,1.41,1.51,1.44,1.41,1.18,1.13,1.11,0.98,0.94,0.89,0.9,0.8,0.74,0.65,0.65,0.57,0.6,0.6,0.59,0.54,0.49,0.52,0.49,0.4,0.34,0.36,0.35,0.32,0.21,0.17,0.16,0.0,0.17,99.99
