,MRVL,PINS,DXCM,CDNS,PANW,RMD,SBAC,KKR,FTNT,FRC,PTON,CSGP,MTD,TTD,OKTA,ANSS,FAST,EFX,EPAM,ZBRA,VRSK,CPRT,MXIM,WST,GNRC,VFC,HUBS,ENPH,ETSY,RNG,ODFL,TDG,DDOG,SPLK,VRSN,WORK,VMC,BURL,YUM,ALXN,INVH,IT,QRVO,TDOC,FLT,OTIS,TRU,HZNP,XYL,ABNB,SWKS,TER,SIVB,XLNX,NET,EXAS,CVNA,ALNY,STE,ANET,TRMB,COUP,LNG,KEYS,COO,TTWO,ROK,SUI,TDY,ULTA,BR,Z,TYL,SGEN,CTLT,TFX,BLL,MDB,PAYC,PODD,CRL,AVTR,DPZ,GLW,AJG,POOL,MKTX,TECH,KSU,ZEN,PAYX,IEX,DHI,MPWR,ZS,DKNG,MGM,PLUG,ENTG,NVCR,XTSLA,AWK,AME,ARE,INCY,CTVA,PTC,BMRN,CDW,AVB,WAT,GDDY,FICO,SWK,ABMD,CGNX,AVLR,TXG,HLT,SEDG,HSY,BIO,EXPD,ALB,MLM,W,JBHT,CZR,MSI,CDAY,MASI,CERN,GGG,FDS,FIVN,MTN,BRO,FTV,VMW,BKI,CHGG,JKHY,TSCO,WLTW,CHD,CBRE,RH,AKAM,ELAN,TREX,TTC,BILL,GRMN,NDSN,NDAQ,AZO,PENN,DRE,FND,EXR,DT,AXON,ZNGA,AMH,LPLA,FIVE,DAR,DECK,AVY,MKC,GH,LAD,GWW,CABO,NVR,RGEN,PFPT,AZPN,HOLX,OLED,EXPE,HEI.A,PEN,HWM,WSO,NTRA,ESTC,MANH,GWRE,DOV,DRI,RF,IR,PCAR,CE,SMAR,TW,NBIX,LB,DBX,MAA,AMED,SAM,CONE,O,KMX,4282.T,SUM
07/09/2021,1.05,0.98,0.95,0.86,0.85,0.8,0.79,0.78,0.76,0.74,0.74,0.73,0.73,0.73,0.69,0.69,0.67,0.67,0.65,0.65,0.64,0.63,0.61,0.61,0.6,0.59,0.59,0.57,0.56,0.55,0.54,0.53,0.53,0.52,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.22
07/12/2021,1.04,0.93,0.97,0.86,0.85,0.82,0.81,0.76,0.77,0.74,0.75,0.75,0.74,0.74,0.71,0.69,0.68,0.67,0.65,0.65,0.66,0.64,0.59,0.62,0.6,0.58,0.59,0.55,0.56,0.53,0.55,0.53,0.52,0.51,0.52,0.51,0.52,0.48,0.5,0.49,0.5,0.49,0.48,0.47,0.47,0.49,0.48,0.47,0.48,0.47,0.47,0.46,0.47,0.44,0.47,0.45,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.44,0.46,0.45,0.44,0.41,0.43,0.41,0.43,0.43,0.43,0.44,0.45,0.42,0.42,0.42,0.43,0.41,0.41,0.41,0.41,0.42,0.39,0.4,0.37,0.38,0.39,0.38,0.36,0.36,0.38,0.35,0.37,0.34,0.35,0.37,0.0,0.37,0.36,0.37,0.34,0.33,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.34,0.31,0.31,0.32,0.31,0.32,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.3,0.29,0.3,0.29,0.3,0.29,0.29,0.29,0.28,0.28,0.29,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.27,0.24,0.25,0.25,0.25,0.25,0.26,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.24,0.22,0.22,0.22,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,79.05000000000001
07/13/2021,1.04,0.93,0.97,0.86,0.85,0.82,0.81,0.76,0.77,0.74,0.75,0.75,0.74,0.74,0.71,0.69,0.68,0.67,0.65,0.65,0.66,0.64,0.59,0.62,0.6,0.58,0.59,0.55,0.56,0.53,0.55,0.53,0.52,0.51,0.52,0.51,0.52,0.48,0.5,0.49,0.5,0.49,0.48,0.47,0.47,0.49,0.48,0.47,0.48,0.47,0.47,0.46,0.47,0.44,0.47,0.45,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.44,0.46,0.45,0.44,0.41,0.43,0.41,0.43,0.43,0.43,0.44,0.45,0.42,0.42,0.42,0.43,0.41,0.41,0.41,0.41,0.42,0.39,0.4,0.37,0.38,0.39,0.38,0.36,0.36,0.38,0.35,0.37,0.34,0.35,0.37,0.0,0.37,0.36,0.37,0.34,0.33,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.34,0.31,0.31,0.32,0.31,0.32,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.3,0.29,0.3,0.29,0.3,0.29,0.29,0.29,0.28,0.28,0.29,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.27,0.24,0.25,0.25,0.25,0.25,0.26,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.24,0.22,0.22,0.22,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,79.05000000000001
07/14/2021,1.04,0.93,0.94,0.85,0.84,0.8,0.8,0.76,0.77,0.76,0.7,0.76,0.74,0.75,0.7,0.68,0.69,0.67,0.66,0.65,0.65,0.64,0.6,0.61,0.61,0.59,0.59,0.55,0.55,0.53,0.55,0.53,0.52,0.5,0.51,0.5,0.51,0.49,0.5,0.49,0.5,0.49,0.48,0.46,0.47,0.49,0.48,0.47,0.48,0.49,0.47,0.46,0.49,0.44,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.43,0.45,0.45,0.45,0.44,0.46,0.45,0.44,0.42,0.43,0.41,0.43,0.42,0.43,0.44,0.44,0.42,0.42,0.41,0.43,0.41,0.41,0.42,0.41,0.42,0.39,0.4,0.38,0.38,0.39,0.38,0.36,0.36,0.38,0.35,0.38,0.33,0.35,0.37,0.0,0.36,0.37,0.37,0.34,0.33,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.34,0.31,0.31,0.32,0.31,0.32,0.32,0.32,0.32,0.31,0.3,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.27,0.28,0.29,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.26,0.27,0.26,0.26,0.27,0.26,0.27,0.24,0.25,0.25,0.25,0.25,0.26,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.21,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,78.9
07/15/2021,1.04,0.93,0.94,0.85,0.84,0.8,0.8,0.76,0.77,0.76,0.7,0.76,0.74,0.75,0.7,0.68,0.69,0.67,0.66,0.65,0.65,0.64,0.6,0.61,0.61,0.59,0.59,0.55,0.55,0.53,0.55,0.53,0.52,0.5,0.51,0.5,0.51,0.49,0.5,0.49,0.5,0.49,0.48,0.46,0.47,0.49,0.48,0.47,0.48,0.49,0.47,0.46,0.49,0.44,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.43,0.45,0.45,0.45,0.44,0.46,0.45,0.44,0.42,0.43,0.41,0.43,0.42,0.43,0.44,0.44,0.42,0.42,0.41,0.43,0.41,0.41,0.42,0.41,0.42,0.39,0.4,0.38,0.38,0.39,0.38,0.36,0.36,0.38,0.35,0.38,0.33,0.35,0.37,0.0,0.36,0.37,0.37,0.34,0.33,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.34,0.31,0.31,0.32,0.31,0.32,0.32,0.32,0.32,0.31,0.3,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.27,0.28,0.29,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.26,0.27,0.26,0.26,0.27,0.26,0.27,0.24,0.25,0.25,0.25,0.25,0.26,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.21,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,78.9
07/16/2021,1.04,0.88,0.97,0.86,0.85,0.81,0.81,0.77,0.78,0.78,0.72,0.75,0.75,0.74,0.7,0.69,0.68,0.67,0.68,0.64,0.66,0.65,0.61,0.62,0.63,0.59,0.57,0.56,0.54,0.51,0.55,0.53,0.52,0.5,0.51,0.5,0.52,0.49,0.5,0.5,0.5,0.49,0.49,0.45,0.47,0.49,0.48,0.48,0.49,0.47,0.47,0.47,0.5,0.44,0.46,0.44,0.47,0.46,0.46,0.46,0.46,0.43,0.43,0.46,0.45,0.45,0.46,0.45,0.46,0.42,0.44,0.4,0.44,0.41,0.43,0.44,0.45,0.42,0.41,0.4,0.43,0.42,0.42,0.42,0.41,0.42,0.39,0.4,0.37,0.37,0.39,0.38,0.35,0.37,0.38,0.35,0.37,0.32,0.36,0.36,0.0,0.37,0.37,0.37,0.34,0.33,0.34,0.33,0.33,0.35,0.34,0.32,0.33,0.33,0.32,0.34,0.3,0.3,0.32,0.31,0.32,0.32,0.32,0.34,0.31,0.29,0.31,0.3,0.3,0.28,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.28,0.27,0.28,0.27,0.26,0.27,0.26,0.27,0.25,0.25,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.24,0.25,0.25,0.25,0.25,0.26,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.2,0.21,0.22,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.21,0.21,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,78.93
07/19/2021,1.04,0.87,0.97,0.87,0.86,0.82,0.82,0.78,0.79,0.8,0.68,0.78,0.76,0.7,0.67,0.7,0.7,0.69,0.69,0.63,0.68,0.66,0.6,0.62,0.62,0.58,0.55,0.51,0.53,0.49,0.56,0.53,0.51,0.5,0.52,0.52,0.53,0.5,0.5,0.49,0.51,0.5,0.49,0.44,0.49,0.51,0.5,0.48,0.49,0.46,0.48,0.46,0.5,0.43,0.45,0.43,0.46,0.46,0.46,0.46,0.46,0.38,0.43,0.47,0.45,0.44,0.47,0.46,0.46,0.42,0.45,0.38,0.44,0.41,0.42,0.4,0.45,0.41,0.41,0.39,0.44,0.43,0.43,0.42,0.42,0.42,0.39,0.4,0.38,0.37,0.4,0.39,0.36,0.37,0.37,0.33,0.36,0.31,0.35,0.36,0.0,0.38,0.37,0.38,0.34,0.33,0.34,0.33,0.34,0.36,0.35,0.32,0.34,0.34,0.32,0.34,0.29,0.29,0.32,0.28,0.33,0.33,0.32,0.35,0.32,0.29,0.32,0.3,0.3,0.28,0.31,0.29,0.29,0.29,0.27,0.28,0.28,0.28,0.28,0.28,0.26,0.29,0.28,0.27,0.28,0.27,0.25,0.26,0.26,0.25,0.27,0.25,0.27,0.27,0.27,0.28,0.23,0.26,0.25,0.26,0.24,0.25,0.24,0.26,0.24,0.24,0.25,0.24,0.24,0.24,0.22,0.24,0.24,0.23,0.22,0.23,0.23,0.22,0.22,0.2,0.2,0.21,0.0,0.2,0.21,0.2,0.2,0.2,0.21,0.22,0.2,0.2,0.2,0.2,0.21,0.0,0.2,0.2,0.21,0.2,0.2,0.0,0.2,0.21,0.0,0.0,0.0,78.98
07/20/2021,1.04,0.87,0.97,0.87,0.86,0.82,0.82,0.78,0.79,0.8,0.68,0.78,0.76,0.7,0.67,0.7,0.7,0.69,0.69,0.63,0.68,0.66,0.6,0.62,0.62,0.58,0.55,0.51,0.53,0.49,0.56,0.53,0.51,0.5,0.52,0.52,0.53,0.5,0.5,0.49,0.51,0.5,0.49,0.44,0.49,0.51,0.5,0.48,0.49,0.46,0.48,0.46,0.5,0.43,0.45,0.43,0.46,0.46,0.46,0.46,0.46,0.38,0.43,0.47,0.45,0.44,0.47,0.46,0.46,0.42,0.45,0.38,0.44,0.41,0.42,0.4,0.45,0.41,0.41,0.39,0.44,0.43,0.43,0.42,0.42,0.42,0.39,0.4,0.38,0.37,0.4,0.39,0.36,0.37,0.37,0.33,0.36,0.31,0.35,0.36,0.0,0.38,0.37,0.38,0.34,0.33,0.34,0.33,0.34,0.36,0.35,0.32,0.34,0.34,0.32,0.34,0.29,0.29,0.32,0.28,0.33,0.33,0.32,0.35,0.32,0.29,0.32,0.3,0.3,0.28,0.31,0.29,0.29,0.29,0.27,0.28,0.28,0.28,0.28,0.28,0.26,0.29,0.28,0.27,0.28,0.27,0.25,0.26,0.26,0.25,0.27,0.25,0.27,0.27,0.27,0.28,0.23,0.26,0.25,0.26,0.24,0.25,0.24,0.26,0.24,0.24,0.25,0.24,0.24,0.24,0.22,0.24,0.24,0.23,0.22,0.23,0.23,0.22,0.22,0.2,0.2,0.21,0.0,0.2,0.21,0.2,0.2,0.2,0.21,0.22,0.2,0.2,0.2,0.2,0.21,0.0,0.2,0.2,0.21,0.2,0.2,0.0,0.2,0.21,0.0,0.0,0.0,78.98
07/21/2021,1.01,0.86,0.99,0.87,0.86,0.84,0.83,0.77,0.8,0.78,0.68,0.79,0.77,0.69,0.67,0.69,0.7,0.71,0.68,0.63,0.69,0.66,0.59,0.63,0.62,0.57,0.56,0.51,0.53,0.5,0.55,0.53,0.52,0.5,0.52,0.52,0.53,0.49,0.5,0.49,0.52,0.5,0.48,0.44,0.48,0.51,0.5,0.48,0.49,0.45,0.48,0.45,0.49,0.43,0.45,0.45,0.46,0.48,0.46,0.45,0.45,0.36,0.44,0.46,0.45,0.45,0.47,0.47,0.46,0.41,0.45,0.38,0.44,0.42,0.42,0.42,0.46,0.4,0.42,0.41,0.44,0.43,0.43,0.42,0.42,0.42,0.4,0.41,0.38,0.37,0.4,0.39,0.36,0.37,0.38,0.32,0.35,0.3,0.35,0.36,0.0,0.39,0.38,0.38,0.33,0.33,0.34,0.33,0.34,0.36,0.35,0.33,0.34,0.33,0.33,0.33,0.29,0.29,0.31,0.28,0.34,0.33,0.32,0.34,0.32,0.29,0.31,0.28,0.3,0.29,0.3,0.29,0.3,0.29,0.27,0.28,0.29,0.28,0.28,0.28,0.26,0.29,0.28,0.27,0.28,0.27,0.25,0.26,0.26,0.25,0.27,0.26,0.27,0.27,0.27,0.28,0.22,0.26,0.25,0.26,0.25,0.26,0.24,0.26,0.24,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.2,0.2,0.21,0.2,0.2,0.21,0.21,0.2,0.2,0.21,0.22,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.23,0.2,0.21,0.0,0.2,0.21,0.19,0.0,0.0,79.02000000000001
07/22/2021,1.03,0.9,0.97,0.88,0.87,0.85,0.84,0.77,0.8,0.76,0.73,0.78,0.77,0.7,0.69,0.69,0.71,0.7,0.69,0.62,0.69,0.67,0.59,0.63,0.63,0.56,0.56,0.52,0.56,0.48,0.55,0.51,0.52,0.5,0.52,0.53,0.52,0.48,0.5,0.49,0.51,0.5,0.48,0.46,0.47,0.5,0.5,0.47,0.49,0.45,0.48,0.46,0.47,0.43,0.47,0.45,0.46,0.47,0.46,0.46,0.45,0.37,0.43,0.47,0.45,0.45,0.47,0.46,0.45,0.41,0.44,0.39,0.45,0.42,0.43,0.4,0.45,0.41,0.41,0.4,0.44,0.43,0.43,0.42,0.41,0.42,0.4,0.41,0.38,0.37,0.39,0.39,0.36,0.38,0.38,0.33,0.34,0.31,0.35,0.36,0.0,0.39,0.37,0.39,0.33,0.32,0.33,0.33,0.34,0.36,0.35,0.32,0.35,0.33,0.33,0.33,0.3,0.29,0.31,0.29,0.34,0.33,0.32,0.34,0.31,0.3,0.31,0.28,0.3,0.29,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.29,0.27,0.26,0.28,0.26,0.25,0.27,0.26,0.25,0.27,0.27,0.27,0.27,0.27,0.28,0.23,0.26,0.25,0.25,0.25,0.26,0.24,0.26,0.23,0.23,0.24,0.24,0.24,0.25,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.23,0.2,0.2,0.2,0.2,0.19,0.21,0.2,0.2,0.21,0.21,0.22,0.0,0.0,0.19,0.2,0.2,0.0,0.2,0.2,0.23,0.2,0.21,0.0,0.2,0.2,0.19,0.0,0.0,79.09
