,BRK.B,JPM,V,MA,BAC,WFC,C,MS,BLK,GS,AMT,AXP,SCHW,SPGI,PLD,CCI,PNC,USB,CME,EQIX,TFC,MMC,CB,COF,BX,ICE,MCO,PGR,AON,PSA,TROW,MSCI,MET,DLR,SPG,AIG,BK,PRU,ALL,TRV,DFS,WELL,SBAC,KKR,AFL,FRC,CSGP,SIVB,AVB,WLTW,AJG,AMP,CBRE,STT,EQR,FITB,ARE,SYF,O,WY,NTRS,EXR,INVH,HIG,VTR,HBAN,NDAQ,SUI,KEY,MAA,ESS,CFG,RF,ALLY,PEAK,MTB,DRE,MKTX,CINF,MKL,VICI,BXP,PFG,ACGL,RJF,XTSLA,UDR,SBNY,WPC,APO,CPT,ELS,FDS,IRM,MPW,L,NLY,CBOE,BRO,HST,EQH,LNC,LPLA,AMH,FNF,VER,WRB,GLPI,REG,RE,EWBC,WAL,Y,AIZ,FHN,CMA,IVZ,CUBE,JLL,COLD,STOR,LSI,ATH,OHI,BEN,AGNC,GL,KIM,TW,CONE,LAMR,ZION,AFG,NNN,FRT,RNR,PBCT,SEIC,VNO,KRC,ARES,STWD,CBSH,RGA,AIRC,REXR,VOYA,EGP,JHG,PB,PNFP,JEF,BRX,SLM,FAF,AMG,ACC,ORI,FR,SF,FFIN,OPEN,PRI,BPOP,COR,CFR,USD,SNV,COIN,HTA,OMF,GBCI,NYCB,CACC,LAZ,IBKR,VLY,MORN,SRC,SLG,CUZ,DEI,UNM,FCNCA,CG,UBSI,BXMT,WBS,MTG,HIW,ERIE,SIGI,NRZ,THG,ESNT,OZK,RYN,DOC,BHF,FNB,AXS,UMPQ,SBRA,ANSGR.IS,HHC,HR,WTFC,RLI,UMBF,KMPR,HPP,RDN,SUM
07/09/2021,7.7,6.81,5.94,4.74,4.34,2.64,2.07,1.97,1.86,1.85,1.84,1.62,1.56,1.47,1.33,1.27,1.17,1.12,1.1,1.08,1.08,1.07,1.06,1.03,0.98,0.98,0.88,0.84,0.79,0.69,0.68,0.67,0.64,0.63,0.62,0.59,0.59,0.58,0.58,0.56,0.53,0.52,0.52,0.51,0.49,0.49,0.48,0.45,0.44,0.44,0.42,0.42,0.42,0.42,0.4,0.39,0.38,0.38,0.37,0.37,0.35,0.34,0.32,0.32,0.32,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.38
07/12/2021,7.72,6.79,5.95,4.73,4.25,2.61,2.06,1.94,1.85,1.82,1.88,1.62,1.52,1.5,1.36,1.29,1.16,1.11,1.11,1.11,1.06,1.07,1.06,1.03,1.0,0.99,0.9,0.86,0.79,0.7,0.67,0.68,0.63,0.65,0.61,0.57,0.58,0.57,0.58,0.56,0.52,0.53,0.54,0.5,0.49,0.49,0.5,0.46,0.45,0.43,0.42,0.42,0.42,0.41,0.41,0.38,0.38,0.38,0.38,0.39,0.35,0.34,0.33,0.32,0.32,0.3,0.3,0.3,0.28,0.3,0.3,0.28,0.27,0.27,0.27,0.26,0.27,0.26,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.2,0.23,0.21,0.2,0.19,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.15,0.15,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.08,0.09,0.09,0.09,0.13,0.09,0.1,0.09,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.38
07/13/2021,7.72,6.79,5.95,4.73,4.25,2.61,2.06,1.94,1.85,1.82,1.88,1.62,1.52,1.5,1.36,1.29,1.16,1.11,1.11,1.11,1.06,1.07,1.06,1.03,1.0,0.99,0.9,0.86,0.79,0.7,0.67,0.68,0.63,0.65,0.61,0.57,0.58,0.57,0.58,0.56,0.52,0.53,0.54,0.5,0.49,0.49,0.5,0.46,0.45,0.43,0.42,0.42,0.42,0.41,0.41,0.38,0.38,0.38,0.38,0.39,0.35,0.34,0.33,0.32,0.32,0.3,0.3,0.3,0.28,0.3,0.3,0.28,0.27,0.27,0.27,0.26,0.27,0.26,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.2,0.23,0.21,0.2,0.19,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.15,0.15,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.08,0.09,0.09,0.09,0.13,0.09,0.1,0.09,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.38
07/14/2021,7.72,6.85,5.86,4.66,4.29,2.64,2.06,1.96,1.86,1.84,1.84,1.63,1.54,1.45,1.35,1.27,1.17,1.12,1.1,1.07,1.08,1.06,1.07,1.05,0.99,0.97,0.88,0.85,0.78,0.69,0.68,0.67,0.64,0.64,0.62,0.59,0.59,0.58,0.58,0.56,0.54,0.53,0.52,0.5,0.49,0.5,0.5,0.47,0.45,0.43,0.42,0.42,0.42,0.43,0.41,0.39,0.38,0.38,0.37,0.39,0.35,0.34,0.33,0.32,0.32,0.31,0.29,0.29,0.28,0.3,0.3,0.28,0.28,0.28,0.27,0.27,0.27,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.23,0.2,0.23,0.21,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.14,0.15,0.14,0.15,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.12,0.1,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.0,0.0,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.36
07/15/2021,7.72,6.85,5.86,4.66,4.29,2.64,2.06,1.96,1.86,1.84,1.84,1.63,1.54,1.45,1.35,1.27,1.17,1.12,1.1,1.07,1.08,1.06,1.07,1.05,0.99,0.97,0.88,0.85,0.78,0.69,0.68,0.67,0.64,0.64,0.62,0.59,0.59,0.58,0.58,0.56,0.54,0.53,0.52,0.5,0.49,0.5,0.5,0.47,0.45,0.43,0.42,0.42,0.42,0.43,0.41,0.39,0.38,0.38,0.37,0.39,0.35,0.34,0.33,0.32,0.32,0.31,0.29,0.29,0.28,0.3,0.3,0.28,0.28,0.28,0.27,0.27,0.27,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.23,0.2,0.23,0.21,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.14,0.15,0.14,0.15,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.0,0.1,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,98.36
07/16/2021,7.69,6.85,5.96,4.79,4.28,2.6,2.06,2.02,1.88,1.86,1.84,1.64,1.57,1.44,1.35,1.26,1.17,1.12,1.1,1.07,1.07,1.04,1.07,1.07,0.99,0.97,0.88,0.83,0.76,0.69,0.68,0.67,0.64,0.64,0.61,0.58,0.59,0.57,0.58,0.56,0.56,0.53,0.52,0.5,0.49,0.5,0.49,0.47,0.45,0.42,0.42,0.42,0.41,0.42,0.41,0.39,0.38,0.38,0.37,0.38,0.35,0.33,0.33,0.33,0.32,0.3,0.3,0.29,0.28,0.3,0.3,0.28,0.28,0.28,0.27,0.26,0.27,0.25,0.26,0.24,0.24,0.24,0.23,0.22,0.24,0.22,0.23,0.21,0.2,0.19,0.2,0.19,0.18,0.19,0.17,0.18,0.17,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.13,0.14,0.13,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.08,0.09,0.09,0.09,0.1,0.09,0.1,0.09,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,98.37
07/19/2021,7.67,6.81,6.08,4.85,4.15,2.7,2.05,2.0,1.81,1.84,1.86,1.63,1.53,1.44,1.36,1.27,1.17,1.16,1.1,1.08,1.09,1.04,1.08,1.05,1.02,0.96,0.88,0.81,0.76,0.69,0.67,0.67,0.63,0.64,0.6,0.6,0.57,0.57,0.57,0.57,0.55,0.54,0.53,0.5,0.49,0.51,0.5,0.47,0.46,0.42,0.42,0.42,0.41,0.41,0.42,0.39,0.38,0.37,0.38,0.38,0.34,0.34,0.33,0.33,0.32,0.31,0.3,0.3,0.28,0.3,0.31,0.28,0.28,0.27,0.28,0.26,0.27,0.25,0.26,0.24,0.24,0.24,0.23,0.22,0.23,0.26,0.23,0.21,0.2,0.18,0.2,0.19,0.19,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.11,0.1,0.11,0.1,0.11,0.1,0.11,0.11,0.11,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.07,0.08,0.09,0.09,0.09,0.07,0.09,0.09,0.09,0.08,0.07,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,98.42
07/20/2021,7.67,6.81,6.08,4.85,4.15,2.7,2.05,2.0,1.81,1.84,1.86,1.63,1.53,1.44,1.36,1.27,1.17,1.16,1.1,1.08,1.09,1.04,1.08,1.05,1.02,0.96,0.88,0.81,0.76,0.69,0.67,0.67,0.63,0.64,0.6,0.6,0.57,0.57,0.57,0.57,0.55,0.54,0.53,0.5,0.49,0.51,0.5,0.47,0.46,0.42,0.42,0.42,0.41,0.41,0.42,0.39,0.38,0.37,0.38,0.38,0.34,0.34,0.33,0.33,0.32,0.31,0.3,0.3,0.28,0.3,0.31,0.28,0.28,0.27,0.28,0.26,0.27,0.25,0.26,0.24,0.24,0.24,0.23,0.22,0.23,0.26,0.23,0.21,0.2,0.18,0.2,0.19,0.19,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.11,0.1,0.11,0.1,0.11,0.1,0.11,0.11,0.11,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.07,0.08,0.09,0.09,0.09,0.07,0.09,0.09,0.09,0.08,0.07,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,98.42
07/21/2021,7.69,6.72,6.13,4.86,4.09,2.68,2.02,1.99,1.82,1.82,1.88,1.62,1.51,1.46,1.38,1.29,1.14,1.13,1.1,1.09,1.07,1.05,1.1,1.04,1.02,0.97,0.89,0.82,0.77,0.7,0.68,0.68,0.63,0.65,0.6,0.59,0.58,0.57,0.57,0.58,0.54,0.55,0.53,0.5,0.49,0.5,0.5,0.46,0.46,0.42,0.42,0.42,0.41,0.43,0.42,0.38,0.39,0.37,0.38,0.37,0.34,0.34,0.33,0.33,0.33,0.3,0.3,0.3,0.27,0.31,0.31,0.27,0.27,0.27,0.28,0.26,0.28,0.26,0.26,0.25,0.24,0.24,0.23,0.23,0.23,0.26,0.23,0.2,0.21,0.18,0.21,0.2,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.11,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.11,0.1,0.11,0.1,0.11,0.1,0.11,0.11,0.11,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.07,0.08,0.08,0.09,0.09,0.0,0.09,0.09,0.09,0.08,0.07,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.06,0.0,0.06,0.0,0.0,98.37000000000002
07/22/2021,7.76,6.68,6.11,4.72,4.09,2.68,2.03,2.0,1.81,1.82,1.92,1.59,1.51,1.48,1.41,1.31,1.14,1.11,1.11,1.13,1.06,1.06,1.09,1.04,1.03,0.99,0.9,0.83,0.77,0.71,0.67,0.69,0.63,0.66,0.58,0.58,0.58,0.57,0.57,0.57,0.54,0.53,0.55,0.5,0.49,0.5,0.51,0.45,0.47,0.42,0.42,0.42,0.41,0.42,0.43,0.37,0.4,0.36,0.39,0.37,0.34,0.34,0.34,0.33,0.33,0.29,0.31,0.3,0.27,0.32,0.32,0.26,0.26,0.27,0.28,0.25,0.28,0.26,0.26,0.25,0.25,0.24,0.23,0.22,0.23,0.27,0.24,0.2,0.21,0.18,0.21,0.2,0.19,0.19,0.18,0.17,0.17,0.19,0.19,0.16,0.16,0.15,0.15,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.14,0.14,0.14,0.15,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.11,0.1,0.11,0.1,0.11,0.1,0.11,0.11,0.11,0.12,0.12,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.07,0.08,0.08,0.09,0.09,0.0,0.09,0.09,0.09,0.08,0.07,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.06,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.07,0.0,0.0,0.06,0.0,0.0,0.0,98.44
