,2EFA  220331C00000610,2EFA  220331P00075870,Cash&Other,2EFA  220331P00064490,2EFA  220331C00083080,SUM
07/09/2021,98.93,3.89,0.6,-1.59,-1.84,99.99
07/12/2021,99.79,3.6,0.59,-1.38,-2.61,99.99
07/13/2021,99.79,3.6,0.59,-1.38,-2.61,99.99
07/14/2021,99.79,3.6,0.59,-1.38,-2.61,99.99
07/15/2021,100.13,3.61,0.59,-1.27,-3.06,100.0
07/16/2021,100.1,3.97,0.59,-1.43,-3.23,100.0
07/19/2021,99.0,4.2,0.58,-1.47,-2.32,99.99
07/20/2021,98.96,4.27,0.58,-1.55,-2.26,100.0
07/21/2021,98.96,4.27,0.58,-1.55,-2.26,100.0
07/22/2021,98.16,5.35,0.58,-2.02,-2.07,100.0
07/23/2021,98.35,5.0,0.58,-1.82,-2.12,99.99
07/26/2021,99.52,4.34,0.56,-1.91,-2.52,99.99000000000001
