,FENER.IS,FENER.IS.1,FENER.IS.2,FENER.IS.3,2QQQ  220331C00002560,2QQQ  220331C00319130,Cash&Other,2QQQ  220331C00341790,SUM
07/09/2021,99.71,27.91,0.86,-28.48,0.0,0.0,0.0,0.0,100.0
07/12/2021,0.0,0.0,0.0,0.0,100.58,30.69,0.58,-31.84,100.01000000000002
07/13/2021,0.0,0.0,0.0,0.0,100.58,30.69,0.58,-31.84,100.01000000000002
07/14/2021,0.0,0.0,0.0,0.0,100.58,30.69,0.58,-31.84,100.01000000000002
07/15/2021,0.0,0.0,0.0,0.0,100.9,31.2,0.58,-32.68,100.0
07/16/2021,0.0,0.0,0.0,0.0,101.04,31.4,0.57,-33.01,100.0
07/19/2021,0.0,0.0,0.0,0.0,100.59,30.3,0.57,-31.46,100.0
07/20/2021,0.0,0.0,0.0,0.0,100.19,29.46,0.57,-30.22,100.0
07/21/2021,0.0,0.0,0.0,0.0,100.19,29.46,0.57,-30.22,100.0
07/22/2021,0.0,0.0,0.0,0.0,100.12,28.56,0.57,-29.25,100.0
07/23/2021,0.0,0.0,0.0,0.0,100.54,30.18,0.56,-31.28,100.0
07/26/2021,0.0,0.0,0.0,0.0,101.13,32.15,0.55,-33.83,100.0
07/27/2021,0.0,0.0,0.0,0.0,101.75,33.66,0.54,-35.95,100.0
07/28/2021,0.0,0.0,0.0,0.0,101.75,33.66,0.54,-35.95,100.0
07/29/2021,0.0,0.0,0.0,0.0,101.67,33.94,0.54,-36.15,100.0
07/30/2021,0.0,0.0,0.0,0.0,101.21,32.04,0.54,-33.79,100.0
08/02/2021,0.0,0.0,0.0,0.0,101.34,32.21,0.53,-34.08,100.0
08/03/2021,0.0,0.0,0.0,0.0,101.19,32.28,0.53,-34.01,99.99000000000001
