,XLK,XLC,XLV,XLF,XLI,XLRE,XLP,XLY,XLB,XLU,XLE,SUM
09/14/2021,28.38,15.72,15.59,11.31,8.31,6.06,5.92,3.54,2.59,2.59,0.0,100.01
09/15/2021,28.38,15.72,15.59,11.31,8.31,6.06,5.92,3.54,2.59,2.59,0.0,100.01
09/16/2021,28.38,15.72,15.59,11.31,8.31,6.06,5.92,3.54,2.59,2.59,0.0,100.01
09/17/2021,28.34,15.74,15.47,11.42,8.32,6.09,5.92,3.55,2.59,2.58,0.0,100.02
09/20/2021,28.5,15.65,15.53,11.35,8.29,6.09,5.91,3.55,2.58,2.56,0.0,100.01
09/21/2021,28.38,15.63,15.68,11.39,8.24,6.11,5.92,3.59,2.53,2.53,0.0,100.0
09/22/2021,28.38,15.63,15.68,11.39,8.24,6.11,5.92,3.59,2.53,2.53,0.0,100.0
09/23/2021,28.38,15.63,15.68,11.39,8.24,6.11,5.92,3.59,2.53,2.53,0.0,100.0
09/24/2021,28.39,15.54,15.8,11.29,8.24,6.16,5.94,3.58,2.51,2.55,0.0,100.0
09/27/2021,28.62,15.39,15.64,11.54,8.27,6.06,5.86,3.6,2.52,2.48,0.0,99.98
09/28/2021,28.61,15.5,15.56,11.59,8.28,5.99,5.86,3.61,2.52,2.48,0.0,100.0
09/29/2021,28.61,15.5,15.56,11.59,8.28,5.99,5.86,3.61,2.52,2.48,0.0,100.0
09/30/2021,28.61,15.5,15.56,11.59,8.28,5.99,5.86,3.61,2.52,2.48,0.0,100.0
10/01/2021,28.18,15.5,15.46,11.84,8.4,6.0,5.91,3.65,2.57,2.48,0.0,99.99
10/04/2021,28.09,15.46,15.55,11.83,8.39,6.03,5.95,3.64,2.55,2.51,0.0,100.0
10/05/2021,28.3,15.67,15.36,11.83,8.33,6.0,5.86,3.61,2.55,2.49,0.0,100.0
10/06/2021,28.3,15.67,15.36,11.83,8.33,6.0,5.86,3.61,2.55,2.49,0.0,100.0
10/07/2021,28.3,15.67,15.36,11.83,8.33,6.0,5.86,3.61,2.55,2.49,0.0,100.0
10/08/2021,28.04,15.55,15.34,11.9,8.41,6.09,5.92,3.63,2.58,2.56,0.0,100.02
10/11/2021,28.21,15.58,15.18,11.97,8.41,6.01,5.92,3.61,2.56,2.55,0.0,100.0
10/12/2021,28.24,15.5,15.24,12.04,8.44,5.92,5.91,3.63,2.57,2.51,0.0,100.0
10/13/2021,28.24,15.5,15.24,12.04,8.44,5.92,5.91,3.63,2.57,2.51,0.0,100.0
10/14/2021,28.24,15.5,15.24,12.04,8.44,5.92,5.91,3.63,2.57,2.51,0.0,100.0
10/15/2021,28.29,15.38,15.23,12.01,8.43,5.98,5.96,3.64,2.59,2.49,0.0,100.0
10/18/2021,28.31,15.3,15.18,11.9,8.42,6.09,5.97,3.69,2.61,2.54,0.0,100.01
10/19/2021,28.31,15.3,15.18,11.9,8.42,6.09,5.97,3.69,2.61,2.54,0.0,100.01
10/20/2021,28.52,15.13,15.12,12.0,8.47,6.04,5.89,3.7,2.62,2.51,0.0,100.0
10/21/2021,28.69,15.21,14.98,11.98,8.45,6.03,5.84,3.73,2.61,2.47,0.0,99.99
10/22/2021,28.73,15.23,15.05,11.99,8.43,6.01,5.79,3.69,2.6,2.48,0.0,100.0
10/25/2021,28.51,15.18,15.19,12.03,8.44,6.07,5.79,3.67,2.61,2.51,0.0,100.0
10/26/2021,28.55,15.19,15.21,11.95,8.44,6.08,5.77,3.71,2.6,2.51,0.0,100.01
10/27/2021,28.55,15.19,15.21,11.95,8.44,6.08,5.77,3.71,2.6,2.51,0.0,100.01
10/28/2021,28.55,15.19,15.21,11.95,8.44,6.08,5.77,3.71,2.6,2.51,0.0,100.01
10/29/2021,28.55,15.19,15.21,11.95,8.44,6.08,5.77,3.71,2.6,2.51,0.0,100.01
11/01/2021,28.55,15.19,15.21,11.95,8.44,6.08,5.77,3.71,2.6,2.51,0.0,100.01
11/02/2021,28.55,15.19,15.21,11.95,8.44,6.08,5.77,3.71,2.6,2.51,0.0,100.01
11/03/2021,28.55,15.19,15.21,11.95,8.44,6.08,5.77,3.71,2.6,2.51,0.0,100.01
11/04/2021,28.55,15.19,15.21,11.95,8.44,6.08,5.77,3.71,2.6,2.51,0.0,100.01
11/05/2021,28.55,15.19,15.21,11.95,8.44,6.08,5.77,3.71,2.6,2.51,0.0,100.01
11/08/2021,28.62,9.51,11.53,14.12,8.48,2.67,1.0,15.76,2.53,0.98,4.81,100.01
11/09/2021,28.65,9.55,11.36,14.07,8.53,2.67,1.01,15.79,2.54,0.98,4.85,100.00000000000001
