,TLT,QQQ,XLK,PNQI,GLD,Vanguard Real Estate ETF,ACO.X.TO,Cash,Fidelity Instl Mmkt Govt 57,BLV,Invesco NASDAQ Internet ETF,SHY,IWO,iShares 1-3 Year Treasury Bond ETF,BND,n/a,VTI,IJR,IYW,TIP,SUM
07/09/2021,36.99,22.89,17.9,10.22,7.11,3.27,1.54,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,37.34,22.56,17.63,9.91,7.06,3.24,0.0,0.72,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,37.34,22.56,17.63,9.91,7.06,3.24,0.0,0.72,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,36.83,22.71,17.8,10.06,7.08,3.3,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,36.65,22.73,17.75,10.01,7.06,3.32,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,36.56,22.85,17.92,10.09,7.11,3.29,0.0,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,17.09,21.52,16.83,0.0,0.0,0.0,0.0,0.0,2.48,24.36,9.37,4.34,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,17.15,21.46,16.75,0.0,0.0,0.0,0.0,0.0,2.5,24.46,9.34,4.36,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,17.15,21.46,16.75,0.0,0.0,0.0,0.0,0.0,2.5,24.46,9.34,4.36,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,17.15,21.46,16.75,0.0,0.0,0.0,0.0,0.0,2.5,24.46,9.34,4.36,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,17.23,21.37,16.65,9.39,0.0,0.0,0.0,0.0,2.48,24.5,0.0,0.0,4.04,4.34,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,17.06,21.54,16.82,9.49,0.0,0.0,0.0,0.0,2.43,24.3,0.0,0.0,4.04,4.31,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/27/2021,16.88,21.72,16.93,9.58,0.0,0.0,0.0,0.0,2.42,24.13,0.0,0.0,4.05,4.29,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,16.88,21.72,16.93,9.58,0.0,0.0,0.0,0.0,2.42,24.13,0.0,0.0,4.05,4.29,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,16.87,21.78,16.96,9.49,0.0,0.0,0.0,0.0,2.43,24.11,0.0,0.0,4.05,4.3,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/30/2021,17.1,21.6,16.84,9.35,0.0,0.0,0.0,0.0,2.44,24.36,0.0,0.0,4.0,4.31,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,16.98,21.69,16.87,9.37,0.0,0.0,0.0,0.0,2.43,24.27,0.0,0.0,4.09,4.31,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,16.98,21.69,16.87,9.37,0.0,0.0,0.0,0.0,2.43,24.27,0.0,0.0,4.09,4.31,0.0,0.0,0.0,0.0,0.0,0.0,100.01
