,TLT,QQQ,XLK,PNQI,GLD,Vanguard Real Estate ETF,ACO.X.TO,Cash,Fidelity Instl Mmkt Govt 57,BLV,Invesco NASDAQ Internet ETF,SHY,IWO,iShares 1-3 Year Treasury Bond ETF,SUM
07/09/2021,36.99,22.89,17.9,10.22,7.11,3.27,1.54,0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,37.34,22.56,17.63,9.91,7.06,3.24,0.0,0.72,1.53,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,37.34,22.56,17.63,9.91,7.06,3.24,0.0,0.72,1.53,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,36.83,22.71,17.8,10.06,7.08,3.3,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,36.65,22.73,17.75,10.01,7.06,3.32,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,36.56,22.85,17.92,10.09,7.11,3.29,0.0,0.0,2.18,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,17.09,21.52,16.83,0.0,0.0,0.0,0.0,0.0,2.48,24.36,9.37,4.34,4.0,0.0,99.99
07/20/2021,17.15,21.46,16.75,0.0,0.0,0.0,0.0,0.0,2.5,24.46,9.34,4.36,3.98,0.0,100.0
07/21/2021,17.15,21.46,16.75,0.0,0.0,0.0,0.0,0.0,2.5,24.46,9.34,4.36,3.98,0.0,100.0
07/22/2021,17.15,21.46,16.75,0.0,0.0,0.0,0.0,0.0,2.5,24.46,9.34,4.36,3.98,0.0,100.0
07/23/2021,17.23,21.37,16.65,9.39,0.0,0.0,0.0,0.0,2.48,24.5,0.0,0.0,4.04,4.34,100.0
