,FB,700.HK,SNAP,TWTR,035720.KS,GOOGL,035420.KS,PINS,NTES,MTCH,BILI,SPOT,YNDX,BIDU,IAC,ZNGA,3659.T,1024.HK,VMEO,TME,MAIL.L,WB,UTDI.DE,2371.T,BMBL,YELP,YALA,2432.T,MOMO,HUYA,2121.T,GRPN,CASH,078340.KQ,ANGI,067160.KQ,YY,3632.T,1357.HK,8044 TT,360.AX,BLCT,HP CN,SUM
07/09/2021,11.38,8.73,8.7,6.23,6.08,5.18,4.98,4.96,4.81,4.64,4.62,4.23,4.12,4.1,2.2,2.13,1.88,1.82,1.23,0.96,0.87,0.86,0.74,0.73,0.59,0.51,0.37,0.32,0.24,0.24,0.19,0.19,0.17,0.16,0.15,0.14,0.12,0.1,0.1,0.09,0.08,0.03,0.02,99.99
07/12/2021,11.57,8.55,8.1,6.15,6.45,5.33,5.26,4.86,4.8,4.72,4.42,4.27,4.34,4.01,2.18,2.12,1.86,1.77,1.25,0.9,0.89,0.92,0.75,0.75,0.56,0.51,0.37,0.33,0.24,0.24,0.2,0.18,0.17,0.16,0.15,0.14,0.11,0.11,0.1,0.09,0.09,0.03,0.02,100.02
07/13/2021,11.57,8.55,8.1,6.15,6.45,5.33,5.26,4.86,4.8,4.72,4.42,4.27,4.34,4.01,2.18,2.12,1.86,1.77,1.25,0.9,0.89,0.92,0.75,0.75,0.56,0.51,0.37,0.33,0.24,0.24,0.2,0.18,0.17,0.16,0.15,0.14,0.11,0.11,0.1,0.09,0.09,0.03,0.02,100.02
07/14/2021,11.55,8.59,8.47,6.25,6.23,5.26,5.08,4.86,4.86,4.78,4.63,4.31,4.19,4.07,2.18,2.06,1.8,1.67,1.24,0.9,0.87,0.91,0.74,0.71,0.58,0.52,0.38,0.32,0.24,0.23,0.19,0.18,0.17,0.15,0.16,0.14,0.11,0.11,0.1,0.09,0.09,0.03,0.02,100.02
07/15/2021,11.65,8.53,8.35,6.34,6.3,5.33,5.13,4.63,4.89,4.79,4.65,4.29,4.23,4.05,2.16,2.08,1.84,1.63,1.23,0.86,0.87,0.91,0.75,0.72,0.58,0.52,0.37,0.32,0.24,0.23,0.2,0.18,0.16,0.15,0.15,0.14,0.11,0.11,0.1,0.1,0.09,0.03,0.02,100.01
07/16/2021,11.51,8.79,8.17,6.26,6.22,5.3,5.36,4.52,4.99,4.8,4.75,4.29,4.18,4.11,2.09,2.06,1.81,1.71,1.15,0.9,0.88,0.93,0.74,0.71,0.56,0.5,0.36,0.32,0.24,0.24,0.19,0.18,0.16,0.15,0.14,0.15,0.12,0.11,0.1,0.1,0.09,0.03,0.02,99.99
07/19/2021,11.41,9.06,7.83,6.2,6.26,5.35,5.55,4.44,5.16,4.81,4.8,4.09,4.17,4.18,2.08,2.02,1.83,1.7,1.16,0.87,0.86,0.95,0.74,0.71,0.54,0.5,0.37,0.31,0.24,0.24,0.19,0.18,0.16,0.15,0.15,0.15,0.12,0.11,0.1,0.1,0.1,0.03,0.02,99.98999999999998
07/20/2021,11.41,9.06,7.83,6.2,6.26,5.35,5.55,4.44,5.16,4.81,4.8,4.09,4.17,4.18,2.08,2.02,1.83,1.7,1.16,0.87,0.86,0.95,0.74,0.71,0.54,0.5,0.37,0.31,0.24,0.24,0.19,0.18,0.16,0.15,0.15,0.15,0.12,0.11,0.1,0.1,0.1,0.03,0.02,99.98999999999998
07/21/2021,11.44,9.15,7.77,6.12,6.25,5.42,5.61,4.42,5.12,4.82,4.82,4.06,4.22,4.1,2.08,2.05,1.87,1.68,1.13,0.83,0.86,0.93,0.76,0.71,0.54,0.5,0.39,0.32,0.23,0.24,0.19,0.17,0.16,0.16,0.15,0.16,0.12,0.11,0.09,0.12,0.1,0.03,0.02,100.02
07/22/2021,11.46,9.04,7.91,6.17,6.17,5.39,5.59,4.65,5.2,4.65,4.86,4.09,4.2,4.08,2.08,2.09,1.89,1.6,1.1,0.82,0.84,0.94,0.75,0.72,0.52,0.49,0.36,0.32,0.22,0.23,0.2,0.17,0.15,0.16,0.15,0.16,0.11,0.11,0.09,0.12,0.1,0.03,0.02,100.0
