,VTI,IXUS,Invesco DB Gold,GDX,Us Dollars,DGL,VanEck Vectors Gold Miners ETF,n/a,VNQ,SUM
07/09/2021,34.4,33.58,16.27,14.78,0.97,0.0,0.0,0.0,0.0,100.0
07/12/2021,34.5,33.28,0.0,0.0,0.97,16.61,14.64,0.0,0.0,100.0
07/13/2021,34.5,33.28,0.0,0.0,0.97,16.61,14.64,0.0,0.0,100.0
07/14/2021,34.46,33.4,0.0,0.0,0.96,16.45,14.75,0.0,0.0,100.02
07/15/2021,33.13,33.5,0.0,0.0,0.96,16.43,15.98,0.0,0.0,100.0
07/16/2021,32.97,33.42,0.0,0.0,0.97,16.47,16.17,0.0,0.0,100.0
07/19/2021,32.73,33.23,0.0,0.0,0.97,16.62,16.46,0.0,0.0,100.01
07/20/2021,32.86,33.34,0.0,0.0,0.98,16.66,16.16,0.0,0.0,100.0
07/21/2021,32.86,33.34,0.0,0.0,0.98,16.66,16.16,0.0,0.0,100.0
07/22/2021,32.86,33.34,0.0,0.0,0.98,16.66,16.16,0.0,0.0,100.0
07/23/2021,32.86,33.22,0.0,0.0,0.99,16.9,16.04,0.0,0.0,100.00999999999998
07/26/2021,33.22,33.38,0.0,0.0,0.93,16.58,15.89,0.0,0.0,100.0
07/27/2021,33.48,33.36,0.0,0.0,0.93,16.49,15.73,0.0,0.0,99.99
07/28/2021,33.48,33.36,0.0,0.0,0.93,16.49,15.73,0.0,0.0,99.99
07/29/2021,33.53,33.2,0.0,0.0,0.93,16.45,15.89,0.0,0.0,100.0
07/30/2021,33.47,33.06,0.0,0.0,0.92,16.53,16.03,0.0,0.0,100.01
08/02/2021,33.12,33.04,0.0,0.0,0.9,16.52,16.42,0.0,0.0,100.0
08/03/2021,33.12,33.04,0.0,0.0,0.9,16.52,16.42,0.0,0.0,100.0
08/04/2021,33.12,33.04,0.0,0.0,0.9,16.52,16.42,0.0,0.0,100.0
08/05/2021,33.12,33.04,0.0,0.0,0.9,16.52,16.42,0.0,0.0,100.0
08/06/2021,33.11,33.21,16.35,16.43,0.9,0.0,0.0,0.0,0.0,100.0
09/07/2021,33.74,33.65,0.0,15.44,0.0,16.35,0.0,0.81,0.0,99.99
09/08/2021,33.74,33.65,0.0,15.44,0.0,16.35,0.0,0.81,0.0,99.99
09/09/2021,33.74,33.65,0.0,15.44,0.0,16.35,0.0,0.81,0.0,99.99
09/10/2021,33.91,33.94,0.0,15.15,0.0,16.19,0.0,0.81,0.0,100.0
09/13/2021,34.01,33.8,0.0,15.15,0.0,16.23,0.0,0.82,0.0,100.01
09/14/2021,34.15,34.25,0.0,0.0,0.0,0.0,0.0,0.88,30.72,100.0
09/15/2021,34.15,34.25,0.0,0.0,0.0,0.0,0.0,0.88,30.72,100.0
09/16/2021,34.06,34.29,0.0,0.0,0.0,0.0,0.0,0.88,30.78,100.01
09/17/2021,34.0,34.26,0.0,0.0,0.0,0.0,0.0,0.88,30.86,100.0
09/20/2021,34.13,34.17,0.0,0.0,0.0,0.0,0.0,0.88,30.82,100.0
09/21/2021,34.19,34.02,0.0,0.0,0.0,0.0,0.0,0.89,30.9,100.0
09/22/2021,34.19,34.02,0.0,0.0,0.0,0.0,0.0,0.89,30.9,100.0
09/23/2021,34.19,34.02,0.0,0.0,0.0,0.0,0.0,0.89,30.9,100.0
09/24/2021,34.0,34.01,0.0,0.0,0.0,0.0,0.0,0.9,31.09,100.0
09/27/2021,34.21,34.06,0.0,0.0,0.0,0.0,0.0,0.88,30.84,99.99
09/28/2021,34.47,34.06,0.0,0.0,0.0,0.0,0.0,0.9,30.57,100.0
