,TLRY,IIPR,STZ,GNLN,SMG,WEED.TO,JAZZ,Us Dollars,RIV.TO,VFF.TO,GRWG,TPB,BATS.L,ARNA,PM,CRON.TO,MO,OGI.TO,UVV,IMB.L,ACB.TO,NewAge Inc,CWEB.TO,VLNS.TO,HEXO.TO,YCBD,NEPT.TO,LABS.TO,Great Britsh Pound,NBEV,HEXO Corp,GTES,688098.SS,SUM
07/09/2021,13.93,6.71,5.11,5.02,4.96,4.5,4.38,4.36,4.16,4.05,3.82,3.56,3.46,3.28,3.17,2.98,2.61,2.46,2.36,2.35,1.95,1.91,1.84,1.83,1.73,1.45,1.38,0.64,0.03,0.0,0.0,0.0,0.0,99.99
07/12/2021,13.95,7.05,5.32,4.97,4.99,4.47,4.7,2.92,4.02,4.07,3.76,3.79,3.58,3.35,3.3,3.03,2.7,2.52,2.43,2.48,1.94,0.0,1.81,1.65,0.0,1.49,1.42,0.65,0.0,1.91,1.68,0.03,0.0,99.98000000000002
07/13/2021,13.95,7.05,5.32,4.97,4.99,4.47,4.7,2.92,4.02,4.07,3.76,3.79,3.58,3.35,3.3,3.03,2.7,2.52,2.43,2.48,1.94,0.0,1.81,1.65,0.0,1.49,1.42,0.65,0.0,1.91,1.68,0.03,0.0,99.98000000000002
07/14/2021,13.72,7.22,5.28,5.0,5.06,4.49,4.66,3.01,3.93,4.12,3.74,3.75,3.59,3.31,3.3,3.02,2.73,2.5,2.37,2.5,1.96,0.0,1.81,1.67,0.0,1.57,1.48,0.63,0.0,1.92,1.64,0.03,0.0,100.01
07/15/2021,13.78,7.35,5.25,4.92,5.04,4.51,4.68,3.05,3.99,4.15,3.77,3.8,3.58,3.31,3.27,3.01,2.73,2.5,2.38,2.51,1.98,0.0,1.76,1.59,0.0,1.46,1.48,0.65,0.0,1.85,1.64,0.03,0.0,100.02
07/16/2021,13.8,7.34,5.21,5.05,4.97,4.46,4.61,3.04,4.24,4.04,3.72,3.71,3.56,3.24,3.23,3.03,2.69,2.78,2.31,2.49,1.98,0.0,1.84,1.65,0.0,1.41,1.49,0.65,0.0,1.84,1.62,0.03,0.0,100.03
07/19/2021,12.85,7.59,5.48,4.49,5.16,4.34,4.75,3.33,4.15,4.1,3.42,3.93,3.78,3.28,3.46,2.97,2.88,2.64,2.47,2.61,1.83,0.0,1.83,1.63,0.0,1.43,1.45,0.67,0.0,1.87,1.55,0.03,0.0,99.97
07/20/2021,12.64,7.92,5.56,4.52,5.32,4.25,4.76,3.39,4.18,4.08,3.33,3.96,3.9,3.36,3.51,2.88,2.92,2.56,2.45,2.68,1.79,0.0,1.79,1.57,0.0,1.4,1.15,0.66,0.0,1.9,1.53,0.03,0.0,99.99
07/21/2021,12.64,7.92,5.56,4.52,5.32,4.25,4.76,3.39,4.18,4.08,3.33,3.96,3.9,3.36,3.51,2.88,2.92,2.56,2.45,2.68,1.79,0.0,1.79,1.57,0.0,1.4,1.15,0.66,0.0,1.9,1.53,0.03,0.0,99.99
07/22/2021,12.64,7.92,5.56,4.52,5.32,4.25,4.76,3.39,4.18,4.08,3.33,3.96,3.9,3.36,3.51,2.88,2.92,2.56,2.45,2.68,1.79,0.0,1.79,1.57,0.0,1.4,1.15,0.66,0.0,1.9,1.53,0.03,0.0,99.99
07/23/2021,12.63,7.84,5.63,4.52,5.39,4.31,4.75,3.46,4.16,4.03,3.44,3.94,3.82,3.37,3.55,2.94,2.95,2.61,2.44,2.63,1.83,0.0,1.78,1.52,0.0,1.43,1.04,0.63,0.0,1.83,1.5,0.03,0.0,100.0
07/26/2021,12.62,8.0,5.56,4.59,5.37,4.31,4.72,3.39,4.13,4.11,3.55,3.84,3.75,3.37,3.46,2.9,2.9,2.54,2.35,2.59,1.83,0.0,1.83,1.63,0.0,1.49,1.12,0.64,0.0,1.88,1.49,0.0,0.03,99.99
07/27/2021,12.39,8.07,5.6,4.62,5.41,4.27,4.73,3.4,4.1,4.12,3.5,3.96,3.81,3.42,3.51,2.88,2.94,2.5,2.37,2.64,1.81,0.0,1.81,1.62,0.0,1.46,1.09,0.64,0.0,1.84,1.46,0.0,0.03,100.0
07/28/2021,12.39,8.07,5.6,4.62,5.41,4.27,4.73,3.4,4.1,4.12,3.5,3.96,3.81,3.42,3.51,2.88,2.94,2.5,2.37,2.64,1.81,0.0,1.81,1.62,0.0,1.46,1.09,0.64,0.0,1.84,1.46,0.0,0.03,100.0
07/29/2021,12.41,8.03,5.56,4.69,5.39,4.27,4.68,3.38,4.06,4.13,3.51,4.04,3.8,3.32,3.51,2.92,2.93,2.61,2.38,2.63,1.83,0.0,1.8,1.66,0.0,1.37,1.11,0.65,0.0,1.86,1.45,0.0,0.03,100.01000000000002
