,DREYFUS GOVT CASH MGMT,BANK OF NEW YORK CASH RESERVE,CTZ1,HOZ1,NGK22,S X1,SBK2,HGU1,XBZ1,W Z1,CLM2,C Z1,SIU1,SUM
07/09/2021,77.01,19.36,9.16,8.2,8.06,8.03,8.01,7.7,6.99,6.72,6.33,5.59,2.8,173.96000000000004
07/12/2021,77.15,17.3,9.16,8.36,8.08,8.15,7.78,7.85,7.15,6.59,6.41,5.34,2.8,172.12
07/13/2021,77.15,17.3,9.16,8.36,8.08,8.15,7.78,7.85,7.15,6.59,6.41,5.34,2.8,172.12
07/14/2021,77.15,17.3,9.16,8.36,8.08,8.15,7.78,7.85,7.15,6.59,6.41,5.34,2.8,172.12
07/15/2021,76.8,17.22,9.17,8.31,8.12,8.24,7.65,7.76,7.08,6.81,6.38,5.48,2.79,171.81
07/16/2021,76.49,17.5,9.16,8.41,8.04,8.22,7.65,7.71,7.18,6.73,6.47,5.53,2.76,171.85
07/19/2021,76.37,18.33,9.21,8.03,5.54,8.38,7.71,7.73,6.93,7.1,6.16,5.68,2.79,169.96
07/20/2021,76.0,18.47,9.25,8.0,5.53,8.41,7.83,7.69,6.91,7.28,6.17,5.61,2.71,169.86
07/21/2021,76.0,18.47,9.25,8.0,5.53,8.41,7.83,7.69,6.91,7.28,6.17,5.61,2.71,169.86
07/22/2021,77.72,18.89,9.12,7.68,5.71,8.48,7.76,7.64,6.58,7.52,5.89,5.74,2.7,171.43
