,XLK,SHY,FIGXX,XLY,IHF,XLC,SPDN,IAI,IAU,BWX,FNCL,FMAT,KRE,VTIP,ITB,FIDU,FXE,FLOT,SJNK,XSD,XME,CUT,IBND,XRT,XHB,FXY,TLT,MBB,TIP,EMLC,Invesco CcyShrs® British Pound Stlg,n/a,FXB,FENY,FTEC,IEF,XLV,IYT,FSTA,PICK,IAK,EMB,SUM
07/09/2021,13.51,11.37,6.52,5.88,5.33,5.1,4.85,4.78,4.1,3.9,3.57,3.55,3.48,3.1,2.8,1.95,1.76,1.67,1.56,1.51,1.46,1.34,1.3,1.27,1.25,0.84,0.57,0.54,0.51,0.4,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
07/12/2021,13.79,11.36,6.6,5.93,5.33,5.11,4.8,4.68,4.16,3.91,3.5,3.53,3.32,3.1,2.78,1.94,1.75,1.66,1.56,1.48,1.44,1.35,1.3,1.22,1.25,0.84,0.59,0.54,0.51,0.4,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
07/13/2021,13.79,11.36,6.6,5.93,5.33,5.11,4.8,4.68,4.16,3.91,3.5,3.53,3.32,3.1,2.78,1.94,1.75,1.66,1.56,1.48,1.44,1.35,1.3,1.22,1.25,0.84,0.59,0.54,0.51,0.4,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
07/14/2021,13.76,11.34,6.6,5.95,5.32,5.09,4.77,4.69,4.16,3.91,3.52,3.54,3.4,3.09,2.71,1.94,1.76,1.66,1.55,1.48,1.47,1.36,1.3,1.26,1.23,0.85,0.58,0.54,0.51,0.4,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
07/15/2021,13.73,11.31,6.58,5.98,5.35,5.11,4.74,4.75,4.15,3.9,3.55,3.55,3.39,3.09,2.7,1.94,1.75,1.66,1.55,1.49,1.46,1.36,1.3,1.26,1.23,0.84,0.58,0.54,0.51,0.4,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000003
07/16/2021,13.87,11.36,6.62,5.94,5.35,5.12,4.78,4.76,4.17,3.9,3.52,3.52,3.34,3.11,2.65,1.93,1.75,2.17,1.55,1.48,1.44,1.35,1.3,1.24,1.21,0.85,0.0,0.54,0.51,0.4,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,13.86,11.38,6.71,5.9,5.32,5.09,4.79,4.72,4.22,3.92,3.52,3.52,3.36,3.12,2.65,1.93,1.75,2.17,1.56,1.44,1.43,1.34,1.3,1.21,1.21,0.85,0.0,0.54,0.52,0.4,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,13.86,11.38,6.71,5.9,5.32,5.09,4.79,4.72,4.22,3.92,3.52,3.52,3.36,3.12,2.65,1.93,1.75,2.17,1.56,1.44,1.43,1.34,1.3,1.21,1.21,0.85,0.0,0.54,0.52,0.4,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,13.82,11.46,6.75,5.87,5.34,5.09,4.87,4.69,4.21,3.96,3.5,3.48,3.29,3.14,2.65,1.93,1.77,2.18,1.57,1.41,1.39,1.33,1.31,1.2,1.21,0.86,0.0,0.54,0.52,0.4,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,13.82,11.46,6.75,5.87,5.34,5.09,4.87,4.69,4.21,3.96,3.5,3.48,3.29,3.14,2.65,1.93,1.77,2.18,1.57,1.41,1.39,1.33,1.31,1.2,1.21,0.86,0.0,0.54,0.52,0.4,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
