,NVDA,ORCL,GOOGL,FB,SHOP,ADBE,MSFT,ACN,CSCO,CRM,AMZN,SIE.DE,AAPL,NFLX,INTC,005930.KS,IBM,QCOM,700.HK,BABA,3690.HK,NOW,UBER,SNAP,000660.KS,NXPI,TWTR,TWLO,IFX.DE,BIDU,6954.T,TRI,EBAY,SNPS,WDAY,ERIC,CDNS,EXPN.L,XLNX,STM IM,ROK,TTD,OKTA,ZS,ZBRA,VRSK,WKL.AS,TDC,SPLK,DDOG,CAN,6502.T,STX,UI,DXC,HPE,WIX,VSAT,DLG.DE,CSOD,2353.TW,AMP.MI,G,PRO,HUBB,NLSN,3443.TW,AFYA,SMAR,STNE,SMCI,5803.T,ABMD,PEGA,763 HK,FEYE,TSEM,TIETO.HE,BAH,3665.TW,3661.TW,UBI.PA,VRNT,VNET,CASH,CGNT,4488 JP,4488.T,PATH,UPST,AI,SUM
07/09/2021,4.18,3.78,3.76,3.62,3.59,3.53,3.44,3.3,3.27,3.13,3.12,2.9,2.89,2.59,2.5,2.5,2.39,2.39,2.3,2.27,2.17,2.12,1.82,1.64,1.56,1.11,1.08,1.08,0.99,0.99,0.96,0.95,0.93,0.83,0.82,0.77,0.74,0.7,0.68,0.66,0.64,0.61,0.59,0.58,0.56,0.55,0.52,0.51,0.44,0.44,0.44,0.43,0.42,0.37,0.37,0.36,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.2,0.19,0.17,0.15,0.14,0.09,0.05,0.0,0.0,0.0,0.0,100.01
07/12/2021,4.09,3.95,3.78,3.61,3.47,3.64,3.49,3.4,3.34,3.13,3.22,2.92,2.96,2.58,2.51,2.47,2.46,2.38,2.2,2.18,2.03,2.17,1.73,1.5,1.52,1.09,1.04,1.07,0.99,0.94,0.97,0.97,0.94,0.84,0.83,0.78,0.75,0.72,0.64,0.66,0.65,0.62,0.6,0.6,0.57,0.57,0.54,0.52,0.44,0.44,0.39,0.43,0.44,0.37,0.38,0.36,0.34,0.35,0.34,0.34,0.33,0.33,0.33,0.31,0.32,0.31,0.31,0.29,0.29,0.28,0.28,0.29,0.28,0.27,0.26,0.27,0.25,0.26,0.26,0.25,0.21,0.19,0.17,0.14,0.15,0.09,0.05,0.0,0.0,0.0,0.0,100.02
07/13/2021,4.09,3.95,3.78,3.61,3.47,3.64,3.49,3.4,3.34,3.13,3.22,2.92,2.96,2.58,2.51,2.47,2.46,2.38,2.2,2.18,2.03,2.17,1.73,1.5,1.52,1.09,1.04,1.07,0.99,0.94,0.97,0.97,0.94,0.84,0.83,0.78,0.75,0.72,0.64,0.66,0.65,0.62,0.6,0.6,0.57,0.57,0.54,0.52,0.44,0.44,0.39,0.43,0.44,0.37,0.38,0.36,0.34,0.35,0.34,0.34,0.33,0.33,0.33,0.31,0.32,0.31,0.31,0.29,0.29,0.28,0.28,0.29,0.28,0.27,0.26,0.27,0.25,0.26,0.26,0.25,0.21,0.19,0.17,0.14,0.15,0.09,0.05,0.0,0.0,0.0,0.0,100.02
07/14/2021,4.07,4.01,3.75,3.62,3.51,3.59,3.46,3.4,3.33,3.08,3.17,2.93,2.96,2.58,2.51,2.41,2.45,2.4,2.22,2.22,2.1,2.16,1.76,1.57,1.47,1.1,1.06,1.08,0.99,0.96,0.92,0.97,0.94,0.84,0.83,0.77,0.75,0.72,0.64,0.67,0.65,0.63,0.59,0.59,0.57,0.57,0.53,0.53,0.43,0.44,0.39,0.42,0.44,0.38,0.38,0.36,0.34,0.36,0.34,0.33,0.33,0.3,0.33,0.31,0.32,0.31,0.31,0.29,0.3,0.28,0.29,0.29,0.28,0.27,0.26,0.26,0.25,0.26,0.26,0.24,0.2,0.19,0.17,0.14,0.15,0.09,0.05,0.0,0.0,0.0,0.0,99.97
07/15/2021,4.16,3.97,3.79,3.64,3.5,3.56,3.45,3.38,3.3,3.05,3.17,2.94,2.95,2.58,2.54,2.42,2.43,2.42,2.2,2.21,2.14,2.14,1.74,1.55,1.48,1.12,1.08,1.08,0.99,0.95,0.98,0.97,0.93,0.83,0.82,0.77,0.74,0.73,0.64,0.68,0.66,0.63,0.58,0.59,0.57,0.56,0.54,0.52,0.42,0.44,0.39,0.43,0.44,0.36,0.38,0.36,0.34,0.35,0.34,0.34,0.33,0.31,0.32,0.3,0.32,0.31,0.33,0.3,0.29,0.27,0.28,0.3,0.27,0.27,0.29,0.26,0.25,0.26,0.26,0.24,0.21,0.19,0.17,0.14,0.14,0.09,0.05,0.0,0.0,0.0,0.0,100.01
07/16/2021,4.1,3.95,3.79,3.62,3.55,3.58,3.49,3.38,3.29,3.06,3.13,2.95,2.96,2.59,2.54,2.42,2.42,2.39,2.28,2.25,2.21,2.13,1.72,1.52,1.51,1.12,1.07,1.06,0.98,0.97,1.0,0.97,0.93,0.82,0.81,0.79,0.74,0.74,0.63,0.67,0.65,0.61,0.59,0.59,0.55,0.56,0.55,0.51,0.42,0.43,0.37,0.43,0.44,0.36,0.38,0.34,0.34,0.35,0.34,0.33,0.33,0.31,0.33,0.3,0.32,0.3,0.32,0.29,0.29,0.27,0.27,0.3,0.27,0.26,0.3,0.26,0.25,0.26,0.26,0.24,0.2,0.18,0.16,0.14,0.16,0.09,0.05,0.0,0.0,0.0,0.0,99.98
07/19/2021,3.88,3.97,3.83,3.58,3.41,3.63,3.53,3.45,3.35,3.01,3.12,2.89,3.06,2.63,2.52,2.49,2.45,2.42,2.35,2.33,2.2,2.15,1.68,1.46,1.54,1.08,1.06,1.01,0.99,0.99,0.97,0.98,0.93,0.83,0.8,0.79,0.75,0.76,0.62,0.68,0.67,0.58,0.57,0.57,0.55,0.58,0.56,0.51,0.42,0.42,0.37,0.43,0.43,0.36,0.38,0.35,0.32,0.35,0.34,0.33,0.32,0.32,0.33,0.29,0.33,0.31,0.33,0.29,0.28,0.25,0.29,0.3,0.27,0.26,0.3,0.25,0.25,0.26,0.26,0.24,0.22,0.18,0.17,0.14,0.16,0.09,0.05,0.0,0.0,0.0,0.0,100.0
07/20/2021,3.88,3.97,3.83,3.58,3.41,3.63,3.53,3.45,3.35,3.01,3.12,2.89,3.06,2.63,2.52,2.49,2.45,2.42,2.35,2.33,2.2,2.15,1.68,1.46,1.54,1.08,1.06,1.01,0.99,0.99,0.97,0.98,0.93,0.83,0.8,0.79,0.75,0.76,0.62,0.68,0.67,0.58,0.57,0.57,0.55,0.58,0.56,0.51,0.42,0.42,0.37,0.43,0.43,0.36,0.38,0.35,0.32,0.35,0.34,0.33,0.32,0.32,0.33,0.29,0.33,0.31,0.33,0.29,0.28,0.25,0.29,0.3,0.27,0.26,0.3,0.25,0.25,0.26,0.26,0.24,0.22,0.18,0.17,0.14,0.16,0.09,0.05,0.0,0.0,0.0,0.0,100.0
07/21/2021,3.75,4.06,3.86,3.58,3.44,3.66,3.55,3.45,3.38,3.05,3.1,2.89,3.04,2.6,2.5,2.49,2.44,2.41,2.37,2.32,2.22,2.16,1.69,1.44,1.53,1.06,1.04,1.05,0.96,0.97,0.97,1.0,0.94,0.84,0.8,0.72,0.75,0.77,0.62,0.68,0.67,0.58,0.57,0.58,0.55,0.59,0.56,0.48,0.42,0.43,0.34,0.44,0.43,0.36,0.37,0.35,0.32,0.35,0.34,0.33,0.33,0.33,0.33,0.29,0.33,0.31,0.32,0.29,0.29,0.25,0.29,0.3,0.28,0.26,0.31,0.25,0.24,0.26,0.27,0.24,0.23,0.18,0.17,0.13,0.16,0.09,0.05,0.0,0.0,0.0,0.0,99.99
07/22/2021,3.91,4.07,3.82,3.56,3.54,3.67,3.54,3.44,3.37,3.06,3.1,2.84,2.98,2.63,2.51,2.46,2.45,2.42,2.32,2.3,2.12,2.17,1.68,1.46,1.5,1.06,1.04,1.07,0.94,0.96,0.95,0.99,0.95,0.84,0.81,0.71,0.76,0.76,0.63,0.67,0.67,0.59,0.58,0.59,0.54,0.59,0.57,0.5,0.43,0.43,0.34,0.44,0.43,0.37,0.37,0.35,0.34,0.35,0.34,0.33,0.33,0.33,0.33,0.29,0.33,0.3,0.32,0.29,0.29,0.25,0.3,0.3,0.27,0.26,0.33,0.25,0.25,0.26,0.26,0.24,0.22,0.18,0.17,0.13,0.16,0.09,0.05,0.0,0.0,0.0,0.0,99.99
