,ABI.BR,KBC.BR,ARGX.BR,UCB.BR,GBLB.BR,UMI.BR,SA.SW,AGS.BR,SOF.BR,WDP.BR,AED.BR,ACKB.BR,COFB.BR,ELI.BR,GLPG.AS,DIE.BR,COLR.BR,PROX.BR,MELE.BR,BAR.BR,BEKB.BR,EURN.BR,TNET.BR,KBCA.BR,VGP.BR,XIOR.BR,FAGR.BR,MONT.BR,GIMB.BR,BPOST.BR,BEFB.BR,CFEB.BR,RET.BR,KIN.BR,ONTEX.BR,REC.BR,TESB.BR,AGFB.BR,EUR,INTO.BR,IBAB.BR,ECONB.BR,MITRA.BR,IMMO.BR,OBEL.BR,VAN.BR,SGAFT,XTSLA,VGU1,USD,SUM
07/09/2021,21.13,9.12,6.9,6.41,4.63,4.51,4.2,3.89,3.41,2.73,2.32,2.07,2.06,1.75,1.63,1.6,1.58,1.55,1.19,1.08,1.01,1.01,0.97,0.97,0.87,0.81,0.79,0.78,0.75,0.75,0.61,0.59,0.58,0.55,0.53,0.52,0.51,0.49,0.47,0.45,0.41,0.4,0.4,0.35,0.33,0.26,0.03,0.02,0.0,0.0,99.96999999999998
07/16/2021,20.64,9.11,6.74,6.49,4.65,4.58,4.28,3.89,3.44,2.85,2.36,2.03,2.07,1.75,1.59,2.0,1.57,1.56,1.16,1.07,1.04,0.93,0.96,0.95,0.93,0.84,0.77,0.82,0.76,0.75,0.63,0.57,0.6,0.53,0.51,0.51,0.51,0.49,0.44,0.46,0.41,0.4,0.39,0.35,0.33,0.25,0.04,0.03,0.0,0.0,100.03
07/19/2021,20.74,9.23,6.71,6.36,4.67,4.63,4.31,3.88,3.49,2.83,2.36,2.05,2.08,1.75,1.37,2.0,1.58,1.58,1.16,1.05,1.06,0.93,0.98,0.95,0.93,0.82,0.77,0.82,0.77,0.76,0.62,0.57,0.59,0.51,0.49,0.51,0.51,0.49,0.46,0.46,0.41,0.41,0.38,0.34,0.33,0.26,0.03,0.03,0.0,0.0,100.01999999999998
07/20/2021,20.74,9.23,6.71,6.36,4.67,4.63,4.31,3.88,3.49,2.83,2.36,2.05,2.08,1.75,1.37,2.0,1.58,1.58,1.16,1.05,1.06,0.93,0.98,0.95,0.93,0.82,0.77,0.82,0.77,0.76,0.62,0.57,0.59,0.51,0.49,0.51,0.51,0.49,0.46,0.46,0.41,0.41,0.38,0.34,0.33,0.26,0.03,0.03,0.0,0.0,100.01999999999998
07/22/2021,20.39,8.94,7.08,6.58,4.67,4.65,4.32,3.69,3.57,2.93,2.41,2.05,2.1,1.81,1.43,1.93,1.64,1.6,1.12,0.98,1.02,0.91,0.99,0.92,0.94,0.85,0.76,0.84,0.77,0.74,0.62,0.56,0.59,0.5,0.5,0.51,0.51,0.49,0.45,0.47,0.39,0.41,0.38,0.34,0.33,0.26,0.03,0.03,0.0,0.0,100.0
07/23/2021,20.43,9.13,6.91,6.5,4.66,4.69,4.35,3.69,3.56,2.93,2.41,2.04,2.1,1.79,1.44,1.95,1.62,1.6,1.12,0.95,1.01,0.9,1.0,0.93,0.93,0.84,0.76,0.84,0.76,0.73,0.63,0.56,0.61,0.52,0.5,0.52,0.52,0.49,0.45,0.47,0.4,0.41,0.38,0.34,0.34,0.26,0.03,0.03,0.0,0.0,100.03
07/27/2021,20.42,9.24,7.05,6.46,4.68,4.72,4.31,3.66,3.61,2.92,2.37,2.03,2.06,1.79,1.43,1.99,1.59,1.58,1.14,0.97,1.01,0.91,0.97,0.94,0.91,0.84,0.76,0.85,0.75,0.71,0.62,0.55,0.56,0.52,0.49,0.49,0.5,0.5,0.48,0.46,0.4,0.41,0.39,0.33,0.33,0.25,0.03,0.03,0.0,0.0,100.01
08/02/2021,19.46,9.63,6.62,6.6,4.79,4.64,4.45,3.78,3.61,2.9,2.4,2.09,2.13,1.89,1.44,2.0,1.61,1.61,1.24,0.97,1.06,0.93,0.95,0.98,0.88,0.85,0.74,0.85,0.76,0.68,0.62,0.57,0.56,0.51,0.5,0.5,0.5,0.53,0.46,0.47,0.39,0.46,0.37,0.35,0.35,0.25,0.04,0.05,0.0,0.0,100.02
08/03/2021,19.05,9.61,6.75,6.61,4.78,4.62,4.45,3.74,3.65,2.96,2.43,2.09,2.14,1.91,1.45,2.05,1.62,1.64,1.26,0.98,1.08,0.93,0.96,0.98,0.89,0.85,0.76,0.86,0.76,0.69,0.63,0.56,0.56,0.51,0.49,0.5,0.52,0.53,0.46,0.48,0.4,0.47,0.37,0.34,0.35,0.26,0.04,0.05,0.0,0.0,100.07
08/04/2021,19.05,9.61,6.75,6.61,4.78,4.62,4.45,3.74,3.65,2.96,2.43,2.09,2.14,1.91,1.45,2.05,1.62,1.64,1.26,0.98,1.08,0.93,0.96,0.98,0.89,0.85,0.76,0.86,0.76,0.69,0.63,0.56,0.56,0.51,0.49,0.5,0.52,0.53,0.46,0.48,0.4,0.47,0.37,0.34,0.35,0.26,0.04,0.05,0.0,0.0,100.07
