,BRK.B,CMCSA,BAC,JPM,CI,CBRE,CNC,BMY,CSCO,GOOGL,UNH,PG,VZ,ALXN,SO,IPG,TRV,MDLZ,OSK,D,PNC,DFS,TEL,MMM,NEM,NOC,AMGN,EXC,MTB,AMT,ANTM,OC,LHX,CVS,CB,DUK,PVH,DG,EVRG,CTSH,BBY,KR,SNY,COF,PCG,LEA,TT,DD,ITT,PNR,AMG,PPL,TPR,HUM,SWK,JCI,REGN,NXPI,OTIS,RBC,SPG,POR,TSN,NLOK,DOX,LOW,WPP PLC ADR,IFF,USFD,AIG,FB,WHR,IVZ,BLK,LGF/B,ALL,NWL,CFR,FOXA,SPB,STT,BHP,WPP,4308.T,TMUS,SUM
07/09/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.65,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.0,0.0,0.0,100.01
07/12/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.0,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.65,0.0,0.0,100.01
07/13/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.0,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.65,0.0,0.0,100.01
07/14/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.0,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.65,0.0,0.0,100.01
07/15/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.65,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.0,0.0,0.0,100.01
07/16/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.0,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.65,0.0,0.0,100.01
07/19/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.0,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.65,0.0,0.0,100.01
07/20/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.0,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.65,0.0,0.0,100.01
07/21/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.0,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.65,0.0,0.0,100.01
07/22/2021,4.66,3.55,2.9,2.67,2.45,2.38,2.35,2.29,2.29,2.29,2.2,2.06,1.9,1.83,1.69,1.67,1.64,1.63,1.61,1.6,1.55,1.49,1.45,1.45,1.41,1.4,1.36,1.32,1.29,1.28,1.27,1.25,1.22,1.21,1.21,1.19,1.18,1.13,1.1,1.08,1.08,1.07,1.05,1.05,1.02,0.99,0.98,0.95,0.91,0.86,0.85,0.84,0.83,0.77,0.76,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.0,0.64,0.6,0.59,0.53,0.52,0.41,0.4,0.4,0.35,0.34,0.34,0.33,0.29,0.29,0.11,0.65,0.0,0.0,100.01
