,PYPL,TXN,V,JNJ,DIS,INTU,NFLX,NKE,WFC,SQ,AXP,ZTS,SBUX,TGT,CI,ILMN,FISV,USB,ITW,TJX,EL,WM,ETN,NOC,ALXN,PAYX,LULU,PRU,DD,CDW,STZ,PEG,MNST,EFX,MPC,DOW,KR,LUV,SIVB,PSX,ETSY,ZEN,KSU,WORK,ED,WELL,YUMC,CLX,NTRS,VLO,MKC,PXD,EIX,BF.B,CTVA,GWW,HIG,K,GDDY,BILL,BKI,VIAC,BAH,ARE,O,BLL,PFG,ULTA,DOX,LNT,LB,JAZZ,OLED,SJM,SBNY,PEN,AMED,WEX,VICI,NLY,MTN,LYFT,WSM,CE,PNR,BKR,CHGG,DBX,LW,MRTX,HUBB,LNC,CPT,PNW,ELS,PLAN,RHI,FSLY,EWBC,WSO,LHCG,BL,AIZ,CMA,PPD,VST,NLSN,BFAM,RARE,AMH,ROL,BHVN,USFD,HST,TRGP,GPS,ALK,MAN,CASY,BPMC,POST,STOR,MAT,PB,ATR,PRI,SEE,NNN,CCMP,ACAD,RDFN,RL,HXL,NYT,CHWY,BRX,ACC,WEN,HTA,AIRC,POR,DEI,MNTV,COR,RYN,VVV,CHH,EQT,DISCA,GPK,GO,SC,JBGS,HR,STATE STREET INSTITUTIONAL LIQ STATE STR,GRA,ETRN,GBT,ENR,COTY,TREE,STRA,TFSL,CCXI,Apartment Investment & Management Co Class A,U.S. Dollar,UNH,CRM,MRK,Shopify Inc. Class A,KO,BMY,MMM,ADSK,TEAM,MCO,CVS,NEM,PINS,OKTA,MET,SRE,BIIB,SUI,SPOT,DFS,CMG,HUBS,Z,OTIS,FTV,RKT,CMI,WDC,PTON,WY,VFC,MCK,NLOK,ESS,U,HSY,CDAY,FTCH,TSCO,BSY,HZNP,PAGS,BEPC,FMC,INCY,GLOB,ST,EQH,WTRG,ARW,SMAR,ASAN,MOS,UWMC,PCTY,NDSN,MRO,NRG,RUN,TPR,OMCL,LEVI,FVRR,GME,UPWK,OVV,MRVI,ARMK,OLN,AA,UPST,SOFI,SKLZ,CNXC,EHC,CPRI,CROX,HRC,NCNO,AZEK,HALO,NVTA,OPEN,FCNCA,AEO,MP,OSH,TWST,VRM,LMND,ABCL,Coty Inc. Class A,SHOP,SDA.AX,002810.KS,SUM
07/09/2021,6.41,5.06,4.4,4.11,4.01,3.72,3.71,3.44,3.12,2.81,2.41,2.41,2.3,2.23,2.16,1.88,1.63,1.54,1.38,1.34,1.26,1.15,1.12,1.1,1.05,0.99,0.8,0.71,0.71,0.69,0.67,0.62,0.61,0.57,0.57,0.55,0.55,0.55,0.53,0.53,0.53,0.51,0.51,0.48,0.48,0.48,0.44,0.43,0.43,0.42,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.35,0.34,0.34,0.33,0.33,0.33,0.31,0.31,0.29,0.29,0.28,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/12/2021,6.51,5.02,4.37,4.16,4.01,3.78,3.66,3.48,3.06,2.7,2.4,2.46,2.32,2.28,2.14,1.89,1.63,1.52,1.4,1.32,1.24,1.15,1.13,1.12,1.05,1.01,0.81,0.7,0.71,0.7,0.66,0.63,0.61,0.57,0.56,0.55,0.56,0.54,0.53,0.51,0.53,0.49,0.48,0.48,0.49,0.48,0.43,0.44,0.42,0.4,0.41,0.4,0.41,0.4,0.39,0.4,0.39,0.4,0.38,0.38,0.34,0.33,0.34,0.34,0.33,0.34,0.3,0.3,0.29,0.29,0.28,0.26,0.25,0.26,0.25,0.25,0.25,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/13/2021,6.51,5.02,4.37,4.16,4.01,3.78,3.66,3.48,3.06,2.7,2.4,2.46,2.32,2.28,2.14,1.89,1.63,1.52,1.4,1.32,1.24,1.15,1.13,1.12,1.05,1.01,0.81,0.7,0.71,0.7,0.66,0.63,0.61,0.57,0.56,0.55,0.56,0.54,0.53,0.51,0.53,0.49,0.48,0.48,0.49,0.48,0.43,0.44,0.42,0.4,0.41,0.4,0.41,0.4,0.39,0.4,0.39,0.4,0.38,0.38,0.34,0.33,0.34,0.34,0.33,0.34,0.3,0.3,0.29,0.29,0.28,0.26,0.25,0.26,0.25,0.25,0.25,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/14/2021,6.53,5.0,4.35,4.12,4.05,3.71,3.65,3.44,3.13,2.73,2.43,2.43,2.32,2.24,2.14,1.88,1.62,1.56,1.4,1.33,1.24,1.14,1.14,1.11,1.04,1.01,0.81,0.71,0.71,0.7,0.66,0.62,0.6,0.57,0.56,0.56,0.56,0.55,0.56,0.52,0.52,0.49,0.49,0.48,0.48,0.48,0.43,0.43,0.43,0.4,0.41,0.4,0.41,0.4,0.39,0.4,0.39,0.39,0.38,0.38,0.34,0.34,0.34,0.34,0.33,0.34,0.31,0.3,0.29,0.29,0.28,0.26,0.25,0.26,0.26,0.25,0.24,0.24,0.23,0.23,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.14,0.15,0.14,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/15/2021,6.56,5.02,4.31,4.09,4.2,3.7,3.64,3.44,3.14,2.73,2.44,2.43,2.33,2.27,2.13,1.9,1.62,1.56,1.4,1.33,1.25,1.14,1.15,1.1,1.04,1.0,0.79,0.72,0.72,0.69,0.65,0.62,0.61,0.57,0.55,0.56,0.56,0.55,0.57,0.51,0.51,0.48,0.48,0.47,0.48,0.48,0.43,0.42,0.43,0.4,0.4,0.39,0.41,0.39,0.39,0.4,0.4,0.39,0.37,0.38,0.34,0.34,0.34,0.34,0.33,0.34,0.31,0.3,0.29,0.28,0.29,0.26,0.25,0.25,0.27,0.24,0.24,0.24,0.23,0.23,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.17,0.18,0.17,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.14,0.15,0.14,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06000000000002
07/16/2021,6.55,5.03,4.41,4.11,4.21,3.73,3.68,3.45,3.08,2.73,2.43,2.45,2.36,2.27,2.14,1.9,1.64,1.55,1.4,1.32,1.25,1.14,1.14,1.1,1.04,1.01,0.79,0.71,0.72,0.68,0.65,0.61,0.62,0.57,0.55,0.56,0.56,0.54,0.56,0.51,0.5,0.47,0.48,0.47,0.47,0.48,0.43,0.42,0.43,0.39,0.4,0.4,0.4,0.38,0.38,0.4,0.4,0.39,0.37,0.38,0.34,0.33,0.34,0.33,0.33,0.34,0.31,0.3,0.29,0.28,0.28,0.25,0.25,0.26,0.26,0.24,0.24,0.23,0.23,0.22,0.22,0.2,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.15,0.15,0.14,0.15,0.14,0.17,0.13,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,5.02,0.0,5.17,0.0,5.13,2.73,4.02,2.93,0.0,2.15,1.96,0.0,1.66,1.48,0.92,0.0,0.0,1.24,0.97,0.97,0.94,0.79,0.82,0.79,0.46,0.74,0.53,0.0,0.63,0.49,0.28,0.47,0.0,0.41,0.0,0.0,0.23,0.0,0.0,0.52,0.31,0.33,0.0,0.0,0.0,0.0,0.31,0.18,0.0,0.42,0.18,0.51,0.0,0.23,0.0,0.3,0.32,0.17,0.0,0.28,0.0,0.41,0.16,0.41,0.36,0.0,0.24,0.22,0.2,0.22,0.21,0.12,0.19,0.11,0.2,0.0,0.09,0.17,0.0,0.16,0.0,0.0,0.14,0.26,0.16,0.32,0.15,0.23,0.0,0.0,0.0,0.16,0.0,0.14,0.2,0.14,0.13,0.11,0.14,0.13,0.0,0.11,0.0,0.14,0.07,0.13,0.14,0.12,0.06,0.0,0.09,0.0,0.0,0.0,0.15,0.07,0.09,0.08,0.08,0.0,0.05,0.13,0.08,0.09,0.14,0.08,0.13,0.12,0.0,0.0,0.08,0.09,0.0,0.12,0.31,0.0,0.0,0.0,0.08,0.12,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.09,0.21,0.0,0.0,0.03,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,4.56,4.33,2.28,2.12,1.92,1.74,1.58,1.32,1.32,0.99,0.85,0.76,0.74,0.63,0.62,0.61,0.57,0.55,0.54,0.53,0.52,0.5,0.49,0.49,0.48,0.47,0.47,0.41,0.38,0.36,0.35,0.34,0.3,0.3,0.3,0.29,0.26,0.26,0.26,0.25,0.24,0.24,0.21,0.2,0.2,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.02,0.0,0.0,0.0,100.01
07/20/2021,5.06,0.0,5.23,0.0,5.06,2.75,3.98,2.93,0.0,2.2,1.95,0.0,1.67,1.49,0.92,0.0,0.0,1.22,0.98,0.97,0.95,0.8,0.83,0.8,0.47,0.74,0.53,0.0,0.62,0.5,0.28,0.48,0.0,0.42,0.0,0.0,0.23,0.0,0.0,0.51,0.32,0.33,0.0,0.0,0.0,0.0,0.31,0.19,0.0,0.41,0.18,0.5,0.0,0.23,0.0,0.3,0.32,0.18,0.0,0.29,0.0,0.41,0.16,0.42,0.36,0.0,0.24,0.21,0.21,0.22,0.21,0.12,0.18,0.11,0.19,0.0,0.09,0.18,0.0,0.16,0.0,0.0,0.14,0.26,0.16,0.31,0.15,0.24,0.0,0.0,0.0,0.15,0.0,0.15,0.21,0.14,0.13,0.12,0.14,0.13,0.0,0.12,0.0,0.13,0.07,0.13,0.14,0.12,0.06,0.0,0.09,0.0,0.0,0.0,0.15,0.07,0.09,0.08,0.08,0.0,0.05,0.14,0.08,0.09,0.14,0.08,0.13,0.12,0.0,0.0,0.08,0.09,0.0,0.12,0.31,0.0,0.0,0.0,0.08,0.12,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.09,0.21,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,4.61,4.4,2.31,0.0,1.94,1.76,1.57,1.33,1.34,1.01,0.86,0.75,0.74,0.64,0.62,0.62,0.57,0.56,0.54,0.52,0.52,0.51,0.49,0.5,0.48,0.47,0.47,0.4,0.38,0.35,0.34,0.34,0.31,0.3,0.3,0.3,0.26,0.26,0.26,0.25,0.24,0.24,0.22,0.2,0.2,0.18,0.17,0.18,0.18,0.17,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.11,0.12,0.11,0.1,0.11,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.0,2.14,0.08,0.0,99.96
07/21/2021,5.06,0.0,5.24,0.0,5.06,2.76,3.98,2.93,0.0,2.2,1.95,0.0,1.68,1.49,0.93,0.0,0.0,1.22,0.98,0.98,0.94,0.81,0.83,0.8,0.46,0.75,0.53,0.0,0.61,0.5,0.29,0.48,0.0,0.42,0.0,0.0,0.23,0.0,0.0,0.51,0.32,0.33,0.0,0.0,0.0,0.0,0.31,0.19,0.0,0.42,0.18,0.49,0.0,0.23,0.0,0.3,0.32,0.18,0.0,0.29,0.0,0.41,0.16,0.42,0.36,0.0,0.23,0.21,0.21,0.22,0.21,0.12,0.18,0.11,0.19,0.0,0.1,0.18,0.0,0.16,0.0,0.0,0.14,0.26,0.16,0.31,0.15,0.23,0.0,0.0,0.0,0.15,0.0,0.15,0.2,0.14,0.13,0.12,0.14,0.13,0.0,0.12,0.0,0.13,0.07,0.13,0.14,0.12,0.06,0.0,0.09,0.0,0.0,0.0,0.15,0.07,0.09,0.08,0.09,0.0,0.05,0.13,0.08,0.09,0.14,0.08,0.13,0.12,0.0,0.0,0.08,0.09,0.0,0.12,0.31,0.0,0.0,0.0,0.08,0.12,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.09,0.21,0.0,0.0,0.03,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,4.61,4.4,2.31,2.14,1.95,1.76,1.57,1.33,1.35,1.01,0.86,0.75,0.74,0.64,0.61,0.62,0.57,0.56,0.54,0.53,0.52,0.51,0.49,0.5,0.48,0.47,0.47,0.39,0.38,0.35,0.34,0.34,0.31,0.31,0.3,0.3,0.26,0.26,0.26,0.25,0.24,0.24,0.21,0.2,0.2,0.18,0.17,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.13,0.13,0.12,0.11,0.12,0.11,0.1,0.11,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.02,0.0,0.0,0.0,99.96
07/22/2021,5.06,0.0,5.23,0.0,5.06,2.75,3.98,2.93,0.0,2.2,1.95,0.0,1.67,1.49,0.92,0.0,0.0,1.22,0.98,0.97,0.95,0.8,0.83,0.8,0.47,0.74,0.53,0.0,0.62,0.5,0.28,0.48,0.0,0.42,0.0,0.0,0.23,0.0,0.0,0.51,0.32,0.33,0.0,0.0,0.0,0.0,0.31,0.19,0.0,0.41,0.18,0.5,0.0,0.23,0.0,0.3,0.32,0.18,0.0,0.29,0.0,0.41,0.16,0.42,0.36,0.0,0.24,0.21,0.21,0.22,0.21,0.12,0.18,0.11,0.19,0.0,0.09,0.18,0.0,0.16,0.0,0.0,0.14,0.26,0.16,0.31,0.15,0.24,0.0,0.0,0.0,0.15,0.0,0.15,0.21,0.14,0.13,0.12,0.14,0.13,0.0,0.12,0.0,0.13,0.07,0.13,0.14,0.12,0.06,0.0,0.09,0.0,0.0,0.0,0.15,0.07,0.09,0.08,0.08,0.0,0.05,0.14,0.08,0.09,0.14,0.08,0.13,0.12,0.0,0.0,0.08,0.09,0.0,0.12,0.31,0.0,0.0,0.0,0.08,0.12,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.09,0.21,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,4.61,4.4,2.31,0.0,1.94,1.76,1.57,1.33,1.34,1.01,0.86,0.75,0.74,0.64,0.62,0.62,0.57,0.56,0.54,0.52,0.52,0.51,0.49,0.5,0.48,0.47,0.47,0.4,0.38,0.35,0.34,0.34,0.31,0.3,0.3,0.3,0.26,0.26,0.26,0.25,0.24,0.24,0.22,0.2,0.2,0.18,0.17,0.18,0.18,0.17,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.11,0.12,0.11,0.1,0.11,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.0,2.14,0.08,0.0,99.96
