,CE,HUN,STLD,CC,FCX,MOS,OLN,NEM,RS,AVY,WLK,NEU,LYB,NUE,RGLD,IP,ASH,DOW,TKR,SCCO,CF,EMN,FAST,GRA,APD,AA,FMC,UNVR,ESI,ECL,ALB,IFF,VVV,CLF,HXL,SMG,X,US Dollar,MISXX,Morgan Stanley Instl Lqudty Trs Instl,SUM
07/09/2021,4.8,4.79,4.74,4.73,4.7,4.6,4.59,3.91,3.83,3.81,3.8,3.79,3.77,3.74,2.6,2.51,2.5,2.49,2.47,2.47,2.47,2.46,1.96,1.95,1.93,1.92,1.91,1.91,1.89,0.86,0.85,0.84,0.84,0.83,0.83,0.82,0.79,0.3,0.0,0.0,100.0
07/12/2021,4.81,4.83,4.9,4.72,4.67,4.73,4.58,3.83,3.82,3.8,3.78,3.67,3.79,3.85,2.55,2.53,2.5,2.48,2.48,2.53,2.45,2.45,1.97,1.91,1.92,1.93,1.89,1.92,1.94,0.86,0.87,0.82,0.82,0.87,0.82,0.79,0.85,0.09,0.0,0.0,100.01999999999998
07/13/2021,4.81,4.83,4.9,4.72,4.67,4.73,4.58,3.83,3.82,3.8,3.78,3.67,3.79,3.85,2.55,2.53,2.5,2.48,2.48,2.53,2.45,2.45,1.97,1.91,1.92,1.93,1.89,1.92,1.94,0.86,0.87,0.82,0.82,0.87,0.82,0.79,0.85,0.09,0.0,0.0,100.01999999999998
07/14/2021,4.8,4.83,4.89,4.71,4.66,4.72,4.57,3.83,3.81,3.79,3.77,3.66,3.79,3.84,2.55,2.53,2.5,2.48,2.48,2.52,2.45,2.45,1.96,1.91,1.92,1.93,1.89,1.92,1.93,0.86,0.86,0.82,0.82,0.87,0.82,0.79,0.85,0.0,0.21,0.0,99.98999999999998
07/15/2021,4.82,4.83,4.99,4.74,4.66,4.72,4.6,3.77,3.83,3.79,3.78,3.67,3.76,3.86,2.52,2.52,2.51,2.48,2.49,2.51,2.44,2.45,1.97,1.9,1.92,1.92,1.9,1.91,1.94,0.86,0.92,0.82,0.82,0.89,0.82,0.79,0.86,0.0,0.0,0.0,99.98
07/16/2021,4.89,4.8,4.93,4.67,4.63,4.71,4.56,3.85,3.83,3.81,3.77,3.68,3.81,3.82,2.57,2.53,2.52,2.5,2.47,2.53,2.44,2.45,1.97,1.93,1.93,1.86,1.9,1.93,1.93,0.87,0.92,0.82,0.82,0.89,0.8,0.79,0.85,0.0,0.01,0.0,99.99
07/19/2021,4.98,4.88,5.0,4.7,4.49,4.63,4.49,3.88,3.88,3.83,3.72,3.7,3.8,3.85,2.63,2.48,2.54,2.49,2.46,2.53,2.42,2.46,1.99,1.95,1.94,1.82,1.92,1.91,1.96,0.88,0.93,0.82,0.81,0.85,0.77,0.79,0.82,0.0,0.02,0.0,100.02
07/20/2021,4.98,4.88,5.0,4.7,4.49,4.63,4.49,3.88,3.88,3.83,3.72,3.7,3.8,3.85,2.63,2.48,2.54,2.49,2.46,2.53,2.42,2.46,1.99,1.95,1.94,1.82,1.92,1.91,1.96,0.88,0.93,0.82,0.81,0.85,0.77,0.79,0.82,0.0,0.0,0.02,100.02
07/21/2021,5.0,4.84,4.99,4.55,4.45,4.61,4.55,3.87,3.91,3.85,3.68,3.83,3.72,3.82,2.64,2.52,2.58,2.48,2.46,2.51,2.39,2.44,2.05,2.0,1.97,1.78,1.93,1.91,1.94,0.91,0.93,0.84,0.82,0.8,0.79,0.82,0.79,0.0,0.06,0.0,100.03
07/22/2021,4.96,4.81,4.95,4.52,4.45,4.6,4.51,3.9,3.91,3.86,3.57,3.9,3.66,3.83,2.69,2.52,2.58,2.44,2.49,2.53,2.39,2.42,2.1,2.05,2.0,1.75,1.94,1.92,1.95,0.91,0.94,0.84,0.83,0.8,0.76,0.83,0.8,0.11,0.0,0.0,100.01999999999998
07/23/2021,4.97,4.76,4.95,4.61,4.43,4.64,4.63,3.81,3.94,3.81,3.58,3.83,3.69,3.81,2.66,2.49,2.57,2.43,2.47,2.53,2.39,2.43,2.08,2.01,1.98,1.89,1.91,1.93,1.95,0.91,0.97,0.84,0.83,0.81,0.8,0.83,0.8,0.0,0.06,0.0,100.03
07/26/2021,4.85,4.79,4.91,4.53,4.64,4.67,4.67,3.76,3.93,3.78,3.62,3.69,3.69,3.87,2.64,2.45,2.58,2.48,2.46,2.54,2.38,2.41,2.05,1.99,1.98,2.0,1.93,1.88,1.94,0.9,0.99,0.85,0.8,0.85,0.8,0.82,0.83,0.0,0.06,0.0,100.00999999999998
07/27/2021,4.96,4.77,4.88,4.51,4.66,4.6,4.62,3.73,3.95,3.79,3.61,3.71,3.7,3.87,2.64,2.45,2.58,2.45,2.47,2.53,2.37,2.43,2.07,1.98,1.99,1.98,1.93,1.9,1.95,0.91,0.97,0.85,0.8,0.86,0.8,0.82,0.83,0.0,0.06,0.0,99.97999999999998
