,2SPY  220131C00002960,2SPY  220131P00370070,Cash&Other,2SPY  220131P00314560,2SPY  220131C00413480,SUM
07/09/2021,106.57,1.97,0.47,-0.81,-8.2,100.0
07/12/2021,107.28,1.97,0.46,-0.84,-8.87,100.0
07/13/2021,107.28,1.97,0.46,-0.84,-8.87,100.0
07/14/2021,107.28,1.97,0.46,-0.84,-8.87,100.0
07/15/2021,107.63,1.93,0.46,-0.82,-9.2,100.0
07/16/2021,107.4,2.05,0.46,-0.87,-9.04,100.0
07/19/2021,107.12,2.09,0.45,-0.88,-8.79,99.99
07/20/2021,106.53,2.28,0.45,-0.96,-8.3,100.0
07/21/2021,106.53,2.28,0.45,-0.96,-8.3,100.0
07/22/2021,105.53,2.64,0.43,-1.14,-7.47,99.99
07/23/2021,106.7,2.3,0.43,-0.99,-8.45,99.99
07/26/2021,107.45,2.01,0.42,-0.85,-9.04,99.99
07/27/2021,108.21,1.87,0.42,-0.8,-9.7,100.0
