,CCI,AMT,EQIX,DLR,SBAC,COR,CONE,QTS,788.HK,NXT.AX,GDS,NVDA,WDC,2344.TW,AJBU.SI,UNIT,AMD,MU,TOWR.JK,VNET,MCHP,SWCH,TBIG.JK,RADI,1686.HK,CASH,VTWR.DE,1686 HK,n/a,SUM
07/09/2021,13.74,13.39,12.47,9.01,4.84,4.49,4.05,3.86,3.72,3.12,2.96,2.7,2.45,2.2,1.94,1.83,1.79,1.77,1.76,1.7,1.69,1.63,1.49,0.7,0.5,0.21,0.0,0.0,0.0,100.01
07/12/2021,13.86,13.54,12.65,9.18,4.9,4.51,4.07,3.86,3.69,3.25,2.7,2.61,2.41,2.2,1.92,1.82,1.71,1.69,1.74,1.52,1.64,1.63,1.45,0.7,0.53,0.2,0.0,0.0,0.0,99.98
07/13/2021,13.86,13.54,12.65,9.18,4.9,4.51,4.07,3.86,3.69,3.25,2.7,2.61,2.41,2.2,1.92,1.82,1.71,1.69,1.74,1.52,1.64,1.63,1.45,0.7,0.53,0.2,0.0,0.0,0.0,99.98
07/14/2021,13.87,13.5,12.47,9.21,4.88,4.54,4.14,3.84,3.71,3.12,2.73,2.61,2.48,2.22,1.93,1.84,1.72,1.71,1.73,1.59,1.67,1.62,1.42,0.7,0.55,0.2,0.0,0.0,0.0,100.0
07/15/2021,13.87,13.48,12.53,9.26,4.86,4.54,4.16,3.82,3.69,3.08,2.72,2.66,2.49,2.18,1.92,1.85,1.71,1.72,1.72,1.56,1.68,1.61,1.45,0.69,0.56,0.21,0.0,0.0,0.0,100.02
07/16/2021,13.75,13.48,12.49,9.18,4.87,4.49,4.08,3.83,3.71,3.08,2.86,2.64,2.48,2.4,1.96,1.84,1.71,1.7,1.72,1.62,1.66,1.59,1.41,0.7,0.54,0.21,0.0,0.0,0.0,100.0
07/19/2021,13.88,13.62,12.66,9.27,4.92,4.52,4.14,3.84,3.7,3.15,2.84,2.47,2.36,2.22,1.95,1.86,1.64,1.67,1.75,1.52,1.59,1.59,1.44,0.67,0.53,0.2,0.0,0.0,0.0,100.0
07/20/2021,13.88,13.62,12.66,9.27,4.92,4.52,4.14,3.84,3.7,3.15,2.84,2.47,2.36,2.22,1.95,1.86,1.64,1.67,1.75,1.52,1.59,1.59,1.44,0.67,0.53,0.2,0.0,0.0,0.0,100.0
07/21/2021,13.96,13.7,12.64,9.3,4.95,4.54,4.11,3.84,3.71,3.27,2.81,2.37,2.27,2.21,1.95,1.9,1.63,1.63,1.78,1.45,1.55,1.58,1.44,0.68,0.54,0.2,0.0,0.0,0.0,100.01
07/22/2021,13.96,13.69,12.75,9.29,4.98,4.54,4.06,3.85,3.73,3.25,2.83,2.46,2.24,2.15,1.93,1.88,1.65,1.63,1.77,1.44,1.54,1.6,1.41,0.67,0.53,0.2,0.0,0.0,0.0,100.03
07/23/2021,13.97,13.72,12.66,9.28,4.97,4.52,4.11,3.83,3.67,3.21,2.89,2.43,2.29,2.08,1.92,1.96,1.65,1.64,1.76,1.44,1.59,1.61,1.4,0.7,0.52,0.2,0.0,0.0,0.0,100.02
07/26/2021,13.37,13.83,12.63,9.22,5.01,4.49,4.03,3.89,3.76,3.32,2.85,2.59,2.26,2.12,1.94,1.95,1.75,1.66,1.74,1.5,1.62,1.62,1.38,0.72,0.54,0.19,0.0,0.0,0.0,99.98
07/27/2021,13.37,13.83,12.63,9.22,5.01,4.49,4.03,3.89,3.76,3.32,2.85,2.59,2.26,2.12,1.94,1.95,1.75,1.66,1.74,1.5,1.62,1.62,1.38,0.72,0.54,0.19,0.0,0.0,0.0,99.98
07/29/2021,13.37,13.96,12.76,9.2,5.07,4.58,4.11,3.89,3.68,3.38,2.2,2.55,2.3,2.15,1.93,1.93,1.76,1.68,2.11,1.31,1.63,1.61,1.4,0.72,0.53,0.19,0.0,0.0,0.0,100.0
07/30/2021,13.53,14.07,12.94,9.29,5.11,4.62,4.14,3.89,3.61,3.37,2.03,2.54,2.23,2.14,1.95,1.94,1.74,1.63,2.02,1.2,1.59,1.59,1.38,0.72,0.52,0.18,0.0,0.0,0.0,99.96999999999998
08/02/2021,13.51,13.98,12.17,9.07,5.11,4.52,4.06,3.91,3.6,3.4,2.33,2.63,2.33,2.13,2.0,2.01,1.99,1.71,1.98,1.43,1.66,1.6,1.42,0.73,0.54,0.18,0.0,0.0,0.0,100.0
08/03/2021,13.51,13.98,12.17,9.07,5.11,4.52,4.06,3.91,3.6,3.4,2.33,2.63,2.33,2.13,2.0,2.01,1.99,1.71,1.98,1.43,1.66,1.6,1.42,0.73,0.54,0.18,0.0,0.0,0.0,100.0
08/04/2021,11.61,12.2,11.97,8.92,4.68,4.31,4.35,4.56,4.42,3.62,3.69,1.98,0.0,1.97,2.22,2.35,2.41,1.99,2.09,1.54,2.01,2.01,1.6,0.97,0.0,0.82,1.15,0.56,0.0,100.0
08/05/2021,11.54,12.17,11.88,8.9,4.67,4.3,4.38,4.53,4.56,3.71,3.71,2.0,0.0,2.02,2.22,2.32,2.45,1.98,1.99,1.57,2.03,2.01,1.58,0.96,0.55,0.21,1.74,0.0,0.0,99.97999999999998
08/06/2021,11.6,12.16,11.86,8.89,4.7,4.33,4.41,4.52,4.58,3.73,3.51,2.0,0.0,1.94,2.21,2.37,2.53,2.06,2.0,1.55,2.05,2.0,1.58,0.97,0.55,0.21,1.7,0.0,0.0,100.01
