,Us Dollars,4308.T,MISXX,018000.KQ,Morgan Stanley Instl Lqudty Trs Instl,n/a,SUM
07/09/2021,80.44,19.39,0.17,0.0,0.0,0.0,100.0
07/12/2021,81.31,0.0,0.17,18.52,0.0,0.0,100.0
07/13/2021,81.31,0.0,0.17,18.52,0.0,0.0,100.0
07/14/2021,81.01,0.0,0.17,18.82,0.0,0.0,100.0
07/15/2021,81.18,0.0,0.17,18.65,0.0,0.0,100.0
07/16/2021,80.94,0.0,0.17,18.89,0.0,0.0,100.0
07/19/2021,81.42,0.0,0.17,18.41,0.0,0.0,100.0
07/20/2021,81.63,0.0,0.0,18.19,0.17,0.0,99.99
07/21/2021,81.63,0.0,0.17,18.19,0.0,0.0,99.99
07/22/2021,81.63,0.0,0.0,18.19,0.17,0.0,99.99
07/23/2021,82.78,0.0,0.18,17.04,0.0,0.0,100.0
07/26/2021,82.22,0.0,0.17,17.61,0.0,0.0,100.0
07/27/2021,81.08,0.0,0.17,18.74,0.0,0.0,99.99
07/28/2021,81.08,0.0,0.17,18.74,0.0,0.0,99.99
07/29/2021,81.78,0.0,0.17,18.06,0.0,0.0,100.01
07/30/2021,82.12,0.0,0.17,17.71,0.0,0.0,100.0
08/02/2021,81.44,0.0,0.16,18.4,0.0,0.0,100.0
08/03/2021,81.44,0.0,0.0,18.4,0.16,0.0,100.0
08/04/2021,81.44,0.0,0.16,18.4,0.0,0.0,100.0
08/05/2021,81.44,0.0,0.16,18.4,0.0,0.0,100.0
08/06/2021,81.85,0.0,0.16,17.99,0.0,0.0,100.0
08/09/2021,0.0,0.0,0.16,18.03,0.0,81.81,100.0
08/10/2021,0.0,0.0,0.16,17.85,0.0,81.99,100.0
