,AAPL,MSFT,FB,BRK.B,GOOGL,GOOG,JNJ,MCD,LOW,SBUX,PG,TGT,PYPL,UPS,UNP,PFE,EOG,ABT,ADBE,TMO,MRK,C,TJX,WMT,MMM,MS,INTC,BLK,CSCO,GS,CRM,COST,KMI,BMY,DE,ACN,PM,AVGO,SO,QCOM,CVS,ORCL,ABBV,NSC,ROST,ANTM,COF,INTU,ORLY,EMR,BX,DOW,AMD,CI,PSA,MO,HLT,MDLZ,NOW,SPG,AZO,JCI,AMGN,BDX,TT,LRCX,FIS,ADP,ATVI,SBAC,PEG,CL,TROW,ZM,PH,MET,LEN,HCA,PRU,OTIS,ALL,W,CTAS,NUE,CBRE,TRV,DFS,LYB,IQV,AFL,ADSK,AME,WY,688208.SS,MRO,A,PPL,DTE,CNC,GILD,EIX,DRI,IP,TRGP,GPN,GPC,BAX,MRNA,ROKU,ODFL,LB,INVH,VTR,AJG,AES,RSG,EA,URI,DOV,MTD,EXPD,PHM,LKQ,MCK,SNPS,XEC,CE,AVY,WHR,VICI,COG,REGN,EVRG,MTN,EMN,WSM,HPQ,CDNS,TPR,PENN,LH,KEY,J,VRTX,PAYX,XLNX,PANW,KR,CFG,RF,BIIB,NOV,MHK,TEAM,FTNT,ALLY,DECK,TTD,KHC,WRK,TXT,SWKS,HSY,ANSS,PKG,IRM,WAT,ZBRA,RJF,NRG,KEYS,XPO,HFC,ALXN,AVTR,SCI,DELL,UGI,KSS,AMH,CF,ARMK,PNW,VER,NDSN,MOS,TSN,ALLE,PWR,GLPI,CDW,SNA,TTC,LII,BAH,JLL,PII,ABC,RS,TPX,8150.T,HOLX,CUBE,4282.T,PNR,SUM
07/09/2021,7.64,7.25,3.47,3.23,3.05,2.93,2.12,1.87,1.48,1.45,1.41,1.3,1.15,1.08,1.07,1.05,0.99,0.97,0.95,0.95,0.94,0.9,0.89,0.86,0.83,0.81,0.81,0.8,0.79,0.78,0.76,0.75,0.72,0.7,0.7,0.68,0.66,0.65,0.63,0.56,0.52,0.5,0.49,0.48,0.48,0.45,0.44,0.44,0.42,0.42,0.41,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.34,0.33,0.33,0.32,0.32,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,92.23
07/12/2021,7.89,7.3,3.41,3.2,3.07,2.97,2.14,1.88,1.47,1.48,1.44,1.32,1.18,1.09,1.05,1.05,0.93,0.99,0.98,0.97,0.94,0.86,0.88,0.87,0.83,0.78,0.8,0.79,0.8,0.75,0.76,0.77,0.71,0.7,0.68,0.69,0.65,0.66,0.64,0.55,0.51,0.53,0.5,0.46,0.46,0.45,0.43,0.45,0.43,0.41,0.41,0.39,0.38,0.38,0.39,0.37,0.37,0.38,0.38,0.35,0.36,0.36,0.34,0.34,0.33,0.31,0.31,0.31,0.29,0.3,0.3,0.3,0.28,0.28,0.28,0.27,0.27,0.27,0.24,0.26,0.24,0.25,0.25,0.24,0.24,0.24,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.0,0.2,0.22,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.13,0.12,0.12,0.11,0.13,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.0,0.0,0.24,0.08,0.08,0.0,0.0,92.39
07/13/2021,7.89,7.3,3.41,3.2,3.07,2.97,2.14,1.88,1.47,1.48,1.44,1.32,1.18,1.09,1.05,1.05,0.93,0.99,0.98,0.97,0.94,0.86,0.88,0.87,0.83,0.78,0.8,0.79,0.8,0.75,0.76,0.77,0.71,0.7,0.68,0.69,0.65,0.66,0.64,0.55,0.51,0.53,0.5,0.46,0.46,0.45,0.43,0.45,0.43,0.41,0.41,0.39,0.38,0.38,0.39,0.37,0.37,0.38,0.38,0.35,0.36,0.36,0.34,0.34,0.33,0.31,0.31,0.31,0.29,0.3,0.3,0.3,0.28,0.28,0.28,0.27,0.27,0.27,0.24,0.26,0.24,0.25,0.25,0.24,0.24,0.24,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.0,0.2,0.22,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.13,0.12,0.12,0.11,0.13,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.0,0.0,0.24,0.08,0.08,0.0,0.0,92.39
07/14/2021,7.89,7.22,3.41,3.23,3.04,2.94,2.12,1.88,1.47,1.47,1.42,1.3,1.19,1.08,1.05,1.04,0.95,0.98,0.96,0.95,0.92,0.87,0.88,0.86,0.83,0.79,0.8,0.81,0.79,0.77,0.75,0.77,0.72,0.7,0.69,0.69,0.65,0.67,0.63,0.56,0.51,0.53,0.49,0.47,0.47,0.45,0.45,0.44,0.43,0.41,0.41,0.4,0.38,0.38,0.39,0.37,0.37,0.37,0.38,0.36,0.36,0.36,0.33,0.33,0.33,0.31,0.31,0.3,0.29,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.23,0.0,0.2,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.11,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.0,0.0,0.0,0.08,0.08,0.25,0.0,92.33
07/15/2021,7.83,7.18,3.43,3.22,3.07,2.95,2.11,1.88,1.47,1.48,1.42,1.32,1.19,1.08,1.04,1.05,0.96,0.97,0.96,0.94,0.92,0.88,0.88,0.85,0.82,0.81,0.81,0.82,0.78,0.78,0.74,0.76,0.72,0.7,0.69,0.69,0.64,0.67,0.63,0.56,0.51,0.53,0.49,0.46,0.47,0.46,0.46,0.44,0.43,0.42,0.42,0.4,0.38,0.38,0.39,0.37,0.37,0.37,0.38,0.36,0.36,0.36,0.33,0.33,0.33,0.32,0.31,0.3,0.29,0.3,0.3,0.29,0.3,0.28,0.28,0.27,0.27,0.27,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.22,0.23,0.22,0.22,0.22,0.23,0.0,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.19,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.13,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.11,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.0,0.0,0.0,0.0,0.08,0.08,0.25,0.08,92.31
07/16/2021,7.92,7.31,3.43,3.22,3.09,2.97,2.12,1.89,1.46,1.5,1.42,1.32,1.19,1.07,1.04,1.05,0.95,0.97,0.97,0.95,0.92,0.87,0.87,0.86,0.82,0.82,0.81,0.81,0.79,0.78,0.75,0.76,0.71,0.7,0.69,0.69,0.64,0.67,0.63,0.56,0.51,0.53,0.5,0.47,0.46,0.46,0.45,0.44,0.43,0.42,0.41,0.39,0.37,0.38,0.39,0.37,0.36,0.37,0.38,0.35,0.36,0.36,0.33,0.33,0.33,0.32,0.32,0.3,0.29,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.27,0.25,0.25,0.24,0.23,0.24,0.24,0.23,0.24,0.24,0.22,0.23,0.22,0.22,0.22,0.22,0.0,0.2,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.0,0.08,0.0,0.0,0.0,0.08,0.08,0.24,0.08,92.36
07/19/2021,8.09,7.32,3.36,3.23,3.09,2.98,2.11,1.89,1.48,1.5,1.44,1.33,1.17,1.08,1.04,1.06,0.88,0.95,0.97,0.95,0.93,0.87,0.88,0.87,0.84,0.81,0.8,0.79,0.79,0.77,0.73,0.77,0.69,0.7,0.68,0.7,0.65,0.67,0.64,0.56,0.51,0.52,0.49,0.47,0.47,0.46,0.45,0.44,0.43,0.42,0.43,0.39,0.36,0.38,0.39,0.37,0.36,0.38,0.38,0.35,0.37,0.36,0.34,0.33,0.33,0.31,0.32,0.31,0.28,0.3,0.3,0.3,0.29,0.26,0.28,0.27,0.27,0.27,0.25,0.26,0.24,0.23,0.23,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.0,0.19,0.21,0.21,0.22,0.2,0.2,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.21,0.18,0.19,0.18,0.19,0.19,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.14,0.15,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.13,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.0,0.09,0.08,0.0,0.08,0.08,0.0,0.0,0.08,0.08,0.3,0.08,92.49
07/20/2021,8.02,7.35,3.35,3.23,3.11,3.02,2.12,1.89,1.49,1.5,1.47,1.33,1.17,1.07,1.04,1.07,0.86,0.97,0.98,0.96,0.93,0.86,0.88,0.87,0.83,0.81,0.79,0.79,0.8,0.76,0.74,0.77,0.69,0.71,0.68,0.69,0.65,0.66,0.65,0.55,0.52,0.54,0.5,0.47,0.45,0.46,0.44,0.44,0.44,0.42,0.43,0.38,0.36,0.38,0.39,0.37,0.35,0.38,0.38,0.35,0.37,0.36,0.34,0.33,0.33,0.3,0.32,0.31,0.29,0.31,0.3,0.3,0.29,0.27,0.28,0.27,0.27,0.27,0.24,0.26,0.24,0.23,0.25,0.23,0.23,0.25,0.23,0.21,0.23,0.22,0.22,0.23,0.22,0.0,0.18,0.21,0.22,0.22,0.2,0.21,0.21,0.2,0.19,0.19,0.2,0.19,0.19,0.23,0.18,0.18,0.18,0.19,0.19,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.15,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.11,0.13,0.12,0.12,0.12,0.13,0.11,0.13,0.13,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.09,0.09,0.08,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.0,0.09,0.08,0.0,0.08,0.08,0.0,0.0,0.08,0.08,0.31,0.08,92.55
07/21/2021,8.02,7.35,3.35,3.23,3.11,3.02,2.12,1.89,1.49,1.5,1.47,1.33,1.17,1.07,1.04,1.07,0.86,0.97,0.98,0.96,0.93,0.86,0.88,0.87,0.83,0.81,0.79,0.79,0.8,0.76,0.74,0.77,0.69,0.71,0.68,0.69,0.65,0.66,0.65,0.55,0.52,0.54,0.5,0.47,0.45,0.46,0.44,0.44,0.44,0.42,0.43,0.38,0.36,0.38,0.39,0.37,0.35,0.38,0.38,0.35,0.37,0.36,0.34,0.33,0.33,0.3,0.32,0.31,0.29,0.31,0.3,0.3,0.29,0.27,0.28,0.27,0.27,0.27,0.24,0.26,0.24,0.23,0.25,0.23,0.23,0.25,0.23,0.21,0.23,0.22,0.22,0.23,0.22,0.0,0.18,0.21,0.22,0.22,0.2,0.21,0.21,0.2,0.19,0.19,0.2,0.19,0.19,0.23,0.18,0.18,0.18,0.19,0.19,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.15,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.11,0.13,0.12,0.12,0.12,0.13,0.11,0.13,0.13,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.09,0.09,0.08,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.0,0.09,0.08,0.0,0.08,0.08,0.0,0.0,0.08,0.08,0.31,0.08,92.55
07/22/2021,8.02,7.35,3.35,3.23,3.11,3.02,2.12,1.89,1.49,1.5,1.47,1.33,1.17,1.07,1.04,1.07,0.86,0.97,0.98,0.96,0.93,0.86,0.88,0.87,0.83,0.81,0.79,0.79,0.8,0.76,0.74,0.77,0.69,0.71,0.68,0.69,0.65,0.66,0.65,0.55,0.52,0.54,0.5,0.47,0.45,0.46,0.44,0.44,0.44,0.42,0.43,0.38,0.36,0.38,0.39,0.37,0.35,0.38,0.38,0.35,0.37,0.36,0.34,0.33,0.33,0.3,0.32,0.31,0.29,0.31,0.3,0.3,0.29,0.27,0.28,0.27,0.27,0.27,0.24,0.26,0.24,0.23,0.25,0.23,0.23,0.25,0.23,0.21,0.23,0.22,0.22,0.23,0.22,0.0,0.18,0.21,0.22,0.22,0.2,0.21,0.21,0.2,0.19,0.19,0.2,0.19,0.19,0.23,0.18,0.18,0.18,0.19,0.19,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.15,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.11,0.13,0.12,0.12,0.12,0.13,0.11,0.13,0.13,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.09,0.09,0.08,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.0,0.09,0.08,0.0,0.08,0.08,0.0,0.0,0.08,0.08,0.31,0.08,92.55000000000001
