,IVV,IDEV,IUSB,IEMG,IAGG,IJH,IJR,XTSLA,SGAFT,ESU1,USD,SUM
07/09/2021,41.61,25.67,16.86,8.96,2.96,2.63,1.21,0.6,0.0,0.0,0.0,100.5
07/12/2021,41.68,25.58,17.0,8.84,2.99,2.61,1.2,0.64,0.0,0.0,0.0,100.54
07/13/2021,41.68,25.58,17.0,8.84,2.99,2.61,1.2,0.64,0.0,0.0,0.0,100.54
07/14/2021,41.67,25.77,16.77,8.88,2.95,2.64,1.22,0.09,0.0,0.0,0.0,99.99
07/15/2021,41.67,25.77,16.77,8.88,2.95,2.64,1.22,0.09,0.0,0.0,0.0,99.99
07/16/2021,41.73,25.75,16.75,8.91,2.96,2.61,1.2,0.09,0.0,0.0,0.0,100.0
07/19/2021,41.72,25.6,16.86,8.99,2.97,2.59,1.18,0.09,0.0,0.0,0.0,100.0
07/20/2021,41.72,25.6,16.86,8.99,2.97,2.59,1.18,0.09,0.0,0.0,0.0,100.0
07/21/2021,41.68,25.55,16.96,8.98,2.99,2.58,1.17,0.09,0.0,0.0,0.0,100.0
07/22/2021,41.57,25.38,17.25,8.95,3.04,2.56,1.17,0.09,0.0,0.0,0.0,100.01
07/23/2021,41.77,25.36,17.07,8.89,3.01,2.61,1.19,0.09,0.0,0.0,0.0,99.99
07/27/2021,41.82,25.55,16.9,8.89,2.98,2.59,1.18,0.09,0.0,0.0,0.0,100.0
07/29/2021,42.14,25.64,16.79,8.58,2.97,2.61,1.19,0.09,0.0,0.0,0.0,100.01
07/30/2021,42.13,25.66,16.9,8.45,2.99,2.6,1.18,0.09,0.0,0.0,0.0,100.0
08/02/2021,41.97,25.77,16.77,8.63,2.96,2.63,1.2,0.09,0.0,0.0,0.0,100.01999999999998
08/03/2021,41.93,25.73,16.85,8.59,2.98,2.64,1.2,0.09,0.0,0.0,0.0,100.01
08/04/2021,41.93,25.73,16.85,8.59,2.98,2.64,1.2,0.09,0.0,0.0,0.0,100.01
08/05/2021,41.93,25.73,16.85,8.59,2.98,2.64,1.2,0.09,0.0,0.0,0.0,100.01
08/06/2021,41.9,25.84,16.75,8.63,2.96,2.62,1.2,0.09,0.01,0.0,0.01,100.01000000000002
08/10/2021,42.06,25.8,16.66,8.59,2.96,2.64,1.21,0.08,0.01,0.0,0.02,100.03
08/11/2021,42.06,25.8,16.66,8.59,2.96,2.64,1.21,0.08,0.01,0.0,0.02,100.03
08/12/2021,42.05,25.79,16.65,8.61,2.96,2.63,1.2,0.1,0.01,0.0,0.0,100.0
08/13/2021,42.05,25.84,16.6,8.61,2.96,2.64,1.21,0.1,0.01,0.0,0.0,100.02
08/16/2021,42.12,25.89,16.56,8.53,2.95,2.64,1.21,0.1,0.0,0.0,0.0,100.0
08/17/2021,42.11,25.95,16.58,8.49,2.94,2.63,1.19,0.1,0.0,0.0,0.0,99.99
08/18/2021,42.11,25.95,16.58,8.49,2.94,2.63,1.19,0.1,0.0,0.0,0.0,99.99
08/19/2021,42.26,25.85,16.6,8.42,2.94,2.63,1.19,0.1,0.0,0.0,0.0,99.99
08/20/2021,42.29,25.78,16.72,8.34,2.97,2.62,1.18,0.1,0.01,0.0,0.0,100.01
08/23/2021,42.29,25.67,16.89,8.29,3.0,2.59,1.17,0.1,0.01,0.0,0.0,100.01000000000002
08/24/2021,42.43,25.64,16.82,8.24,2.99,2.61,1.18,0.1,0.01,0.0,0.0,100.02
08/25/2021,42.43,25.64,16.82,8.24,2.99,2.61,1.18,0.1,0.01,0.0,0.0,100.02
08/26/2021,42.46,25.7,16.69,8.3,2.96,2.62,1.19,0.1,0.01,0.0,0.0,100.03000000000002
08/27/2021,42.37,25.72,16.61,8.44,2.95,2.63,1.19,0.1,0.01,0.0,0.0,100.02000000000001
