,EBAY,ACN,CCEP,PII,TEL,CRH,BBY,ABBV,CINF,DGX,GPC,TXN,TTC,FAST,AAP,OMF,NFLX,AAPL,ZM,TSLA,SHOP,AMZN,GILD,FB,IRM,MSI,EMN,UPS,Cash&Other,GOOGL,TDOC,BNTX,MRNA,SCI,DASH,ABNB,TWST,AXP,ALLE,CDW,NTAP,SUM
07/09/2021,5.37,5.12,4.72,4.64,4.51,4.34,4.3,4.2,4.17,4.0,3.97,3.96,3.93,3.93,3.73,3.1,2.93,2.91,2.88,2.88,2.85,2.84,2.83,2.83,2.6,2.25,2.19,1.18,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/12/2021,5.37,5.2,4.71,4.69,4.55,4.36,0.0,4.2,4.22,4.01,4.01,3.91,3.99,4.0,3.79,3.15,4.36,4.44,2.74,0.0,2.75,4.31,2.8,2.79,2.66,2.25,2.21,1.19,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/13/2021,5.37,5.2,4.71,4.69,4.55,4.36,0.0,4.2,4.22,4.01,4.01,3.91,3.99,4.0,3.79,3.15,4.36,4.44,2.74,0.0,2.75,4.31,2.8,2.79,2.66,2.25,2.21,1.19,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/14/2021,5.37,5.2,4.71,4.69,4.55,4.36,0.0,4.2,4.22,4.01,4.01,3.91,3.99,4.0,3.79,3.15,4.36,4.44,2.74,0.0,2.75,4.31,2.8,2.79,2.66,2.25,2.21,1.19,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/15/2021,5.32,5.18,4.73,4.67,4.56,4.32,0.0,4.23,4.25,4.03,4.0,3.94,3.98,4.01,3.76,3.19,4.37,4.42,2.69,0.0,2.75,4.31,2.79,2.8,2.71,2.23,2.21,1.18,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,5.34,5.22,4.78,4.52,4.56,4.32,0.0,4.22,4.24,4.03,3.97,3.95,3.93,3.97,3.73,3.14,4.43,4.48,2.71,0.0,2.81,4.29,2.81,2.81,2.7,2.24,2.2,1.18,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,5.31,5.29,4.76,4.52,4.55,4.3,0.0,4.26,4.25,4.02,4.03,3.91,3.98,4.01,3.75,3.14,4.46,4.58,2.56,0.0,2.68,4.25,2.83,2.76,2.71,2.25,2.19,1.19,0.92,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.94
07/20/2021,5.37,5.29,4.74,4.48,4.51,4.29,0.0,4.31,4.29,4.07,4.02,3.9,4.0,4.05,3.72,3.13,4.4,4.56,0.0,0.0,2.7,4.22,2.87,2.76,2.69,2.24,2.14,1.19,3.52,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95999999999998
07/21/2021,5.37,5.29,4.74,4.48,4.51,4.29,0.0,4.31,4.29,4.07,4.02,3.9,4.0,4.05,3.72,3.13,4.4,4.56,0.0,0.0,2.7,4.22,2.87,2.76,2.69,2.24,2.14,1.19,3.52,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95999999999998
07/22/2021,5.46,5.3,4.55,0.0,4.5,4.19,0.0,4.29,4.18,4.17,4.01,3.95,4.01,4.09,3.76,3.07,4.47,4.49,0.0,0.0,2.79,4.24,2.89,2.76,2.68,2.23,0.0,1.21,10.17,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.93999999999998
07/23/2021,5.47,5.28,4.58,0.0,4.54,4.21,0.0,4.25,4.24,4.12,4.04,3.93,4.03,4.09,3.8,0.0,4.4,0.0,0.0,0.0,2.85,4.21,2.89,0.0,2.71,0.0,0.0,1.2,16.61,2.48,1.98,1.98,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.76
07/26/2021,5.63,5.29,4.69,0.0,4.6,4.24,0.0,4.28,4.14,4.15,3.96,3.81,3.94,4.05,3.78,0.0,4.22,0.0,0.0,0.0,2.97,4.27,2.85,0.0,2.68,0.0,0.0,1.2,2.68,2.51,1.94,2.26,1.95,2.86,2.04,2.0,1.99,1.97,1.91,1.13,0.0,99.99
07/27/2021,5.68,5.3,4.7,0.0,4.56,4.22,0.0,4.25,4.09,4.14,3.99,3.84,3.97,4.03,3.81,0.0,4.19,0.0,0.0,0.0,3.02,4.24,2.83,0.0,2.64,0.0,0.0,1.17,0.79,2.57,1.9,2.24,2.08,2.86,2.08,1.97,1.9,1.97,1.93,1.14,1.88,99.98
