,BRK.B,T,WMT,AAPL,AMZN,BAC,XOM,MSFT,VZ,JPM,CVS,FB,UNH,WFC,GOOGL,GOOG,CVX,INTC,JNJ,GM,CMCSA,C,COF,PFE,MS,F,CSCO,IBM,PG,PM,ORCL,MET,GS,HD,CI,AIG,PRU,ALL,MPC,KO,PSX,UPS,ABBV,DIS,MRK,PEP,WBA,TGT,AFL,USB,RTX,ANTM,CB,GE,COST,AXP,VLO,CHTR,MCK,MO,TMUS,MDT,KR,LMT,MMM,PNC,ACN,SYF,GILD,LYB,KHC,LLY,BMY,AMGN,AVGO,MCD,DUK,V,COP,EXC,HON,UNP,SO,TFC,CNC,MU,NEE,FDX,TSN,BLK,ABT,MDLZ,DD,LIN,LOW,BK,CCL,CRM,PGR,TRV,CAT,TXN,HCA,PYPL,GD,SCHW,HPE,KMI,D,NVDA,TSLA,DHR,TMO,BA,NKE,BIIB,HUM,ADBE,ABC,ADM,CAH,NOC,UAL,QCOM,HPQ,PFG,SLB,STATE STREET INSTITUTIONAL LIQ STATE STR,JCI,STT,EOG,AEP,ETN,DAL,DOW,WRK,CME,NFLX,LUMN,OXY,DE,BBY,SRE,DFS,EBAY,NEM,L,IP,SBUX,ADP,CCI,SYY,MA,NSC,HIG,TJX,PLD,LNC,PPL,KMB,GIS,CSX,WMB,AMT,AMAT,ED,REGN,FIS,PEG,MRO,CL,DISH,BKNG,EMR,AMP,MMC,XEL,DXC,KEY,CFG,CMI,TAP,APD,RF,FISV,SYK,WELL,LEN,NUE,WM,FITB,DG,BDX,PCAR,ETR,HBAN,DVA,LVS,VIAC,BEN,AFG,PSA,WEC,SSIXX,State Street Instl Liquid Reserves Prem,ICE,RSG,DHI,ARW,CBRE,GEN.,n/a,4970.T,GE.,KSS,ES,DKS,ADI,SUM
07/09/2021,2.6,2.37,2.2,2.05,1.83,1.78,1.53,1.41,1.37,1.29,1.22,1.21,1.07,1.06,1.04,1.01,0.99,0.89,0.86,0.84,0.84,0.83,0.8,0.7,0.67,0.65,0.62,0.61,0.57,0.53,0.52,0.5,0.5,0.49,0.48,0.46,0.45,0.45,0.44,0.42,0.42,0.42,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.24000000000001
07/12/2021,2.6,2.32,2.21,2.09,1.87,1.74,1.51,1.42,1.37,1.28,1.22,1.2,1.08,1.04,1.04,1.02,0.99,0.89,0.87,0.83,0.85,0.82,0.8,0.7,0.65,0.63,0.63,0.63,0.58,0.53,0.54,0.49,0.49,0.49,0.47,0.45,0.44,0.45,0.43,0.43,0.41,0.43,0.42,0.41,0.4,0.4,0.39,0.4,0.38,0.38,0.38,0.37,0.36,0.36,0.37,0.35,0.33,0.36,0.35,0.34,0.34,0.34,0.33,0.32,0.32,0.31,0.31,0.29,0.3,0.29,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.2,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.26
07/13/2021,2.6,2.32,2.21,2.09,1.87,1.74,1.51,1.42,1.37,1.28,1.22,1.2,1.08,1.04,1.04,1.02,0.99,0.89,0.87,0.83,0.85,0.82,0.8,0.7,0.65,0.63,0.63,0.63,0.58,0.53,0.54,0.49,0.49,0.49,0.47,0.45,0.44,0.45,0.43,0.43,0.41,0.43,0.42,0.41,0.4,0.4,0.39,0.4,0.38,0.38,0.38,0.37,0.36,0.36,0.37,0.35,0.33,0.36,0.35,0.34,0.34,0.34,0.33,0.32,0.32,0.31,0.31,0.29,0.3,0.29,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.2,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.26
07/14/2021,2.62,2.3,2.19,2.08,1.83,1.76,1.51,1.4,1.36,1.3,1.22,1.19,1.07,1.06,1.02,1.01,0.99,0.88,0.86,0.85,0.84,0.83,0.82,0.7,0.66,0.64,0.62,0.62,0.57,0.53,0.55,0.5,0.49,0.49,0.47,0.46,0.45,0.45,0.43,0.43,0.41,0.42,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.37,0.35,0.33,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.29,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.24,0.23,0.23,0.22,0.22,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.2,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.2,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.11000000000001
07/15/2021,2.6,2.3,2.18,2.06,1.83,1.78,1.51,1.39,1.35,1.31,1.22,1.2,1.08,1.06,1.03,1.01,0.99,0.89,0.86,0.85,0.84,0.84,0.84,0.7,0.68,0.65,0.62,0.62,0.57,0.52,0.54,0.5,0.5,0.48,0.47,0.46,0.46,0.46,0.43,0.42,0.41,0.42,0.42,0.42,0.39,0.4,0.39,0.4,0.38,0.39,0.37,0.38,0.36,0.36,0.36,0.35,0.33,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.29,0.3,0.29,0.29,0.29,0.28,0.29,0.27,0.27,0.26,0.25,0.26,0.26,0.25,0.25,0.26,0.25,0.24,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.24,0.23,0.24,0.22,0.22,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.17,0.18,0.17,0.22,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.22999999999999
07/16/2021,2.61,2.3,2.2,2.09,1.82,1.76,1.51,1.42,1.36,1.3,1.23,1.21,1.09,1.05,1.04,1.02,0.99,0.9,0.86,0.86,0.84,0.83,0.84,0.7,0.69,0.64,0.62,0.62,0.57,0.52,0.54,0.5,0.5,0.48,0.47,0.46,0.45,0.45,0.43,0.43,0.41,0.42,0.42,0.43,0.4,0.41,0.39,0.4,0.38,0.38,0.37,0.38,0.36,0.36,0.36,0.36,0.33,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.24,0.25,0.24,0.25,0.25,0.24,0.23,0.24,0.21,0.22,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.17,0.18,0.17,0.22,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.32000000000001
07/19/2021,2.63,2.32,2.23,2.14,1.81,1.73,1.47,1.43,1.38,1.31,1.24,1.18,1.1,1.1,1.05,1.03,0.97,0.89,0.86,0.83,0.84,0.83,0.83,0.71,0.68,0.63,0.63,0.62,0.58,0.53,0.54,0.5,0.5,0.49,0.48,0.47,0.45,0.45,0.4,0.44,0.39,0.42,0.42,0.43,0.4,0.42,0.38,0.4,0.39,0.4,0.37,0.38,0.37,0.36,0.37,0.36,0.31,0.34,0.35,0.35,0.34,0.33,0.34,0.32,0.32,0.31,0.32,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.25,0.26,0.27,0.25,0.26,0.26,0.25,0.24,0.26,0.25,0.24,0.24,0.24,0.25,0.25,0.24,0.24,0.23,0.2,0.22,0.22,0.23,0.22,0.22,0.23,0.22,0.22,0.21,0.21,0.2,0.21,0.19,0.2,0.21,0.21,0.19,0.21,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.17,0.19,0.17,0.18,0.16,0.24,0.17,0.17,0.15,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.13,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.45
07/20/2021,2.64,2.33,2.25,2.13,1.79,1.7,1.44,1.44,1.39,1.29,1.24,1.18,1.11,1.09,1.06,1.04,0.95,0.88,0.87,0.82,0.84,0.82,0.82,0.72,0.68,0.61,0.64,0.62,0.59,0.54,0.55,0.5,0.49,0.49,0.48,0.47,0.45,0.45,0.4,0.45,0.38,0.42,0.42,0.42,0.4,0.42,0.38,0.4,0.39,0.39,0.37,0.38,0.38,0.35,0.37,0.35,0.31,0.34,0.35,0.35,0.35,0.33,0.35,0.32,0.32,0.31,0.32,0.29,0.3,0.29,0.29,0.29,0.3,0.29,0.28,0.28,0.28,0.27,0.24,0.27,0.27,0.25,0.27,0.26,0.25,0.23,0.26,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.19,0.22,0.22,0.24,0.22,0.22,0.23,0.22,0.22,0.21,0.21,0.2,0.22,0.19,0.2,0.21,0.21,0.19,0.21,0.19,0.21,0.2,0.19,0.19,0.19,0.19,0.17,0.19,0.17,0.18,0.15,0.0,0.17,0.18,0.15,0.17,0.17,0.15,0.16,0.15,0.16,0.15,0.15,0.13,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.42
07/21/2021,2.64,2.33,2.25,2.13,1.79,1.7,1.44,1.44,1.39,1.29,1.24,1.18,1.11,1.09,1.06,1.04,0.95,0.88,0.87,0.82,0.84,0.82,0.82,0.72,0.68,0.61,0.64,0.62,0.59,0.54,0.55,0.5,0.49,0.49,0.48,0.47,0.45,0.45,0.4,0.45,0.38,0.42,0.42,0.42,0.4,0.42,0.38,0.4,0.39,0.39,0.37,0.38,0.38,0.35,0.37,0.35,0.31,0.34,0.35,0.35,0.35,0.33,0.35,0.32,0.32,0.31,0.32,0.29,0.3,0.29,0.29,0.29,0.3,0.29,0.28,0.28,0.28,0.27,0.24,0.27,0.27,0.25,0.27,0.26,0.25,0.23,0.26,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.19,0.22,0.22,0.24,0.22,0.22,0.23,0.22,0.22,0.21,0.21,0.2,0.22,0.19,0.2,0.21,0.21,0.19,0.21,0.19,0.21,0.2,0.19,0.19,0.19,0.19,0.17,0.19,0.17,0.18,0.15,0.0,0.17,0.18,0.15,0.17,0.17,0.15,0.16,0.15,0.16,0.15,0.15,0.13,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.42
07/22/2021,2.64,2.33,2.25,2.13,1.79,1.7,1.44,1.44,1.39,1.29,1.24,1.18,1.11,1.09,1.06,1.04,0.95,0.88,0.87,0.82,0.84,0.82,0.82,0.72,0.68,0.61,0.64,0.62,0.59,0.54,0.55,0.5,0.49,0.49,0.48,0.47,0.45,0.45,0.4,0.45,0.38,0.42,0.42,0.42,0.4,0.42,0.38,0.4,0.39,0.39,0.37,0.38,0.38,0.35,0.37,0.35,0.31,0.34,0.35,0.35,0.35,0.33,0.35,0.32,0.32,0.31,0.32,0.29,0.3,0.29,0.29,0.29,0.3,0.29,0.28,0.28,0.28,0.27,0.24,0.27,0.27,0.25,0.27,0.26,0.25,0.23,0.26,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.19,0.22,0.22,0.24,0.22,0.22,0.23,0.22,0.22,0.21,0.21,0.2,0.22,0.19,0.2,0.21,0.21,0.19,0.21,0.19,0.21,0.2,0.19,0.19,0.19,0.19,0.17,0.19,0.17,0.18,0.15,0.0,0.17,0.18,0.15,0.17,0.17,0.15,0.16,0.15,0.16,0.15,0.15,0.13,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.42
