,CTSH,PGR,DG,HPQ,ALL,CTXS,DGX,EBAY,VRSN,ORLY,KMB,CLX,DLTR,HUM,EXPD,CDW,GPC,SNPS,APH,KR,TSCO,CBOE,CERN,MXIM,SJM,TYL,GIS,MAS,BIO,TROW,AKAM,CDNS,HSIC,DOX,FFIV,BR,AZO,NTAP,CHD,NOC,HSY,PAYX,WSO,CL,ACGL,AAP,JBHT,EPAM,CMI,K,JKHY,TRV,LH,OMC,ARW,LHX,QRVO,SWKS,BBY,HII,FAST,CHRW,CAG,PPL,MCK,PEG,FDS,IP,EXC,GRMN,POOL,J,LDOS,VMW,ETR,AOS,CHE,GD,PSA,SNA,BAH,AJG,PWR,OTIS,AON,CINF,EVRG,TTC,AEP,KNX,SRE,PKI,IPG,BRO,SCI,DTE,CAH,MSI,SON,IT,MKL,DPZ,NDAQ,RS,EXR,DLB,MTD,GNTX,PKG,ED,LII,AEE,BERY,HPE,GGG,WU,AZPN,RMD,EQR,XEL,GL,FNF,MPWR,WEC,GWW,AMCR,HOLX,RNR,CACI,AME,HRL,WAT,SEIC,TSN,AVB,WST,VRSK,CE,ATO,BAX,EA,KEYS,MKC,ES,RE,MSCI,CMS,ARE,ESS,CSL,LSTR,PNW,TER,AFL,STZ,ATR,TT,JNPR,WLTW,WRB,INGR,OGN,UTHR,FE,RSG,IEX,ORI,RJF,CPB,YUM,SSNC,GPK,FAF,RHI,BXP,CCK,CPRT,RPM,THG,G,HUBB,LAZ,JAZZ,AVY,PNR,DCI,FCN,FTV,EIX,JBL,AWK,CASY,UGI,UHAL,FLO,ALLE,DOV,CDK,ELS,CRUS,BLL,ODFL,MNST,MASI,CBRE,UHS,HIG,WPC,NUE,MAN,PINC,HRC,n/a,COG,STE,SUM
07/09/2021,1.17,1.02,0.96,0.91,0.75,0.71,0.71,0.7,0.68,0.66,0.66,0.66,0.64,0.63,0.61,0.6,0.6,0.59,0.59,0.59,0.59,0.58,0.56,0.56,0.56,0.56,0.56,0.54,0.53,0.52,0.52,0.52,0.51,0.5,0.49,0.48,0.48,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.84
07/12/2021,1.17,1.03,0.97,0.91,0.74,0.72,0.72,0.7,0.68,0.66,0.66,0.66,0.64,0.63,0.61,0.61,0.6,0.59,0.59,0.6,0.59,0.58,0.56,0.54,0.56,0.56,0.56,0.54,0.53,0.51,0.52,0.51,0.51,0.5,0.48,0.49,0.48,0.46,0.46,0.46,0.45,0.46,0.45,0.45,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.41,0.41,0.39,0.39,0.39,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.36,0.35,0.35,0.36,0.34,0.34,0.34,0.33,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.32,0.31,0.32,0.32,0.31,0.32,0.32,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.31,0.3,0.3,0.3,0.29,0.3,0.29,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.24,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.75
07/13/2021,1.17,1.03,0.97,0.91,0.74,0.72,0.72,0.7,0.68,0.66,0.66,0.66,0.64,0.63,0.61,0.61,0.6,0.59,0.59,0.6,0.59,0.58,0.56,0.54,0.56,0.56,0.56,0.54,0.53,0.51,0.52,0.51,0.51,0.5,0.48,0.49,0.48,0.46,0.46,0.46,0.45,0.46,0.45,0.45,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.41,0.41,0.39,0.39,0.39,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.36,0.35,0.35,0.36,0.34,0.34,0.34,0.33,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.32,0.31,0.32,0.32,0.31,0.32,0.32,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.31,0.3,0.3,0.3,0.29,0.3,0.29,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.24,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.75
07/14/2021,1.16,1.03,0.96,0.9,0.75,0.71,0.71,0.7,0.68,0.67,0.65,0.65,0.64,0.62,0.61,0.6,0.6,0.59,0.6,0.6,0.58,0.58,0.55,0.54,0.56,0.56,0.55,0.54,0.53,0.51,0.51,0.51,0.51,0.5,0.49,0.49,0.48,0.46,0.46,0.45,0.45,0.46,0.45,0.44,0.43,0.44,0.43,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.39,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.39,0.38,0.39,0.37,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.37,0.37,0.37,0.37,0.36,0.37,0.36,0.35,0.36,0.35,0.36,0.35,0.36,0.34,0.34,0.34,0.33,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.32,0.32,0.32,0.32,0.31,0.3,0.31,0.32,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.3,0.3,0.29,0.29,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.26,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.0,0.22,0.23,0.22,0.23,0.22,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.75
07/15/2021,1.17,1.03,0.96,0.88,0.76,0.69,0.72,0.69,0.67,0.67,0.65,0.65,0.63,0.63,0.61,0.6,0.6,0.59,0.6,0.6,0.58,0.58,0.56,0.54,0.56,0.56,0.55,0.54,0.53,0.53,0.5,0.51,0.51,0.5,0.47,0.49,0.48,0.46,0.46,0.45,0.45,0.46,0.45,0.44,0.43,0.43,0.43,0.44,0.44,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.36,0.37,0.37,0.36,0.37,0.37,0.37,0.37,0.36,0.37,0.36,0.35,0.36,0.35,0.36,0.35,0.36,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.33,0.33,0.31,0.32,0.31,0.32,0.32,0.31,0.32,0.32,0.31,0.32,0.31,0.3,0.31,0.32,0.3,0.3,0.31,0.3,0.3,0.3,0.3,0.29,0.3,0.3,0.3,0.28,0.3,0.29,0.28,0.3,0.29,0.28,0.28,0.28,0.27,0.27,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.27,0.26,0.25,0.26,0.25,0.24,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.23,0.22,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.73
07/16/2021,1.17,1.02,0.97,0.85,0.75,0.7,0.72,0.69,0.67,0.67,0.66,0.65,0.63,0.63,0.61,0.6,0.6,0.59,0.6,0.6,0.59,0.58,0.56,0.55,0.56,0.56,0.55,0.54,0.53,0.52,0.51,0.51,0.51,0.5,0.48,0.49,0.48,0.45,0.46,0.45,0.45,0.46,0.44,0.45,0.42,0.43,0.44,0.44,0.44,0.42,0.42,0.42,0.42,0.4,0.41,0.42,0.4,0.4,0.4,0.39,0.4,0.39,0.37,0.39,0.39,0.39,0.37,0.39,0.38,0.38,0.38,0.38,0.39,0.36,0.37,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.37,0.36,0.35,0.36,0.35,0.35,0.35,0.37,0.34,0.34,0.34,0.33,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.32,0.32,0.31,0.32,0.32,0.3,0.32,0.32,0.3,0.31,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.3,0.3,0.29,0.3,0.29,0.28,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.26,0.25,0.26,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.0,0.23,0.22,0.23,0.0,0.23,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.80000000000001
07/19/2021,1.17,0.99,0.97,0.85,0.74,0.7,0.71,0.69,0.67,0.68,0.66,0.66,0.64,0.64,0.61,0.6,0.6,0.59,0.59,0.61,0.59,0.58,0.56,0.54,0.57,0.56,0.55,0.55,0.53,0.52,0.51,0.51,0.51,0.5,0.47,0.5,0.49,0.45,0.46,0.45,0.46,0.47,0.44,0.45,0.43,0.43,0.44,0.44,0.43,0.43,0.43,0.43,0.41,0.41,0.41,0.41,0.39,0.4,0.4,0.39,0.4,0.39,0.38,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.38,0.39,0.36,0.38,0.37,0.36,0.37,0.37,0.37,0.37,0.36,0.36,0.37,0.35,0.36,0.36,0.35,0.36,0.37,0.34,0.34,0.34,0.34,0.35,0.35,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.32,0.32,0.29,0.33,0.32,0.31,0.31,0.32,0.3,0.31,0.32,0.31,0.3,0.3,0.3,0.31,0.31,0.3,0.29,0.3,0.3,0.3,0.29,0.3,0.29,0.28,0.3,0.28,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.29,0.27,0.27,0.28,0.27,0.28,0.27,0.26,0.27,0.25,0.26,0.25,0.25,0.27,0.26,0.25,0.26,0.25,0.24,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.22,0.23,0.23,0.24,0.23,0.22,0.23,0.23,0.22,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.22,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.88000000000001
07/20/2021,1.16,1.0,0.98,0.83,0.74,0.71,0.72,0.69,0.67,0.68,0.68,0.68,0.63,0.65,0.61,0.6,0.6,0.59,0.58,0.62,0.59,0.58,0.54,0.53,0.58,0.56,0.56,0.55,0.53,0.51,0.51,0.51,0.5,0.5,0.48,0.49,0.49,0.44,0.46,0.45,0.46,0.46,0.44,0.45,0.43,0.43,0.44,0.44,0.43,0.43,0.43,0.43,0.41,0.4,0.4,0.41,0.39,0.39,0.4,0.39,0.4,0.39,0.38,0.39,0.39,0.4,0.38,0.37,0.39,0.38,0.37,0.38,0.39,0.36,0.38,0.37,0.36,0.37,0.37,0.36,0.38,0.36,0.36,0.37,0.35,0.36,0.37,0.35,0.36,0.36,0.35,0.34,0.33,0.34,0.35,0.35,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.3,0.32,0.33,0.29,0.33,0.31,0.3,0.31,0.32,0.3,0.31,0.33,0.31,0.3,0.31,0.3,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.3,0.29,0.28,0.3,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.28,0.3,0.27,0.28,0.28,0.28,0.28,0.27,0.26,0.27,0.25,0.26,0.25,0.26,0.27,0.26,0.25,0.26,0.24,0.24,0.25,0.25,0.26,0.26,0.24,0.25,0.24,0.24,0.24,0.23,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.22,0.22,0.23,0.23,0.23,0.22,0.23,0.23,0.0,0.24,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.23,0.0,0.23,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.86000000000001
07/21/2021,1.16,1.0,0.98,0.83,0.74,0.71,0.72,0.69,0.67,0.68,0.68,0.68,0.63,0.65,0.61,0.6,0.6,0.59,0.58,0.62,0.59,0.58,0.54,0.53,0.58,0.56,0.56,0.55,0.53,0.51,0.51,0.51,0.5,0.5,0.48,0.49,0.49,0.44,0.46,0.45,0.46,0.46,0.44,0.45,0.43,0.43,0.44,0.44,0.43,0.43,0.43,0.43,0.41,0.4,0.4,0.41,0.39,0.39,0.4,0.39,0.4,0.39,0.38,0.39,0.39,0.4,0.38,0.37,0.39,0.38,0.37,0.38,0.39,0.36,0.38,0.37,0.36,0.37,0.37,0.36,0.38,0.36,0.36,0.37,0.35,0.36,0.37,0.35,0.36,0.36,0.35,0.34,0.33,0.34,0.35,0.35,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.3,0.32,0.33,0.29,0.33,0.31,0.3,0.31,0.32,0.3,0.31,0.33,0.31,0.3,0.31,0.3,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.3,0.29,0.28,0.3,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.28,0.3,0.27,0.28,0.28,0.28,0.28,0.27,0.26,0.27,0.25,0.26,0.25,0.26,0.27,0.26,0.25,0.26,0.24,0.24,0.25,0.25,0.26,0.26,0.24,0.25,0.24,0.24,0.24,0.23,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.22,0.22,0.23,0.23,0.23,0.22,0.23,0.23,0.0,0.24,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.23,0.0,0.23,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.86000000000001
07/22/2021,1.16,1.0,0.98,0.83,0.74,0.71,0.72,0.69,0.67,0.68,0.68,0.68,0.63,0.65,0.61,0.6,0.6,0.59,0.58,0.62,0.59,0.58,0.54,0.53,0.58,0.56,0.56,0.55,0.53,0.51,0.51,0.51,0.5,0.5,0.48,0.49,0.49,0.44,0.46,0.45,0.46,0.46,0.44,0.45,0.43,0.43,0.44,0.44,0.43,0.43,0.43,0.43,0.41,0.4,0.4,0.41,0.39,0.39,0.4,0.39,0.4,0.39,0.38,0.39,0.39,0.4,0.38,0.37,0.39,0.38,0.37,0.38,0.39,0.36,0.38,0.37,0.36,0.37,0.37,0.36,0.38,0.36,0.36,0.37,0.35,0.36,0.37,0.35,0.36,0.36,0.35,0.34,0.33,0.34,0.35,0.35,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.3,0.32,0.33,0.29,0.33,0.31,0.3,0.31,0.32,0.3,0.31,0.33,0.31,0.3,0.31,0.3,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.3,0.29,0.28,0.3,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.28,0.3,0.27,0.28,0.28,0.28,0.28,0.27,0.26,0.27,0.25,0.26,0.25,0.26,0.27,0.26,0.25,0.26,0.24,0.24,0.25,0.25,0.26,0.26,0.24,0.25,0.24,0.24,0.24,0.23,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.22,0.22,0.23,0.23,0.23,0.22,0.23,0.23,0.0,0.24,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.23,0.0,0.23,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.86000000000001
